date_obj,Amulet%20of%20power%20(t) price
2020-03-19,1505138
2020-03-20,1481672
2020-03-21,1460810
2020-03-22,1436512
2020-03-23,1414802
2020-03-24,1379488
2020-03-25,1357813
2020-03-26,1333998
2020-03-27,1306323
2020-03-28,1288816
2020-03-29,1258260
2020-03-30,1239486
2020-03-31,1236214
2020-04-01,1204263
2020-04-02,1200793
2020-04-03,1200793
2020-04-04,1180388
2020-04-05,1163694
2020-04-06,1151901
2020-04-07,1136513
2020-04-08,1112987
2020-04-09,1101480
2020-04-10,1101480
2020-04-11,1084172
2020-04-12,1072455
2020-04-13,1060187
2020-04-14,1045743
2020-04-15,1030482
2020-04-16,1030482
2020-04-17,1014298
2020-04-18,1000100
2020-04-19,978579
2020-04-20,974820
2020-04-21,976125
2020-04-22,975301
2020-04-23,980274
2020-04-24,987491
2020-04-25,1008406
2020-04-26,1015596
2020-04-27,1005969
2020-04-28,1002831
2020-04-29,1002831
2020-04-30,991664
2020-05-01,991664
2020-05-02,984197
2020-05-03,982170
2020-05-04,982170
2020-05-05,981441
2020-05-06,980991
2020-05-07,984759
2020-05-08,984759
2020-05-09,983174
2020-05-10,992346
2020-05-11,992346
2020-05-12,985854
2020-05-13,980632
