date_obj,Shoulder%20parrot price
2020-04-19,122343
2020-04-20,123198
2020-04-21,124593
2020-04-22,127856
2020-04-23,131688
2020-04-24,134420
2020-04-25,132454
2020-04-26,129781
2020-04-27,126456
2020-04-28,124257
2020-04-29,123411
2020-04-30,124132
2020-05-01,124869
2020-05-02,122810
2020-05-03,119737
2020-05-04,118294
2020-05-05,117824
2020-05-06,116915
2020-05-07,118567
2020-05-08,118567
2020-05-09,117288
2020-05-10,115346
2020-05-11,116809
2020-05-12,120324
2020-05-13,121174
