date_obj,Chinchompa price
2016-05-11,1055
2016-05-12,1055
2016-05-13,1055
2016-05-14,1055
2016-05-15,1031
2016-05-16,1031
2016-05-17,1031
2016-05-18,1031
2016-05-19,1031
2016-05-22,999
2016-05-23,999
2016-05-24,999
2016-05-25,964
2016-05-26,964
2016-05-27,964
2016-05-28,964
2016-05-29,1008
2016-05-30,1008
2016-05-31,1008
2016-06-01,1008
2016-06-02,1008
2016-06-03,1044
2016-06-04,1044
2016-06-05,1044
2016-06-06,1044
2016-06-07,1044
2016-06-08,1008
2016-06-09,1008
2016-06-10,1008
2016-06-11,1008
2016-06-12,963
2016-06-13,963
2016-06-14,963
2016-06-15,963
2016-06-16,963
2016-06-17,959
2016-06-18,959
2016-06-19,959
2016-06-20,959
2016-06-21,959
2016-06-22,938
2016-06-23,938
2016-06-24,938
2016-06-25,938
2016-06-26,938
2016-06-27,904
2016-06-28,904
2016-06-29,904
2016-06-30,904
2016-07-01,883
2016-07-02,883
2016-07-03,883
2016-07-04,883
2016-07-05,883
2016-07-06,908
2016-07-07,908
2016-07-08,908
2016-07-09,908
2016-07-10,908
2016-07-11,945
2016-07-12,945
2016-07-13,945
2016-07-14,945
2016-07-15,945
2016-07-16,974
2016-07-17,974
2016-07-18,974
2016-07-23,949
2016-07-24,949
2016-07-25,949
2016-07-26,949
2016-07-27,910
2016-07-28,910
2016-07-29,910
2016-07-30,910
2016-07-31,910
2016-08-01,910
2016-08-02,864
2016-08-03,864
2016-08-04,864
2016-08-05,864
2016-08-06,864
2016-08-07,852
2016-08-08,852
2016-08-09,852
2016-08-10,852
2016-08-11,852
2016-08-12,852
2016-08-13,866
2016-08-14,866
2016-08-15,866
2016-08-16,866
2016-08-17,866
2016-08-18,866
2016-08-19,867
2016-08-20,867
2016-08-21,867
2016-08-22,867
2016-08-23,867
2016-08-24,853
2016-08-25,853
2016-08-26,853
2016-08-28,853
2016-08-31,827
2016-09-01,827
2016-09-02,827
2016-09-03,827
2016-09-04,827
2016-09-05,821
2016-09-06,821
2016-09-07,821
2016-09-08,821
2016-09-09,821
2016-09-10,821
2016-09-11,821
2016-09-12,821
2016-09-13,829
2016-09-14,829
2016-09-15,829
2016-09-16,829
2016-09-17,829
2016-09-18,829
2016-09-19,829
2016-09-20,829
2016-09-21,844
2016-09-22,844
2016-09-23,844
2016-09-24,844
2016-09-25,844
2016-09-26,844
2016-09-27,844
2016-09-28,830
2016-09-29,830
2016-09-30,830
2016-10-01,830
2016-10-02,830
2016-10-03,830
2016-10-04,830
2016-10-05,822
2016-10-06,822
2016-10-07,822
2016-10-08,822
2016-10-09,822
2016-10-10,822
2016-10-11,822
2016-10-12,807
2016-10-13,807
2016-10-14,807
2016-10-15,807
2016-10-16,807
2016-10-17,807
2016-10-18,825
2016-10-19,825
2016-10-20,825
2016-10-21,825
2016-10-22,825
2016-10-23,825
2016-10-24,862
2016-10-25,862
2016-10-26,862
2016-10-27,862
2016-10-28,862
2016-10-29,862
2016-10-30,862
2016-10-31,885
2016-11-01,885
2016-11-02,885
2016-11-03,885
2016-11-04,885
2016-11-05,885
2016-11-06,855
2016-11-07,855
2016-11-08,855
2016-11-09,855
2016-11-10,855
2016-11-11,855
2016-11-12,857
2016-11-13,857
2016-11-14,857
2016-11-15,857
2016-12-07,923
2016-12-08,923
2016-12-09,923
2016-12-10,923
2016-12-11,923
2016-12-12,934
2016-12-13,934
2016-12-14,934
2016-12-15,934
2016-12-16,934
2016-12-17,934
2016-12-18,934
2016-12-19,942
2016-12-20,942
2016-12-21,942
2016-12-22,942
2016-12-23,942
2016-12-24,981
2016-12-25,981
2016-12-26,981
2016-12-27,981
2016-12-28,981
2016-12-29,950
2016-12-30,950
2016-12-31,950
2017-01-01,950
2017-01-02,950
2017-01-03,953
2017-01-04,953
2017-01-05,953
2017-01-06,953
2017-01-07,991
2017-01-08,991
2017-01-09,991
2017-01-10,991
2017-01-11,1037
2017-01-12,1037
2017-01-13,1037
2017-01-14,1037
2017-01-15,1086
2017-01-16,1086
2017-01-17,1086
2017-01-18,1086
2017-01-19,1086
2017-01-20,1068
2017-01-21,1068
2017-01-22,1068
2017-01-23,1068
2017-01-27,1064
2017-01-28,1064
2017-01-29,1064
2017-01-30,1061
2017-01-31,1061
2017-02-01,1061
2017-02-02,1061
2017-02-03,1061
2017-02-04,1068
2017-02-05,1068
2017-02-06,1068
