date_obj,Coconut%20milk price
2016-09-16,1118
2016-09-17,1118
2016-09-18,1118
2016-09-19,1118
2016-09-20,1118
2016-09-21,1118
2016-09-22,1118
2016-09-23,1109
2016-09-24,1109
2016-09-25,1109
2016-09-26,1109
2016-09-27,1109
2016-09-28,1109
2016-09-29,1109
2016-09-30,1109
2016-10-01,1109
2016-10-02,1109
2016-10-03,1109
2016-10-04,1109
2016-10-05,1109
2016-10-06,1109
2016-10-07,1109
2016-10-08,1109
2016-10-09,1109
2016-10-10,1109
2016-10-11,1109
2016-10-12,1109
2016-10-13,1109
2016-10-14,1109
2016-10-15,1109
2016-10-16,1109
2016-10-17,1109
2016-10-18,1109
2016-10-19,1074
2016-10-20,1074
2016-10-21,1074
2016-10-22,1074
2016-10-23,1074
2016-10-24,1074
2016-10-25,1074
2016-10-26,1074
2016-10-27,1074
2016-10-28,1074
2016-10-29,1074
2016-10-30,1074
2016-10-31,1074
2016-11-01,1074
2016-11-02,1074
2016-11-03,1074
2016-11-04,1074
2016-11-05,1074
2016-11-06,1074
2016-11-07,1074
2016-11-08,1074
2016-11-09,1074
2016-11-10,1074
2016-11-11,1074
2016-11-12,1074
2016-11-13,1074
2016-11-14,1074
2016-11-15,1074
2016-12-07,1022
2016-12-08,1022
2016-12-09,1022
2016-12-10,1022
2016-12-11,972
2016-12-12,972
2016-12-13,972
2016-12-14,972
2016-12-15,972
2016-12-16,972
2016-12-17,972
2016-12-18,972
2016-12-19,972
2016-12-20,972
2016-12-21,972
2016-12-22,972
2016-12-23,972
2016-12-24,972
2016-12-25,972
2016-12-26,972
2016-12-27,972
2016-12-28,972
2016-12-29,972
2016-12-30,972
2016-12-31,936
2017-01-01,936
2017-01-02,936
2017-01-03,936
2017-01-04,936
2017-01-05,936
2017-01-06,936
2017-01-07,936
2017-01-08,936
2017-01-09,936
2017-01-10,936
2017-01-11,909
2017-01-12,909
2017-01-13,909
2017-01-14,909
2017-01-15,909
2017-01-16,909
2017-01-17,909
2017-01-18,909
2017-01-19,909
2017-01-20,909
2017-01-21,909
2017-01-22,909
2017-01-23,909
2017-01-27,869
2017-01-28,869
2017-01-29,869
2017-01-30,869
2017-01-31,869
2017-02-01,869
2017-02-02,869
2017-02-03,869
2017-02-04,869
2017-02-05,869
2017-02-06,869
2017-02-07,831
2017-02-08,831
2017-02-09,831
2017-02-10,831
2017-02-11,831
2017-02-12,831
2017-02-13,831
2017-02-14,831
2017-02-15,831
2017-02-16,831
2017-02-18,831
2017-02-19,831
2017-02-20,831
2017-02-21,831
2017-02-22,789
2017-02-23,789
2017-02-24,789
2017-02-25,789
2017-02-26,789
2017-02-27,789
2017-02-28,789
2017-03-01,789
2017-03-02,789
2017-03-03,789
2017-03-04,789
2017-03-05,789
2017-03-06,789
2017-03-07,789
2017-03-08,749
2017-03-09,749
2017-03-10,749
2017-03-11,749
2017-03-12,749
2017-03-13,749
2017-03-14,749
2017-03-15,749
2017-03-16,749
2017-03-17,749
2017-03-18,749
2017-03-19,749
2017-03-20,749
2017-03-21,749
2017-03-22,749
2017-03-23,749
2017-03-24,749
2017-03-25,749
2017-03-26,749
2017-03-27,749
2017-03-28,749
2017-03-29,711
2017-03-30,711
2017-03-31,711
2017-04-01,711
2017-04-02,711
2017-04-03,711
2017-04-04,711
2017-04-12,711
2017-04-13,711
2017-04-14,711
2017-04-15,711
2017-04-16,711
2017-04-17,711
2017-04-18,711
2017-04-19,711
2017-04-20,677
2017-04-21,677
2017-04-22,677
2017-04-23,677
2017-04-24,677
2017-04-25,677
2017-04-26,677
2017-04-27,677
2017-04-28,677
2017-04-29,677
2017-04-30,677
2017-05-01,677
2017-05-02,677
2017-05-03,677
2017-05-04,677
2017-05-05,677
2017-05-06,677
2017-05-07,649
2017-05-08,649
2017-05-09,649
2017-05-10,649
2017-05-11,649
2017-05-12,649
2017-05-13,649
2017-05-14,649
2017-05-15,649
2017-05-16,649
2017-05-17,649
2017-05-18,649
2017-05-19,649
2017-05-20,649
2017-05-21,649
2017-05-22,651
2017-05-23,651
2017-05-24,651
2017-05-25,651
2017-05-26,651
2017-05-27,651
2017-05-28,651
2017-05-29,651
2017-05-30,651
2017-05-31,651
2017-06-01,651
2017-06-02,651
2017-06-03,651
2017-06-04,651
2017-06-05,651
2017-06-06,651
2017-06-07,651
2017-06-08,651
2017-06-09,651
2017-06-10,651
2017-06-11,651
2017-06-12,651
2017-06-13,651
2017-06-14,624
2017-06-15,624
2017-06-16,624
2017-06-17,624
2017-06-18,624
2017-06-19,624
2017-06-20,624
2017-06-21,624
2017-06-22,624
2017-06-23,624
2017-06-24,624
2017-06-25,624
2017-06-26,624
2017-06-27,624
2017-06-28,624
2017-06-29,624
2017-06-30,624
2017-07-01,624
2017-07-02,624
2017-07-03,624
2017-07-04,624
2017-07-05,624
2017-07-06,624
2017-07-07,624
2017-07-08,613
2017-07-13,613
2017-07-14,613
2017-07-15,613
2017-07-16,613
2017-07-17,613
2017-07-18,613
2017-07-19,613
2017-07-20,613
2017-07-21,613
2017-07-22,613
2017-07-23,613
2017-07-24,613
2017-07-25,613
2017-07-26,613
2017-07-27,613
2017-07-28,613
2017-07-29,610
2017-07-30,610
2017-07-31,610
2017-08-01,610
2017-08-02,610
2017-08-03,610
2017-08-04,610
2017-08-05,610
2017-08-06,610
2017-08-09,610
2017-08-10,610
2017-08-11,610
2017-08-12,610
2017-08-13,610
2017-08-14,610
2017-08-15,610
2017-08-16,610
2017-08-17,582
2017-08-18,582
2017-08-19,582
2017-08-20,582
2017-08-21,582
2017-08-22,582
2017-08-23,582
2017-08-24,582
2017-08-25,582
2017-08-26,582
2017-08-27,582
2017-08-28,582
2017-08-29,582
2017-08-30,582
2017-08-31,582
2017-09-01,582
2017-09-03,582
2017-09-04,555
2017-09-05,555
2017-09-06,555
2017-09-07,555
2017-09-08,555
2017-09-09,555
2017-09-10,555
2017-09-11,555
2017-09-12,555
2017-09-13,555
2017-09-14,555
2017-09-15,555
2017-09-16,555
2017-09-17,555
2017-09-18,555
2017-09-19,555
2017-09-20,555
2017-09-21,555
2017-09-22,555
2017-09-23,555
2017-09-24,555
2017-09-25,555
2017-09-26,555
2017-09-27,531
2017-09-28,531
2017-09-29,531
2017-09-30,531
2017-10-01,531
2017-10-02,531
2017-10-03,531
2017-10-04,531
2017-10-05,531
2017-10-06,531
2017-10-07,531
2017-10-08,531
2017-10-09,531
2017-10-10,531
2017-10-11,531
2017-10-12,531
2017-10-13,531
2017-10-14,531
2017-10-15,531
2017-10-16,531
2017-10-17,531
2017-10-18,531
2017-10-19,504
2017-10-20,504
2017-10-21,504
2017-10-22,504
2017-10-23,504
2017-10-24,504
2017-10-25,504
2017-10-26,504
2017-10-27,504
2017-10-28,504
2017-10-29,504
2017-10-30,504
2017-10-31,504
2017-11-01,504
2017-11-02,504
2017-11-03,504
2017-11-04,504
2017-11-05,504
2017-11-06,504
2017-11-07,504
2017-11-08,478
2017-11-09,478
2017-11-10,478
2017-11-11,478
2017-11-12,478
2017-11-13,478
2017-11-14,478
2017-11-15,478
2017-11-16,478
2017-11-17,478
2017-11-18,478
2017-11-19,478
2017-11-20,478
2017-11-21,478
2017-11-22,478
2017-11-23,478
2017-11-24,478
2017-11-25,478
2017-11-26,478
2017-11-27,478
2017-11-28,478
2017-11-29,478
2017-11-30,457
2017-12-01,457
2017-12-02,457
2017-12-03,457
2017-12-04,457
2017-12-05,457
2017-12-06,457
2017-12-07,457
2017-12-08,457
2017-12-09,457
2017-12-10,457
2017-12-11,457
2017-12-12,457
2017-12-13,457
2017-12-14,457
2017-12-15,457
2017-12-16,457
2017-12-17,457
2017-12-18,457
2017-12-19,457
2017-12-20,457
2017-12-21,435
2017-12-22,435
2017-12-23,435
2017-12-24,435
2017-12-25,435
2017-12-26,435
2017-12-27,435
2017-12-28,435
2017-12-29,435
2017-12-30,435
2017-12-31,435
2018-01-01,435
2018-01-02,435
2018-01-03,435
2018-01-04,435
2018-01-05,435
2018-01-06,435
2018-01-07,435
2018-01-08,421
2018-01-09,421
2018-01-10,421
2018-01-11,421
2018-01-12,421
2018-01-13,421
2018-01-14,421
2018-01-15,421
2018-01-16,421
2018-01-17,421
2018-01-18,421
2018-01-19,421
2018-01-20,421
2018-01-21,421
2018-01-22,421
2018-01-23,421
2018-01-24,413
2018-01-25,413
2018-01-26,413
2018-01-27,413
2018-01-28,413
2018-01-29,413
2018-01-30,413
2018-01-31,413
2018-02-01,413
2018-02-02,413
2018-02-03,413
2018-02-04,396
2018-02-05,396
2018-02-06,396
2018-02-07,396
2018-02-08,396
2018-02-09,396
2018-02-10,396
2018-02-11,396
2018-02-12,396
2018-02-13,396
2018-02-14,385
2018-02-15,385
2018-02-16,385
2018-02-17,385
2018-02-18,385
2018-02-19,385
2018-02-20,385
2018-02-21,385
2018-02-22,385
2018-02-23,385
2018-02-24,391
2018-02-25,391
2018-02-26,391
2018-02-27,391
2018-02-28,391
2018-03-01,391
2018-03-02,391
2018-03-03,391
2018-03-04,391
2018-03-05,396
2018-03-06,396
2018-03-07,396
2018-03-08,396
2018-03-09,396
2018-03-10,396
2018-03-11,396
2018-03-12,396
2018-03-13,396
2018-03-14,401
2018-03-15,401
2018-03-16,401
2018-03-17,401
2018-03-18,401
2018-03-20,401
2018-03-21,381
2018-03-23,381
2018-03-24,381
2018-03-25,381
2018-03-26,381
2018-03-27,381
2018-03-28,381
2018-03-29,361
2018-03-30,361
2018-03-31,361
2018-04-02,361
2018-04-03,361
2018-04-04,361
2018-04-05,361
2018-04-06,361
2018-04-07,361
2018-04-08,361
2018-04-09,344
2018-04-10,344
2018-04-11,344
2018-04-12,344
2018-04-13,344
2018-04-14,344
2018-04-15,344
2018-04-16,344
2018-04-17,344
2018-04-18,344
2018-04-19,344
2018-04-20,344
2018-04-21,347
2018-04-22,347
2018-04-23,347
2018-04-24,347
2018-04-25,347
2018-04-26,347
2018-04-27,347
2018-04-28,347
2018-04-29,347
2018-04-30,347
2018-05-01,330
2018-05-03,330
2018-05-04,330
2018-05-05,330
2018-05-07,330
2018-05-08,330
2018-05-09,330
2018-05-10,330
2018-05-11,330
2018-05-12,330
2018-05-13,319
2018-05-14,319
2018-05-15,319
2018-05-16,319
2018-05-17,319
2018-05-18,319
2018-05-19,319
2018-05-20,319
2018-05-21,319
2018-05-22,319
2018-05-23,314
2018-05-24,314
2018-05-25,314
2018-05-26,314
2018-05-27,314
2018-05-28,314
2018-05-29,314
2018-05-30,314
2018-05-31,314
2018-06-01,314
2018-06-02,314
2018-06-03,299
2018-06-04,299
2018-06-05,299
2018-06-06,299
2018-06-07,299
2018-06-08,299
2018-06-09,299
2018-06-10,299
2018-06-11,299
2018-06-12,299
2018-06-13,296
2018-06-14,296
2018-06-15,296
2018-06-16,296
2018-06-17,296
2018-06-18,296
2018-06-19,296
2018-06-20,296
2018-06-21,296
2018-06-22,296
2018-06-23,296
2018-06-24,305
2018-06-25,305
2018-06-26,305
2018-06-27,305
2018-06-28,305
2018-06-29,305
2018-06-30,305
2018-07-01,305
2018-07-02,305
2018-07-03,305
2018-07-04,314
2018-07-05,314
2018-07-06,314
2018-07-07,314
2018-07-08,314
2018-07-09,314
2018-07-10,314
2018-07-11,314
2018-07-12,314
2018-07-13,314
2018-07-14,314
2018-07-15,314
2018-07-16,314
2018-07-17,314
2018-07-18,314
2018-07-19,314
2018-07-20,327
2018-07-21,327
2018-07-22,327
2018-07-23,327
2018-07-24,327
2018-07-25,327
2018-07-26,327
2018-07-27,342
2018-07-28,342
2018-07-29,342
2018-07-30,342
2018-07-31,342
2018-08-01,342
2018-08-02,353
2018-08-03,353
2018-08-04,353
2018-08-05,353
2018-08-06,353
2018-08-07,353
2018-08-08,353
2018-08-09,353
2018-08-10,369
2018-08-11,369
2018-08-12,369
2018-08-14,369
2018-08-16,369
2018-08-17,369
2018-08-18,369
2018-08-19,381
2018-08-20,381
2018-08-21,381
2018-08-22,381
2018-08-23,381
2018-08-24,381
2018-08-25,398
2018-08-26,398
2018-08-27,398
2018-08-28,398
2018-08-29,398
2018-08-30,398
2018-08-31,398
2018-09-01,416
2018-09-02,416
2018-09-03,416
2018-09-04,416
2018-09-05,416
2018-09-06,416
2018-09-07,416
2018-09-08,426
2018-09-09,426
2018-09-10,426
2018-09-11,426
2018-09-12,426
2018-09-13,426
2018-09-14,426
2018-09-15,426
2018-09-16,426
2018-09-17,430
2018-09-18,430
2018-09-19,430
2018-09-20,430
2018-09-21,430
2018-09-22,430
2018-09-23,430
2018-09-24,430
2018-09-25,430
2018-09-26,447
2018-09-27,447
2018-09-28,447
2018-09-29,447
2018-09-30,447
2018-10-01,447
2018-10-02,447
2018-10-03,447
2018-10-04,468
2018-10-05,468
2018-10-06,468
2018-10-07,468
2018-10-08,468
2018-10-09,468
2018-10-10,468
2018-10-11,468
2018-10-12,488
2018-10-13,488
2018-10-14,488
2018-10-15,488
2018-10-16,488
2018-10-17,488
2018-10-18,488
2018-10-19,488
2018-10-20,488
2018-10-21,504
2018-10-22,504
2018-10-23,504
2018-10-24,504
2018-10-25,504
2018-10-26,504
2018-10-27,504
2018-10-28,504
2018-10-29,504
2018-10-30,504
2018-10-31,523
2018-11-01,523
2018-11-03,523
2018-11-04,523
2018-11-05,523
2018-11-06,523
2018-11-07,523
2018-11-08,548
2018-11-09,548
2018-11-10,548
2018-11-11,548
2018-11-12,548
2018-11-13,548
2018-11-14,562
2018-11-15,562
2018-11-16,562
2018-11-17,562
2018-11-18,562
2018-11-19,562
2018-11-20,562
2018-11-21,562
2018-11-22,580
2018-11-23,580
2018-11-24,580
2018-11-25,580
2018-11-26,580
2018-11-27,580
2018-11-28,580
2018-11-29,597
2018-12-01,597
2018-12-02,597
2018-12-03,597
2018-12-04,597
2018-12-05,597
2018-12-07,624
2018-12-09,624
2018-12-10,624
2018-12-11,624
2018-12-12,619
2018-12-13,619
2018-12-14,619
2018-12-15,619
2018-12-16,619
2018-12-17,619
2018-12-18,607
2018-12-19,607
2018-12-20,607
2018-12-21,607
2018-12-22,607
2018-12-23,607
2018-12-24,594
2018-12-25,594
2018-12-26,594
2018-12-27,594
2018-12-28,594
2018-12-29,594
2018-12-30,591
2018-12-31,591
2019-01-01,591
2019-01-02,591
2019-01-03,591
2019-01-04,591
2019-01-05,595
2019-01-06,595
2019-01-08,595
2019-01-10,611
2019-01-11,611
2019-01-12,611
2019-01-13,611
2019-01-14,641
2019-01-15,641
2019-01-16,641
2019-01-17,641
2019-01-18,641
2019-01-19,671
2019-01-20,671
2019-01-21,671
2019-01-22,671
2019-01-23,671
2019-01-24,703
2019-01-25,703
2019-01-26,703
2019-01-27,703
2019-01-28,703
2019-01-29,738
2019-01-30,738
2019-01-31,738
2019-02-01,738
2019-02-02,738
2019-02-03,773
2019-02-04,773
2019-02-05,773
2019-02-06,773
2019-02-07,773
2019-02-08,809
2019-02-09,809
2019-02-10,809
2019-02-11,809
2019-02-12,809
2019-02-13,843
2019-02-14,843
2019-02-15,843
2019-02-16,843
2019-02-17,843
2019-02-18,883
2019-02-19,883
2019-02-20,883
2019-02-21,883
2019-02-22,883
2019-02-23,926
2019-02-24,926
2019-02-25,926
2019-02-26,926
2019-02-27,926
2019-02-28,926
2019-03-01,926
2019-03-02,926
2019-03-03,926
2019-03-04,972
2019-03-05,972
2019-03-06,972
2019-03-07,972
2019-03-08,972
2019-03-09,972
2019-03-10,1020
2019-03-11,1020
2019-03-12,1020
2019-03-13,1020
2019-03-14,1020
2019-03-15,1020
2019-03-16,1067
2019-03-17,1067
2019-03-18,1067
2019-03-19,1067
2019-03-20,1067
2019-03-21,1118
2019-03-22,1118
2019-03-23,1118
2019-03-24,1118
2019-03-25,1118
2019-03-26,1168
2019-03-27,1168
2019-03-28,1168
2019-03-29,1168
2019-03-30,1168
2019-03-31,1168
2019-04-01,1217
2019-04-02,1217
2019-04-03,1217
2019-04-04,1217
2019-04-05,1276
2019-04-06,1276
2019-04-07,1276
2019-04-08,1276
2019-04-09,1276
2019-04-10,1338
2019-04-11,1338
2019-04-12,1338
2019-04-13,1338
2019-04-14,1373
2019-04-15,1373
2019-04-16,1373
2019-04-17,1373
2019-04-18,1373
2019-04-19,1373
2019-04-20,1440
2019-04-21,1440
2019-04-22,1440
2019-04-23,1440
2019-04-24,1440
2019-04-25,1504
2019-04-26,1504
2019-04-27,1504
2019-04-28,1504
2019-04-29,1504
2019-04-30,1504
2019-05-01,1504
2019-05-02,1517
2019-05-03,1517
2019-05-04,1517
2019-05-05,1517
2019-05-06,1517
2019-05-07,1517
2019-05-08,1545
2019-05-09,1545
2019-05-10,1545
2019-05-11,1545
2019-05-12,1545
2019-05-13,1545
2019-05-14,1518
2019-05-15,1518
2019-05-16,1518
2019-05-17,1518
2019-05-18,1518
2019-05-19,1518
