date_obj,Cowhide price
2018-02-11,72
2018-02-12,71
2018-02-13,72
2018-02-14,72
2018-02-15,70
2018-02-16,70
2018-02-17,71
2018-02-18,71
2018-02-19,70
2018-02-20,70
2018-02-21,74
2018-02-22,72
2018-02-23,73
2018-02-24,74
2018-02-25,74
2018-02-26,75
2018-02-27,77
2018-02-28,76
2018-03-01,74
2018-03-02,72
2018-03-03,71
2018-03-04,72
2018-03-05,70
2018-03-06,69
2018-03-07,70
2018-03-08,69
2018-03-09,69
2018-03-10,69
2018-03-11,68
2018-03-12,68
2018-03-13,68
2018-03-14,69
2018-03-15,70
2018-03-16,71
2018-03-17,72
2018-03-18,71
2018-03-19,73
2018-03-20,73
2018-03-21,73
2018-03-23,73
2018-03-24,73
2018-03-25,71
2018-03-26,67
2018-03-27,67
2018-03-28,64
2018-03-29,63
2018-03-30,62
2018-03-31,62
2018-04-02,60
2018-04-03,61
2018-04-04,60
2018-04-05,61
2018-04-06,60
2018-04-07,58
2018-04-08,58
2018-04-09,58
2018-04-10,57
2018-04-11,57
2018-04-12,56
2018-04-13,55
2018-04-14,55
2018-04-15,55
2018-04-16,56
2018-04-17,55
2018-04-18,56
2018-04-19,56
2018-04-20,55
2018-04-21,56
2018-04-22,56
2018-04-23,57
2018-04-24,56
2018-04-25,57
2018-04-26,59
2018-04-27,60
2018-04-28,60
2018-04-29,59
2018-04-30,60
2018-05-01,62
2018-05-03,60
2018-05-04,61
2018-05-05,60
2018-05-07,58
2018-05-08,56
2018-05-09,57
2018-05-10,58
2018-05-11,56
2018-05-12,56
2018-05-13,58
2018-05-14,58
2018-05-15,55
2018-05-16,53
2018-05-17,51
2018-05-18,51
2018-05-19,52
2018-05-20,53
2018-05-21,55
2018-05-22,55
2018-05-23,57
2018-05-24,58
2018-05-25,60
2018-05-26,62
2018-05-27,60
2018-05-28,60
2018-05-29,59
2018-05-30,59
2018-05-31,57
2018-06-01,55
2018-06-02,55
2018-06-03,55
2018-06-04,57
2018-06-05,57
2018-06-06,58
2018-06-07,58
2018-06-08,59
2018-06-09,60
2018-06-10,58
2018-06-11,58
2018-06-12,59
2018-06-13,60
2018-06-14,59
2018-06-15,58
2018-06-16,57
2018-06-17,58
2018-06-18,58
2018-06-19,58
2018-06-20,57
2018-06-21,56
2018-06-22,55
2018-06-23,57
2018-06-24,56
2018-06-25,54
2018-06-26,53
2018-06-27,52
2018-06-28,52
2018-06-29,52
2018-06-30,53
2018-07-01,54
2018-07-02,54
2018-07-03,55
2018-07-04,56
2018-07-05,56
2018-07-06,57
2018-07-07,59
2018-07-08,59
2018-07-09,60
2018-07-10,59
2018-07-11,58
2018-07-12,60
2018-07-13,60
2018-07-14,59
2018-07-15,59
2018-07-16,61
2018-07-17,61
2018-07-18,61
2018-07-19,61
2018-07-20,63
2018-07-21,63
2018-07-22,64
2018-07-23,66
2018-07-24,68
2018-07-25,71
2018-07-26,70
2018-07-27,71
2018-07-28,71
2018-07-29,71
2018-07-30,71
2018-07-31,73
2018-08-01,75
2018-08-02,77
2018-08-03,81
2018-08-04,86
2018-08-05,87
2018-08-06,92
2018-08-07,94
2018-08-08,96
2018-08-09,93
2018-08-10,94
2018-08-11,98
2018-08-12,97
2018-08-14,96
2018-08-16,93
2018-08-17,94
2018-08-18,95
2018-08-19,97
2018-08-20,101
2018-08-21,106
2018-08-22,112
2018-08-23,118
2018-08-24,124
2018-08-25,130
2018-08-26,137
2018-08-27,144
2018-08-28,151
2018-08-29,159
2018-08-30,162
2018-08-31,156
2018-09-01,148
2018-09-02,140
2018-09-03,134
2018-09-04,131
2018-09-05,133
2018-09-06,135
2018-09-07,133
2018-09-08,134
2018-09-09,134
2018-09-10,136
2018-09-11,139
2018-09-12,141
2018-09-13,141
2018-09-14,142
2018-09-15,143
2018-09-16,148
2018-09-17,151
2018-09-18,159
2018-09-19,167
2018-09-20,176
2018-09-21,184
2018-09-22,186
2018-09-23,184
2018-09-24,188
2018-09-25,188
2018-09-26,187
2018-09-27,181
2018-09-28,176
2018-09-29,173
2018-09-30,169
2018-10-01,172
2018-10-02,177
2018-10-03,177
2018-10-04,173
2018-10-05,168
2018-10-06,163
2018-10-07,166
2018-10-08,166
2018-10-09,162
2018-10-10,164
2018-10-11,169
2018-10-12,167
2018-10-13,162
2018-10-14,159
2018-10-15,153
2018-10-16,152
2018-10-17,150
2018-10-18,147
2018-10-19,143
2018-10-20,139
2018-10-21,136
2018-10-22,136
2018-10-23,137
2018-10-24,136
2018-10-25,140
2018-10-26,144
