date_obj,Climbing%20boots%20(g) price
2019-10-01,99678
2019-10-02,98429
2019-10-03,99772
2019-10-04,98967
2019-10-05,96532
2019-10-06,94946
2019-10-07,91986
2019-10-08,87887
2019-10-09,84531
2019-10-10,81186
2019-10-11,77820
2019-10-12,75007
2019-10-13,71413
2019-10-14,68847
2019-10-15,66756
2019-10-16,66371
2019-10-17,66061
2019-10-18,65165
2019-10-19,64240
2019-10-20,63380
2019-10-21,63288
2019-10-22,62413
2019-10-23,62774
2019-10-24,64391
2019-10-25,65908
2019-10-26,67481
2019-10-27,68745
2019-10-28,68936
2019-10-29,69279
2019-10-30,69786
2019-10-31,70590
2019-11-01,71623
2019-11-02,72119
2019-11-03,72924
2019-11-04,71890
2019-11-05,69685
2019-11-06,69245
2019-11-07,69551
2019-11-08,69830
2019-11-09,71536
2019-11-10,72761
2019-11-11,73454
2019-11-12,75598
2019-11-13,77219
2019-11-14,78029
2019-11-15,79888
2019-11-16,80647
2019-11-17,82176
2019-11-18,81339
2019-11-19,81114
2019-11-20,82950
2019-11-21,83653
2019-11-22,86019
2019-11-23,85574
2019-11-24,86244
2019-11-25,87664
2019-11-26,87924
2019-11-27,89046
2019-11-28,89951
2019-11-29,90709
2019-11-30,89993
2019-12-01,90098
2019-12-02,92856
2019-12-03,93965
2019-12-04,94310
2019-12-05,94763
2019-12-06,95144
2019-12-07,94441
2019-12-08,95238
2019-12-09,94420
2019-12-10,94848
2019-12-11,93093
2019-12-12,92236
2019-12-13,91236
2019-12-14,89852
2019-12-15,87397
2019-12-16,86067
2019-12-17,86624
2019-12-18,86548
2019-12-19,87927
2019-12-20,88734
2019-12-21,90526
2019-12-22,91111
2019-12-23,92759
2019-12-24,95494
2019-12-25,97579
2019-12-26,98657
2019-12-27,100412
2019-12-28,100269
2019-12-29,100783
2019-12-30,101936
2019-12-31,103363
2020-01-01,105001
2020-01-02,104135
2020-01-03,103219
2020-01-04,100957
2020-01-05,97283
2020-01-06,92730
2020-01-07,88735
2020-01-08,86209
2020-01-09,82199
2020-01-10,78096
2020-01-11,74798
2020-01-12,72540
2020-01-13,70050
2020-01-14,67863
2020-01-15,66221
2020-01-16,65181
2020-01-17,64976
2020-01-18,64755
2020-01-19,67323
2020-01-20,69830
2020-01-21,72271
2020-01-22,73597
2020-01-23,74995
2020-01-24,76048
2020-01-25,76172
2020-01-26,74642
2020-01-27,73131
2020-01-28,72093
2020-01-29,69397
2020-01-30,66459
2020-01-31,64207
2020-02-01,61721
2020-02-02,59833
2020-02-03,58935
2020-02-04,58012
2020-02-05,58298
2020-02-06,56729
2020-02-07,54941
2020-02-08,52972
2020-02-09,50323
2020-02-10,48454
2020-02-11,46989
2020-02-12,47440
2020-02-13,49445
2020-02-14,50679
2020-02-15,52591
2020-02-16,54020
2020-02-17,54648
2020-02-18,55219
2020-02-19,55643
2020-02-20,55181
2020-02-21,55174
2020-02-22,54627
2020-02-23,54016
2020-02-24,54824
2020-02-25,55756
2020-02-26,56348
2020-02-27,56028
2020-02-28,56750
2020-02-29,57333
2020-03-01,58063
2020-03-02,59433
2020-03-03,59250
2020-03-04,58877
2020-03-05,59842
2020-03-06,60942
2020-03-07,61040
2020-03-08,59619
2020-03-09,59471
2020-03-10,60445
2020-03-11,60853
2020-03-12,61636
2020-03-13,62046
2020-03-14,61075
2020-03-15,59623
2020-03-16,59093
2020-03-17,58034
2020-03-18,57577
2020-03-19,56796
2020-03-20,56838
2020-03-21,57021
2020-03-22,57625
2020-03-23,57635
2020-03-24,57619
2020-03-25,57333
2020-03-26,56515
2020-03-27,55351
2020-03-28,54270
2020-03-29,52606
2020-03-30,51563
2020-03-31,50707
2020-04-01,50208
2020-04-02,50064
2020-04-03,49944
2020-04-04,50372
2020-04-05,50318
2020-04-06,51248
2020-04-07,52703
2020-04-08,53873
2020-04-09,53928
2020-04-10,54670
2020-04-11,54877
2020-04-12,55698
2020-04-13,56073
2020-04-14,55720
2020-04-15,54945
2020-04-16,54345
2020-04-17,54648
2020-04-18,54606
2020-04-19,53280
2020-04-20,52652
2020-04-21,52152
2020-04-22,51867
2020-04-23,52141
2020-04-24,51766
2020-04-25,51386
2020-04-26,51013
2020-04-27,49856
2020-04-28,48897
2020-04-29,47815
2020-04-30,48157
2020-05-01,47890
2020-05-02,47397
2020-05-03,47698
2020-05-04,47934
2020-05-05,48248
2020-05-06,48762
2020-05-07,49376
2020-05-08,49461
2020-05-09,49416
2020-05-10,48442
2020-05-11,48468
2020-05-12,48148
2020-05-13,48284
