date_obj,Amulet%20of%20accuracy price
2015-08-14,4678
2015-08-15,4729
2015-08-16,4746
2015-08-17,4806
2015-08-18,4838
2015-08-19,4816
2015-08-20,4782
2015-08-21,4796
2015-08-22,4803
2015-08-23,4875
2015-08-24,4937
2015-08-25,4937
2015-08-26,4949
2015-08-27,4914
2015-08-28,4896
2015-08-29,4765
2015-08-30,4794
2015-08-31,4676
2015-09-01,4447
2015-09-02,4467
2015-09-03,4480
2015-09-04,4485
2015-09-05,4485
2015-09-06,4474
2015-09-07,4464
2015-09-08,4379
2015-09-09,4346
2015-09-10,4347
2015-09-11,4322
2015-09-12,4289
2015-09-13,4222
2015-09-14,4180
2015-09-15,4105
2015-09-16,4072
2015-09-17,4014
2015-09-18,3929
2015-09-19,3927
2015-09-20,3936
2015-09-21,3917
2015-09-22,3946
2015-09-23,3949
2015-09-24,3949
2015-09-25,3948
2015-09-27,3955
2015-09-28,3955
2015-09-29,3950
2015-09-30,3946
2015-10-05,3897
2015-10-06,3903
2015-10-07,3934
2015-10-08,3971
2015-10-09,3915
2015-10-10,3915
2015-10-11,3895
2015-10-12,3861
2015-10-13,3878
2015-10-14,3871
2015-10-15,3889
2015-10-16,3993
2015-10-17,3993
2015-10-18,4019
2015-10-19,4088
2015-10-20,4061
2015-10-22,4077
2015-10-23,4091
2015-10-24,4107
2015-10-25,4140
2015-10-26,4154
2015-10-27,4154
2015-10-28,4196
2015-10-29,4158
2015-10-30,4139
2015-10-31,4149
2015-11-01,4149
2015-11-02,4189
2015-11-03,4226
2015-11-04,4263
2015-11-05,4273
2015-11-06,4279
2015-11-07,4263
2015-11-08,4251
2015-11-09,4246
2015-11-10,4302
2015-11-11,4352
2015-11-12,4416
2015-11-13,4493
2015-11-14,4565
2015-11-15,4674
2015-11-16,4631
2015-11-17,4692
2015-11-18,4883
2015-11-19,4979
2015-11-20,5038
2015-11-21,5038
2015-11-22,5057
2015-11-23,5057
2015-11-24,5106
2015-11-25,5182
2015-11-26,5182
2015-11-27,5286
2015-11-28,5309
2015-11-29,5379
2015-11-30,5506
2015-12-01,5531
2015-12-02,5489
2015-12-03,5474
2015-12-04,5474
2015-12-05,5515
2015-12-06,5534
2015-12-07,5550
2015-12-08,5615
2015-12-09,5596
2015-12-10,5695
2015-12-11,5624
2015-12-12,5624
2015-12-13,5640
2015-12-14,5640
2015-12-15,5587
2015-12-16,5508
2015-12-17,5550
2015-12-18,5495
2015-12-19,5365
2015-12-20,5225
2015-12-21,5177
2015-12-22,5211
2015-12-23,5229
2015-12-24,5173
2015-12-25,5165
2015-12-26,5049
2015-12-27,5003
2015-12-28,4946
2015-12-29,4909
2015-12-30,4922
2015-12-31,4866
2016-01-01,4884
2016-01-02,4909
2016-01-03,4934
2016-01-04,4921
2016-01-05,5036
2016-01-06,5062
2016-01-07,5077
2016-01-08,5009
2016-01-09,4771
2016-01-10,4637
2016-01-11,4554
2016-01-12,4504
2016-01-13,4455
2016-01-14,4429
2016-01-15,4372
2016-01-16,4297
2016-01-17,4270
2016-01-18,4168
2016-01-19,4056
2016-01-20,3993
2016-01-21,3950
2016-01-22,3933
2016-01-23,3916
2016-01-24,3832
2016-01-25,3804
2016-01-26,3796
2016-01-27,3791
2016-01-28,3791
2016-01-29,3771
2016-01-30,3771
2016-01-31,3773
2016-02-01,3810
2016-02-02,3802
2016-02-03,3849
2016-02-04,3914
2016-02-05,3906
2016-02-06,3960
2016-02-07,3998
2016-02-08,4019
2016-02-09,4015
2016-02-10,3963
2016-02-11,3945
2016-02-12,3948
2016-02-13,3897
2016-02-14,3945
2016-02-15,3905
2016-02-16,3866
2016-02-17,3789
2016-02-18,3801
2016-02-19,3838
2016-02-20,3785
2016-02-21,3737
2016-02-22,3737
2016-02-23,3708
2016-02-24,3692
2016-02-25,3645
2016-02-26,3645
2016-02-27,3653
2016-02-28,3644
2016-02-29,3682
2016-03-01,3688
2016-03-02,3724
2016-03-03,3789
2016-03-04,3812
2016-03-05,3862
2016-03-06,3877
2016-03-07,3859
2016-03-08,3898
2016-03-09,3932
2016-03-10,3928
2016-03-11,3941
2016-03-12,3928
2016-03-13,3956
2016-03-14,3960
2016-03-15,3919
2016-03-16,3926
2016-03-17,3904
2016-03-18,3922
2016-03-19,3958
2016-03-20,4042
2016-03-21,4029
2016-03-22,4037
2016-03-23,4113
2016-03-24,4188
2016-03-25,4206
2016-03-26,4229
2016-03-27,4199
2016-03-28,4257
2016-03-29,4307
2016-03-30,4307
2016-03-31,4369
2016-04-01,4406
2016-04-02,4465
2016-04-03,4520
2016-04-04,4513
2016-04-05,4500
2016-04-06,4427
2016-04-07,4441
2016-04-08,4467
2016-04-09,4381
2016-04-10,4372
2016-04-11,4372
2016-04-12,4353
2016-04-13,4340
2016-04-14,4265
2016-04-15,4245
2016-04-16,4193
2016-04-17,4158
2016-04-18,4143
2016-04-19,4050
2016-04-20,4006
2016-04-21,3946
2016-04-22,3946
2016-04-23,3923
2016-04-24,3875
2016-04-25,3855
2016-04-26,3835
2016-04-27,3795
2016-04-28,3788
2016-04-29,3766
2016-04-30,3794
2016-05-01,3819
2016-05-02,3813
2016-05-03,3864
2016-05-04,3878
2016-05-05,3911
2016-05-06,3911
2016-05-07,3917
2016-05-08,3909
2016-05-09,3942
2016-05-10,3991
2016-05-11,4098
2016-05-12,4172
2016-05-13,4198
2016-05-14,4231
2016-05-15,4252
2016-05-16,4247
2016-05-17,4241
2016-05-18,4211
2016-05-19,4177
2016-05-22,4052
2016-05-23,3938
2016-05-24,3914
2016-05-25,3911
2016-05-26,3957
2016-05-27,3927
2016-05-28,3927
2016-05-29,3894
2016-05-30,3868
2016-05-31,3843
2016-06-01,3790
2016-06-02,3749
2016-06-03,3695
2016-06-04,3660
2016-06-05,3668
2016-06-06,3681
2016-06-07,3593
2016-06-08,3603
2016-06-09,3637
2016-06-10,3567
2016-06-11,3533
2016-06-12,3485
2016-06-13,3406
2016-06-14,3360
2016-06-15,3348
2016-06-16,3292
2016-06-17,3322
2016-06-18,3309
2016-06-19,3320
2016-06-20,3383
2016-06-21,3446
2016-06-22,3457
2016-06-23,3512
2016-06-24,3550
2016-06-25,3538
2016-06-26,3559
2016-06-27,3582
2016-06-28,3609
2016-06-29,3611
2016-06-30,3549
2016-07-01,3536
2016-07-02,3537
2016-07-03,3483
2016-07-04,3416
2016-07-05,3372
2016-07-06,3357
2016-07-07,3382
2016-07-08,3360
2016-07-09,3376
2016-07-10,3232
2016-07-11,3231
2016-07-12,3280
2016-07-13,3298
2016-07-14,3378
2016-07-15,3420
2016-07-16,3449
2016-07-17,3472
2016-07-18,3515
2016-07-23,3634
2016-07-24,3652
2016-07-25,3732
2016-07-26,3726
2016-07-27,3779
2016-07-28,3767
2016-07-29,3841
2016-07-30,3867
2016-07-31,3867
2016-08-01,3914
2016-08-02,3952
2016-08-03,3967
2016-08-04,4010
2016-08-05,4033
2016-08-06,4021
2016-08-07,4005
2016-08-08,4005
2016-08-09,3945
2016-08-10,3951
2016-08-11,3966
2016-08-12,3953
2016-08-13,3900
2016-08-14,3842
2016-08-15,3851
2016-08-16,3862
2016-08-17,3900
2016-08-18,3876
2016-08-19,3886
2016-08-20,3915
2016-08-21,3933
2016-08-22,3952
2016-08-23,3856
2016-08-24,3775
2016-08-25,3702
2016-08-26,3702
2016-08-28,3564
2016-08-31,3479
2016-09-01,3380
2016-09-02,3380
2016-09-03,3286
2016-09-04,3218
2016-09-05,3207
2016-09-06,3223
2016-09-07,3182
2016-09-08,3182
2016-09-09,3177
2016-09-10,3129
2016-09-11,3129
2016-09-12,3105
2016-09-13,3094
2016-09-14,3094
2016-09-15,3036
2016-09-16,3036
2016-09-17,2989
2016-09-18,2920
2016-09-19,2914
2016-09-20,2914
2016-09-21,2935
2016-09-22,2939
2016-09-23,2940
2016-09-24,2940
2016-09-25,2922
2016-09-26,2922
2016-09-27,2936
2016-09-28,2952
2016-09-29,2970
2016-09-30,3012
2016-10-01,2964
2016-10-02,2964
2016-10-03,2951
2016-10-04,2922
2016-10-05,2912
2016-10-06,2970
2016-10-07,2999
2016-10-08,2958
2016-10-09,2924
2016-10-10,2894
2016-10-11,2873
2016-10-12,2775
2016-10-13,2783
2016-10-14,2795
2016-10-15,2793
2016-10-16,2754
2016-10-17,2686
2016-10-18,2619
2016-10-19,2611
2016-10-20,2575
2016-10-21,2526
2016-10-22,2526
2016-10-23,2490
2016-10-24,2466
2016-10-25,2466
2016-10-26,2427
2016-10-27,2402
2016-10-28,2402
2016-10-29,2399
2016-10-30,2417
2016-10-31,2458
2016-11-01,2458
2016-11-02,2507
2016-11-03,2572
2016-11-04,2637
2016-11-05,2637
2016-11-06,2700
2016-11-07,2710
2016-11-08,2729
2016-11-09,2729
2016-11-10,2734
2016-11-11,2764
2016-11-12,2783
2016-11-13,2764
2016-11-14,2729
2016-11-15,2684
2016-12-07,2522
2016-12-08,2557
2016-12-09,2600
2016-12-10,2624
2016-12-11,2612
2016-12-12,2655
2016-12-13,2655
2016-12-14,2623
2016-12-15,2623
2016-12-16,2620
2016-12-17,2616
2016-12-18,2658
2016-12-19,2681
2016-12-20,2696
2016-12-21,2710
2016-12-22,2673
2016-12-23,2664
2016-12-24,2638
2016-12-25,2631
2016-12-26,2628
2016-12-27,2628
2016-12-28,2596
2016-12-29,2518
2016-12-30,2470
2016-12-31,2456
2017-01-01,2410
2017-01-02,2348
2017-01-03,2264
2017-01-04,2199
2017-01-05,2140
2017-01-06,2121
2017-01-07,2121
2017-01-08,2076
2017-01-09,2021
2017-01-10,1988
2017-01-11,1964
2017-01-12,1925
2017-01-13,1908
2017-01-14,1889
2017-01-15,1843
2017-01-16,1793
2017-01-17,1718
2017-01-18,1698
2017-01-19,1700
2017-01-20,1696
2017-01-21,1679
2017-01-22,1657
2017-01-23,1650
2017-01-27,1682
2017-01-28,1698
2017-01-29,1702
2017-01-30,1704
2017-01-31,1707
2017-02-01,1716
2017-02-02,1722
2017-02-03,1716
2017-02-04,1674
2017-02-05,1648
2017-02-06,1652
2017-02-07,1660
2017-02-08,1645
2017-02-09,1645
2017-02-10,1656
2017-02-11,1665
2017-02-12,1675
2017-02-13,1694
2017-02-14,1705
2017-02-15,1718
2017-02-16,1700
2017-02-17,1700
2017-02-18,1671
2017-02-19,1666
2017-02-20,1658
2017-02-21,1651
2017-02-22,1682
2017-02-23,1683
2017-02-24,1689
2017-02-25,1700
2017-02-26,1678
2017-02-27,1677
2017-02-28,1659
2017-03-01,1660
2017-03-02,1693
2017-03-03,1688
2017-03-04,1701
2017-03-05,1688
2017-03-06,1707
2017-03-07,1703
2017-03-08,1693
2017-03-09,1723
2017-03-10,1723
2017-03-11,1730
2017-03-12,1745
2017-03-13,1755
2017-03-14,1784
2017-03-15,1778
2017-03-16,1770
2017-03-17,1761
2017-03-18,1761
2017-03-19,1760
2017-03-20,1758
2017-03-21,1766
2017-03-22,1754
2017-03-23,1725
2017-03-24,1702
2017-03-25,1689
2017-03-26,1678
2017-03-27,1656
2017-03-28,1629
2017-03-29,1623
2017-03-30,1608
2017-03-31,1598
2017-04-01,1601
2017-04-02,1640
2017-04-03,1669
2017-04-04,1671
2017-04-05,1715
2017-04-12,1740
2017-04-13,1728
2017-04-14,1710
2017-04-15,1696
2017-04-16,1693
2017-04-17,1697
2017-04-18,1719
2017-04-19,1737
2017-04-20,1797
2017-04-21,1853
2017-04-22,1899
2017-04-23,1950
2017-04-24,2013
2017-04-25,2072
2017-04-26,2126
2017-04-27,2179
2017-04-28,2196
2017-04-30,2287
2017-05-01,2368
2017-05-02,2405
2017-05-03,2397
2017-05-04,2377
2017-05-05,2385
2017-05-06,2406
2017-05-07,2401
2017-05-08,2316
2017-05-09,2294
2017-05-10,2272
2017-05-11,2258
2017-05-12,2240
2017-05-13,2208
2017-05-14,2197
2017-05-15,2112
2017-05-16,2074
2017-05-17,2073
2017-05-18,2014
2017-05-19,2027
2017-05-20,1964
2017-05-21,1964
2017-05-22,1908
2017-05-23,1866
2017-05-24,1845
2017-05-25,1830
2017-05-26,1783
2017-05-27,1751
2017-05-28,1743
2017-05-29,1671
2017-05-30,1645
2017-05-31,1617
2017-06-01,1605
2017-06-02,1593
2017-06-03,1571
2017-06-04,1548
2017-06-05,1539
2017-06-06,1551
2017-06-07,1569
2017-06-08,1569
2017-06-09,1573
2017-06-10,1517
2017-06-11,1496
2017-06-12,1492
2017-06-13,1485
2017-06-14,1478
2017-06-15,1502
2017-06-16,1501
2017-06-17,1511
2017-06-18,1513
2017-06-19,1513
2017-06-20,1523
2017-06-21,1525
2017-06-22,1514
2017-06-23,1494
2017-06-24,1497
2017-06-25,1487
2017-06-26,1479
2017-06-27,1480
2017-06-28,1507
2017-06-29,1522
2017-06-30,1530
2017-07-01,1530
2017-07-02,1504
2017-07-03,1521
2017-07-04,1541
2017-07-05,1541
2017-07-06,1570
2017-07-07,1570
2017-07-08,1587
2017-07-09,1584
2017-07-13,1603
2017-07-14,1553
2017-07-15,1553
2017-07-16,1562
2017-07-17,1575
2017-07-18,1536
2017-07-19,1533
2017-07-20,1488
2017-07-21,1473
2017-07-22,1451
2017-07-23,1397
2017-07-24,1372
2017-07-25,1361
2017-07-26,1331
2017-07-27,1352
2017-07-28,1381
2017-07-29,1394
2017-07-30,1411
2017-07-31,1411
2017-08-01,1425
2017-08-02,1416
2017-08-03,1434
2017-08-04,1429
2017-08-05,1433
2017-08-06,1441
2017-08-07,1429
2017-08-08,1405
2017-08-09,1404
2017-08-10,1392
2017-08-11,1346
2017-08-12,1323
2017-08-13,1284
2017-08-14,1264
2017-08-15,1279
2017-08-16,1289
2017-08-17,1296
2017-08-18,1332
2017-08-19,1372
2017-08-20,1395
2017-08-21,1429
2017-08-22,1449
2017-08-23,1478
2017-08-24,1512
2017-08-25,1515
2017-08-26,1530
2017-08-27,1538
2017-08-28,1550
2017-08-29,1590
2017-08-30,1623
2017-08-31,1641
2017-09-01,1644
2017-09-02,1650
2017-09-03,1643
2017-09-04,1655
2017-09-05,1701
2017-09-06,1741
2017-09-07,1794
2017-09-08,1833
2017-09-09,1864
2017-09-10,1919
2017-09-11,1946
2017-09-12,1965
2017-09-13,1961
2017-09-14,1986
2017-09-15,1986
2017-09-16,1979
2017-09-17,1964
2017-09-18,1932
2017-09-19,1951
2017-09-20,1960
2017-09-21,1935
2017-09-22,1871
2017-09-23,1874
2017-09-24,1838
2017-09-25,1775
2017-09-26,1772
2017-09-27,1766
2017-09-28,1752
2017-09-29,1739
2017-09-30,1747
2017-10-01,1767
2017-10-02,1784
2017-10-03,1754
2017-10-04,1764
2017-10-05,1759
2017-10-06,1764
2017-10-07,1745
2017-10-08,1745
2017-10-09,1723
2017-10-10,1745
2017-10-11,1745
2017-10-12,1722
2017-10-13,1635
2017-10-14,1571
2017-10-15,1547
2017-10-16,1544
2017-10-17,1544
2017-10-18,1530
2017-10-19,1519
2017-10-20,1482
2017-10-21,1500
2017-10-22,1502
2017-10-23,1526
2017-10-24,1516
2017-10-25,1502
2017-10-26,1495
2017-10-27,1511
2017-10-28,1511
2017-10-29,1492
2017-10-30,1497
2017-10-31,1515
2017-11-01,1515
2017-11-02,1529
2017-11-03,1560
2017-11-04,1574
2017-11-05,1582
2017-11-06,1579
2017-11-07,1584
2017-11-08,1587
2017-11-09,1588
2017-11-10,1572
2017-11-11,1585
2017-11-12,1568
2017-11-13,1542
2017-11-14,1518
2017-11-15,1502
2017-11-16,1475
2017-11-17,1408
2017-11-18,1342
2017-11-19,1317
2017-11-20,1322
2017-11-21,1336
2017-11-22,1327
2017-11-23,1349
2017-11-24,1360
2017-11-25,1364
2017-11-26,1359
2017-11-27,1359
2017-11-28,1385
2017-11-29,1405
2017-11-30,1401
2017-12-01,1414
2017-12-02,1416
2017-12-03,1410
2017-12-04,1395
2017-12-05,1403
2017-12-06,1408
2017-12-07,1425
2017-12-08,1413
2017-12-09,1416
2017-12-10,1432
2017-12-11,1460
2017-12-12,1453
2017-12-13,1470
2017-12-14,1443
2017-12-15,1460
2017-12-16,1478
2017-12-17,1454
2017-12-18,1454
2017-12-19,1431
2017-12-20,1439
2017-12-21,1437
2017-12-22,1408
2017-12-23,1396
2017-12-24,1393
2017-12-25,1395
2017-12-26,1401
2017-12-27,1413
2017-12-28,1398
2017-12-29,1395
2017-12-30,1407
2017-12-31,1423
2018-01-01,1429
2018-01-02,1426
2018-01-03,1405
2018-01-04,1363
2018-01-05,1349
2018-01-06,1329
2018-01-07,1334
2018-01-08,1337
2018-01-09,1337
2018-01-10,1313
2018-01-11,1299
2018-01-12,1275
2018-01-13,1271
2018-01-14,1251
2018-01-15,1239
2018-01-16,1253
2018-01-17,1235
2018-01-18,1231
2018-01-19,1231
2018-01-20,1220
2018-01-21,1204
2018-01-22,1152
2018-01-23,1131
2018-01-24,1109
2018-01-25,1099
2018-01-26,1084
2018-01-27,1071
2018-01-28,1068
2018-01-29,1032
2018-01-30,1037
2018-01-31,1036
2018-02-01,1034
2018-02-02,1005
2018-02-03,1000
2018-02-04,988
2018-02-05,972
2018-02-06,964
2018-02-07,963
2018-02-08,943
2018-02-09,928
2018-02-10,893
2018-02-11,888
2018-02-12,887
2018-02-13,867
2018-02-14,876
2018-02-15,886
2018-02-16,892
2018-02-17,903
2018-02-18,893
2018-02-19,901
2018-02-20,918
2018-02-21,937
2018-02-22,945
2018-02-23,950
2018-02-24,957
2018-02-25,956
2018-02-26,967
2018-02-27,977
2018-02-28,971
2018-03-01,938
2018-03-02,937
2018-03-03,936
2018-03-04,936
2018-03-05,956
2018-03-06,972
2018-03-07,1009
2018-03-08,1016
2018-03-09,1037
2018-03-10,1068
2018-03-11,1087
2018-03-12,1107
2018-03-13,1097
2018-03-14,1113
2018-03-15,1111
2018-03-16,1105
2018-03-17,1116
2018-03-18,1112
2018-03-19,1109
2018-03-20,1113
2018-03-22,1064
2018-03-23,1089
2018-03-24,1102
2018-03-25,1095
2018-03-26,1071
2018-03-27,1066
2018-03-28,1063
2018-03-29,1031
2018-03-30,1049
2018-03-31,1070
2018-04-01,1052
2018-04-02,1032
2018-04-03,1032
2018-04-04,1020
2018-04-05,1023
2018-04-06,1038
2018-04-07,1044
2018-04-08,1026
2018-04-09,1040
2018-04-10,1044
2018-04-11,1034
2018-04-12,1045
2018-04-13,1029
2018-04-14,1014
2018-04-15,1004
2018-04-16,994
2018-04-17,992
2018-04-18,1003
2018-04-19,991
2018-04-20,983
2018-04-21,970
2018-04-22,952
2018-04-23,933
2018-04-24,925
2018-04-25,918
2018-04-26,902
2018-04-27,895
2018-04-28,868
2018-04-29,882
2018-04-30,889
2018-05-01,882
2018-05-02,876
2018-05-03,861
2018-05-04,850
2018-05-05,863
2018-05-06,859
2018-05-07,872
2018-05-08,880
2018-05-09,886
2018-05-10,899
2018-05-11,913
2018-05-12,913
2018-05-13,926
2018-05-14,934
2018-05-15,958
2018-05-16,954
2018-05-17,954
2018-05-18,959
2018-05-19,961
2018-05-20,971
2018-05-21,969
2018-05-22,975
2018-05-23,974
2018-05-24,977
2018-05-25,990
2018-05-26,997
2018-05-27,997
2018-05-28,993
2018-05-29,959
2018-05-30,925
2018-05-31,930
2018-06-01,920
2018-06-02,929
2018-06-03,907
2018-06-04,902
2018-06-05,897
2018-06-06,891
2018-06-07,890
2018-06-08,894
2018-06-09,882
2018-06-10,869
2018-06-11,849
2018-06-12,854
2018-06-13,866
2018-06-14,857
2018-06-15,857
2018-06-16,869
2018-06-17,888
2018-06-18,900
2018-06-19,906
2018-06-20,911
2018-06-21,909
2018-06-22,897
2018-06-23,904
2018-06-24,909
2018-06-25,906
2018-06-26,902
2018-06-27,910
2018-06-28,921
2018-06-29,933
2018-06-30,921
2018-07-01,924
2018-07-02,910
2018-07-03,911
2018-07-04,904
2018-07-05,900
2018-07-06,904
2018-07-07,909
2018-07-08,933
2018-07-09,948
2018-07-10,954
2018-07-11,952
2018-07-12,950
2018-07-13,949
2018-07-14,926
2018-07-15,898
2018-07-16,902
2018-07-17,904
2018-07-18,923
2018-07-19,926
2018-07-20,939
2018-07-21,944
2018-07-22,938
2018-07-23,947
2018-07-24,954
2018-07-25,966
2018-07-26,971
2018-07-27,971
2018-07-28,970
2018-07-29,960
2018-07-30,970
2018-07-31,957
2018-08-01,942
2018-08-02,935
2018-08-03,940
2018-08-04,942
2018-08-05,958
2018-08-06,963
2018-08-07,963
2018-08-08,984
2018-08-09,982
2018-08-10,996
2018-08-11,1003
2018-08-12,1017
2018-08-14,1022
2018-08-16,1023
2018-08-17,1031
2018-08-18,1032
2018-08-19,1043
2018-08-20,1060
2018-08-21,1034
2018-08-22,1046
2018-08-23,1054
2018-08-24,1046
2018-08-25,1051
2018-08-26,1054
2018-08-27,1047
2018-08-28,1042
2018-08-29,1061
2018-08-30,1076
2018-08-31,1068
2018-09-01,1065
2018-09-02,1061
2018-09-03,1058
2018-09-04,1076
2018-09-05,1084
2018-09-06,1087
2018-09-07,1101
2018-09-08,1112
2018-09-09,1112
2018-09-10,1108
2018-09-11,1104
2018-09-12,1122
2018-09-13,1147
2018-09-14,1159
2018-09-15,1161
2018-09-16,1154
2018-09-17,1146
2018-09-18,1146
2018-09-19,1125
2018-09-20,1146
2018-09-21,1155
2018-09-22,1152
2018-09-23,1113
2018-09-24,1117
2018-09-25,1120
2018-09-26,1115
2018-09-27,1123
2018-09-28,1113
2018-09-29,1113
2018-09-30,1112
2018-10-01,1104
2018-10-02,1094
2018-10-03,1103
2018-10-04,1105
2018-10-05,1093
2018-10-06,1094
2018-10-07,1102
2018-10-08,1098
2018-10-09,1092
2018-10-10,1085
2018-10-11,1083
2018-10-12,1080
2018-10-13,1077
2018-10-14,1069
2018-10-15,1062
2018-10-16,1050
2018-10-17,1037
2018-10-18,1033
2018-10-19,1039
2018-10-20,1050
2018-10-21,1051
2018-10-22,1061
2018-10-23,1070
2018-10-24,1076
2018-10-25,1086
2018-10-26,1091
2018-10-27,1106
2018-10-28,1109
2018-10-29,1092
2018-10-30,1115
2018-10-31,1163
2018-11-01,1217
2018-11-03,1328
2018-11-04,1390
2018-11-05,1458
2018-11-06,1531
2018-11-07,1603
2018-11-08,1681
2018-11-09,1754
2018-11-10,1808
2018-11-11,1862
2018-11-12,1914
2018-11-13,1953
2018-11-14,1991
2018-11-15,2018
2018-11-16,2048
2018-11-17,2127
2018-11-18,2202
2018-11-19,2212
2018-11-20,2235
2018-11-21,2262
2018-11-22,2318
2018-11-23,2356
2018-11-24,2413
2018-11-25,2509
2018-11-26,2569
2018-11-27,2626
2018-11-28,2663
2018-11-29,2693
2018-12-01,2723
2018-12-02,2704
2018-12-03,2629
2018-12-04,2565
2018-12-05,2492
2018-12-07,2358
2018-12-09,2158
2018-12-10,2100
2018-12-11,2043
2018-12-12,1976
2018-12-13,1911
2018-12-14,1874
2018-12-15,1833
2018-12-16,1773
2018-12-17,1734
2018-12-18,1699
2018-12-19,1636
2018-12-20,1610
2018-12-21,1573
2018-12-22,1554
2018-12-23,1544
2018-12-24,1544
2018-12-25,1557
2018-12-26,1537
2018-12-27,1550
2018-12-28,1549
2018-12-29,1574
2018-12-30,1577
2018-12-31,1619
2019-01-01,1637
2019-01-02,1635
2019-01-03,1633
2019-01-04,1609
2019-01-05,1573
2019-01-06,1548
2019-01-08,1488
2019-01-10,1411
2019-01-11,1376
2019-01-12,1367
2019-01-13,1334
2019-01-14,1301
2019-01-15,1271
2019-01-16,1253
2019-01-17,1238
2019-01-18,1212
2019-01-19,1191
2019-01-20,1173
2019-01-21,1147
2019-01-22,1154
2019-01-23,1154
2019-01-24,1141
2019-01-25,1150
2019-01-26,1145
2019-01-27,1143
2019-01-28,1147
2019-01-29,1147
2019-01-30,1127
2019-01-31,1106
2019-02-01,1091
2019-02-02,1078
2019-02-03,1071
2019-02-04,1072
2019-02-05,1064
2019-02-06,1063
2019-02-07,1051
2019-02-08,1049
2019-02-09,1034
2019-02-10,1022
2019-02-11,1030
2019-02-12,1030
2019-02-13,1032
2019-02-14,1041
2019-02-15,1045
2019-02-16,1057
2019-02-17,1062
2019-02-18,1061
2019-02-19,1046
2019-02-20,1051
2019-02-21,1060
2019-02-22,1066
2019-02-23,1047
2019-02-24,1038
2019-02-25,1042
2019-02-26,1040
2019-02-27,1045
2019-02-28,1028
2019-03-01,1026
2019-03-02,1025
2019-03-03,1033
2019-03-04,1033
2019-03-05,1023
2019-03-06,1004
2019-03-07,1025
2019-03-08,1044
2019-03-09,1037
2019-03-10,1034
2019-03-11,1056
2019-03-12,1067
2019-03-13,1073
2019-03-14,1063
2019-03-15,1048
2019-03-16,1035
2019-03-17,1026
2019-03-18,1018
2019-03-19,1021
2019-03-20,1026
2019-03-21,1030
2019-03-22,1041
2019-03-23,1037
2019-03-24,1024
2019-03-25,1029
2019-03-26,1050
2019-03-27,1038
2019-03-28,1039
2019-03-29,1036
2019-03-30,1041
2019-03-31,1045
2019-04-01,1044
