date_obj,Bones%20to%20peaches%20(tablet) price
2016-10-05,1014
2016-10-06,1001
2016-10-07,1001
2016-10-08,992
2016-10-09,992
2016-10-10,983
2016-10-11,983
2016-10-12,1010
2016-10-13,1010
2016-10-14,1022
2016-10-15,1022
2016-10-16,1021
2016-10-17,1021
2016-10-18,1049
2016-10-19,1049
2016-10-20,1073
2016-10-21,1085
2016-10-22,1085
2016-10-23,1118
2016-10-24,1118
2016-10-25,1134
2016-10-26,1122
2016-10-27,1122
2016-10-28,1091
2016-10-29,1126
2016-10-30,1126
2016-10-31,1173
2016-11-01,1173
2016-11-02,1210
2016-11-03,1210
2016-11-04,1208
2016-11-05,1208
2016-11-06,1193
2016-11-07,1193
2016-11-08,1161
2016-11-09,1161
2016-11-10,1102
2016-11-11,1102
2016-11-12,1047
2016-11-13,1047
2016-11-14,1029
2016-11-15,1029
2016-12-07,1031
2016-12-08,1012
2016-12-09,1012
2016-12-10,1011
2016-12-11,1011
2016-12-12,1011
2016-12-13,1011
2016-12-14,1031
2016-12-15,1031
2016-12-16,1044
2016-12-17,1025
2016-12-18,1025
2016-12-19,1031
2016-12-20,1031
2016-12-21,1031
2016-12-22,1031
2016-12-23,1033
2016-12-24,1033
2016-12-25,1043
2016-12-26,1043
2016-12-27,1038
2016-12-28,1038
2016-12-29,1039
2016-12-30,1039
2016-12-31,1035
2017-01-01,1035
2017-01-02,1082
2017-01-03,1082
2017-01-04,1136
2017-01-05,1136
2017-01-06,1170
2017-01-07,1162
2017-01-08,1114
2017-01-09,1073
2017-01-10,1073
2017-01-11,1024
2017-01-12,1000
2017-01-13,1000
2017-01-14,1005
2017-01-15,1022
2017-01-16,1022
2017-01-17,1021
2017-01-18,1021
2017-01-19,1003
2017-01-20,1003
2017-01-21,1035
2017-01-22,1035
2017-01-23,1041
2017-01-27,1024
2017-01-28,1052
2017-01-29,1083
2017-01-30,1083
2017-01-31,1096
2017-02-01,1069
2017-02-02,1069
2017-02-03,1026
2017-02-04,997
2017-02-05,997
2017-02-06,1007
2017-02-07,1007
2017-02-08,986
2017-02-09,986
2017-02-10,1010
2017-02-11,1052
2017-02-12,1052
2017-02-13,1086
2017-02-14,1141
2017-02-15,1141
2017-02-16,1192
2017-02-18,1197
2017-02-19,1194
2017-02-20,1194
2017-02-21,1145
2017-02-22,1145
2017-02-23,1087
2017-02-24,1087
2017-02-25,1035
2017-02-26,1035
2017-02-27,1009
2017-02-28,1043
2017-03-01,1043
2017-03-02,1058
2017-03-03,1058
2017-03-04,1083
2017-03-05,1083
2017-03-06,1117
2017-03-07,1117
2017-03-08,1085
2017-03-09,1085
2017-03-10,1081
2017-03-11,1077
2017-03-12,1077
2017-03-13,1061
2017-03-14,1040
2017-03-15,1040
2017-03-16,1044
2017-03-17,1044
2017-03-18,1037
2017-03-19,1016
2017-03-20,1016
2017-03-21,1014
2017-03-22,1014
2017-03-23,1018
2017-03-24,1018
2017-03-25,1004
2017-03-26,1004
2017-03-27,989
2017-03-28,989
2017-03-29,1012
2017-03-30,1012
2017-03-31,1048
2017-04-01,1048
2017-04-02,1055
2017-04-03,1054
2017-04-04,1054
2017-04-12,1002
2017-04-13,991
2017-04-14,991
2017-04-15,1002
2017-04-16,1004
2017-04-17,1004
2017-04-18,1021
2017-04-19,1021
2017-04-20,1014
2017-04-21,1014
