date_obj,Tooth%20half%20of%20key price
2015-10-07,26504
2015-10-08,26737
2015-10-09,26642
2015-10-10,26707
2015-10-11,25636
2015-10-12,25482
2015-10-13,25088
2015-10-14,24324
2015-10-15,23363
2015-10-16,22489
2015-10-17,21521
2015-10-18,22069
2015-10-19,22993
2015-10-20,24141
2015-10-22,25369
2015-10-23,25754
2015-10-24,25249
2015-10-25,25681
2015-10-26,25942
2015-10-27,25715
2015-10-29,25844
2015-10-30,25705
2015-10-31,26018
2015-11-01,25971
2015-11-02,25802
2015-11-03,25437
2015-11-04,25508
2015-11-05,25977
2015-11-06,26122
2015-11-07,26370
2015-11-08,26563
2015-11-09,26291
2015-11-10,25489
2015-11-11,24584
2015-11-12,24685
2015-11-13,25194
2015-11-14,24905
2015-11-15,25251
2015-11-16,25806
2015-11-17,26008
2015-11-18,26319
2015-11-19,26985
2015-11-20,27402
2015-11-21,27402
2015-11-22,27196
2015-11-23,27196
2015-11-24,27726
2015-11-25,27584
2015-11-26,27868
2015-11-27,27786
2015-11-28,27604
2015-11-29,27350
2015-11-30,27566
2015-12-01,27687
2015-12-02,27817
2015-12-03,27572
2015-12-04,27776
2015-12-05,28007
2015-12-06,28361
2015-12-07,28690
2015-12-08,28899
2015-12-09,28735
2015-12-10,28941
2015-12-11,28930
2015-12-13,28784
2015-12-14,28880
2015-12-15,28700
2015-12-16,27275
2015-12-17,25911
2015-12-18,24615
2015-12-19,23412
2015-12-20,22601
2015-12-21,23672
2015-12-22,22817
2015-12-23,23187
2015-12-24,23566
2015-12-25,22673
2015-12-26,21539
2015-12-27,20462
2015-12-28,19502
2015-12-29,19819
2015-12-30,20187
2015-12-31,19761
2016-01-01,18792
2016-01-02,18846
2016-01-03,18896
2016-01-04,18875
2016-01-05,19318
2016-01-06,19483
2016-01-07,18570
2016-01-08,18355
2016-01-09,18607
2016-01-10,17864
2016-01-11,17137
2016-01-12,17630
2016-01-13,18364
2016-01-14,18222
2016-01-15,17960
2016-01-16,18382
2016-01-17,18491
2016-01-18,18118
2016-01-19,18220
2016-01-20,18282
2016-01-21,18356
2016-01-22,17938
2016-01-23,17981
2016-01-24,18232
2016-01-25,18011
2016-01-26,18191
2016-01-27,18494
2016-01-28,19085
2016-01-29,18431
2016-01-30,17887
2016-01-31,18136
2016-02-01,18935
2016-02-02,19750
2016-02-03,20732
2016-02-04,21759
2016-02-05,22223
2016-02-06,22052
2016-02-07,23075
2016-02-08,24112
2016-02-09,25144
2016-02-10,25768
2016-02-11,25960
2016-02-12,25200
2016-02-13,24987
2016-02-14,24463
2016-02-15,25052
2016-02-16,26223
2016-02-17,27283
2016-02-18,27994
2016-02-19,27417
2016-02-20,26606
2016-02-21,26331
2016-02-22,25323
2016-02-23,25185
2016-02-24,25619
2016-02-25,26608
2016-02-26,27414
2016-02-27,27689
2016-02-28,27753
2016-02-29,27431
2016-03-01,27546
2016-03-02,27755
2016-03-03,27688
2016-03-04,27840
2016-03-05,28065
2016-03-06,28128
2016-03-07,27963
2016-03-08,28624
2016-03-09,29139
2016-03-10,29710
2016-03-11,29874
2016-03-12,28966
2016-03-13,29582
2016-03-14,29820
2016-03-15,29545
2016-03-16,28915
2016-03-17,29455
2016-03-18,29649
2016-03-19,29410
2016-03-20,30662
2016-03-21,30685
2016-03-22,31091
2016-03-23,31777
2016-03-24,31711
2016-03-25,32099
2016-03-26,31566
2016-03-27,30489
2016-03-28,30271
2016-03-29,30842
2016-03-30,31209
2016-03-31,30768
2016-04-01,30784
2016-04-02,30893
2016-04-03,31167
2016-04-04,30967
2016-04-05,31743
2016-04-06,31517
2016-04-07,31092
2016-04-08,30885
2016-04-09,30898
2016-04-10,31531
2016-04-11,31743
2016-04-12,31178
2016-04-13,31119
2016-04-14,31638
2016-04-15,32407
2016-04-16,32212
2016-04-17,31355
2016-04-18,30882
2016-04-19,30474
2016-04-20,30815
2016-04-21,31157
2016-04-22,31666
2016-04-23,30630
2016-04-24,31194
2016-04-25,31535
2016-04-26,31737
2016-04-27,32045
2016-04-28,32285
2016-04-29,31868
2016-04-30,32041
2016-05-01,31127
2016-05-02,31607
2016-05-03,32078
2016-05-04,32127
2016-05-05,31423
2016-05-06,30780
2016-05-07,30291
2016-05-08,30043
2016-05-09,28971
2016-05-10,28603
2016-05-11,28180
2016-05-12,28777
2016-05-13,28004
2016-05-14,27775
2016-05-15,27597
2016-05-16,27672
2016-05-17,27320
2016-05-18,27659
2016-05-19,27058
2016-05-22,28105
2016-05-23,28431
2016-05-24,28652
2016-05-25,28372
2016-05-26,28237
2016-05-27,28098
2016-05-28,28462
2016-05-29,28347
2016-05-30,28638
2016-05-31,28209
2016-06-01,27713
2016-06-02,27507
2016-06-03,27764
2016-06-04,27210
2016-06-05,26932
2016-06-06,27355
2016-06-07,27457
2016-06-08,27376
2016-06-09,27696
2016-06-10,27826
2016-06-11,27360
2016-06-12,27565
2016-06-13,28165
2016-06-14,28362
2016-06-15,28356
2016-06-16,27885
2016-06-17,28036
2016-06-18,28849
2016-06-19,28701
2016-06-20,28448
2016-06-21,28875
2016-06-22,29210
2016-06-23,29868
2016-06-24,30802
2016-06-25,30750
2016-06-26,30649
2016-06-27,30296
2016-06-28,30445
2016-06-29,30729
2016-06-30,29952
2016-07-01,29672
2016-07-02,29068
2016-07-03,29283
2016-07-04,29627
2016-07-05,30297
2016-07-06,29864
2016-07-07,29684
2016-07-08,29201
2016-07-09,29301
2016-07-10,28937
2016-07-11,29046
2016-07-12,29473
2016-07-13,29974
2016-07-14,29589
2016-07-15,29119
2016-07-16,29363
2016-07-17,29507
2016-07-18,29577
2016-07-24,30493
2016-07-25,31276
2016-07-26,31372
2016-07-27,31264
2016-07-28,31391
2016-07-29,31025
2016-07-30,30838
2016-07-31,30697
2016-08-01,30315
2016-08-02,29737
2016-08-03,29808
2016-08-04,30479
2016-08-05,30751
2016-08-06,30266
2016-08-07,29959
2016-08-08,29401
2016-08-09,29117
2016-08-10,29247
2016-08-11,28923
2016-08-12,29353
2016-08-13,29294
2016-08-14,29303
2016-08-15,29501
2016-08-16,29380
2016-08-17,28663
2016-08-18,28594
2016-08-19,28028
2016-08-20,28849
2016-08-21,29108
2016-08-22,28894
2016-08-23,29188
2016-08-24,28945
2016-08-25,28950
2016-08-26,28341
2016-08-28,27869
2016-08-31,26891
2016-09-01,26320
2016-09-02,26847
2016-09-03,26657
2016-09-04,26274
2016-09-05,27520
2016-09-06,26941
2016-09-07,26718
2016-09-08,26491
2016-09-09,26576
2016-09-10,26264
2016-09-11,26335
2016-09-12,26556
2016-09-13,27173
2016-09-14,27401
2016-09-15,27557
2016-09-16,27479
2016-09-17,27629
2016-09-18,27339
2016-09-19,26929
2016-09-20,26673
2016-09-21,25846
2016-09-22,25543
2016-09-23,25118
2016-09-24,24264
2016-09-25,24118
2016-09-26,25139
2016-09-27,25632
2016-09-28,26033
2016-09-29,25756
2016-09-30,24926
2016-10-01,24107
2016-10-02,23515
2016-10-03,22834
2016-10-04,23011
2016-10-05,23094
2016-10-06,22435
2016-10-07,22550
2016-10-08,23071
2016-10-09,23520
2016-10-10,23481
2016-10-11,23099
2016-10-12,23006
2016-10-13,23670
2016-10-14,23910
2016-10-15,23455
2016-10-16,24493
2016-10-17,24043
2016-10-18,23591
2016-10-19,23233
2016-10-20,23426
2016-10-21,24052
2016-10-22,22999
2016-10-23,23163
2016-10-24,23525
2016-10-25,24019
2016-10-26,23926
2016-10-27,24122
2016-10-28,24012
2016-10-29,23838
2016-10-30,23990
2016-10-31,23298
2016-11-01,23436
2016-11-02,23136
2016-11-03,23213
2016-11-04,23722
2016-11-05,23634
2016-11-06,23343
2016-11-07,23931
2016-11-08,23806
2016-11-09,23107
2016-11-10,23068
2016-11-11,22481
2016-11-12,22449
2016-11-13,22233
2016-11-14,22562
2016-12-08,21496
2016-12-09,21219
2016-12-10,21205
2016-12-11,20953
2016-12-12,20809
2016-12-13,20891
2016-12-14,21103
2016-12-15,21341
2016-12-16,21550
2016-12-17,21469
2016-12-18,21670
2016-12-19,21503
2016-12-20,21509
2016-12-21,21114
2016-12-22,20830
2016-12-23,20921
2016-12-24,21055
2016-12-25,20523
2016-12-26,20182
2016-12-27,20507
2016-12-28,20632
2016-12-29,21024
2016-12-30,20980
2016-12-31,20650
2017-01-01,20833
2017-01-02,21099
2017-01-03,21147
2017-01-04,20611
2017-01-05,20630
2017-01-06,20801
2017-01-07,20601
2017-01-08,20287
2017-01-09,19603
2017-01-10,18894
2017-01-11,18772
2017-01-12,19198
2017-01-13,19058
2017-01-14,19361
2017-01-15,19602
2017-01-16,19083
2017-01-17,19332
2017-01-18,19156
2017-01-19,18838
2017-01-20,18895
2017-01-21,18665
2017-01-22,18923
2017-01-27,17227
2017-01-28,16815
2017-01-29,16809
2017-01-30,16927
2017-01-31,17100
2017-02-01,17285
2017-02-02,17363
2017-02-03,17674
2017-02-04,17818
2017-02-05,17422
2017-02-06,17562
2017-02-07,17909
2017-02-08,17582
2017-02-09,16972
2017-02-10,17295
2017-02-11,17508
2017-02-12,17707
2017-02-13,17484
2017-02-14,18238
2017-02-15,18890
2017-02-16,19368
2017-02-18,18589
2017-02-19,17979
2017-02-20,17501
2017-02-21,17453
2017-02-22,17896
2017-02-23,17558
2017-02-24,16764
2017-02-25,16488
2017-02-26,16727
2017-02-27,16992
2017-02-28,17470
2017-03-01,17821
2017-03-02,17833
2017-03-03,17986
2017-03-04,17668
2017-03-05,17692
2017-03-06,17330
2017-03-07,16875
2017-03-08,16712
2017-03-09,17124
2017-03-10,17392
2017-03-11,17533
2017-03-12,17511
2017-03-13,17124
2017-03-14,17131
2017-03-15,17058
2017-03-16,17159
2017-03-17,17458
2017-03-18,17415
2017-03-19,17121
2017-03-20,17231
2017-03-21,17489
2017-03-22,17443
2017-03-23,17016
2017-03-24,16871
2017-03-25,16730
2017-03-26,16998
2017-03-27,16650
2017-03-28,15982
2017-03-29,16180
2017-03-30,16687
2017-03-31,16717
2017-04-01,16285
2017-04-02,16617
2017-04-03,16550
2017-04-04,16422
2017-04-12,16092
2017-04-13,16107
2017-04-14,16330
2017-04-15,16427
2017-04-16,16297
2017-04-17,16446
2017-04-18,16506
2017-04-19,16591
2017-04-20,15995
2017-04-21,15961
2017-04-22,15905
2017-04-23,15768
2017-04-24,15868
2017-04-25,15807
2017-04-26,15958
2017-04-27,15726
2017-04-28,15730
2017-04-29,15847
2017-04-30,15820
2017-05-01,15877
2017-05-02,15548
2017-05-03,15794
2017-05-04,15769
2017-05-05,15713
2017-05-06,15753
2017-05-07,15804
2017-05-08,15728
2017-05-09,16107
2017-05-10,16256
2017-05-11,16189
2017-05-12,16522
2017-05-13,16503
2017-05-14,16772
2017-05-15,16515
2017-05-16,17082
2017-05-17,17530
2017-05-18,17873
2017-05-19,17709
2017-05-20,17737
2017-05-21,17464
2017-05-22,17174
2017-05-23,17508
2017-05-24,17876
2017-05-25,17669
2017-05-26,17539
2017-05-27,17365
2017-05-28,17412
2017-05-29,17613
2017-05-30,17439
2017-05-31,17501
2017-06-01,17459
2017-06-02,17177
2017-06-03,17159
2017-06-06,17593
2017-06-07,17423
2017-06-08,17034
2017-06-09,16396
2017-06-10,15794
2017-06-11,16524
2017-06-12,16981
2017-06-13,17211
2017-06-14,16918
2017-06-15,17192
2017-06-16,17396
2017-06-17,17464
2017-06-18,17457
2017-06-19,17309
2017-06-20,17079
2017-06-21,16976
2017-06-22,17102
2017-06-23,16978
2017-06-24,16554
2017-06-25,16653
2017-06-26,17210
2017-06-27,17769
2017-06-28,17333
2017-06-29,17084
2017-06-30,17110
2017-07-01,16593
2017-07-02,16461
2017-07-03,16574
2017-07-04,16946
2017-07-05,17608
2017-07-06,17811
2017-07-07,18668
2017-07-08,18850
2017-07-13,18091
2017-07-14,18185
2017-07-15,17591
2017-07-16,17563
2017-07-17,17837
2017-07-18,17951
2017-07-19,17820
2017-07-20,17873
2017-07-21,18101
2017-07-22,18256
2017-07-23,17766
2017-07-24,17311
2017-07-25,16961
2017-07-26,17260
2017-07-27,17822
2017-07-28,18221
2017-07-29,17945
2017-07-30,17689
2017-07-31,17472
2017-08-01,17904
2017-08-02,18554
2017-08-03,19002
2017-08-04,19185
2017-08-05,19026
2017-08-06,18980
2017-08-09,18875
2017-08-10,18942
2017-08-11,18668
2017-08-12,18733
2017-08-13,18760
2017-08-14,18704
2017-08-15,18493
2017-08-16,19101
2017-08-17,19253
2017-08-18,19258
2017-08-19,19403
2017-08-20,19121
2017-08-21,18887
2017-08-22,19117
2017-08-23,19162
2017-08-24,19181
2017-08-25,19104
2017-08-26,18863
2017-08-27,19026
2017-08-28,19209
2017-08-29,19287
2017-08-30,19259
2017-08-31,19331
2017-09-01,19204
2017-09-02,18505
2017-09-03,18186
2017-09-04,18563
2017-09-05,19095
2017-09-06,19206
2017-09-07,19017
2017-09-08,18357
2017-09-09,18451
2017-09-10,18681
2017-09-11,18820
2017-09-12,18964
2017-09-13,18696
2017-09-14,18956
2017-09-15,19002
2017-09-16,18937
2017-09-17,19098
2017-09-19,19183
2017-09-20,19242
2017-09-21,19212
2017-09-22,19293
2017-09-23,19258
2017-09-24,19420
2017-09-25,19609
2017-09-26,19453
2017-09-27,19644
2017-09-28,19457
2017-09-29,19750
2017-09-30,19886
2017-10-01,19661
2017-10-02,20218
2017-10-03,19860
2017-10-04,19940
2017-10-05,19926
2017-10-06,19994
2017-10-07,19479
2017-10-08,19678
2017-10-09,19404
2017-10-10,20051
2017-10-11,21036
2017-10-12,20940
2017-10-13,21134
2017-10-14,20779
2017-10-15,20321
2017-10-16,21091
2017-10-17,21171
2017-10-18,21022
2017-10-19,20695
2017-10-20,20773
2017-10-21,20737
2017-10-22,20466
2017-10-23,20607
2017-10-24,20644
2017-10-25,20290
2017-10-26,20332
2017-10-27,20312
2017-10-28,19735
2017-10-29,19239
2017-10-30,18910
2017-10-31,19318
2017-11-01,19417
2017-11-02,19551
2017-11-03,19742
2017-11-04,19699
2017-11-05,19623
2017-11-06,19222
2017-11-07,19033
2017-11-08,19170
2017-11-09,19245
2017-11-10,19097
2017-11-11,18800
2017-11-12,18598
2017-11-13,19093
2017-11-14,19496
2017-11-15,20328
2017-11-16,19861
2017-11-17,19897
2017-11-18,19957
2017-11-19,20353
2017-11-20,20483
2017-11-21,20948
2017-11-22,21541
2017-11-23,20959
2017-11-24,19970
2017-11-25,20382
2017-11-26,20205
2017-11-27,20241
2017-11-28,20069
2017-11-29,20235
2017-11-30,20114
2017-12-01,19729
2017-12-02,19067
2017-12-03,19574
2017-12-04,20541
2017-12-05,20671
2017-12-06,20899
2017-12-07,20192
2017-12-08,20150
2017-12-09,20137
2017-12-10,19978
2017-12-11,19984
2017-12-12,20125
2017-12-13,19917
2017-12-14,19298
2017-12-15,19074
2017-12-16,18900
2017-12-17,18944
2017-12-18,18703
2017-12-19,18872
2017-12-20,19112
2017-12-21,18760
2017-12-22,18093
2017-12-23,18379
2017-12-24,18185
2017-12-25,18160
2017-12-26,18343
2017-12-27,18667
2017-12-28,18575
2017-12-29,18425
2017-12-30,18549
2017-12-31,18276
2018-01-01,18546
2018-01-02,18772
2018-01-03,19115
2018-01-04,19181
2018-01-05,19524
2018-01-06,19609
2018-01-07,19851
2018-01-08,20050
2018-01-09,19365
2018-01-10,18759
2018-01-11,18414
2018-01-12,18586
2018-01-13,18557
2018-01-14,18485
2018-01-15,18464
2018-01-16,18184
2018-01-17,18043
2018-01-18,17878
2018-01-19,18353
2018-01-20,18391
2018-01-21,18382
2018-01-22,18133
2018-01-23,17951
2018-01-24,17544
2018-01-25,17689
2018-01-26,17915
2018-01-27,17679
2018-01-28,17514
2018-01-29,17685
2018-01-30,17722
2018-02-01,17376
2018-02-02,16786
2018-02-03,16926
2018-02-04,16648
2018-02-05,17078
2018-02-06,16840
2018-02-07,17190
2018-02-08,17413
2018-02-09,17239
2018-02-10,16521
2018-02-11,16059
2018-02-12,16382
2018-02-13,16593
2018-02-14,16519
2018-02-15,16196
2018-02-16,15536
2018-02-17,14767
2018-02-18,14502
2018-02-19,14534
2018-02-20,14601
2018-02-21,14313
2018-02-22,14418
2018-02-23,14818
2018-02-24,15208
2018-02-25,15326
2018-02-26,15562
2018-02-27,15861
2018-02-28,15717
2018-03-01,15819
2018-03-02,16180
2018-03-03,16357
2018-03-04,16553
2018-03-05,16638
2018-03-06,16691
2018-03-07,16457
2018-03-08,16168
2018-03-09,16085
2018-03-10,16483
2018-03-11,16505
2018-03-12,16504
2018-03-13,16467
2018-03-14,16047
2018-03-15,15583
2018-03-16,15505
2018-03-17,15996
2018-03-18,15935
2018-03-19,16018
2018-03-20,15689
2018-03-21,15630
2018-03-23,15344
2018-03-24,15068
2018-03-26,15229
2018-03-27,15017
2018-03-28,15124
2018-03-29,15106
2018-03-30,15129
2018-03-31,15226
2018-04-01,15213
2018-04-02,15212
2018-04-03,15445
2018-04-04,15081
2018-04-05,15044
2018-04-06,15385
2018-04-08,15564
2018-04-09,15293
2018-04-10,15362
2018-04-11,15101
2018-04-12,15152
2018-04-13,15304
2018-04-14,15527
2018-04-16,14670
2018-04-17,14549
2018-04-18,14155
2018-04-19,14315
2018-04-20,14347
2018-04-21,14811
2018-04-22,14950
2018-04-23,14921
2018-04-24,14831
2018-04-25,14848
2018-04-26,15299
2018-04-27,15212
2018-04-28,15361
2018-04-29,15331
2018-04-30,15530
2018-05-02,15298
2018-05-03,15570
2018-05-04,15435
2018-05-05,15345
2018-05-06,15511
2018-05-07,15134
2018-05-08,15325
2018-05-09,15136
2018-05-10,15295
2018-05-11,15178
2018-05-12,14760
2018-05-13,14772
2018-05-14,15030
2018-05-15,15016
2018-05-16,15099
2018-05-17,14870
2018-05-18,15104
2018-05-19,14909
2018-05-20,14897
2018-05-21,14905
2018-05-22,14923
2018-05-23,15214
2018-05-24,15417
2018-05-25,15332
2018-05-26,15209
2018-05-27,15797
2018-05-28,16237
2018-05-29,16725
2018-05-30,16714
2018-05-31,16520
2018-06-01,16722
2018-06-02,16384
2018-06-03,16392
2018-06-04,16550
2018-06-05,16054
2018-06-06,15574
2018-06-07,15927
2018-06-08,15358
2018-06-09,14989
2018-06-10,14454
2018-06-11,14078
2018-06-12,14391
2018-06-13,14810
2018-06-14,15259
2018-06-15,15256
2018-06-16,14922
2018-06-17,14891
2018-06-18,14818
2018-06-19,15370
2018-06-20,15425
2018-06-21,15518
2018-06-22,15361
2018-06-23,15358
2018-06-24,15307
2018-06-25,15513
2018-06-26,15562
2018-06-27,15301
2018-06-28,14974
2018-06-29,15135
2018-06-30,15164
2018-07-01,15423
2018-07-02,15576
2018-07-03,15483
2018-07-04,15327
2018-07-05,15524
2018-07-06,15449
2018-07-07,15518
2018-07-08,15200
2018-07-09,15188
2018-07-10,14785
2018-07-11,14486
2018-07-12,14349
2018-07-13,14565
2018-07-14,14785
2018-07-15,15179
2018-07-16,15636
2018-07-17,15295
2018-07-18,14914
2018-07-19,14426
2018-07-20,14060
2018-07-21,13987
2018-07-22,14333
2018-07-23,14271
2018-07-24,14431
2018-07-25,14970
2018-07-26,14816
2018-07-27,14479
2018-07-28,14198
2018-07-29,14511
2018-07-30,14483
2018-07-31,14685
2018-08-01,14792
2018-08-02,14746
2018-08-03,14709
2018-08-04,15177
2018-08-05,14853
2018-08-06,14702
2018-08-07,14726
2018-08-08,14496
2018-08-09,14355
2018-08-10,14298
2018-08-11,14086
2018-08-12,14292
2018-08-14,14834
2018-08-16,15802
2018-08-17,15443
2018-08-18,15756
2018-08-19,15814
2018-08-20,15793
2018-08-21,15595
2018-08-22,15144
2018-08-23,14957
2018-08-24,14996
2018-08-25,14698
2018-08-26,14351
2018-08-27,14154
2018-08-28,14453
2018-08-29,14673
2018-08-30,14901
2018-08-31,14918
2018-09-01,14663
2018-09-02,14270
2018-09-03,14358
2018-09-04,14375
2018-09-05,13987
2018-09-06,14534
2018-09-07,14217
2018-09-08,14198
2018-09-09,14204
2018-09-10,14245
2018-09-11,14047
2018-09-12,13624
2018-09-13,13146
2018-09-14,13519
2018-09-15,13690
2018-09-16,13706
2018-09-17,13715
2018-09-18,13811
2018-09-19,13732
2018-09-20,13782
2018-09-21,13817
2018-09-22,13724
2018-09-23,13416
2018-09-24,13758
2018-09-25,13679
2018-09-26,13543
2018-09-27,13621
2018-09-28,13777
2018-09-29,13946
2018-09-30,13747
2018-10-02,13874
2018-10-03,14128
2018-10-04,14235
2018-10-05,14265
2018-10-06,13727
2018-10-07,13597
2018-10-08,13598
2018-10-09,13338
2018-10-10,12766
2018-10-11,12984
2018-10-12,13501
2018-10-13,12883
2018-10-14,12444
2018-10-15,12792
2018-10-16,13282
2018-10-17,13563
2018-10-18,13785
2018-10-19,13734
2018-10-20,13761
2018-10-21,13782
2018-10-22,14218
2018-10-23,14413
2018-10-24,14254
2018-10-25,14259
2018-10-26,14248
2018-10-27,14414
2018-10-28,14550
2018-10-29,14388
2018-10-30,14027
2018-10-31,13362
2018-11-01,13549
2018-11-03,13757
2018-11-04,13797
2018-11-05,13744
2018-11-06,13779
2018-11-07,13428
2018-11-08,13600
2018-11-09,13619
2018-11-10,13541
2018-11-11,13597
2018-11-12,13517
2018-11-13,13653
2018-11-14,13785
2018-11-15,13867
2018-11-16,13950
2018-11-17,13873
2018-11-18,13801
2018-11-19,13854
2018-11-20,13907
2018-11-21,14352
2018-11-22,14332
2018-11-23,14322
2018-11-24,14123
2018-11-25,14759
2018-11-26,14616
2018-11-27,14677
2018-11-28,14325
2018-11-29,14445
2018-12-01,14600
2018-12-02,14493
2018-12-03,14276
2018-12-04,14208
2018-12-05,14377
2018-12-07,15050
2018-12-09,14705
2018-12-10,14722
2018-12-11,14612
2018-12-12,14565
2018-12-13,14342
2018-12-14,14317
2018-12-15,14574
2018-12-16,14222
2018-12-17,13676
2018-12-18,13266
2018-12-19,13425
2018-12-20,13645
2018-12-21,14118
2018-12-22,14147
2018-12-23,13449
2018-12-24,13026
2018-12-25,12974
2018-12-26,13292
2018-12-27,13490
2018-12-28,13682
2018-12-29,13751
2018-12-30,14021
2018-12-31,13849
2019-01-01,13238
2019-01-02,13013
2019-01-03,13227
2019-01-04,13318
2019-01-05,13750
2019-01-06,14243
2019-01-08,14897
2019-01-10,14979
2019-01-11,14893
2019-01-12,14964
2019-01-13,14440
2019-01-14,14233
2019-01-15,13712
2019-01-16,13358
2019-01-17,13578
2019-01-18,13634
2019-01-19,13381
2019-01-20,13135
2019-01-21,13135
2019-01-22,12988
2019-01-23,13248
2019-01-24,13482
2019-01-25,13460
2019-01-26,13243
2019-01-27,13003
2019-01-28,13215
2019-01-29,13014
2019-01-30,13203
2019-01-31,13452
2019-02-01,13036
2019-02-02,13019
2019-02-03,12813
2019-02-04,12544
2019-02-05,12045
2019-02-06,11745
2019-02-07,11318
2019-02-08,10811
2019-02-09,10874
2019-02-10,11190
2019-02-11,11432
2019-02-12,11756
2019-02-13,12240
2019-02-14,12781
2019-02-15,12616
2019-02-16,12216
2019-02-17,11949
2019-02-18,11991
2019-02-19,11942
2019-02-20,11839
2019-02-21,11768
2019-02-22,11809
2019-02-23,11384
2019-02-24,10980
2019-02-25,11266
2019-02-26,10974
2019-02-27,10999
2019-02-28,10851
2019-03-01,10513
2019-03-02,10308
2019-03-03,10489
2019-03-04,10731
2019-03-05,10274
2019-03-06,10268
2019-03-07,10221
2019-03-08,10249
2019-03-09,10129
2019-03-10,9911
2019-03-11,9753
2019-03-12,10096
2019-03-13,10099
2019-03-14,10101
2019-03-15,10137
2019-03-16,9895
2019-03-17,9858
2019-03-18,9618
2019-03-19,9664
2019-03-20,9506
2019-03-21,9455
2019-03-22,9633
2019-03-23,9629
2019-03-24,9635
2019-03-25,9552
2019-03-26,9509
2019-03-27,9524
2019-03-28,9796
2019-03-29,9792
2019-03-30,9587
2019-03-31,9482
2019-04-01,9751
2019-04-02,9793
2019-04-03,9871
2019-04-04,9774
2019-04-05,9789
2019-04-06,9723
