date_obj,Sapphire%20dragon%20bolts%20(e) price
2019-03-17,1409
2019-03-18,1422
2019-03-19,1422
2019-03-20,1422
2019-03-21,1465
2019-03-22,1465
2019-03-23,1465
2019-03-24,1465
2019-03-25,1465
2019-03-26,1515
2019-03-27,1515
2019-03-28,1515
2019-03-29,1515
2019-03-30,1515
2019-03-31,1515
2019-04-01,1527
2019-04-02,1527
2019-04-03,1527
2019-04-04,1527
2019-04-05,1527
2019-04-06,1527
2019-04-07,1527
2019-04-08,1594
2019-04-09,1594
2019-04-10,1594
2019-04-11,1594
2019-04-12,1594
2019-04-13,1594
2019-04-14,1633
2019-04-15,1633
2019-04-16,1633
2019-04-17,1633
2019-04-18,1633
2019-04-19,1633
2019-04-20,1632
2019-04-21,1632
2019-04-22,1632
2019-04-23,1632
2019-04-24,1632
2019-04-25,1598
2019-04-26,1598
2019-04-27,1598
2019-04-28,1598
2019-04-29,1598
2019-04-30,1599
2019-05-01,1599
2019-05-02,1599
2019-05-03,1599
2019-05-04,1540
2019-05-05,1540
2019-05-06,1540
2019-05-07,1540
2019-05-08,1540
2019-05-09,1540
2019-05-10,1572
2019-05-11,1572
2019-05-12,1572
2019-05-13,1572
2019-05-14,1572
2019-05-15,1572
2019-05-16,1545
2019-05-17,1545
2019-05-18,1545
2019-05-19,1545
2019-05-20,1512
2019-05-21,1512
2019-05-22,1573
2019-05-23,1640
2019-05-24,1640
2019-05-25,1660
2019-05-26,1660
2019-05-27,1627
2019-05-28,1627
2019-05-29,1564
2019-05-30,1564
2019-05-31,1525
2019-06-01,1525
2019-06-02,1525
2019-06-03,1495
2019-06-04,1495
2019-06-05,1474
2019-06-06,1474
2019-06-07,1474
2019-06-08,1489
2019-06-09,1489
2019-06-10,1489
2019-06-11,1485
2019-06-12,1485
2019-06-13,1485
2019-06-14,1442
2019-06-15,1442
2019-06-16,1374
2019-06-17,1374
2019-06-18,1310
2019-06-19,1310
2019-06-20,1310
2019-06-21,1245
2019-06-22,1245
2019-06-23,1245
2019-06-24,1199
2019-06-25,1199
2019-06-26,1199
2019-06-27,1145
2019-06-28,1145
2019-06-29,1145
2019-06-30,1102
2019-07-01,1102
2019-07-02,1102
2019-07-03,1099
2019-07-04,1099
2019-07-05,1099
2019-07-06,1072
2019-07-07,1072
2019-07-08,1102
2019-07-09,1102
2019-07-10,1102
2019-07-11,1122
2019-07-12,1122
2019-07-13,1122
2019-07-14,1122
2019-07-15,1144
2019-07-16,1144
2019-07-17,1202
2019-07-18,1202
2019-07-19,1202
2019-07-20,1262
2019-07-21,1262
2019-07-22,1262
2019-07-23,1292
2019-07-24,1292
2019-07-25,1292
2019-07-26,1292
2019-07-27,1268
2019-07-28,1268
2019-07-29,1268
2019-07-30,1282
2019-07-31,1282
2019-08-01,1282
2019-08-02,1282
2019-08-03,1279
2019-08-04,1279
2019-08-05,1279
2019-08-06,1240
2019-08-07,1240
2019-08-08,1240
2019-08-09,1240
2019-08-10,1211
2019-08-11,1211
2019-08-12,1211
2019-08-13,1194
2019-08-14,1194
2019-08-15,1194
2019-08-16,1236
2019-08-17,1236
2019-08-18,1236
2019-08-19,1236
2019-08-20,1235
2019-08-21,1235
2019-08-22,1235
2019-08-23,1235
2019-08-24,1207
2019-08-24,1207
2019-08-25,1207
2019-08-25,1207
2019-08-26,1207
2019-08-26,1207
2019-08-27,1207
2019-08-27,1207
2019-08-28,1202
2019-08-29,1202
2019-08-30,1250
2019-08-31,1250
2019-09-01,1250
2019-09-02,1237
2019-09-03,1237
2019-09-04,1237
2019-09-05,1206
2019-09-06,1206
2019-09-07,1206
2019-09-08,1206
2019-09-09,1206
2019-09-10,1163
2019-09-11,1163
2019-09-12,1163
2019-09-13,1163
2019-09-14,1142
2019-09-15,1142
2019-09-16,1142
2019-09-17,1142
2019-09-18,1111
2019-09-19,1111
2019-09-20,1111
2019-09-21,1111
2019-09-22,1111
2019-09-23,1157
2019-09-24,1157
2019-09-25,1157
2019-09-26,1157
2019-09-27,1157
2019-09-28,1099
2019-09-29,1099
2019-09-30,1099
2019-10-01,1099
2019-10-02,1073
2019-10-03,1073
2019-10-04,1073
2019-10-05,1073
2019-10-06,1030
2019-10-07,1030
2019-10-08,1030
2019-10-09,1030
2019-10-10,997
2019-10-11,997
2019-10-12,997
2019-10-13,1006
2019-10-14,1006
2019-10-15,1006
2019-10-16,1006
2019-10-17,957
2019-10-18,957
2019-10-19,957
2019-10-20,961
2019-10-21,961
2019-10-22,961
2019-10-23,961
2019-10-24,951
2019-10-25,951
2019-10-26,951
2019-10-27,971
2019-10-28,971
2019-10-29,971
2019-10-30,971
2019-10-31,971
2019-11-01,963
2019-11-02,963
2019-11-03,963
2019-11-04,963
2019-11-05,946
2019-11-06,946
2019-11-07,946
2019-11-08,946
2019-11-09,946
2019-11-10,922
2019-11-11,922
2019-11-12,922
2019-11-13,922
2019-11-14,922
2019-11-15,908
2019-11-16,908
2019-11-17,908
2019-11-18,884
2019-11-19,884
2019-11-20,884
2019-11-21,884
2019-11-22,871
2019-11-23,871
2019-11-24,871
2019-11-25,871
