date_obj,White%20berries price
2016-06-30,1152
2016-07-01,1201
2016-07-02,1201
2016-07-03,1248
2016-07-04,1305
2016-07-05,1305
2016-07-06,1368
2016-07-07,1368
2016-07-08,1436
2016-07-09,1419
2016-07-10,1424
2016-07-11,1485
2016-07-12,1554
2016-07-13,1623
2016-07-14,1597
2016-07-15,1622
2016-07-16,1608
2016-07-17,1608
2016-07-18,1544
2016-07-24,1329
2016-07-25,1263
2016-07-26,1263
2016-07-27,1199
2016-07-28,1199
2016-07-29,1139
2016-07-30,1082
2016-07-31,1082
2016-08-01,1027
2016-08-02,975
2016-08-03,983
2016-08-04,983
2016-08-05,1025
2016-08-06,1017
2016-08-07,1019
2016-08-08,1019
2016-08-09,999
2016-08-10,999
2016-08-11,962
2016-08-12,962
2016-08-13,952
2016-08-14,952
2016-08-15,929
2016-08-16,929
2016-08-17,954
2016-08-18,954
2016-08-19,944
2016-08-20,974
2016-08-21,974
2016-08-22,947
2016-08-23,986
2016-08-24,986
2016-08-25,1027
2016-08-26,1027
2016-08-28,995
2016-08-31,932
2016-09-01,954
2016-09-02,954
2016-09-03,936
2016-09-04,957
2016-09-05,936
2016-09-06,936
2016-09-07,950
2016-09-08,950
2016-09-09,964
2016-09-10,953
2016-09-11,953
2016-09-12,922
2016-09-13,922
2016-09-14,934
2016-09-15,912
2016-09-16,912
2016-09-17,868
2016-09-18,824
2016-09-19,782
2016-09-20,742
2016-09-21,704
2016-09-22,669
2016-09-23,642
2016-09-24,642
2016-09-25,627
2016-09-26,622
2016-09-27,617
2016-09-28,612
2016-09-29,586
2016-09-30,574
2016-10-01,550
2016-10-02,550
2016-10-03,524
2016-10-04,497
2016-10-05,472
2016-10-06,448
2016-10-07,448
2016-10-08,452
2016-10-09,452
2016-10-10,464
2016-10-11,478
2016-10-12,463
2016-10-13,441
2016-10-14,424
2016-10-15,415
2016-10-16,428
2016-10-17,448
2016-10-18,456
2016-10-19,437
2016-10-20,429
2016-10-21,437
2016-10-22,437
2016-10-23,436
2016-10-24,430
2016-10-25,430
2016-10-26,430
2016-10-27,412
2016-10-28,412
2016-10-29,420
2016-10-30,409
2016-10-31,420
2016-11-01,420
2016-11-02,422
2016-11-03,422
2016-11-04,405
2016-11-05,405
2016-11-06,391
2016-11-07,378
2016-11-08,367
2016-11-09,359
2016-11-10,356
2016-11-11,365
2016-11-12,348
2016-11-13,331
2016-11-14,321
2016-12-08,361
2016-12-09,359
2016-12-10,359
2016-12-11,365
2016-12-12,383
2016-12-13,403
2016-12-14,423
2016-12-15,423
2016-12-16,426
2016-12-17,410
2016-12-18,410
2016-12-19,414
2016-12-20,425
2016-12-21,403
2016-12-22,391
2016-12-23,387
2016-12-24,386
2016-12-25,370
2016-12-26,369
2016-12-27,375
2016-12-28,380
2016-12-29,389
2016-12-30,388
2016-12-31,392
2017-01-01,389
2017-01-02,381
2017-01-03,373
2017-01-04,387
2017-01-05,400
2017-01-06,419
2017-01-07,428
2017-01-08,442
2017-01-09,454
2017-01-10,458
2017-01-11,455
2017-01-12,449
2017-01-13,450
2017-01-14,440
2017-01-15,437
2017-01-16,433
2017-01-17,450
2017-01-18,465
2017-01-19,478
2017-01-20,493
2017-01-21,509
2017-01-22,500
2017-01-27,620
2017-01-28,635
2017-01-29,665
2017-01-30,699
2017-01-31,734
2017-02-01,734
2017-02-02,756
