date_obj,Smouldering%20stone price
2016-04-26,291314
2016-04-27,293103
2016-04-28,293103
2016-04-29,293103
2016-04-30,294865
2016-05-01,294865
2016-05-02,294865
2016-05-03,281727
2016-05-04,281727
2016-05-05,281727
2016-05-06,269215
2016-05-07,269215
2016-05-08,269215
2016-05-09,256204
2016-05-10,256204
2016-05-11,256204
2016-05-12,247781
2016-05-13,247781
2016-05-14,236664
2016-05-15,236664
2016-05-16,236664
2016-05-17,224830
2016-05-18,224830
2016-05-19,224830
2016-05-22,213588
2016-05-23,204072
2016-05-24,204072
2016-05-25,204072
2016-05-26,200021
2016-05-27,200021
2016-05-28,200021
2016-05-29,198180
2016-05-30,198180
2016-05-31,198180
2016-06-01,198954
2016-06-02,198954
2016-06-03,208147
2016-06-04,208147
2016-06-05,218348
2016-06-06,218348
2016-06-07,228806
2016-06-08,228806
2016-06-09,240247
2016-06-10,240247
2016-06-11,251905
2016-06-12,251905
2016-06-13,263947
2016-06-14,263947
2016-06-15,277145
2016-06-16,277145
2016-06-17,291003
2016-06-18,291003
2016-06-19,305554
2016-06-20,305554
2016-06-21,320832
2016-06-22,320832
2016-06-23,336874
2016-06-24,336874
2016-06-25,353718
2016-06-26,353718
2016-06-27,370831
2016-06-28,370831
2016-06-29,388537
2016-06-30,388537
2016-07-01,407888
2016-07-02,407888
2016-07-03,426654
2016-07-04,447574
2016-07-05,447574
2016-07-06,469953
2016-07-07,469953
2016-07-08,493451
2016-07-09,516621
2016-07-10,541167
2016-07-11,565868
2016-07-12,565868
2016-07-13,594162
2016-07-14,621490
2016-07-15,621490
2016-07-16,652565
2016-07-17,652565
2016-07-18,685194
2016-07-24,790744
2016-07-25,790744
2016-07-26,828776
2016-07-27,828776
2016-07-28,870215
2016-07-29,912053
2016-07-30,912053
2016-07-31,956449
2016-08-01,956449
2016-08-02,1004272
2016-08-03,1004272
2016-08-04,1053347
2016-08-05,1053347
2016-08-06,1103949
2016-08-07,1103949
2016-08-08,1156297
2016-08-09,1156297
2016-08-10,1214112
2016-08-11,1214112
2016-08-12,1214112
2016-08-13,1274818
2016-08-14,1274818
2016-08-15,1335104
2016-08-16,1335104
2016-08-17,1335104
2016-08-18,1374191
2016-08-19,1374191
2016-08-20,1313785
2016-08-21,1313785
2016-08-22,1254484
2016-08-23,1254484
2016-08-24,1200444
2016-08-25,1200444
2016-08-26,1200444
2016-08-28,1142017
2016-08-31,1086253
2016-09-01,1031940
2016-09-02,1031940
2016-09-03,1031940
2016-09-04,980343
2016-09-05,980343
2016-09-06,934504
2016-09-07,934504
2016-09-08,906550
2016-09-09,906550
2016-09-10,948327
2016-09-11,948327
2016-09-12,995744
2016-09-13,1045532
2016-09-14,1045532
2016-09-15,1097809
2016-09-16,1097809
2016-09-17,1149262
2016-09-18,1149262
2016-09-19,1206726
2016-09-20,1206726
2016-09-21,1262619
2016-09-22,1321237
2016-09-23,1321237
2016-09-24,1321237
2016-09-25,1387299
2016-09-26,1387299
2016-09-27,1454360
2016-09-28,1454360
2016-09-29,1523821
2016-09-30,1523821
2016-10-01,1599977
2016-10-02,1599977
2016-10-03,1599977
2016-10-04,1661155
2016-10-05,1661155
2016-10-06,1646544
2016-10-07,1646544
2016-10-08,1688036
2016-10-09,1688036
2016-10-11,1666335
2016-10-12,1666335
2016-10-13,1666335
2016-10-14,1711429
2016-10-15,1711429
2016-10-16,1711429
2016-10-17,1641888
2016-10-18,1641888
2016-10-19,1641888
2016-10-20,1561825
2016-10-21,1561825
2016-10-22,1561825
2016-10-23,1483788
2016-10-24,1483788
2016-10-25,1483788
2016-10-26,1409598
2016-10-27,1409598
2016-10-28,1409598
2016-10-29,1339118
2016-10-30,1339118
2016-10-31,1278066
2016-11-01,1278066
2016-11-02,1335462
2016-11-03,1335462
2016-11-04,1399056
2016-11-05,1399056
2016-11-06,1465036
2016-11-07,1465036
2016-11-08,1533270
2016-11-09,1533270
2016-11-10,1498267
2016-11-11,1498267
2016-11-12,1498267
2016-11-13,1435441
2016-11-14,1435441
2016-12-08,1358058
2016-12-09,1358058
2016-12-10,1358058
2016-12-11,1334586
2016-12-12,1334586
2016-12-13,1299566
2016-12-14,1299566
2016-12-15,1260801
2016-12-16,1260801
2016-12-17,1234252
2016-12-18,1234252
2016-12-19,1234252
2016-12-20,1179063
2016-12-21,1179063
2016-12-22,1131225
2016-12-23,1131225
2016-12-24,1075199
2016-12-25,1075199
2016-12-26,1022816
2016-12-27,1022816
2016-12-28,973805
2016-12-29,973805
2016-12-30,953415
2016-12-31,953415
2017-01-01,946473
2017-01-02,920634
2017-01-03,920634
2017-01-04,947823
2017-01-05,947823
2017-01-06,925903
2017-01-07,925903
2017-01-08,903054
2017-01-09,903054
2017-01-10,892642
2017-01-11,892642
2017-01-12,882983
2017-01-13,882983
2017-01-14,904813
2017-01-15,904813
2017-01-16,922409
2017-01-17,922409
2017-01-18,946782
2017-01-19,946782
2017-01-20,981432
2017-01-21,981432
2017-01-22,1030504
2017-01-27,1024398
2017-01-28,973178
2017-01-29,973178
2017-01-30,924519
2017-01-31,924519
2017-02-01,885326
2017-02-02,885326
2017-02-03,876288
2017-02-04,876288
2017-02-05,901890
2017-02-06,901890
2017-02-07,919550
2017-02-08,919550
2017-02-09,941112
2017-02-10,951747
2017-02-11,951747
2017-02-12,969523
2017-02-13,969523
2017-02-14,951304
2017-02-15,951304
2017-02-16,926170
2017-02-18,926170
2017-02-19,919383
2017-02-20,919383
2017-02-21,940432
2017-02-22,940432
2017-02-23,979651
2017-02-24,979651
2017-02-25,1003689
2017-02-26,1003689
2017-02-27,1018567
2017-02-28,1031813
2017-03-01,1031813
2017-03-02,1029966
2017-03-03,1029966
2017-03-04,1043920
2017-03-05,1043920
2017-03-06,1046407
2017-03-07,1046407
2017-03-08,1046407
2017-03-09,1053226
2017-03-10,1053226
2017-03-11,1036655
2017-03-12,1036655
2017-03-13,1035433
2017-03-14,1035433
2017-03-15,1022358
2017-03-16,1022358
2017-03-17,991082
2017-03-18,991082
2017-03-19,1010042
2017-03-20,1010042
2017-03-21,989788
2017-03-22,989788
2017-03-23,958387
2017-03-24,958387
2017-03-25,936686
2017-03-26,936686
2017-03-27,934461
2017-03-28,934461
2017-03-29,955422
2017-03-30,955422
2017-03-31,995761
2017-04-01,995761
2017-04-02,969783
2017-04-03,969783
2017-04-04,925314
2017-04-12,981774
2017-04-13,983045
2017-04-14,983045
2017-04-15,933973
2017-04-16,933973
2017-04-17,890730
2017-04-18,890730
2017-04-19,878873
2017-04-20,878873
2017-04-21,842804
2017-04-22,842804
2017-04-23,837694
2017-04-24,837694
2017-04-25,823178
2017-04-26,823178
2017-04-27,798425
2017-04-28,798425
2017-04-29,760840
2017-04-30,760840
2017-05-01,767253
2017-05-02,767253
2017-05-03,794912
2017-05-04,794912
2017-05-05,810014
2017-05-06,810014
2017-05-07,821634
2017-05-08,821634
2017-05-09,805140
2017-05-10,805140
2017-05-11,796870
2017-05-12,796870
2017-05-13,762315
2017-05-14,762315
2017-05-15,732856
2017-05-16,732856
2017-05-17,727417
2017-05-18,727417
2017-05-19,760164
2017-05-20,793579
2017-05-21,793579
2017-05-22,831466
2017-05-23,831466
2017-05-24,849211
2017-05-25,849211
2017-05-26,864074
2017-05-27,864074
2017-05-28,860761
2017-05-29,860761
2017-05-30,842725
2017-05-31,842725
2017-06-01,816753
2017-06-02,816753
2017-06-03,836537
2017-06-06,822123
2017-06-07,822123
2017-06-08,820995
2017-06-09,820995
2017-06-10,785024
2017-06-11,785024
2017-06-12,810915
2017-06-13,810915
2017-06-14,791856
2017-06-15,791856
2017-06-16,763317
2017-06-17,763317
2017-06-18,762705
2017-06-19,762705
2017-06-20,765223
2017-06-21,790554
2017-06-22,790554
2017-06-23,827463
2017-06-24,827463
2017-06-25,868837
2017-06-26,868837
2017-06-27,911641
2017-06-28,911641
2017-06-29,874657
2017-06-30,874657
2017-07-01,850066
2017-07-02,850066
2017-07-03,877488
2017-07-04,877488
2017-07-05,879191
2017-07-06,904014
2017-07-07,904014
2017-07-08,904014
2017-07-13,940871
2017-07-14,954298
2017-07-15,954298
2017-07-16,943144
2017-07-17,943144
2017-07-18,980969
2017-07-19,980969
2017-07-20,1015974
2017-07-21,1015974
2017-07-22,1009870
2017-07-23,1009870
2017-07-24,1058199
2017-07-25,1058199
2017-07-26,1037031
2017-07-27,1037031
2017-07-28,995433
2017-07-29,995433
2017-07-30,1004081
2017-07-31,1004081
2017-08-01,1030498
2017-08-02,1030498
2017-08-03,1003816
2017-08-04,1003816
2017-08-05,993421
2017-08-06,993421
2017-08-09,984382
2017-08-10,984382
2017-08-11,977037
2017-08-12,977037
2017-08-13,997772
2017-08-14,997772
2017-08-15,995662
2017-08-17,976958
2017-08-18,976958
2017-08-19,937478
2017-08-20,937478
2017-08-21,910653
2017-08-22,910653
2017-08-23,899930
2017-08-24,899930
2017-08-25,903684
2017-08-26,902254
2017-08-27,902254
2017-08-28,887862
2017-08-29,887862
2017-08-30,902685
2017-08-31,902685
2017-09-01,902685
2017-09-02,943129
2017-09-03,943129
2017-09-04,981834
2017-09-05,981834
2017-09-06,968290
2017-09-07,968290
2017-09-08,930297
2017-09-09,930297
2017-09-10,893547
2017-09-11,893547
2017-09-12,874693
2017-09-13,874693
2017-09-14,869459
2017-09-15,869459
2017-09-16,869459
2017-09-17,868551
2017-09-19,847959
2017-09-20,847959
2017-09-21,861099
2017-09-22,861099
2017-09-23,872907
2017-09-24,872907
2017-09-25,862675
2017-09-26,862675
2017-09-27,881638
2017-09-28,881638
2017-09-29,884862
2017-09-30,884862
2017-10-01,910041
2017-10-02,910041
2017-10-03,911289
2017-10-04,911289
2017-10-05,905804
2017-10-06,905804
2017-10-07,893992
2017-10-08,893992
2017-10-09,888315
2017-10-10,888315
2017-10-11,889901
2017-10-12,889901
2017-10-13,918163
2017-10-14,918163
2017-10-15,964041
2017-10-16,1003196
2017-10-17,1003196
2017-10-18,1000110
2017-10-19,1000110
2017-10-20,972760
2017-10-21,972760
2017-10-22,938169
2017-10-23,938169
2017-10-24,896082
2017-10-25,896082
2017-10-26,871044
2017-10-27,871044
2017-10-28,871044
2017-10-29,834590
2017-10-30,834590
2017-10-31,801692
2017-11-01,801692
2017-11-02,793101
2017-11-03,793101
2017-11-04,758581
2017-11-05,758581
2017-11-06,782832
2017-11-07,782832
2017-11-08,817483
2017-11-09,836734
2017-11-10,836734
2017-11-11,832704
2017-11-12,832704
2017-11-13,830546
2017-11-14,830546
2017-11-15,837857
2017-11-16,872785
2017-11-17,872785
2017-11-18,883334
2017-11-19,883334
2017-11-20,897492
2017-11-21,916034
2017-11-22,916034
2017-11-23,950256
2017-11-24,950256
2017-11-25,963275
2017-11-26,963275
2017-11-27,987218
2017-11-28,987218
2017-11-29,974771
2017-11-30,974771
2017-12-01,965631
2017-12-02,965631
2017-12-03,1013190
2017-12-04,1013190
2017-12-05,1063468
2017-12-06,1063468
2017-12-07,1116642
2017-12-08,1116642
2017-12-09,1171394
2017-12-10,1225833
2017-12-11,1225833
2017-12-12,1251900
2017-12-13,1251900
2017-12-14,1307693
2017-12-15,1372635
2017-12-16,1372635
2017-12-17,1435899
2017-12-18,1416562
2017-12-19,1416562
2017-12-20,1349473
2017-12-21,1349473
2017-12-22,1281999
2017-12-23,1281999
2017-12-24,1217899
2017-12-25,1217899
2017-12-26,1167268
2017-12-27,1168272
2017-12-28,1168272
2017-12-29,1204554
