date_obj,Oil%20lamp price
2017-01-05,1383
2017-01-06,1383
2017-01-07,1383
2017-01-08,1383
2017-01-09,1358
2017-01-10,1358
2017-01-11,1358
2017-01-12,1358
2017-01-13,1358
2017-01-14,1406
2017-01-15,1406
2017-01-16,1406
2017-01-17,1406
2017-01-18,1406
2017-01-19,1386
2017-01-20,1386
2017-01-21,1386
2017-01-22,1386
2017-01-27,1317
2017-01-28,1317
2017-01-29,1345
2017-01-30,1345
2017-01-31,1345
2017-02-01,1345
2017-02-02,1345
2017-02-03,1345
2017-02-04,1305
2017-02-05,1305
2017-02-06,1305
2017-02-07,1305
2017-02-08,1305
2017-02-09,1305
2017-02-10,1335
2017-02-11,1335
2017-02-12,1335
2017-02-13,1335
2017-02-14,1335
2017-02-15,1335
2017-02-16,1355
2017-02-18,1355
2017-02-19,1355
2017-02-20,1355
2017-02-21,1355
2017-02-22,1302
2017-02-23,1302
2017-02-24,1302
2017-02-25,1302
2017-02-26,1302
2017-02-27,1302
2017-02-28,1236
2017-03-01,1236
2017-03-02,1236
2017-03-03,1236
2017-03-04,1236
2017-03-05,1236
2017-03-06,1203
2017-03-07,1203
2017-03-08,1203
2017-03-09,1203
2017-03-10,1203
2017-03-11,1203
2017-03-12,1218
2017-03-13,1218
2017-03-14,1218
2017-03-15,1218
2017-03-16,1218
2017-03-17,1158
2017-03-18,1158
2017-03-19,1158
2017-03-20,1158
2017-03-21,1158
2017-03-22,1161
2017-03-23,1161
2017-03-24,1161
2017-03-25,1161
2017-03-26,1161
2017-03-27,1161
2017-03-28,1164
2017-03-29,1164
2017-03-30,1164
2017-03-31,1164
2017-04-01,1164
2017-04-02,1164
2017-04-03,1164
2017-04-04,1164
2017-04-12,1154
2017-04-13,1096
2017-04-14,1096
2017-04-15,1096
2017-04-16,1096
2017-04-17,1096
2017-04-18,1098
2017-04-19,1098
2017-04-20,1098
2017-04-21,1098
2017-04-22,1098
2017-04-23,1052
2017-04-24,1052
2017-04-25,1052
2017-04-26,1052
2017-04-27,1052
2017-04-28,1075
2017-04-29,1075
2017-04-30,1075
2017-05-01,1075
2017-05-02,1075
2017-05-03,1086
2017-05-04,1086
2017-05-05,1086
2017-05-06,1086
2017-05-07,1086
2017-05-08,1086
2017-05-09,1106
2017-05-10,1106
2017-05-11,1106
2017-05-12,1106
2017-05-13,1106
2017-05-14,1106
2017-05-15,1106
2017-05-16,1079
2017-05-17,1079
2017-05-18,1079
2017-05-19,1079
2017-05-20,1079
2017-05-21,1079
2017-05-22,1027
2017-05-23,1027
2017-05-24,1027
2017-05-25,1027
2017-05-26,1027
2017-05-27,1027
2017-05-28,975
2017-05-29,975
2017-05-30,975
2017-05-31,975
2017-06-01,975
2017-06-02,975
2017-06-03,927
2017-06-06,927
2017-06-07,927
2017-06-08,880
2017-06-09,880
2017-06-10,880
2017-06-11,880
2017-06-12,880
2017-06-13,838
2017-06-14,838
2017-06-15,838
2017-06-16,838
2017-06-17,838
2017-06-18,829
2017-06-19,829
2017-06-20,829
2017-06-21,829
2017-06-22,829
2017-06-23,829
2017-06-24,837
2017-06-25,837
2017-06-26,837
2017-06-27,837
2017-06-28,837
2017-06-29,858
2017-06-30,858
2017-07-01,858
2017-07-02,858
2017-07-03,858
2017-07-04,858
2017-07-05,854
2017-07-06,854
2017-07-07,854
2017-07-08,854
2017-07-13,849
2017-07-14,849
2017-07-15,849
2017-07-16,852
2017-07-17,852
2017-07-18,852
2017-07-19,852
2017-07-20,852
2017-07-21,852
2017-07-22,894
2017-07-23,894
2017-07-24,894
2017-07-25,894
2017-07-26,894
2017-07-27,894
2017-07-28,870
2017-07-29,870
2017-07-30,870
2017-07-31,870
2017-08-01,870
2017-08-02,870
2017-08-03,826
2017-08-04,826
2017-08-05,826
2017-08-06,826
2017-08-09,832
2017-08-10,832
2017-08-11,832
2017-08-12,832
2017-08-13,832
2017-08-14,832
2017-08-15,815
2017-08-17,815
2017-08-18,815
2017-08-19,815
2017-08-20,815
2017-08-21,787
2017-08-22,787
2017-08-23,787
2017-08-24,787
2017-08-25,787
2017-08-26,787
2017-08-27,786
2017-08-28,786
2017-08-29,786
2017-08-30,786
2017-08-31,786
2017-09-01,786
2017-09-02,786
2017-09-03,817
2017-09-04,817
2017-09-05,817
2017-09-06,817
2017-09-07,817
2017-09-08,817
2017-09-09,845
2017-09-10,845
2017-09-11,845
2017-09-12,845
2017-09-13,845
2017-09-14,845
2017-09-15,845
2017-09-16,858
2017-09-17,858
2017-09-19,858
2017-09-20,858
2017-09-21,858
2017-09-22,868
2017-09-23,868
2017-09-24,868
2017-09-25,868
2017-09-26,868
2017-09-27,868
2017-09-28,868
2017-09-29,896
2017-09-30,896
2017-10-01,896
2017-10-02,896
2017-10-03,896
2017-10-04,896
2017-10-05,896
2017-10-06,896
2017-10-07,917
2017-10-08,917
2017-10-09,917
2017-10-10,917
2017-10-11,917
2017-10-12,917
2017-10-13,917
2017-10-14,909
2017-10-15,909
2017-10-16,909
2017-10-17,909
2017-10-18,909
2017-10-19,909
2017-10-20,909
2017-10-21,909
2017-10-22,877
2017-10-23,877
2017-10-24,877
2017-10-25,877
2017-10-26,877
2017-10-27,877
2017-10-28,877
2017-10-29,893
2017-10-30,893
2017-10-31,893
2017-11-01,893
2017-11-02,893
2017-11-03,893
2017-11-04,924
2017-11-05,924
2017-11-06,924
2017-11-07,924
2017-11-08,924
2017-11-09,924
2017-11-10,924
2017-11-11,943
2017-11-12,943
2017-11-13,943
2017-11-14,943
2017-11-15,943
2017-11-16,943
2017-11-17,972
2017-11-18,972
2017-11-19,972
2017-11-20,972
2017-11-21,972
2017-11-22,972
2017-11-23,972
2017-11-24,1001
2017-11-25,1001
2017-11-26,1001
2017-11-27,1001
2017-11-28,1001
2017-11-29,1001
2017-11-30,1001
2017-12-01,985
2017-12-02,985
2017-12-03,985
2017-12-04,985
2017-12-05,985
2017-12-06,985
2017-12-07,985
2017-12-08,1017
2017-12-09,1017
2017-12-10,1017
2017-12-11,1017
2017-12-12,1017
2017-12-14,1017
2017-12-15,1046
2017-12-16,1046
2017-12-17,1046
2017-12-18,1046
2017-12-19,1046
2017-12-20,1046
2017-12-21,1046
2017-12-22,1032
2017-12-23,1032
2017-12-24,1032
2017-12-25,1032
2017-12-26,1032
2017-12-27,1032
2017-12-28,1076
2017-12-29,1076
2017-12-30,1076
2017-12-31,1076
2018-01-01,1076
2018-01-02,1068
2018-01-03,1068
2018-01-04,1068
2018-01-05,1068
2018-01-06,1068
2018-01-07,1026
2018-01-08,1026
2018-01-09,1026
2018-01-10,1026
2018-01-11,1026
2018-01-12,974
2018-01-13,974
2018-01-14,974
2018-01-15,974
2018-01-16,974
2018-01-17,939
2018-01-18,939
2018-01-19,939
2018-01-20,939
2018-01-21,939
2018-01-22,939
2018-01-23,933
2018-01-24,933
2018-01-25,933
2018-01-26,933
2018-01-27,944
2018-01-28,944
2018-01-29,944
2018-01-31,952
2018-02-01,952
2018-02-02,952
2018-02-03,933
2018-02-04,933
2018-02-05,933
2018-02-06,902
2018-02-07,902
2018-02-08,902
2018-02-09,916
2018-02-10,916
2018-02-11,916
2018-02-12,916
2018-02-13,895
2018-02-14,895
2018-02-15,895
2018-02-16,895
2018-02-17,910
2018-02-18,910
2018-02-19,910
2018-02-20,910
2018-02-21,928
2018-02-22,928
2018-02-23,928
2018-02-24,928
2018-02-25,945
2018-02-26,945
2018-02-27,945
2018-03-01,973
2018-03-02,973
2018-03-03,973
2018-03-04,1015
2018-03-05,1015
2018-03-06,1015
2018-03-07,1049
2018-03-08,1049
2018-03-09,1049
2018-03-10,1049
2018-03-11,1047
2018-03-12,1047
2018-03-13,1047
2018-03-14,1015
2018-03-15,1015
2018-03-16,1015
2018-03-17,1015
2018-03-18,964
2018-03-19,964
2018-03-20,964
2018-03-21,958
2018-03-23,958
2018-03-24,958
2018-03-26,975
2018-03-27,975
2018-03-28,975
2018-03-29,958
2018-03-30,958
2018-03-31,958
2018-04-01,958
2018-04-02,951
2018-04-03,951
2018-04-04,951
2018-04-05,951
2018-04-06,957
2018-04-08,957
2018-04-09,957
2018-04-10,957
2018-04-11,961
2018-04-12,961
2018-04-13,961
2018-04-14,961
2018-04-15,969
2018-04-16,969
2018-04-17,969
2018-04-18,969
2018-04-19,969
2018-04-20,982
2018-04-21,982
2018-04-22,982
2018-04-23,982
2018-04-24,982
2018-04-25,976
2018-04-26,976
2018-04-27,976
2018-04-28,976
2018-04-29,976
2018-04-30,1001
2018-05-01,1001
2018-05-02,1001
2018-05-04,1001
2018-05-05,952
2018-05-06,952
2018-05-07,952
2018-05-08,905
2018-05-09,905
2018-05-10,871
2018-05-11,871
2018-05-12,871
2018-05-13,912
2018-05-14,912
2018-05-15,912
2018-05-16,958
2018-05-17,958
2018-05-18,958
2018-05-19,973
2018-05-20,973
2018-05-21,973
2018-05-22,989
2018-05-23,989
2018-05-24,989
2018-05-25,1005
2018-05-26,1005
2018-05-27,1005
2018-05-28,1004
2018-05-29,1004
2018-05-30,1004
2018-05-31,1053
2018-06-01,1053
2018-06-02,1047
2018-06-03,1047
2018-06-04,1047
2018-06-05,1025
2018-06-06,1025
2018-06-07,1025
2018-06-08,1003
2018-06-09,1003
2018-06-10,1003
2018-06-11,986
2018-06-12,986
2018-06-13,967
2018-06-14,967
2018-06-15,967
