date_obj,Pat%20of%20butter price
2016-07-27,287
2016-07-28,287
2016-07-29,287
2016-07-30,287
2016-07-31,287
2016-08-01,287
2016-08-02,287
2016-08-03,287
2016-08-04,302
2016-08-05,302
2016-08-06,302
2016-08-07,302
2016-08-08,302
2016-08-09,302
2016-08-10,302
2016-08-11,302
2016-08-12,302
2016-08-13,308
2016-08-14,308
2016-08-15,308
2016-08-16,308
2016-08-17,308
2016-08-18,308
2016-08-19,308
2016-08-20,308
2016-08-21,308
2016-08-22,308
2016-08-23,316
2016-08-24,316
2016-08-25,316
2016-08-26,316
2016-08-28,316
2016-08-31,316
2016-09-01,316
2016-09-02,316
2016-09-03,316
2016-09-04,301
2016-09-05,301
2016-09-06,301
2016-09-07,301
2016-09-08,301
2016-09-09,301
2016-09-10,301
2016-09-11,301
2016-09-12,301
2016-09-13,301
2016-09-14,301
2016-09-15,285
2016-09-16,285
2016-09-17,285
2016-09-18,285
2016-09-19,285
2016-09-20,285
2016-09-21,285
2016-09-22,285
2016-09-23,285
2016-09-24,285
2016-09-25,285
2016-09-26,270
2016-09-27,270
2016-09-28,270
2016-09-29,270
2016-09-30,270
2016-10-01,270
2016-10-02,270
2016-10-03,270
2016-10-04,270
2016-10-05,270
2016-10-06,270
2016-10-07,270
2016-10-08,270
2016-10-09,256
2016-10-10,256
2016-10-11,256
2016-10-12,256
2016-10-13,256
2016-10-14,256
2016-10-15,256
2016-10-16,256
2016-10-17,256
2016-10-18,256
2016-10-19,256
2016-10-20,256
2016-10-21,243
2016-10-22,243
2016-10-23,243
2016-10-24,243
2016-10-25,243
2016-10-26,243
2016-10-27,243
2016-10-28,243
2016-10-29,243
2016-10-30,243
2016-10-31,230
2016-11-01,230
2016-11-02,230
2016-11-03,230
2016-11-04,230
2016-11-05,230
2016-11-06,230
2016-11-07,230
2016-11-08,230
2016-11-09,230
2016-11-10,230
2016-11-11,230
2016-11-12,218
2016-11-13,218
2016-11-14,218
2016-12-07,196
2016-12-08,196
2016-12-09,196
2016-12-10,196
2016-12-11,186
2016-12-12,186
2016-12-13,186
2016-12-14,186
2016-12-15,186
2016-12-16,186
2016-12-17,186
2016-12-18,176
2016-12-19,176
2016-12-20,176
2016-12-21,176
2016-12-22,176
2016-12-23,176
2016-12-24,176
2016-12-25,168
2016-12-26,168
2016-12-27,168
2016-12-28,168
2016-12-29,168
2016-12-30,168
2016-12-31,168
2017-01-01,168
2017-01-02,159
2017-01-03,159
2017-01-04,159
2017-01-05,159
2017-01-06,159
2017-01-07,159
2017-01-08,159
2017-01-09,151
2017-01-10,151
2017-01-11,151
2017-01-12,151
2017-01-13,151
2017-01-14,151
2017-01-15,151
2017-01-16,151
2017-01-17,143
2017-01-18,143
2017-01-19,143
2017-01-20,143
2017-01-21,143
2017-01-22,143
2017-01-27,135
2017-01-28,135
2017-01-29,135
2017-01-30,135
2017-01-31,135
2017-02-01,128
2017-02-02,128
2017-02-03,128
2017-02-04,128
2017-02-05,128
2017-02-06,128
2017-02-07,128
2017-02-08,121
2017-02-09,121
2017-02-10,121
2017-02-11,121
2017-02-12,121
2017-02-13,121
2017-02-14,121
2017-02-15,116
2017-02-16,116
2017-02-18,116
2017-02-19,116
2017-02-20,116
2017-02-21,116
2017-02-22,116
2017-02-23,110
2017-02-24,110
2017-02-25,110
2017-02-26,110
2017-02-27,110
2017-02-28,110
2017-03-01,110
2017-03-02,110
2017-03-03,104
2017-03-04,104
2017-03-05,104
2017-03-06,104
2017-03-07,104
2017-03-08,104
2017-03-09,104
2017-03-10,100
2017-03-11,100
2017-03-12,100
2017-03-13,100
2017-03-14,100
2017-03-15,100
2017-03-16,100
2017-03-17,100
2017-03-18,104
2017-03-19,104
2017-03-20,104
2017-03-21,104
2017-03-22,104
2017-03-23,104
2017-03-24,104
2017-03-25,104
2017-03-26,110
2017-03-27,110
2017-03-28,110
2017-03-29,110
2017-03-30,110
2017-03-31,110
2017-04-01,110
2017-04-02,116
2017-04-03,116
2017-04-04,116
2017-04-12,121
2017-04-13,121
2017-04-14,121
2017-04-15,121
2017-04-16,121
2017-04-17,126
2017-04-18,126
2017-04-19,126
2017-04-20,126
2017-04-21,126
2017-04-22,126
2017-04-23,126
2017-04-24,126
2017-04-25,133
2017-04-26,133
2017-04-27,133
2017-04-28,133
2017-04-29,133
2017-04-30,133
2017-05-01,133
2017-05-02,138
2017-05-03,138
2017-05-04,138
2017-05-05,138
2017-05-06,138
2017-05-07,138
2017-05-08,138
2017-05-09,139
2017-05-10,139
2017-05-11,139
2017-05-12,139
2017-05-13,139
2017-05-14,139
2017-05-15,139
2017-05-16,140
2017-05-17,140
2017-05-18,140
2017-05-19,140
2017-05-20,140
2017-05-21,140
2017-05-22,140
2017-05-23,140
2017-05-24,141
2017-05-25,141
2017-05-26,141
2017-05-27,141
2017-05-28,141
2017-05-29,141
2017-05-30,141
2017-05-31,141
2017-06-01,148
2017-06-02,148
2017-06-03,148
2017-06-06,148
2017-06-07,148
2017-06-08,148
2017-06-09,155
2017-06-10,155
2017-06-11,155
2017-06-12,155
2017-06-13,155
2017-06-14,155
2017-06-15,155
2017-06-16,152
2017-06-17,152
2017-06-18,152
2017-06-19,152
2017-06-20,152
2017-06-21,152
2017-06-22,152
2017-06-23,152
2017-06-24,152
2017-06-25,144
2017-06-26,144
2017-06-27,144
2017-06-28,144
2017-06-29,144
2017-06-30,144
2017-07-01,144
2017-07-02,144
2017-07-03,142
2017-07-04,142
2017-07-05,142
2017-07-06,142
2017-07-07,142
2017-07-08,142
2017-07-13,143
2017-07-14,143
2017-07-15,143
2017-07-16,143
2017-07-17,143
2017-07-18,143
2017-07-19,135
2017-07-20,135
2017-07-21,135
2017-07-22,135
2017-07-23,135
2017-07-24,135
2017-07-25,135
2017-07-26,128
2017-07-27,128
2017-07-28,128
2017-07-29,128
2017-07-30,128
2017-07-31,128
2017-08-01,128
2017-08-02,128
2017-08-03,121
2017-08-04,121
2017-08-05,121
2017-08-06,121
2017-08-09,121
2017-08-10,121
2017-08-11,114
2017-08-12,114
2017-08-13,114
2017-08-14,114
2017-08-15,114
2017-08-17,114
2017-08-18,114
2017-08-19,114
2017-08-20,108
2017-08-21,108
2017-08-22,108
2017-08-23,108
2017-08-24,108
2017-08-25,108
2017-08-26,108
2017-08-27,108
2017-08-28,108
2017-08-29,102
2017-08-30,102
2017-08-31,102
2017-09-01,102
2017-09-02,102
2017-09-03,102
2017-09-04,102
2017-09-05,102
2017-09-06,102
2017-09-07,96
2017-09-08,96
2017-09-09,96
2017-09-10,96
2017-09-11,96
2017-09-12,96
2017-09-13,96
2017-09-14,96
2017-09-15,91
2017-09-16,91
2017-09-17,91
2017-09-19,91
2017-09-20,91
2017-09-21,91
2017-09-22,86
2017-09-23,86
2017-09-24,86
2017-09-25,86
2017-09-26,86
2017-09-27,86
2017-09-28,86
2017-09-29,86
2017-09-30,86
2017-10-01,81
2017-10-02,81
2017-10-03,81
2017-10-04,81
2017-10-05,81
2017-10-06,81
2017-10-07,81
2017-10-08,81
2017-10-09,81
2017-10-10,76
2017-10-11,76
2017-10-12,76
2017-10-13,76
2017-10-14,76
2017-10-15,76
2017-10-16,76
2017-10-17,76
2017-10-18,76
2017-10-19,72
2017-10-20,72
2017-10-21,72
2017-10-22,72
2017-10-23,72
2017-10-24,72
2017-10-25,72
2017-10-26,72
2017-10-27,72
2017-10-28,72
2017-10-29,68
2017-10-30,68
2017-10-31,68
2017-11-01,68
2017-11-02,68
2017-11-03,68
2017-11-04,68
2017-11-05,68
2017-11-06,68
2017-11-07,65
2017-11-08,65
2017-11-09,65
2017-11-10,65
2017-11-11,65
2017-11-12,65
2017-11-13,65
2017-11-14,65
2017-11-15,65
2017-11-16,64
2017-11-17,64
2017-11-18,64
2017-11-19,64
2017-11-20,64
2017-11-21,64
2017-11-22,64
2017-11-23,64
2017-11-24,64
2017-11-25,64
2017-11-26,64
2017-11-27,64
2017-11-28,60
2017-11-29,60
2017-11-30,60
2017-12-01,60
2017-12-02,60
2017-12-03,60
2017-12-04,60
2017-12-05,60
2017-12-06,60
2017-12-07,60
2017-12-08,60
2017-12-09,58
2017-12-10,58
2017-12-11,58
2017-12-12,58
2017-12-14,58
2017-12-15,58
2017-12-16,58
2017-12-17,58
2017-12-18,58
2017-12-19,61
2017-12-20,61
2017-12-21,61
2017-12-22,61
2017-12-23,61
2017-12-24,61
2017-12-25,61
2017-12-26,61
2017-12-27,61
2017-12-28,61
2017-12-29,65
2017-12-30,65
2017-12-31,65
2018-01-01,65
2018-01-02,65
2018-01-03,65
2018-01-04,65
2018-01-05,65
2018-01-06,65
2018-01-07,65
2018-01-08,66
2018-01-09,66
2018-01-10,66
2018-01-11,66
2018-01-12,66
2018-01-13,66
2018-01-14,66
2018-01-15,66
2018-01-16,66
2018-01-17,66
2018-01-18,64
2018-01-19,64
2018-01-20,64
2018-01-21,64
2018-01-22,64
2018-01-23,64
2018-01-24,60
2018-01-25,60
2018-01-26,60
2018-01-27,60
2018-01-28,60
2018-01-29,60
2018-01-31,61
2018-02-01,61
2018-02-02,61
2018-02-03,61
2018-02-04,61
2018-02-05,61
2018-02-06,61
2018-02-07,64
2018-02-08,64
2018-02-09,64
2018-02-10,64
2018-02-11,64
2018-02-12,64
2018-02-13,64
2018-02-14,63
2018-02-15,63
2018-02-16,63
2018-02-17,63
2018-02-18,63
2018-02-19,63
2018-02-20,63
2018-02-21,59
2018-02-22,59
2018-02-23,59
2018-02-24,59
2018-02-25,59
