date_obj,Dark%20crab price
2015-09-18,1822
2015-09-19,1844
2015-09-20,1844
2015-09-21,1861
2015-09-22,1790
2015-09-23,1728
2015-09-24,1728
2015-09-25,1747
2015-09-27,1705
2015-09-28,1679
2015-09-29,1679
2015-09-30,1706
2015-10-05,1841
2015-10-06,1760
2015-10-07,1760
2015-10-08,1790
2015-10-09,1850
2015-10-10,1850
2015-10-11,1871
2015-10-12,1874
2015-10-13,1874
2015-10-14,1879
2015-10-15,1837
2015-10-16,1844
2015-10-17,1844
2015-10-18,1851
2015-10-19,1862
2015-10-20,1825
2015-10-22,1860
2015-10-23,1870
2015-10-24,1870
2015-10-25,1962
2015-10-26,2055
2015-10-27,2055
2015-10-29,2131
2015-10-30,2026
2015-10-31,1924
2015-11-01,1924
2015-11-02,1945
2015-11-03,1945
2015-11-04,1917
2015-11-05,1917
2015-11-06,1844
2015-11-07,1819
2015-11-08,1819
2015-11-09,1758
2015-11-10,1758
2015-11-11,1711
2015-11-12,1711
2015-11-13,1776
2015-11-14,1776
2015-11-15,1810
2015-11-16,1810
2015-11-17,1753
2015-11-18,1753
2015-11-19,1841
2015-11-20,1883
2015-11-21,1883
2015-11-22,1947
2015-11-23,1947
2015-11-24,1963
2015-11-25,1892
2015-11-26,1892
2015-11-27,1924
2015-11-28,1924
2015-11-29,1905
2015-11-30,1916
2015-12-01,1916
2015-12-02,1964
2015-12-03,1866
2015-12-04,1787
2015-12-05,1703
2015-12-06,1666
2015-12-07,1673
2015-12-08,1673
2015-12-09,1705
2015-12-10,1716
2015-12-11,1739
2015-12-12,1719
2015-12-13,1681
2015-12-14,1681
2015-12-15,1653
2015-12-16,1628
2015-12-17,1628
2015-12-18,1611
2015-12-19,1596
2015-12-20,1607
2015-12-21,1598
2015-12-22,1559
2015-12-23,1544
2015-12-24,1583
2015-12-25,1586
2015-12-26,1555
2015-12-27,1560
2015-12-28,1558
2015-12-29,1567
2015-12-30,1593
2015-12-31,1641
2016-01-01,1589
2016-01-02,1570
2016-01-03,1598
2016-01-04,1587
2016-01-05,1596
2016-01-06,1564
2016-01-07,1592
2016-01-08,1569
2016-01-09,1553
2016-01-10,1548
2016-01-11,1541
2016-01-12,1551
2016-01-13,1541
2016-01-14,1547
2016-01-15,1603
2016-01-16,1594
2016-01-17,1542
2016-01-18,1556
2016-01-19,1598
2016-01-20,1576
2016-01-21,1562
2016-01-22,1520
2016-01-23,1474
2016-01-24,1444
2016-01-25,1475
2016-01-26,1527
2016-01-27,1557
2016-01-28,1557
2016-01-29,1557
2016-01-30,1557
2016-01-31,1576
2016-02-01,1625
2016-02-02,1620
2016-02-03,1640
2016-02-04,1580
2016-02-05,1553
2016-02-06,1557
2016-02-07,1573
2016-02-08,1610
2016-02-09,1585
2016-02-10,1597
2016-02-11,1581
2016-02-12,1578
2016-02-13,1641
2016-02-14,1713
2016-02-15,1701
2016-02-16,1682
2016-02-17,1676
2016-02-18,1676
2016-02-19,1655
2016-02-20,1637
2016-02-21,1653
2016-02-22,1653
2016-02-23,1625
2016-02-24,1663
2016-02-25,1701
2016-02-26,1701
2016-02-27,1704
2016-02-28,1690
2016-03-01,1739
2016-03-02,1730
2016-03-03,1764
2016-03-04,1819
2016-03-05,1886
2016-03-06,1904
2016-03-07,1873
2016-03-08,1863
2016-03-09,1781
2016-03-10,1824
2016-03-11,1832
2016-03-12,1829
2016-03-13,1863
2016-03-14,1815
2016-03-15,1789
2016-03-16,1786
2016-03-17,1771
2016-03-18,1757
2016-03-19,1777
2016-03-20,1777
2016-03-21,1751
2016-03-22,1772
2016-03-23,1781
2016-03-24,1794
2016-03-25,1816
2016-03-26,1804
2016-03-27,1763
2016-03-28,1751
2016-03-29,1766
2016-03-30,1766
2016-03-31,1721
2016-04-01,1713
2016-04-02,1777
2016-04-03,1748
2016-04-04,1752
2016-04-05,1748
2016-04-06,1797
2016-04-07,1775
2016-04-08,1800
2016-04-09,1797
2016-04-10,1787
2016-04-11,1787
2016-04-12,1770
2016-04-13,1778
2016-04-14,1822
2016-04-15,1892
2016-04-16,1913
2016-04-17,1936
2016-04-18,1887
2016-04-19,1872
2016-04-20,1893
2016-04-21,1867
2016-04-22,1867
2016-04-23,1898
2016-04-24,1921
2016-04-25,1909
2016-04-26,1884
2016-04-27,1888
2016-04-28,1911
2016-04-29,1905
2016-04-30,1890
2016-05-01,1889
2016-05-02,1902
2016-05-03,1911
2016-05-04,1946
2016-05-05,1932
2016-05-06,1935
2016-05-07,1991
2016-05-08,2072
2016-05-09,2027
2016-05-10,1972
2016-05-11,2006
2016-05-12,2014
2016-05-13,2001
2016-05-14,2086
2016-05-15,2164
2016-05-16,2144
2016-05-17,2038
2016-05-18,1989
2016-05-19,1999
2016-05-22,1777
2016-05-23,1788
2016-05-24,1807
2016-05-25,1820
2016-05-26,1841
2016-05-27,1858
2016-05-28,1858
2016-05-29,1900
2016-05-30,1900
2016-05-31,1846
2016-06-01,1807
2016-06-02,1837
2016-06-03,1924
2016-06-04,1900
2016-06-05,1857
2016-06-06,1907
2016-06-07,1907
2016-06-08,1884
2016-06-09,1855
2016-06-10,1851
2016-06-11,1840
2016-06-12,1863
2016-06-13,1890
2016-06-14,1826
2016-06-15,1864
2016-06-16,1850
2016-06-17,1825
2016-06-18,1804
2016-06-19,1841
2016-06-20,1816
2016-06-21,1824
2016-06-22,1811
2016-06-23,1774
2016-06-24,1783
2016-06-25,1816
2016-06-26,1869
2016-06-27,1820
2016-06-28,1805
2016-06-29,1789
2016-06-30,1823
2016-07-01,1838
2016-07-02,1917
2016-07-03,1919
2016-07-04,1931
2016-07-05,1914
2016-07-06,1909
2016-07-07,1882
2016-07-08,1865
2016-07-09,1934
2016-07-10,1981
2016-07-11,1947
2016-07-12,1912
2016-07-13,1874
2016-07-14,1844
2016-07-15,1832
2016-07-16,1861
2016-07-17,1853
2016-07-18,1833
2016-07-23,1832
2016-07-24,1801
2016-07-25,1738
2016-07-26,1789
2016-07-27,1789
2016-07-28,1804
2016-07-29,1775
2016-07-30,1736
2016-07-31,1736
2016-08-01,1739
2016-08-02,1762
2016-08-03,1776
2016-08-04,1830
2016-08-05,1836
2016-08-06,1823
2016-08-07,1783
2016-08-08,1759
2016-08-09,1738
2016-08-10,1726
2016-08-11,1721
2016-08-12,1700
2016-08-13,1672
2016-08-14,1673
2016-08-15,1661
2016-08-16,1671
2016-08-17,1671
2016-08-18,1658
2016-08-19,1639
2016-08-20,1609
2016-08-21,1581
2016-08-22,1579
2016-08-23,1581
2016-08-24,1610
2016-08-25,1583
2016-08-26,1583
2016-08-28,1587
2016-08-31,1661
2016-09-01,1630
2016-09-02,1630
2016-09-03,1670
2016-09-04,1653
2016-09-05,1682
2016-09-06,1718
2016-09-07,1729
2016-09-08,1693
2016-09-09,1665
2016-09-10,1729
2016-09-11,1787
2016-09-12,1733
2016-09-13,1677
2016-09-14,1726
2016-09-15,1741
2016-09-16,1741
2016-09-17,1694
2016-09-18,1672
2016-09-19,1630
2016-09-20,1623
2016-09-21,1581
2016-09-22,1596
2016-09-23,1587
2016-09-24,1587
2016-09-25,1623
2016-09-26,1622
2016-09-27,1594
2016-09-28,1620
2016-09-29,1611
2016-09-30,1625
2016-10-01,1646
2016-10-02,1627
2016-10-03,1641
2016-10-04,1687
2016-10-05,1679
2016-10-06,1666
2016-10-07,1685
2016-10-08,1686
2016-10-09,1662
2016-10-10,1672
2016-10-11,1671
2016-10-12,1657
2016-10-13,1675
2016-10-14,1686
2016-10-15,1689
2016-10-16,1713
2016-10-17,1773
2016-10-18,1833
2016-10-19,1817
2016-10-20,1843
2016-10-21,1800
2016-10-22,1753
2016-10-23,1716
2016-10-24,1689
2016-10-25,1701
2016-10-26,1721
2016-10-27,1741
2016-10-28,1747
2016-10-29,1742
2016-10-30,1724
2016-10-31,1680
2016-11-01,1728
2016-11-02,1727
2016-11-03,1728
2016-11-04,1753
2016-11-05,1792
2016-11-06,1774
2016-11-07,1782
2016-11-08,1805
2016-11-09,1824
2016-11-10,1835
2016-11-11,1802
2016-11-12,1814
2016-11-13,1823
2016-11-14,1777
2016-11-15,1757
2016-12-07,1731
2016-12-08,1719
2016-12-09,1712
2016-12-10,1690
2016-12-11,1675
2016-12-12,1680
2016-12-13,1737
2016-12-14,1721
2016-12-15,1721
2016-12-16,1693
2016-12-17,1666
2016-12-18,1669
2016-12-19,1637
2016-12-20,1576
2016-12-21,1544
2016-12-22,1559
2016-12-23,1589
2016-12-24,1614
2016-12-25,1635
2016-12-26,1616
2016-12-27,1606
2016-12-28,1610
2016-12-29,1586
2016-12-30,1536
2016-12-31,1553
2017-01-01,1540
2017-01-02,1583
2017-01-03,1606
2017-01-04,1574
2017-01-05,1520
2017-01-06,1467
2017-01-07,1422
2017-01-08,1434
2017-01-09,1428
2017-01-10,1411
2017-01-11,1440
2017-01-12,1494
2017-01-13,1499
2017-01-14,1504
2017-01-15,1480
2017-01-16,1493
2017-01-17,1514
2017-01-18,1493
2017-01-19,1473
2017-01-20,1501
2017-01-21,1461
2017-01-22,1424
2017-01-23,1405
2017-01-27,1472
2017-01-28,1414
2017-01-29,1399
2017-01-30,1408
2017-01-31,1425
2017-02-01,1437
2017-02-02,1409
2017-02-03,1387
2017-02-04,1382
2017-02-05,1379
2017-02-06,1388
2017-02-07,1373
2017-02-08,1372
2017-02-09,1372
2017-02-10,1370
2017-02-11,1363
2017-02-12,1356
2017-02-13,1365
2017-02-14,1410
2017-02-15,1445
2017-02-16,1428
2017-02-18,1447
2017-02-19,1433
2017-02-20,1449
2017-02-21,1438
2017-02-22,1426
2017-02-23,1433
2017-02-24,1429
2017-02-25,1449
2017-02-26,1460
2017-02-27,1431
2017-02-28,1472
2017-03-01,1507
2017-03-02,1500
2017-03-03,1514
2017-03-04,1540
2017-03-05,1561
2017-03-06,1548
2017-03-07,1526
2017-03-08,1514
2017-03-09,1530
2017-03-10,1560
2017-03-11,1534
2017-03-12,1533
2017-03-13,1517
2017-03-14,1561
2017-03-15,1570
2017-03-16,1607
2017-03-17,1623
2017-03-18,1600
2017-03-19,1638
2017-03-20,1669
2017-03-21,1644
2017-03-22,1678
2017-03-23,1698
2017-03-24,1729
2017-03-25,1740
2017-03-26,1716
2017-03-27,1729
2017-03-28,1685
2017-03-29,1664
2017-03-30,1646
2017-03-31,1657
2017-04-01,1636
2017-04-02,1618
2017-04-03,1623
2017-04-04,1621
2017-04-12,1591
2017-04-13,1601
2017-04-14,1561
2017-04-15,1583
2017-04-16,1624
2017-04-17,1621
2017-04-18,1546
2017-04-19,1534
2017-04-20,1571
2017-04-21,1632
2017-04-22,1698
2017-04-23,1692
2017-04-24,1632
2017-04-25,1615
2017-04-26,1629
2017-04-27,1607
2017-04-28,1627
2017-04-29,1576
2017-04-30,1610
2017-05-01,1615
2017-05-02,1617
2017-05-03,1656
2017-05-04,1640
2017-05-05,1589
2017-05-06,1548
2017-05-07,1522
2017-05-08,1481
2017-05-09,1501
2017-05-10,1554
2017-05-11,1589
2017-05-12,1567
2017-05-13,1582
2017-05-14,1561
2017-05-15,1544
2017-05-16,1512
2017-05-17,1470
2017-05-18,1482
2017-05-19,1512
2017-05-20,1484
2017-05-21,1488
2017-05-22,1475
2017-05-23,1477
2017-05-24,1477
2017-05-25,1497
2017-05-26,1467
2017-05-27,1410
2017-05-28,1367
2017-05-29,1367
2017-05-30,1348
2017-05-31,1367
2017-06-01,1376
2017-06-02,1322
2017-06-03,1316
2017-06-04,1279
2017-06-05,1240
2017-06-06,1209
2017-06-07,1243
2017-06-08,1253
2017-06-09,1267
2017-06-10,1238
2017-06-11,1238
2017-06-12,1220
2017-06-13,1169
2017-06-14,1110
2017-06-15,1080
2017-06-16,1102
2017-06-17,1152
2017-06-18,1208
2017-06-19,1259
2017-06-20,1283
2017-06-21,1296
2017-06-22,1243
2017-06-23,1241
2017-06-24,1261
2017-06-25,1248
2017-06-26,1259
2017-06-27,1299
2017-06-28,1345
2017-06-29,1335
2017-06-30,1331
2017-07-01,1306
2017-07-02,1280
2017-07-03,1246
2017-07-04,1296
2017-07-05,1333
2017-07-06,1276
2017-07-07,1247
2017-07-08,1213
2017-07-13,1192
2017-07-14,1146
2017-07-15,1169
2017-07-16,1147
2017-07-17,1134
2017-07-18,1124
2017-07-19,1100
2017-07-20,1122
2017-07-21,1170
2017-07-22,1204
2017-07-23,1238
2017-07-24,1241
2017-07-25,1241
2017-07-26,1227
2017-07-27,1197
2017-07-28,1169
2017-07-29,1171
2017-07-30,1205
2017-07-31,1164
2017-08-01,1140
2017-08-02,1101
2017-08-03,1084
2017-08-04,1102
2017-08-05,1154
2017-08-06,1191
2017-08-09,1148
2017-08-10,1150
2017-08-11,1193
2017-08-12,1210
2017-08-13,1195
2017-08-14,1176
2017-08-15,1187
2017-08-16,1171
2017-08-17,1182
2017-08-18,1193
2017-08-19,1234
2017-08-20,1238
2017-08-21,1183
2017-08-22,1201
2017-08-23,1248
2017-08-24,1244
2017-08-25,1221
2017-08-26,1277
2017-08-27,1298
2017-08-28,1237
2017-08-29,1231
2017-08-30,1205
2017-08-31,1178
2017-09-01,1171
2017-09-03,1275
2017-09-04,1332
2017-09-05,1399
2017-09-06,1453
2017-09-07,1449
2017-09-08,1430
2017-09-09,1375
2017-09-10,1322
2017-09-11,1318
2017-09-12,1264
2017-09-13,1292
2017-09-14,1293
2017-09-15,1293
2017-09-16,1311
2017-09-17,1294
2017-09-18,1287
2017-09-19,1313
2017-09-20,1336
2017-09-21,1333
2017-09-22,1343
2017-09-23,1308
2017-09-24,1292
2017-09-25,1297
2017-09-26,1294
2017-09-27,1290
2017-09-28,1296
2017-09-29,1316
2017-09-30,1350
2017-10-01,1351
2017-10-02,1285
2017-10-03,1273
2017-10-04,1277
2017-10-05,1268
2017-10-06,1222
2017-10-07,1224
2017-10-08,1180
2017-10-09,1204
2017-10-10,1215
2017-10-11,1215
2017-10-12,1224
2017-10-13,1213
2017-10-14,1233
2017-10-15,1233
2017-10-16,1179
2017-10-17,1123
2017-10-18,1075
2017-10-19,1104
2017-10-20,1109
2017-10-21,1120
2017-10-22,1090
2017-10-23,1038
2017-10-24,1017
2017-10-25,1044
2017-10-26,1085
2017-10-27,1057
2017-10-28,1057
2017-10-29,1052
2017-10-30,1068
2017-10-31,1075
2017-11-01,1102
2017-11-02,1087
2017-11-03,1129
2017-11-04,1113
2017-11-05,1119
2017-11-06,1090
2017-11-07,1062
2017-11-08,1015
2017-11-09,1055
2017-11-10,1044
2017-11-11,1047
2017-11-12,1042
2017-11-13,1081
2017-11-14,1066
2017-11-15,1045
2017-11-16,1014
2017-11-17,1041
2017-11-18,1069
2017-11-19,1039
2017-11-20,1053
2017-11-21,1076
2017-11-22,1124
2017-11-23,1094
2017-11-24,1076
2017-11-25,1081
2017-11-26,1131
2017-11-27,1174
2017-11-28,1226
2017-11-29,1223
2017-11-30,1183
2017-12-01,1208
2017-12-02,1178
2017-12-03,1195
2017-12-04,1156
2017-12-05,1153
2017-12-06,1175
2017-12-07,1131
2017-12-08,1109
2017-12-09,1121
2017-12-10,1141
2017-12-11,1143
2017-12-12,1133
2017-12-13,1124
2017-12-14,1113
2017-12-15,1117
2017-12-16,1098
2017-12-17,1061
2017-12-18,1064
2017-12-19,1064
2017-12-20,1112
2017-12-21,1156
2017-12-22,1099
2017-12-23,1055
2017-12-24,1056
2017-12-25,1076
2017-12-26,1098
2017-12-27,1136
2017-12-28,1127
2017-12-29,1114
2017-12-30,1112
2017-12-31,1086
2018-01-01,1102
2018-01-02,1129
2018-01-03,1104
2018-01-04,1076
2018-01-05,1108
2018-01-06,1100
2018-01-07,1128
2018-01-08,1162
2018-01-09,1184
2018-01-10,1210
2018-01-11,1216
2018-01-12,1202
2018-01-13,1174
2018-01-14,1145
2018-01-15,1133
2018-01-16,1116
2018-01-17,1119
2018-01-18,1100
2018-01-19,1100
2018-01-20,1148
2018-01-21,1101
2018-01-22,1056
2018-01-23,1047
2018-01-24,1044
2018-01-25,1024
2018-01-26,1068
2018-01-27,1081
2018-01-28,1074
2018-01-29,1084
2018-01-30,1086
2018-01-31,1131
2018-02-01,1141
2018-02-02,1112
2018-02-03,1096
2018-02-04,1099
2018-02-05,1071
2018-02-06,1104
2018-02-07,1147
2018-02-08,1167
2018-02-09,1136
2018-02-10,1150
2018-02-11,1140
2018-02-12,1165
2018-02-13,1172
2018-02-14,1191
2018-02-15,1171
2018-02-16,1138
2018-02-17,1118
2018-02-18,1091
2018-02-19,1095
2018-02-20,1121
2018-02-21,1132
2018-02-22,1148
2018-02-23,1140
2018-02-24,1135
2018-02-25,1131
2018-02-26,1111
2018-02-27,1105
2018-02-28,1090
2018-03-01,1080
2018-03-02,1095
2018-03-03,1115
2018-03-04,1127
2018-03-05,1106
2018-03-06,1102
2018-03-07,1074
2018-03-08,1065
2018-03-09,1072
2018-03-10,1065
2018-03-11,1048
2018-03-12,1063
2018-03-13,1061
2018-03-14,1089
2018-03-15,1059
2018-03-16,1058
2018-03-17,1034
2018-03-18,1033
2018-03-19,1024
2018-03-20,1018
2018-03-21,1013
2018-03-23,1005
2018-03-24,1017
2018-03-25,1054
2018-03-26,1052
2018-03-27,1051
2018-03-28,1048
2018-03-29,1037
2018-03-30,1021
2018-03-31,1020
2018-04-01,1009
2018-04-02,987
2018-04-03,986
2018-04-04,980
2018-04-05,976
2018-04-06,977
2018-04-07,996
2018-04-08,995
2018-04-09,1010
2018-04-10,987
2018-04-11,983
2018-04-12,984
2018-04-13,989
2018-04-14,1026
2018-04-15,1004
2018-04-16,967
2018-04-17,965
2018-04-18,999
2018-04-19,1002
2018-04-20,987
2018-04-21,980
2018-04-22,971
2018-04-23,973
2018-04-24,996
2018-04-25,1010
2018-04-26,1027
2018-04-27,1025
2018-04-28,1023
2018-04-29,990
2018-04-30,979
2018-05-01,982
2018-05-03,987
2018-05-04,966
2018-05-05,984
2018-05-07,987
2018-05-08,979
2018-05-09,963
2018-05-10,955
2018-05-11,962
2018-05-12,973
2018-05-13,969
2018-05-14,985
2018-05-15,976
2018-05-16,962
2018-05-17,944
2018-05-18,928
2018-05-19,930
2018-05-20,935
2018-05-21,920
2018-05-22,931
2018-05-23,938
2018-05-24,938
2018-05-25,948
2018-05-26,946
2018-05-27,981
2018-05-28,985
2018-05-29,996
2018-05-30,1045
2018-05-31,1063
2018-06-01,1039
2018-06-02,1007
2018-06-03,1027
2018-06-04,1029
2018-06-05,1041
2018-06-06,1071
2018-06-07,1027
2018-06-08,992
2018-06-09,965
2018-06-10,980
2018-06-11,987
2018-06-12,957
2018-06-13,920
2018-06-14,916
2018-06-15,949
2018-06-16,956
2018-06-17,1004
2018-06-18,1035
2018-06-19,1044
2018-06-20,1066
2018-06-21,1096
2018-06-22,1111
2018-06-23,1092
2018-06-24,1084
2018-06-25,1116
2018-06-26,1166
2018-06-27,1145
2018-06-28,1089
2018-06-29,1100
2018-06-30,1121
2018-07-01,1147
2018-07-02,1190
2018-07-03,1187
2018-07-04,1194
2018-07-05,1241
2018-07-06,1252
2018-07-07,1219
2018-07-08,1185
2018-07-09,1156
2018-07-10,1159
2018-07-11,1143
2018-07-12,1132
2018-07-13,1136
2018-07-14,1166
2018-07-15,1193
2018-07-16,1232
2018-07-17,1232
2018-07-18,1289
2018-07-19,1289
2018-07-20,1328
2018-07-21,1354
2018-07-22,1330
2018-07-23,1303
2018-07-24,1311
2018-07-25,1321
2018-07-26,1330
2018-07-27,1307
2018-07-28,1306
2018-07-29,1305
2018-07-30,1280
2018-07-31,1306
2018-08-01,1326
2018-08-02,1352
2018-08-03,1403
2018-08-04,1415
2018-08-05,1481
2018-08-06,1433
2018-08-07,1369
2018-08-08,1319
2018-08-09,1289
2018-08-10,1313
2018-08-11,1362
2018-08-12,1416
2018-08-14,1377
2018-08-16,1349
2018-08-17,1324
2018-08-18,1331
2018-08-19,1313
2018-08-20,1289
2018-08-21,1262
2018-08-22,1250
2018-08-23,1238
2018-08-24,1213
2018-08-25,1202
2018-08-26,1229
2018-08-27,1261
2018-08-28,1224
2018-08-29,1232
2018-08-30,1197
2018-08-31,1198
2018-09-01,1198
2018-09-02,1198
2018-09-03,1239
2018-09-04,1252
2018-09-05,1244
2018-09-06,1230
2018-09-07,1202
2018-09-08,1200
2018-09-09,1210
2018-09-10,1183
2018-09-11,1187
2018-09-12,1175
2018-09-13,1177
2018-09-14,1169
2018-09-15,1183
2018-09-16,1189
2018-09-17,1191
2018-09-18,1166
2018-09-19,1151
2018-09-20,1138
2018-09-21,1160
2018-09-22,1162
2018-09-23,1142
2018-09-24,1160
2018-09-25,1142
2018-09-26,1142
2018-09-27,1096
2018-09-28,1094
2018-09-29,1098
2018-09-30,1102
2018-10-01,1114
2018-10-02,1125
2018-10-03,1154
2018-10-04,1148
2018-10-05,1134
2018-10-06,1111
2018-10-07,1138
2018-10-08,1160
2018-10-09,1146
2018-10-10,1147
2018-10-11,1161
2018-10-12,1171
2018-10-13,1227
2018-10-14,1247
2018-10-15,1260
2018-10-16,1263
2018-10-17,1295
2018-10-18,1287
2018-10-19,1271
2018-10-20,1287
2018-10-21,1312
2018-10-22,1369
2018-10-23,1423
2018-10-24,1493
2018-10-25,1532
2018-10-26,1527
2018-10-27,1475
2018-10-28,1411
2018-10-29,1421
2018-10-30,1368
2018-10-31,1305
2018-11-01,1322
2018-11-03,1342
2018-11-04,1319
2018-11-05,1327
2018-11-06,1308
2018-11-07,1270
2018-11-08,1318
2018-11-09,1274
2018-11-10,1274
2018-11-11,1252
2018-11-12,1248
2018-11-13,1236
2018-11-14,1199
2018-11-15,1215
2018-11-16,1229
2018-11-17,1246
2018-11-18,1235
2018-11-19,1223
2018-11-20,1200
2018-11-21,1187
2018-11-22,1205
2018-11-23,1222
2018-11-24,1206
2018-11-25,1266
2018-11-26,1273
2018-11-27,1287
2018-11-28,1249
2018-11-29,1239
2018-12-01,1186
2018-12-02,1215
2018-12-03,1229
2018-12-04,1260
2018-12-05,1302
2018-12-07,1214
2018-12-09,1205
2018-12-10,1262
2018-12-11,1301
2018-12-12,1305
2018-12-13,1345
2018-12-14,1374
2018-12-15,1410
2018-12-16,1367
2018-12-17,1351
2018-12-18,1331
2018-12-19,1325
2018-12-20,1306
2018-12-21,1301
2018-12-22,1330
2018-12-23,1390
2018-12-24,1454
2018-12-25,1470
2018-12-26,1441
2018-12-27,1464
2018-12-28,1474
2018-12-29,1454
2018-12-30,1440
2018-12-31,1439
2019-01-01,1499
2019-01-02,1530
2019-01-03,1529
2019-01-04,1517
2019-01-05,1462
2019-01-06,1414
2019-01-08,1410
2019-01-10,1439
2019-01-11,1402
2019-01-12,1387
2019-01-13,1444
2019-01-14,1498
2019-01-15,1485
2019-01-16,1560
2019-01-17,1638
2019-01-18,1596
2019-01-19,1523
2019-01-20,1558
2019-01-21,1564
2019-01-22,1518
2019-01-23,1506
2019-01-24,1549
2019-01-25,1535
2019-01-26,1507
2019-01-27,1481
2019-01-28,1506
2019-01-29,1507
2019-01-30,1482
2019-01-31,1482
2019-02-01,1464
2019-02-02,1486
2019-02-03,1518
2019-02-04,1541
2019-02-05,1520
2019-02-06,1460
2019-02-07,1415
2019-02-08,1439
2019-02-09,1391
2019-02-10,1334
2019-02-11,1350
2019-02-12,1414
2019-02-13,1401
2019-02-14,1357
2019-02-15,1357
2019-02-16,1418
2019-02-17,1428
2019-02-18,1361
2019-02-19,1387
2019-02-20,1359
2019-02-21,1348
2019-02-22,1307
2019-02-23,1245
2019-02-24,1250
2019-02-25,1281
2019-02-26,1331
2019-02-27,1275
2019-02-28,1254
2019-03-01,1245
2019-03-02,1308
2019-03-03,1341
2019-03-04,1297
2019-03-05,1319
2019-03-06,1305
2019-03-07,1312
2019-03-08,1295
2019-03-09,1295
2019-03-10,1284
2019-03-11,1262
2019-03-12,1213
2019-03-13,1222
2019-03-14,1226
2019-03-15,1280
2019-03-16,1294
2019-03-17,1294
2019-03-18,1296
2019-03-19,1307
2019-03-20,1284
2019-03-21,1266
2019-03-22,1258
2019-03-23,1266
2019-03-24,1324
2019-03-25,1331
2019-03-26,1327
2019-03-27,1303
2019-03-28,1276
2019-03-29,1244
2019-03-30,1264
2019-03-31,1234
2019-04-01,1206
2019-04-02,1190
