date_obj,Uncut%20ruby price
2017-07-05,1789
2017-07-06,1772
2017-07-07,1776
2017-07-08,1786
2017-07-13,1762
2017-07-14,1755
2017-07-15,1804
2017-07-16,1780
2017-07-17,1770
2017-07-18,1775
2017-07-19,1765
2017-07-20,1802
2017-07-21,1802
2017-07-22,1737
2017-07-23,1730
2017-07-24,1712
2017-07-25,1744
2017-07-26,1731
2017-07-27,1732
2017-07-28,1745
2017-07-29,1761
2017-07-30,1797
2017-07-31,1792
2017-08-01,1825
2017-08-02,1806
2017-08-03,1823
2017-08-04,1810
2017-08-05,1789
2017-08-06,1813
2017-08-09,1877
2017-08-10,1829
2017-08-11,1809
2017-08-12,1785
2017-08-13,1737
2017-08-14,1673
2017-08-15,1684
2017-08-16,1735
2017-08-17,1763
2017-08-18,1787
2017-08-19,1765
2017-08-20,1800
2017-08-21,1784
2017-08-22,1789
2017-08-23,1826
2017-08-24,1815
2017-08-25,1762
2017-08-26,1774
2017-08-27,1777
2017-08-28,1766
2017-08-29,1751
2017-08-30,1753
2017-08-31,1739
2017-09-01,1746
2017-09-02,1755
2017-09-03,1759
2017-09-04,1807
2017-09-05,1846
2017-09-06,1891
2017-09-07,1914
2017-09-08,1893
2017-09-09,1837
2017-09-10,1789
2017-09-11,1773
2017-09-12,1760
2017-09-13,1749
2017-09-14,1750
2017-09-15,1779
2017-09-16,1749
2017-09-17,1731
2017-09-19,1718
2017-09-20,1705
2017-09-21,1695
2017-09-22,1695
2017-09-23,1701
2017-09-24,1701
2017-09-25,1737
2017-09-26,1723
2017-09-27,1718
2017-09-28,1729
2017-09-29,1761
2017-09-30,1771
2017-10-01,1750
2017-10-02,1748
2017-10-03,1710
2017-10-04,1757
2017-10-05,1741
2017-10-06,1696
2017-10-07,1671
2017-10-08,1687
2017-10-09,1703
2017-10-10,1692
2017-10-11,1673
2017-10-12,1665
2017-10-13,1644
2017-10-14,1632
2017-10-15,1632
2017-10-16,1614
2017-10-17,1610
2017-10-18,1609
2017-10-19,1603
2017-10-20,1587
2017-10-21,1595
2017-10-22,1601
2017-10-23,1623
2017-10-24,1627
2017-10-25,1643
2017-10-26,1634
2017-10-27,1612
2017-10-28,1591
2017-10-29,1584
2017-10-30,1587
