date_obj,Dodgy%20necklace price
2018-07-19,720
2018-07-20,716
2018-07-21,705
2018-07-22,723
2018-07-23,760
2018-07-24,789
2018-07-25,790
2018-07-26,794
2018-07-27,821
2018-07-28,809
2018-07-29,827
2018-07-30,813
2018-07-31,789
2018-08-01,764
2018-08-02,756
2018-08-03,731
2018-08-04,714
2018-08-05,696
2018-08-06,675
2018-08-07,683
2018-08-08,716
2018-08-09,750
2018-08-10,783
2018-08-11,793
2018-08-12,806
2018-08-14,798
2018-08-16,746
2018-08-17,724
2018-08-18,700
2018-08-19,696
2018-08-20,727
2018-08-21,763
2018-08-22,792
2018-08-23,832
2018-08-24,853
2018-08-25,884
2018-08-26,925
2018-08-27,946
2018-08-28,968
2018-08-29,976
2018-08-30,968
2018-08-31,948
2018-09-01,913
2018-09-02,882
2018-09-03,870
2018-09-04,853
2018-09-05,829
2018-09-06,829
2018-09-07,798
2018-09-08,798
2018-09-09,798
2018-09-10,802
2018-09-11,807
2018-09-12,798
2018-09-13,819
2018-09-14,849
2018-09-15,864
2018-09-16,882
2018-09-17,896
2018-09-18,902
2018-09-19,905
2018-09-20,925
2018-09-21,939
2018-09-22,925
2018-09-23,916
2018-09-24,910
2018-09-25,899
2018-09-26,884
2018-09-27,870
2018-09-28,860
2018-09-29,849
2018-09-30,868
2018-10-02,887
2018-10-03,901
2018-10-04,928
2018-10-05,964
2018-10-06,1013
2018-10-07,1064
2018-10-08,1070
2018-10-09,1022
2018-10-10,972
2018-10-11,940
2018-10-12,909
2018-10-13,872
2018-10-14,874
2018-10-15,868
2018-10-16,869
2018-10-17,851
2018-10-18,852
2018-10-19,871
2018-10-20,854
2018-10-21,865
2018-10-22,893
2018-10-23,914
2018-10-24,926
2018-10-25,918
2018-10-26,903
2018-10-27,890
2018-10-28,883
2018-10-29,880
2018-10-30,904
2018-10-31,910
2018-11-01,917
2018-11-03,949
2018-11-04,994
2018-11-05,1036
2018-11-06,1044
2018-11-07,1048
2018-11-08,1028
2018-11-09,1029
2018-11-10,1007
2018-11-11,993
2018-11-12,978
2018-11-13,970
2018-11-14,966
2018-11-15,974
2018-11-16,950
2018-11-17,935
2018-11-18,927
2018-11-19,914
2018-11-20,895
2018-11-21,873
2018-11-22,851
2018-11-23,813
2018-11-24,780
2018-11-25,786
2018-11-26,823
2018-11-27,865
2018-11-28,909
2018-11-29,920
2018-12-01,973
2018-12-02,1006
2018-12-03,990
2018-12-04,971
2018-12-05,957
2018-12-07,951
2018-12-09,976
2018-12-10,1020
2018-12-11,1071
2018-12-12,1088
2018-12-13,1089
2018-12-14,1059
2018-12-15,1067
2018-12-16,1048
2018-12-17,1025
2018-12-18,1005
2018-12-19,961
2018-12-20,971
2018-12-21,970
2018-12-22,957
2018-12-23,947
2018-12-24,942
2018-12-25,946
2018-12-26,951
2018-12-27,965
2018-12-28,979
2018-12-29,966
2018-12-30,963
2018-12-31,986
2019-01-01,1033
2019-01-02,1038
2019-01-03,1008
2019-01-04,1027
2019-01-05,1018
2019-01-06,1035
2019-01-08,1101
2019-01-10,1147
2019-01-11,1112
2019-01-12,1129
2019-01-13,1125
2019-01-14,1109
2019-01-15,1092
2019-01-16,1119
2019-01-17,1138
2019-01-18,1166
2019-01-19,1197
2019-01-20,1203
2019-01-21,1199
2019-01-22,1160
2019-01-23,1121
2019-01-24,1071
2019-01-25,1052
2019-01-26,1026
2019-01-27,1001
2019-01-28,974
2019-01-29,939
2019-01-30,906
2019-01-31,896
2019-02-01,916
2019-02-02,929
2019-02-03,929
2019-02-04,948
2019-02-05,957
2019-02-06,1004
2019-02-07,1046
2019-02-08,1052
2019-02-09,1095
2019-02-10,1100
2019-02-11,1091
2019-02-12,1113
2019-02-13,1147
2019-02-14,1197
2019-02-15,1255
2019-02-16,1237
2019-02-17,1180
2019-02-18,1123
2019-02-19,1072
2019-02-20,1019
2019-02-21,968
2019-02-22,931
2019-02-23,915
2019-02-24,959
2019-02-25,1004
2019-02-26,1032
2019-02-27,1026
2019-02-28,998
2019-03-01,970
2019-03-02,938
2019-03-03,909
2019-03-04,934
2019-03-05,948
2019-03-06,932
2019-03-07,949
2019-03-08,962
2019-03-09,980
2019-03-10,995
2019-03-11,1012
2019-03-12,972
