date_obj,Red%20salamander price
2018-08-04,91
2018-08-05,91
2018-08-06,91
2018-08-07,91
2018-08-08,88
2018-08-09,88
2018-08-10,87
2018-08-11,87
2018-08-12,90
2018-08-14,87
2018-08-16,89
2018-08-17,90
2018-08-18,90
2018-08-19,88
2018-08-20,91
2018-08-21,91
2018-08-22,89
2018-08-23,89
2018-08-24,86
2018-08-25,82
2018-08-26,80
2018-08-27,81
2018-08-28,85
2018-08-29,85
2018-08-30,85
2018-08-31,86
2018-09-01,87
2018-09-02,87
2018-09-03,86
2018-09-04,88
2018-09-05,90
2018-09-06,90
2018-09-07,91
2018-09-08,90
2018-09-09,90
2018-09-10,91
2018-09-11,91
2018-09-12,91
2018-09-13,88
2018-09-14,89
2018-09-15,89
2018-09-16,89
2018-09-17,88
2018-09-18,88
2018-09-19,88
2018-09-20,88
2018-09-21,88
2018-09-22,86
2018-09-23,88
2018-09-24,87
2018-09-25,87
2018-09-26,86
2018-09-27,86
2018-09-28,87
2018-09-29,87
2018-09-30,85
2018-10-02,86
2018-10-03,88
2018-10-04,88
2018-10-05,86
2018-10-06,86
2018-10-07,86
2018-10-08,89
2018-10-09,88
2018-10-10,84
2018-10-11,83
2018-10-12,83
2018-10-13,85
2018-10-14,82
2018-10-15,81
2018-10-16,81
2018-10-17,83
2018-10-18,85
2018-10-19,87
2018-10-20,87
2018-10-21,84
2018-10-22,86
2018-10-23,86
2018-10-24,91
2018-10-25,87
2018-10-26,83
2018-10-27,78
2018-10-28,75
2018-10-29,75
2018-10-30,72
2018-10-31,70
2018-11-01,70
2018-11-03,68
2018-11-04,65
2018-11-05,63
2018-11-06,63
2018-11-07,63
2018-11-08,64
2018-11-09,64
2018-11-10,66
2018-11-11,63
2018-11-12,64
2018-11-13,64
2018-11-14,64
2018-11-15,64
2018-11-16,67
2018-11-17,67
2018-11-18,69
2018-11-19,68
2018-11-20,68
2018-11-21,68
2018-11-22,68
2018-11-23,66
2018-11-24,67
2018-11-25,64
2018-11-26,64
2018-11-27,60
2018-11-28,57
2018-11-29,55
2018-12-01,58
2018-12-02,59
2018-12-03,59
2018-12-04,61
2018-12-05,63
2018-12-07,61
2018-12-09,55
2018-12-10,52
2018-12-11,49
2018-12-12,48
2018-12-13,46
2018-12-14,44
2018-12-15,42
2018-12-16,40
2018-12-17,40
2018-12-18,39
2018-12-19,38
2018-12-20,38
2018-12-21,37
2018-12-22,37
2018-12-23,38
2018-12-24,39
2018-12-25,40
2018-12-26,42
2018-12-27,42
2018-12-28,43
2018-12-29,43
2018-12-30,44
2018-12-31,44
2019-01-01,45
2019-01-02,46
2019-01-03,44
2019-01-04,42
2019-01-05,40
2019-01-06,40
2019-01-08,41
2019-01-10,42
2019-01-11,42
2019-01-12,43
2019-01-13,42
2019-01-14,42
2019-01-15,44
2019-01-16,47
2019-01-17,49
2019-01-18,50
2019-01-19,53
2019-01-20,53
2019-01-21,56
2019-01-22,59
2019-01-23,59
2019-01-24,59
2019-01-25,59
2019-01-26,61
2019-01-27,62
2019-01-28,62
2019-01-29,59
2019-01-30,58
2019-01-31,60
