date_obj,Mystic%20set%20(dark) price
2019-07-27,271188
2019-07-28,275513
2019-07-29,274137
2019-07-30,271268
2019-07-31,273737
2019-08-01,273725
2019-08-02,273725
2019-08-03,264143
2019-08-04,264143
2019-08-05,267135
2019-08-06,264962
2019-08-07,260106
2019-08-08,260106
2019-08-09,264561
2019-08-10,265875
2019-08-11,265875
2019-08-12,265740
2019-08-13,265740
2019-08-14,262084
2019-08-15,257203
2019-08-16,263674
2019-08-17,263674
2019-08-18,268557
2019-08-19,271705
2019-08-20,271705
2019-08-21,267635
2019-08-22,265221
2019-08-23,265221
2019-08-24,265648
2019-08-24,265648
2019-08-25,265648
2019-08-25,265648
2019-08-26,270016
2019-08-26,270016
2019-08-27,270016
2019-08-27,270016
2019-08-28,267522
2019-08-29,267522
2019-08-30,267233
2019-08-31,267233
2019-09-01,263471
2019-09-02,263471
2019-09-03,261036
2019-09-04,261036
2019-09-05,264985
2019-09-06,264985
2019-09-07,262799
2019-09-08,259089
2019-09-09,259089
2019-09-10,258163
2019-09-11,264842
2019-09-12,264842
2019-09-13,265809
2019-09-14,262531
2019-09-15,271058
2019-09-16,277296
2019-09-17,277296
2019-09-18,274577
2019-09-19,274577
2019-09-20,278635
2019-09-21,278635
2019-09-22,282228
2019-09-23,282362
2019-09-24,282362
2019-09-25,284924
2019-09-26,276670
2019-09-27,276670
2019-09-28,274572
2019-09-29,274572
2019-09-30,274026
2019-10-01,275087
2019-10-02,275087
2019-10-03,273341
2019-10-04,273341
2019-10-05,270097
2019-10-06,269153
2019-10-07,269153
2019-10-08,267945
2019-10-09,267945
2019-10-10,266457
2019-10-11,266457
2019-10-12,266417
2019-10-13,270202
2019-10-14,275364
2019-10-15,275364
2019-10-16,270719
2019-10-17,270719
2019-10-18,267557
2019-10-19,274661
2019-10-20,274661
2019-10-21,270676
2019-10-22,270676
2019-10-23,271002
2019-10-24,271002
2019-10-25,278277
2019-10-26,286444
2019-10-27,286444
2019-10-28,286748
2019-10-29,286748
2019-10-30,295370
2019-10-31,295370
2019-11-01,304084
2019-11-02,300792
2019-11-03,294365
2019-11-04,294365
2019-11-05,290767
2019-11-06,290767
2019-11-07,283822
2019-11-08,283822
2019-11-09,281194
2019-11-10,280470
2019-11-11,287600
2019-11-12,287600
2019-11-13,289738
2019-11-14,289738
2019-11-15,292396
2019-11-16,297964
2019-11-17,297964
2019-11-18,300306
2019-11-19,300306
2019-11-20,293529
2019-11-21,293529
2019-11-22,291321
2019-11-23,291321
2019-11-24,290525
2019-11-25,286494
2019-11-26,284819
2019-11-27,284819
2019-11-28,287572
2019-11-29,287572
2019-11-30,283917
2019-12-01,283917
2019-12-02,276240
2019-12-03,274596
2019-12-04,274596
2019-12-05,274420
2019-12-06,274420
2019-12-07,278123
2019-12-08,278123
2019-12-09,277641
2019-12-10,274100
2019-12-11,274100
2019-12-12,273251
2019-12-13,273251
2019-12-14,283850
2019-12-15,283609
2019-12-16,283609
2019-12-17,290097
2019-12-18,290097
2019-12-19,299083
2019-12-20,299083
2019-12-21,308932
2019-12-22,312414
2019-12-23,312414
2019-12-24,321454
2019-12-25,321551
2019-12-26,321551
2019-12-27,331117
2019-12-28,334797
2019-12-29,334797
2019-12-30,337581
2019-12-31,337581
2020-01-01,337720
2020-01-02,334319
2020-01-03,334319
2020-01-04,331136
2020-01-05,329743
2020-01-06,329743
2020-01-07,331227
2020-01-08,331227
2020-01-09,326713
2020-01-10,324277
2020-01-11,321286
2020-01-12,317893
2020-01-13,317893
2020-01-14,312420
2020-01-15,312714
2020-01-16,320677
2020-01-17,320677
2020-01-18,329864
2020-01-19,326453
2020-01-20,326453
2020-01-21,320301
2020-01-22,318992
2020-01-23,318992
2020-01-24,315894
2020-01-25,315894
2020-01-26,307444
2020-01-27,307444
2020-01-28,297842
2020-01-29,294653
2020-01-30,294653
2020-01-31,285677
2020-02-01,293265
2020-02-02,292908
2020-02-03,292908
2020-02-04,283105
2020-02-05,283105
2020-02-06,269679
2020-02-07,269679
2020-02-08,263046
2020-02-09,262973
2020-02-10,260095
2020-02-11,260095
2020-02-12,257848
2020-02-13,257848
2020-02-14,257896
2020-02-15,257896
2020-02-16,259209
2020-02-17,257945
2020-02-18,258549
2020-02-19,258549
2020-02-20,255237
2020-02-21,255237
2020-02-22,258130
2020-02-23,248593
2020-02-24,241397
2020-02-25,235948
2020-02-26,244268
2020-02-27,244268
2020-02-28,249458
2020-02-29,249458
2020-03-01,254454
2020-03-02,265034
2020-03-03,269555
2020-03-04,269555
2020-03-05,277591
2020-03-06,287555
2020-03-07,287555
2020-03-08,286099
2020-03-09,293488
2020-03-10,290120
2020-03-11,290120
2020-03-12,284514
2020-03-13,284514
2020-03-14,287868
2020-03-15,285095
2020-03-16,277667
2020-03-17,278141
2020-03-18,284263
2020-03-19,284200
2020-03-20,282075
2020-03-21,280925
2020-03-22,291077
2020-03-23,302001
2020-03-24,295224
2020-03-25,288909
2020-03-26,280939
2020-03-27,274222
2020-03-28,281146
2020-03-29,277474
2020-03-30,273457
2020-03-31,269669
2020-04-01,269069
2020-04-02,276277
2020-04-03,276277
2020-04-04,278034
2020-04-05,279294
2020-04-06,273165
2020-04-07,275186
2020-04-08,277764
2020-04-09,273266
2020-04-10,268840
2020-04-11,268058
2020-04-12,279235
2020-04-13,287289
2020-04-14,280612
2020-04-15,278346
2020-04-16,276917
2020-04-17,279136
2020-04-18,288357
2020-04-19,292055
2020-04-20,292326
2020-04-21,289980
2020-04-22,285784
2020-04-23,282186
2020-04-24,276688
2020-04-25,277981
2020-04-26,281487
2020-04-27,279680
2020-04-28,273929
2020-04-29,275446
2020-04-30,269149
2020-05-01,266763
2020-05-02,268668
2020-05-03,266500
2020-05-04,263931
2020-05-05,261159
2020-05-06,265940
2020-05-07,277372
2020-05-08,277459
2020-05-09,277991
2020-05-10,276649
2020-05-11,271182
2020-05-12,265742
2020-05-13,262319
