date_obj,Mystic%20set%20(blue) price
2019-07-21,149092
2019-07-22,149551
2019-07-23,148953
2019-07-24,146063
2019-07-25,141244
2019-07-26,146464
2019-07-27,147928
2019-07-28,147073
2019-07-29,145770
2019-07-30,147301
2019-07-31,146567
2019-08-01,147131
2019-08-02,148847
2019-08-03,149142
2019-08-04,148352
2019-08-05,147681
2019-08-06,148735
2019-08-07,148545
2019-08-08,147357
2019-08-09,147240
2019-08-10,147011
2019-08-11,148108
2019-08-12,147785
2019-08-13,146449
2019-08-14,147402
2019-08-15,148040
2019-08-16,149733
2019-08-17,155245
2019-08-18,153467
2019-08-19,146856
2019-08-20,145450
2019-08-21,144911
2019-08-22,143486
2019-08-23,142803
2019-08-24,145262
2019-08-24,145262
2019-08-25,149722
2019-08-25,149722
2019-08-26,149384
2019-08-26,149384
2019-08-27,146919
2019-08-27,146919
2019-08-28,145848
2019-08-29,145194
2019-08-30,145920
2019-08-31,149147
2019-09-01,147998
2019-09-02,147998
2019-09-03,147187
2019-09-04,147317
2019-09-05,149799
2019-09-06,149799
2019-09-07,149656
2019-09-08,146739
2019-09-09,146908
2019-09-10,146992
2019-09-11,147407
2019-09-12,149156
2019-09-13,149744
2019-09-14,147849
2019-09-15,147235
2019-09-16,147481
2019-09-17,147603
2019-09-18,147241
2019-09-19,147647
2019-09-20,146926
2019-09-21,147282
2019-09-22,147181
2019-09-23,146891
2019-09-24,146891
2019-09-25,146440
2019-09-26,146541
2019-09-27,146541
2019-09-28,146791
2019-09-29,147325
2019-09-30,148479
2019-10-01,151009
2019-10-02,151009
2019-10-03,150088
2019-10-04,148923
2019-10-05,149365
2019-10-06,148288
2019-10-07,147121
2019-10-08,147235
2019-10-09,147235
2019-10-10,147315
2019-10-11,147104
2019-10-12,147083
2019-10-13,147076
2019-10-14,146826
2019-10-15,149543
2019-10-16,151659
2019-10-17,151659
2019-10-18,150852
2019-10-19,150897
2019-10-20,150539
2019-10-21,148081
2019-10-22,147757
2019-10-23,147344
2019-10-24,147746
2019-10-25,148028
2019-10-26,149653
2019-10-27,153028
2019-10-28,151520
2019-10-29,151520
2019-10-30,149966
2019-10-31,150729
2019-11-01,150534
2019-11-02,150319
2019-11-03,149905
2019-11-04,148340
2019-11-05,148340
2019-11-06,148288
2019-11-07,147682
2019-11-08,148087
2019-11-09,147047
2019-11-10,147632
2019-11-11,145913
2019-11-12,147530
2019-11-13,145632
2019-11-14,145268
2019-11-15,148186
2019-11-16,147013
2019-11-17,147013
2019-11-18,147516
2019-11-19,148275
2019-11-20,147944
2019-11-21,147944
2019-11-22,148145
2019-11-23,149077
2019-11-24,149041
2019-11-25,149777
2019-11-26,149583
2019-11-27,149583
2019-11-28,148849
2019-11-29,148849
2019-11-30,147451
2019-12-01,149534
2019-12-02,147460
2019-12-03,147918
2019-12-04,149351
2019-12-05,149351
2019-12-06,151434
2019-12-07,148277
2019-12-08,148596
2019-12-09,147948
2019-12-10,145656
2019-12-11,146669
2019-12-12,145662
2019-12-13,148107
2019-12-14,148077
2019-12-15,147964
2019-12-16,146788
2019-12-17,148936
2019-12-18,145349
2019-12-19,145283
2019-12-20,145794
2019-12-21,146465
2019-12-22,149272
2019-12-23,152767
2019-12-24,154664
2019-12-25,155772
2019-12-26,155772
2019-12-27,155837
2019-12-28,150244
2019-12-29,147404
2019-12-30,146667
2019-12-31,147226
2020-01-01,144615
2020-01-02,145096
2020-01-03,150189
2020-01-04,149326
2020-01-05,147870
2020-01-06,148298
2020-01-07,147951
2020-01-08,147951
2020-01-09,147116
2020-01-10,142899
2020-01-11,145160
2020-01-12,145196
2020-01-13,145196
2020-01-14,145871
2020-01-15,146826
2020-01-16,148168
2020-01-17,146643
2020-01-18,145682
2020-01-19,143610
2020-01-20,143821
2020-01-21,143821
2020-01-22,142969
2020-01-23,141987
2020-01-24,141369
2020-01-25,141153
2020-01-26,142786
2020-01-27,143906
2020-01-28,142404
2020-01-29,141027
2020-01-30,140652
2020-01-31,140975
2020-02-01,141197
2020-02-02,141058
2020-02-03,140737
2020-02-04,140884
2020-02-05,140869
2020-02-06,140880
2020-02-07,140858
2020-02-08,140316
2020-02-09,140217
2020-02-10,140893
2020-02-11,142040
2020-02-12,140915
2020-02-13,140575
2020-02-14,142761
2020-02-15,143553
2020-02-16,142399
2020-02-17,141524
2020-02-18,141453
2020-02-19,143106
2020-02-20,142658
2020-02-21,142658
2020-02-22,142771
2020-02-23,142433
2020-02-24,141651
2020-02-25,141677
2020-02-26,142174
2020-02-27,141480
2020-02-28,142100
2020-02-29,142383
2020-03-01,142480
2020-03-02,142251
2020-03-03,142359
2020-03-04,142265
2020-03-05,148234
2020-03-06,153468
2020-03-07,149538
2020-03-08,149055
2020-03-09,145604
2020-03-10,143208
2020-03-11,141908
2020-03-12,141623
2020-03-13,144541
2020-03-14,144890
2020-03-15,145436
2020-03-16,144932
2020-03-17,148120
2020-03-18,151879
2020-03-19,145588
2020-03-20,149635
2020-03-21,148580
2020-03-22,154966
2020-03-23,150662
2020-03-24,146778
2020-03-25,146782
2020-03-26,144843
2020-03-27,144439
2020-03-28,144981
2020-03-29,147711
2020-03-30,142711
2020-03-31,143845
2020-04-01,147392
2020-04-02,151838
2020-04-03,149260
2020-04-04,148279
2020-04-05,151533
2020-04-06,148703
2020-04-07,146167
2020-04-08,145830
2020-04-09,144637
2020-04-10,147069
2020-04-11,149387
2020-04-12,147858
2020-04-13,146149
2020-04-14,147247
2020-04-15,148277
2020-04-16,145851
2020-04-17,146560
2020-04-18,151126
2020-04-19,149001
2020-04-20,150624
2020-04-21,149582
2020-04-22,147390
2020-04-23,146353
2020-04-24,147936
2020-04-25,146706
2020-04-26,147641
2020-04-27,148037
2020-04-28,147407
2020-04-29,149738
2020-04-30,152201
2020-05-01,149212
2020-05-02,151618
2020-05-03,156919
2020-05-04,153230
2020-05-05,152753
2020-05-06,151610
2020-05-07,153591
2020-05-08,151757
2020-05-09,150146
2020-05-10,152659
2020-05-11,151075
2020-05-12,150534
2020-05-13,151859
