date_obj,Lava%20dragon%20bones price
2016-09-16,5255
2016-09-17,5377
2016-09-18,5377
2016-09-19,5468
2016-09-20,5468
2016-09-21,5583
2016-09-22,5437
2016-09-23,5437
2016-09-24,5238
2016-09-25,5043
2016-09-26,5043
2016-09-27,5024
2016-09-28,5139
2016-09-29,5139
2016-09-30,5136
2016-10-01,5175
2016-10-02,5175
2016-10-03,5221
2016-10-04,5221
2016-10-05,5205
2016-10-06,5244
2016-10-07,5244
2016-10-08,5218
2016-10-09,5218
2016-10-10,5235
2016-10-11,5276
2016-10-12,5276
2016-10-13,5252
2016-10-14,5153
2016-10-15,5154
2016-10-16,5154
2016-10-17,5200
2016-10-18,5200
2016-10-19,5424
2016-10-20,5424
2016-10-21,5438
2016-10-22,5438
2016-10-23,5684
2016-10-24,5655
2016-10-25,5655
2016-10-26,5635
2016-10-27,5635
2016-10-28,5618
2016-10-29,5787
2016-10-30,5787
2016-10-31,5901
2016-11-01,5901
2016-11-02,5999
2016-11-03,5999
2016-11-04,5953
2016-11-05,5953
2016-11-06,5983
2016-11-07,5983
2016-11-08,5990
2016-11-09,6232
2016-11-10,6232
2016-11-11,6167
2016-11-12,6036
2016-11-13,6036
2016-11-14,5860
2016-12-07,6095
2016-12-08,5973
2016-12-09,5837
2016-12-10,5837
2016-12-11,5938
2016-12-12,5938
2016-12-13,5855
2016-12-14,5783
2016-12-15,5783
2016-12-16,5858
2016-12-17,5824
2016-12-18,5824
2016-12-19,5865
2016-12-20,5957
2016-12-21,5794
2016-12-22,5794
2016-12-23,5661
2016-12-24,5661
2016-12-25,5700
2016-12-26,5700
2016-12-27,5660
2016-12-28,5636
2016-12-29,5640
2016-12-30,5664
2016-12-31,5695
2017-01-01,5779
2017-01-02,5859
2017-01-03,5859
2017-01-04,5747
2017-01-05,5747
2017-01-06,5718
2017-01-07,5727
2017-01-08,5764
2017-01-09,5533
2017-01-10,5661
2017-01-11,5525
2017-01-12,5689
2017-01-13,5689
2017-01-14,5664
2017-01-15,5715
2017-01-16,5741
2017-01-17,5774
2017-01-18,5685
2017-01-19,5685
2017-01-20,5583
2017-01-21,5662
2017-01-22,5662
2017-01-27,5892
2017-01-28,5880
2017-01-29,5938
2017-01-30,5938
2017-01-31,5859
2017-02-01,6130
2017-02-02,6130
2017-02-03,6071
2017-02-04,5964
2017-02-05,5964
2017-02-06,5831
2017-02-07,5831
2017-02-08,5792
2017-02-09,5792
2017-02-10,5751
2017-02-11,5748
2017-02-12,5748
2017-02-13,5751
2017-02-14,5763
2017-02-15,5763
2017-02-16,5730
2017-02-18,5706
2017-02-19,5564
2017-02-20,5564
2017-02-21,5536
2017-02-22,5536
2017-02-23,5527
2017-02-24,5527
2017-02-25,5565
2017-02-26,5565
2017-02-27,5539
2017-02-28,5461
2017-03-01,5461
2017-03-02,5422
2017-03-03,5422
2017-03-04,5379
2017-03-05,5379
2017-03-06,5408
2017-03-07,5474
2017-03-08,5474
2017-03-09,5519
2017-03-10,5443
2017-03-11,5431
2017-03-12,5431
2017-03-13,5254
2017-03-14,5413
2017-03-15,5496
2017-03-16,5506
2017-03-17,5484
2017-03-18,5560
2017-03-19,5653
2017-03-20,5652
2017-03-21,5654
2017-03-22,5651
2017-03-23,5711
2017-03-24,5695
2017-03-25,5695
2017-03-26,5609
2017-03-27,5592
2017-03-28,5592
2017-03-29,5662
2017-03-30,5659
2017-03-31,5475
2017-04-01,5475
2017-04-02,5429
2017-04-03,5534
2017-04-04,5534
2017-04-12,5610
2017-04-13,5545
2017-04-14,5458
2017-04-15,5466
2017-04-16,5314
2017-04-17,5551
2017-04-18,5727
2017-04-19,5571
2017-04-20,5301
2017-04-21,5055
2017-04-22,4812
2017-04-23,4845
2017-04-24,4879
2017-04-25,4944
2017-04-26,4944
2017-04-27,5148
2017-04-28,5098
2017-04-29,5103
2017-04-30,5188
2017-05-01,5188
2017-05-02,5219
2017-05-03,5037
2017-05-04,5048
2017-05-05,5212
2017-05-06,5365
2017-05-07,5575
2017-05-08,5631
2017-05-09,5627
2017-05-10,5386
2017-05-11,5386
2017-05-12,5229
2017-05-13,5038
2017-05-14,5038
2017-05-15,5061
2017-05-16,5053
2017-05-17,5053
2017-05-18,4993
2017-05-19,4993
2017-05-20,5176
2017-05-21,5176
2017-05-22,5300
2017-05-23,5300
2017-05-24,5180
2017-05-25,5114
2017-05-26,5077
2017-05-27,5097
2017-05-28,5097
2017-05-29,5329
2017-05-30,5593
2017-05-31,5751
2017-06-01,5694
2017-06-02,5979
2017-06-03,5979
2017-06-04,5978
2017-06-06,5612
2017-06-07,5483
2017-06-08,5483
2017-06-09,5283
2017-06-10,5117
2017-06-11,5034
2017-06-12,5034
2017-06-13,4995
2017-06-14,4920
2017-06-15,4934
2017-06-16,4878
2017-06-17,5040
2017-06-18,5022
2017-06-19,5022
2017-06-20,5226
2017-06-21,5258
2017-06-22,5258
2017-06-23,5475
2017-06-24,5663
2017-06-25,5724
2017-06-26,5664
2017-06-27,5401
2017-06-28,5401
2017-06-29,5207
2017-06-30,5043
2017-07-01,5043
2017-07-02,4883
2017-07-03,5016
2017-07-04,4885
2017-07-05,4885
2017-07-06,4929
2017-07-07,4929
2017-07-08,5033
2017-07-13,5062
2017-07-14,5153
2017-07-15,5153
2017-07-16,4954
2017-07-17,4911
2017-07-18,4940
2017-07-19,4934
2017-07-20,4913
2017-07-21,4981
2017-07-22,5155
2017-07-23,5090
2017-07-24,5090
2017-07-25,5185
2017-07-26,5290
2017-07-27,5099
2017-07-28,5061
2017-07-29,5061
2017-07-30,5014
2017-07-31,5014
2017-08-01,4982
2017-08-02,4983
2017-08-03,5101
2017-08-04,5079
2017-08-05,5130
2017-08-06,5158
2017-08-09,5020
2017-08-10,4944
2017-08-11,4777
2017-08-12,4946
2017-08-13,4935
2017-08-14,4902
2017-08-15,4896
2017-08-17,4927
2017-08-18,4927
2017-08-19,4976
2017-08-20,5015
2017-08-21,4960
2017-08-22,4983
2017-08-23,5148
2017-08-24,5187
2017-08-25,5159
2017-08-26,5043
2017-08-27,4930
2017-08-28,4944
2017-08-29,4944
2017-08-30,4841
2017-08-31,4736
2017-09-01,4756
2017-09-02,4769
2017-09-03,4769
2017-09-04,4765
2017-09-05,4972
2017-09-06,5005
2017-09-07,4879
2017-09-08,4879
2017-09-09,4978
2017-09-10,4968
2017-09-11,4890
2017-09-12,4890
2017-09-13,4959
2017-09-14,4935
2017-09-15,4935
2017-09-16,4797
2017-09-17,4712
2017-09-19,4895
2017-09-20,4947
2017-09-21,4894
2017-09-22,4771
2017-09-23,4771
2017-09-24,4637
2017-09-25,4700
2017-09-26,4652
2017-09-27,4652
2017-09-28,4677
2017-09-29,4665
2017-09-30,4669
2017-10-01,4737
2017-10-02,4649
2017-10-03,4649
2017-10-04,4622
2017-10-05,4604
2017-10-06,4497
2017-10-07,4574
2017-10-08,4583
2017-10-09,4563
2017-10-10,4424
2017-10-11,4424
2017-10-12,4548
2017-10-13,4642
2017-10-14,4855
2017-10-15,4855
2017-10-16,4862
2017-10-17,4862
2017-10-18,4879
2017-10-19,4796
2017-10-20,4805
2017-10-21,4863
2017-10-22,4832
2017-10-23,4775
2017-10-24,4850
2017-10-25,4868
2017-10-26,4785
2017-10-27,4825
2017-10-28,4825
2017-10-29,4949
2017-10-30,4836
2017-10-31,4824
2017-11-01,4824
2017-11-02,4879
2017-11-03,4838
2017-11-04,4825
2017-11-05,4897
2017-11-06,4840
2017-11-07,4819
2017-11-08,4820
2017-11-09,4791
2017-11-10,4813
2017-11-11,4818
2017-11-12,4808
2017-11-13,4783
2017-11-14,4749
2017-11-15,4745
2017-11-16,4652
2017-11-17,4491
2017-11-18,4491
2017-11-19,4390
2017-11-20,4579
2017-11-21,4801
2017-11-22,4958
2017-11-23,4881
2017-11-24,4672
2017-11-25,4587
2017-11-26,4758
2017-11-27,4758
2017-11-28,4693
2017-11-29,4730
2017-11-30,4706
2017-12-01,4652
2017-12-02,4652
2017-12-03,4679
2017-12-04,4690
2017-12-05,4667
2017-12-06,4758
2017-12-07,4784
2017-12-08,4784
2017-12-09,4803
2017-12-10,4838
2017-12-11,4810
2017-12-12,4872
2017-12-14,4738
2017-12-15,4818
2017-12-16,4936
2017-12-17,4904
2017-12-18,4838
2017-12-19,4725
2017-12-20,4748
2017-12-21,4853
2017-12-22,4820
2017-12-23,4913
2017-12-24,4885
2017-12-25,4973
2017-12-26,4985
2017-12-27,5027
2017-12-28,5077
2017-12-29,4954
2017-12-30,4890
2017-12-31,4890
2018-01-01,5001
2018-01-02,5046
2018-01-03,5050
2018-01-04,4936
2018-01-05,4966
2018-01-06,4887
2018-01-07,4888
2018-01-08,4887
2018-01-09,4829
2018-01-10,4766
2018-01-11,4817
2018-01-12,4842
2018-01-13,4817
2018-01-14,4848
2018-01-15,4788
2018-01-16,4778
2018-01-17,4859
2018-01-18,4843
2018-01-19,4843
2018-01-20,4834
2018-01-21,4826
2018-01-22,4785
2018-01-23,4804
2018-01-25,4743
2018-01-26,4741
2018-01-27,4740
2018-01-28,4589
2018-01-29,4530
2018-01-31,4638
2018-02-01,4482
2018-02-02,4391
2018-02-03,4336
2018-02-04,4316
2018-02-05,4261
2018-02-06,4102
2018-02-07,3963
2018-02-08,4025
2018-02-09,4002
2018-02-10,4070
2018-02-11,4099
2018-02-12,4156
2018-02-13,4069
2018-02-14,3987
2018-02-15,4119
2018-02-16,4095
2018-02-17,4115
2018-02-18,4122
2018-02-19,4089
2018-02-20,4181
2018-02-21,4132
2018-02-22,4129
2018-02-23,4099
2018-02-24,4024
2018-02-25,3950
2018-02-26,3982
2018-02-27,4067
2018-02-28,4067
2018-03-01,4036
2018-03-02,4077
2018-03-03,4025
2018-03-04,4064
2018-03-05,4080
2018-03-06,4036
2018-03-07,4034
2018-03-08,4011
2018-03-09,3997
2018-03-10,4038
2018-03-11,4033
2018-03-12,3934
2018-03-13,3959
2018-03-14,3949
2018-03-15,4038
2018-03-16,4099
2018-03-17,4091
2018-03-18,4204
2018-03-19,4359
2018-03-20,4533
2018-03-21,4499
2018-03-23,4298
2018-03-24,4293
2018-03-25,4128
2018-03-26,4090
2018-03-27,4143
2018-03-28,4223
2018-03-29,4204
2018-03-30,4170
2018-03-31,4153
2018-04-01,4169
2018-04-02,4228
2018-04-03,4197
2018-04-04,4096
2018-04-05,4076
2018-04-06,4031
2018-04-07,4122
2018-04-08,4148
2018-04-09,4146
2018-04-10,4277
2018-04-11,4266
2018-04-12,4209
2018-04-13,4320
2018-04-14,4417
2018-04-15,4456
2018-04-16,4605
2018-04-17,4638
2018-04-18,4645
2018-04-19,4694
2018-04-20,4785
2018-04-21,4689
2018-04-22,4745
2018-04-23,4702
2018-04-24,4687
2018-04-25,4785
2018-04-26,4714
2018-04-27,4705
2018-04-28,4651
2018-04-29,4633
2018-04-30,4548
2018-05-01,4472
2018-05-04,4572
2018-05-05,4722
2018-05-06,4835
2018-05-08,4788
2018-05-09,4788
2018-05-10,4751
2018-05-11,4771
2018-05-12,4793
2018-05-13,4789
2018-05-14,4848
2018-05-15,5009
2018-05-16,5207
2018-05-17,5296
2018-05-18,5377
2018-05-19,5428
2018-05-20,5480
2018-05-21,5513
2018-05-22,5384
2018-05-23,5284
2018-05-24,5188
2018-05-25,5163
2018-05-26,5248
2018-05-27,5347
2018-05-28,5287
2018-05-29,5240
2018-05-30,5202
2018-05-31,5016
2018-06-01,4897
2018-06-02,4701
2018-06-03,4672
2018-06-04,4711
2018-06-05,4725
2018-06-06,4673
2018-06-07,4642
2018-06-08,4694
2018-06-09,4686
2018-06-10,4757
2018-06-11,4840
2018-06-12,4818
2018-06-13,4814
2018-06-14,4698
2018-06-15,4719
2018-06-16,4763
2018-06-17,4766
2018-06-18,4805
2018-06-19,4677
2018-06-20,4677
2018-06-21,4643
2018-06-22,4709
2018-06-23,4776
2018-06-24,4936
2018-06-25,5107
2018-06-26,5165
2018-06-27,5072
2018-06-28,4962
2018-06-29,4797
2018-06-30,4780
2018-07-01,4781
2018-07-02,4857
2018-07-03,4836
2018-07-04,4811
2018-07-05,4681
2018-07-06,4569
2018-07-07,4520
2018-07-08,4457
2018-07-09,4449
2018-07-10,4422
2018-07-11,4472
2018-07-12,4519
2018-07-13,4656
2018-07-14,4715
2018-07-15,4772
2018-07-16,4819
2018-07-17,4934
2018-07-18,4938
2018-07-19,4804
2018-07-20,4756
2018-07-21,4847
2018-07-22,4856
2018-07-23,4842
2018-07-24,4883
2018-07-25,4857
2018-07-26,4866
2018-07-27,4850
2018-07-28,4843
2018-07-29,4860
2018-07-30,4887
2018-07-31,4989
2018-08-01,5078
2018-08-02,5220
2018-08-03,5357
2018-08-04,5422
2018-08-05,5308
2018-08-06,5293
2018-08-07,5078
2018-08-08,4949
2018-08-09,5006
2018-08-10,4965
2018-08-11,5004
2018-08-12,5108
2018-08-14,5078
2018-08-16,5042
2018-08-17,5057
2018-08-18,5015
2018-08-19,4971
2018-08-20,4850
2018-08-21,4987
2018-08-22,4936
2018-08-23,4895
2018-08-24,4831
2018-08-25,4942
2018-08-26,4938
2018-08-27,5019
2018-08-28,5123
2018-08-29,5293
2018-08-30,5432
2018-08-31,5667
2018-09-01,5892
2018-09-02,6134
2018-09-03,6440
2018-09-04,6477
2018-09-05,6444
2018-09-06,6420
2018-09-07,6446
2018-09-08,6442
2018-09-09,6638
2018-09-10,6561
2018-09-11,6434
2018-09-12,6624
2018-09-13,6527
2018-09-14,6570
2018-09-15,6521
2018-09-16,6484
2018-09-17,6358
2018-09-18,6212
2018-09-19,6008
2018-09-20,5740
2018-09-21,5534
2018-09-22,5666
2018-09-23,5950
2018-09-24,6149
2018-09-25,6149
2018-09-26,5977
2018-09-27,6215
2018-09-28,6134
2018-09-29,5985
2018-09-30,5826
2018-10-02,6005
2018-10-03,5910
2018-10-04,5907
2018-10-05,5752
2018-10-06,5693
2018-10-07,5776
2018-10-08,5773
2018-10-09,5794
2018-10-10,5804
2018-10-11,5729
2018-10-12,5710
2018-10-13,5748
2018-10-14,5695
2018-10-15,5585
2018-10-16,5507
2018-10-17,5310
2018-10-18,5181
2018-10-19,5161
2018-10-20,5309
2018-10-21,5362
2018-10-22,5472
2018-10-23,5423
2018-10-24,5397
2018-10-25,5359
2018-10-26,5483
2018-10-27,5516
2018-10-28,5630
2018-10-29,5595
2018-10-30,5707
2018-10-31,5683
2018-11-01,5808
2018-11-03,6326
2018-11-04,6624
2018-11-05,6818
2018-11-06,6779
2018-11-07,6824
2018-11-08,7040
2018-11-09,7052
2018-11-10,7100
2018-11-11,7100
2018-11-12,6946
2018-11-13,7200
2018-11-14,7287
2018-11-15,7254
2018-11-16,7567
2018-11-17,7656
2018-11-18,7559
2018-11-19,7465
2018-11-20,7325
2018-11-21,7067
