date_obj,Weapon%20poison price
2016-06-14,461
2016-06-15,461
2016-06-16,461
2016-06-17,461
2016-06-18,461
2016-06-19,441
2016-06-20,441
2016-06-21,441
2016-06-22,441
2016-06-23,441
2016-06-24,436
2016-06-25,436
2016-06-26,436
2016-06-27,436
2016-06-28,436
2016-06-29,419
2016-06-30,419
2016-07-01,419
2016-07-02,401
2016-07-03,401
2016-07-04,401
2016-07-05,401
2016-07-06,387
2016-07-07,387
2016-07-08,387
2016-07-09,387
2016-07-10,387
2016-07-11,381
2016-07-12,381
2016-07-13,381
2016-07-14,381
2016-07-15,381
2016-07-16,381
2016-07-17,389
2016-07-18,389
2016-07-24,394
2016-07-25,394
2016-07-26,394
2016-07-27,394
2016-07-28,394
2016-07-29,394
2016-07-30,396
2016-07-31,396
2016-08-01,396
2016-08-02,396
2016-08-03,396
2016-08-04,396
2016-08-05,396
2016-08-06,387
2016-08-07,387
2016-08-08,387
2016-08-09,387
2016-08-10,387
2016-08-11,387
2016-08-12,387
2016-08-13,387
2016-08-14,379
2016-08-15,379
2016-08-16,379
2016-08-17,379
2016-08-18,379
2016-08-19,379
2016-08-20,379
2016-08-21,360
2016-08-22,360
2016-08-23,360
2016-08-24,360
2016-08-25,360
2016-08-26,360
2016-08-28,343
2016-08-31,343
2016-09-01,343
2016-09-02,343
2016-09-03,343
2016-09-04,325
2016-09-05,325
2016-09-06,325
2016-09-07,325
2016-09-08,325
2016-09-09,325
2016-09-10,325
2016-09-11,310
2016-09-12,310
2016-09-13,310
2016-09-14,310
2016-09-15,310
2016-09-16,310
2016-09-17,310
2016-09-18,310
2016-09-19,301
2016-09-20,301
2016-09-21,301
2016-09-22,301
2016-09-23,301
2016-09-24,301
2016-09-25,301
2016-09-26,301
2016-09-27,301
2016-09-28,289
2016-09-29,289
2016-09-30,289
2016-10-01,289
2016-10-02,289
2016-10-03,289
2016-10-04,289
2016-10-05,289
2016-10-06,282
2016-10-07,282
2016-10-08,282
2016-10-09,282
2016-10-10,282
2016-10-11,282
2016-10-12,282
2016-10-13,281
2016-10-14,281
2016-10-15,281
2016-10-16,281
2016-10-17,281
2016-10-18,281
2016-10-19,281
2016-10-20,285
2016-10-21,285
2016-10-22,285
2016-10-23,285
2016-10-24,285
2016-10-25,285
2016-10-26,276
2016-10-27,276
2016-10-28,276
2016-10-29,276
2016-10-30,276
2016-10-31,276
2016-11-01,276
2016-11-02,286
2016-11-03,286
2016-11-04,286
2016-11-05,286
2016-11-06,286
2016-11-07,286
2016-11-08,286
2016-11-09,295
2016-11-10,295
2016-11-11,295
2016-11-12,295
2016-11-13,295
2016-11-14,295
2016-12-08,337
2016-12-09,337
2016-12-10,337
2016-12-11,337
2016-12-12,337
2016-12-13,341
2016-12-14,341
2016-12-15,341
2016-12-16,341
2016-12-17,341
2016-12-18,341
2016-12-19,344
2016-12-20,344
2016-12-21,344
2016-12-22,344
2016-12-23,344
2016-12-24,349
2016-12-25,349
2016-12-26,349
2016-12-27,349
2016-12-28,349
2016-12-29,349
2016-12-30,351
2016-12-31,351
2017-01-01,351
2017-01-02,351
2017-01-03,351
2017-01-04,354
2017-01-05,354
2017-01-06,354
2017-01-07,354
2017-01-08,354
2017-01-09,349
2017-01-10,349
2017-01-11,349
2017-01-12,349
2017-01-13,349
2017-01-14,346
2017-01-15,346
2017-01-16,346
2017-01-17,346
2017-01-18,356
2017-01-19,356
2017-01-20,356
2017-01-21,356
2017-01-22,356
2017-01-27,356
2017-01-28,341
2017-01-29,341
2017-01-30,341
2017-01-31,341
2017-02-01,341
2017-02-02,346
2017-02-03,346
2017-02-04,346
2017-02-05,346
2017-02-06,346
2017-02-07,354
2017-02-08,354
2017-02-09,354
2017-02-10,354
2017-02-11,340
2017-02-12,340
2017-02-13,340
2017-02-14,340
2017-02-15,340
2017-02-16,333
2017-02-18,333
2017-02-19,333
2017-02-20,333
2017-02-21,333
2017-02-22,321
2017-02-23,321
2017-02-24,321
2017-02-25,321
2017-02-26,321
2017-02-27,321
2017-02-28,319
2017-03-01,319
2017-03-02,319
2017-03-03,319
2017-03-04,319
2017-03-05,307
2017-03-06,307
2017-03-07,307
2017-03-08,307
2017-03-09,307
2017-03-10,304
2017-03-11,304
2017-03-12,304
2017-03-13,304
2017-03-14,304
2017-03-15,311
2017-03-16,311
2017-03-17,311
2017-03-18,311
2017-03-19,311
2017-03-20,324
2017-03-21,324
2017-03-22,324
2017-03-23,324
2017-03-24,324
2017-03-25,324
2017-03-26,311
2017-03-27,311
2017-03-28,311
2017-03-29,311
2017-03-30,311
2017-03-31,297
2017-04-01,297
2017-04-02,297
2017-04-03,297
2017-04-04,297
2017-04-12,268
2017-04-13,268
2017-04-14,268
2017-04-15,268
2017-04-16,259
2017-04-17,259
2017-04-18,259
2017-04-19,259
2017-04-20,259
2017-04-21,253
2017-04-22,253
2017-04-23,253
2017-04-24,253
2017-04-25,253
2017-04-26,253
2017-04-27,243
2017-04-28,243
2017-04-29,243
2017-04-30,243
2017-05-01,243
2017-05-02,251
2017-05-03,251
2017-05-04,251
2017-05-05,251
2017-05-06,251
2017-05-07,251
2017-05-08,248
2017-05-09,248
2017-05-10,248
2017-05-11,248
2017-05-12,248
2017-05-13,240
2017-05-14,240
2017-05-15,240
2017-05-16,240
2017-05-17,240
2017-05-18,240
2017-05-19,240
2017-05-20,240
2017-05-21,240
2017-05-22,240
2017-05-23,240
2017-05-24,240
2017-05-25,240
2017-05-26,241
2017-05-27,241
2017-05-28,241
2017-05-29,241
2017-05-30,241
2017-05-31,241
2017-06-01,235
2017-06-02,235
2017-06-03,235
2017-06-06,229
2017-06-07,229
2017-06-08,229
2017-06-09,229
2017-06-10,229
2017-06-11,233
2017-06-12,233
2017-06-13,233
2017-06-14,233
2017-06-15,233
2017-06-16,233
2017-06-17,231
2017-06-18,231
2017-06-19,231
2017-06-20,231
2017-06-21,231
2017-06-22,231
2017-06-23,231
2017-06-24,237
2017-06-25,237
2017-06-26,237
2017-06-27,237
