date_obj,Dragon%20crossbow price
2019-02-17,6170131
2019-02-18,6124583
2019-02-19,6117792
2019-02-20,6062575
2019-02-21,6063429
2019-02-22,6062852
2019-02-23,6141677
2019-02-24,6127557
2019-02-25,6066674
2019-02-26,5998412
2019-02-27,5914063
2019-02-28,5792713
2019-03-01,5737241
2019-03-02,5764214
2019-03-03,5808259
2019-03-04,5834943
2019-03-05,5787683
2019-03-06,5786551
2019-03-07,5828185
2019-03-08,5832366
2019-03-09,5843015
2019-03-10,5924179
2019-03-11,6060931
2019-03-12,5982225
2019-03-13,5951522
2019-03-14,5849837
2019-03-15,5736789
2019-03-16,5728047
2019-03-17,5716735
2019-03-18,5705058
2019-03-19,5701744
2019-03-20,5696914
2019-03-21,5688092
2019-03-22,5679391
2019-03-23,5706453
2019-03-24,5687484
2019-03-25,5674038
2019-03-26,5668049
2019-03-27,5679936
2019-03-28,5683381
2019-03-29,5600020
2019-03-30,5525860
2019-03-31,5513130
2019-04-01,5487078
2019-04-02,5444997
2019-04-03,5418628
2019-04-04,5397571
2019-04-05,5320030
2019-04-06,5251430
2019-04-07,5238276
2019-04-08,5226437
2019-04-09,5201483
2019-04-10,5170171
2019-04-11,5126564
2019-04-12,5091963
2019-04-13,5052135
2019-04-14,4939278
2019-04-15,4760300
2019-04-16,4585329
2019-04-17,4371192
2019-04-18,4228469
2019-04-19,4176534
2019-04-20,4152717
2019-04-21,4218774
2019-04-22,4406537
2019-04-23,4458597
2019-04-24,4602150
2019-04-25,4679890
2019-04-26,4532606
2019-04-27,4532969
2019-04-28,4517859
2019-04-29,4558288
2019-04-30,4542230
2019-05-01,4538722
2019-05-02,4507497
2019-05-03,4462717
2019-05-04,4459271
2019-05-05,4434273
2019-05-06,4451680
2019-05-07,4483050
2019-05-08,4518626
2019-05-09,4637929
2019-05-10,4650638
2019-05-11,4632397
2019-05-12,4635704
2019-05-13,4598769
2019-05-14,4575850
2019-05-15,4579978
2019-05-16,4536663
2019-05-17,4547256
2019-05-18,4517443
2019-05-19,4514505
2019-05-20,4495800
2019-05-21,4494238
2019-05-22,4474449
2019-05-23,4473436
2019-05-24,4457934
2019-05-25,4448458
2019-05-26,4521138
2019-05-27,4514444
2019-05-28,4505402
2019-05-29,4495780
2019-05-30,4485202
2019-05-31,4474859
2019-06-01,4455484
2019-06-02,4450509
2019-06-03,4430101
2019-06-04,4419909
2019-06-05,4398580
2019-06-06,4377461
2019-06-07,4342562
2019-06-08,4301619
2019-06-09,4233308
2019-06-10,4201014
2019-06-11,4112716
2019-06-12,4009649
2019-06-13,3978096
2019-06-14,3957056
2019-06-15,3970836
2019-06-16,4005321
2019-06-17,4060919
2019-06-18,4097794
2019-06-19,4241284
2019-06-20,4200452
2019-06-21,4166892
2019-06-22,4146147
2019-06-23,4111490
2019-06-24,4102068
2019-06-25,4071762
2019-06-26,4031210
2019-06-27,4012385
2019-06-28,4063907
2019-06-29,4133005
2019-06-30,4120845
2019-07-01,4186551
2019-07-02,4208017
2019-07-03,4224824
2019-07-04,4218338
2019-07-05,4172975
2019-07-06,4170579
2019-07-07,4155941
2019-07-08,4129801
2019-07-09,4120320
2019-07-10,4127439
2019-07-11,4111863
2019-07-12,4093911
2019-07-13,4079132
2019-07-14,4005270
2019-07-15,3931962
2019-07-16,3973036
2019-07-17,3921143
2019-07-18,3917269
2019-07-19,3903188
2019-07-20,3899064
2019-07-21,3879208
2019-07-22,3860552
2019-07-23,3846479
2019-07-24,3816329
2019-07-25,3687871
2019-07-26,3624326
2019-07-27,3538844
2019-07-28,3513024
2019-07-29,3429454
2019-07-30,3430567
2019-07-31,3375707
2019-08-01,3352138
2019-08-02,3318034
2019-08-03,3288018
2019-08-04,3261194
2019-08-05,3225595
2019-08-06,3169087
2019-08-07,3128234
2019-08-08,3099812
2019-08-09,3074824
2019-08-10,3042973
2019-08-11,3068137
2019-08-12,3081186
2019-08-13,3074900
2019-08-14,3061087
2019-08-15,3049958
2019-08-16,3052489
2019-08-17,3122891
2019-08-18,3190226
2019-08-19,3302214
2019-08-20,3293591
2019-08-21,3278467
2019-08-22,3254898
2019-08-23,3246405
2019-08-24,3265172
2019-08-24,3265172
2019-08-25,3368945
2019-08-25,3368945
2019-08-26,3331253
2019-08-27,3324709
2019-08-27,3324709
2019-08-28,3339433
2019-08-29,3337762
2019-08-30,3312401
2019-08-31,3297228
2019-09-01,3256472
2019-09-02,3252263
2019-09-03,3219364
2019-09-04,3181811
2019-09-05,3143084
2019-09-06,3114591
2019-09-07,3072060
2019-09-08,3065996
2019-09-09,3052161
2019-09-10,3033468
2019-09-11,3018886
2019-09-12,2979265
2019-09-13,2977489
2019-09-14,2964648
2019-09-15,2958992
2019-09-16,2950799
2019-09-17,2944920
2019-09-18,2938272
2019-09-19,2929433
2019-09-20,2920791
2019-09-21,2900937
2019-09-22,2879420
2019-09-23,2855327
2019-09-24,2826312
2019-09-25,2802755
2019-09-26,2776782
2019-09-27,2776359
2019-09-28,2788370
2019-09-29,2781493
2019-09-30,2810513
2019-10-01,2786924
2019-10-02,2787821
2019-10-03,2780792
2019-10-04,2776135
2019-10-05,2832169
2019-10-06,2861910
2019-10-07,2889982
2019-10-08,2878714
2019-10-09,2874983
2019-10-10,2863491
2019-10-11,2855830
2019-10-12,2845408
2019-10-13,2861297
2019-10-14,2853816
2019-10-15,2900265
2019-10-16,2911728
2019-10-17,2904088
2019-10-18,2901572
2019-10-19,2917375
2019-10-20,2911394
2019-10-21,2917171
2019-10-22,2918214
2019-10-23,2897692
2019-10-24,2885274
2019-10-25,2888254
2019-10-26,2881785
2019-10-27,2880204
2019-10-28,2873121
2019-10-29,2869792
2019-10-30,2864057
2019-10-31,2876448
2019-11-01,2866289
2019-11-02,2858982
2019-11-03,2844400
2019-11-04,2825590
2019-11-05,2818248
2019-11-06,2811896
2019-11-07,2810689
2019-11-08,2803551
2019-11-09,2821193
2019-11-10,2813498
2019-11-11,2806191
2019-11-12,2835981
2019-11-13,2841763
2019-11-14,2829372
2019-11-15,2831858
2019-11-16,2834908
2019-11-17,2857159
2019-11-18,2835542
2019-11-19,2829875
2019-11-20,2818871
2019-11-21,2844941
2019-11-22,2966035
2019-11-23,2891753
2019-11-24,2872890
2019-11-25,2858302
2019-11-26,2848986
2019-11-27,2854539
2019-11-28,2856639
2019-11-29,2837051
2019-11-30,2832775
2019-12-01,2836940
