date_obj,Zalcano%20shard price
2019-12-12,16292
2019-12-13,16873
2019-12-14,16873
2019-12-15,16648
2019-12-16,16648
2019-12-17,17451
2019-12-18,17451
2019-12-19,18082
2019-12-20,18708
2019-12-21,18484
2019-12-22,18094
2019-12-23,18094
2019-12-24,17207
2019-12-25,16608
2019-12-26,16608
2019-12-27,15796
2019-12-28,15006
2019-12-29,15006
2019-12-30,14484
2019-12-31,14484
2020-01-01,15094
2020-01-02,15604
2020-01-03,15604
2020-01-04,14824
2020-01-05,14082
2020-01-06,13919
2020-01-07,14549
2020-01-08,14549
2020-01-09,15275
2020-01-10,15832
2020-01-11,15805
2020-01-12,16433
2020-01-13,16433
2020-01-14,16968
2020-01-15,17084
2020-01-16,17649
2020-01-17,18036
2020-01-18,18036
2020-01-19,18225
2020-01-20,18091
2020-01-21,18091
2020-01-22,17734
2020-01-23,18030
2020-01-24,18454
2020-01-25,18454
2020-01-26,18381
2020-01-27,18903
2020-01-28,19098
2020-01-29,20037
2020-01-30,20983
2020-01-31,21641
2020-02-01,22600
2020-02-02,23700
2020-02-03,24885
2020-02-04,26130
2020-02-05,27018
2020-02-06,27563
2020-02-07,28801
2020-02-08,30242
2020-02-09,31601
2020-02-10,33179
2020-02-11,34838
2020-02-12,36579
2020-02-13,38349
2020-02-14,39339
2020-02-15,39339
2020-02-16,40442
2020-02-17,38838
2020-02-18,37237
2020-02-19,37237
2020-02-20,38057
2020-02-21,38057
2020-02-22,39416
2020-02-23,39416
2020-02-24,37468
2020-02-25,35892
2020-02-26,34413
2020-02-27,34183
2020-02-28,34938
2020-02-29,34938
2020-03-01,34966
2020-03-02,34966
2020-03-03,36051
2020-03-04,36051
2020-03-05,36794
2020-03-06,38440
2020-03-07,38440
2020-03-08,39988
2020-03-09,41988
2020-03-10,44088
2020-03-11,44088
2020-03-12,46293
2020-03-13,46293
2020-03-14,48593
2020-03-15,48593
2020-03-16,50729
2020-03-17,50729
2020-03-18,52449
2020-03-19,52449
2020-03-20,55068
2020-03-21,55068
2020-03-22,57822
2020-03-23,60670
2020-03-24,63684
2020-03-25,63684
2020-03-26,66862
2020-03-27,70033
2020-03-28,70033
2020-03-29,73524
2020-03-30,77201
2020-03-31,77201
2020-04-01,76552
2020-04-02,72738
2020-04-03,72738
2020-04-04,69276
2020-04-05,69276
2020-04-06,65812
2020-04-07,63615
2020-04-08,60452
2020-04-09,60452
2020-04-10,57820
2020-04-11,56125
2020-04-12,56281
2020-04-13,56281
2020-04-14,55496
2020-04-15,54248
2020-04-16,54248
2020-04-17,55395
2020-04-18,55482
2020-04-19,57616
2020-04-20,57616
2020-04-21,56118
2020-04-22,54043
2020-04-23,54043
2020-04-24,51590
2020-04-25,49758
2020-04-26,48033
2020-04-27,48247
2020-04-28,46285
2020-04-29,46285
2020-04-30,45486
2020-05-01,45486
2020-05-02,43642
2020-05-03,42110
2020-05-04,42110
2020-05-05,42023
2020-05-06,41589
2020-05-07,42511
2020-05-08,42511
2020-05-09,42261
2020-05-10,42577
2020-05-11,42577
2020-05-12,42307
2020-05-13,41926
