date_obj,Chilli%20potato price
2016-10-26,436
2016-10-27,436
2016-10-28,436
2016-10-29,439
2016-10-30,439
2016-10-31,439
2016-11-01,439
2016-11-02,439
2016-11-03,439
2016-11-04,432
2016-11-05,432
2016-11-06,432
2016-11-07,432
2016-11-08,432
2016-11-09,423
2016-11-10,423
2016-11-11,423
2016-11-12,423
2016-11-13,423
2016-11-14,423
2016-11-15,414
2016-12-07,406
2016-12-08,406
2016-12-09,406
2016-12-10,406
2016-12-11,406
2016-12-12,416
2016-12-13,416
2016-12-14,416
2016-12-15,416
2016-12-16,416
2016-12-17,406
2016-12-18,406
2016-12-19,406
2016-12-20,406
2016-12-21,406
2016-12-22,398
2016-12-23,398
2016-12-24,398
2016-12-25,398
2016-12-26,398
2016-12-27,394
2016-12-28,394
2016-12-29,394
2016-12-30,394
2016-12-31,394
2017-01-01,411
2017-01-02,411
2017-01-03,411
2017-01-04,411
2017-01-05,413
2017-01-06,413
2017-01-07,413
2017-01-08,413
2017-01-09,403
2017-01-10,403
2017-01-11,403
2017-01-12,403
2017-01-13,394
2017-01-14,394
2017-01-15,394
2017-01-16,386
2017-01-17,386
2017-01-18,386
2017-01-19,386
2017-01-20,387
2017-01-21,387
2017-01-22,387
2017-01-23,387
2017-01-27,386
2017-01-28,375
2017-01-29,375
2017-01-30,375
2017-01-31,375
2017-02-01,362
2017-02-02,362
2017-02-03,362
2017-02-04,362
2017-02-05,359
2017-02-06,359
2017-02-07,359
2017-02-08,359
2017-02-09,359
2017-02-10,357
2017-02-11,357
2017-02-12,357
2017-02-13,357
2017-02-14,368
2017-02-15,368
2017-02-16,368
2017-02-18,368
2017-02-19,364
2017-02-20,364
2017-02-21,364
2017-02-22,364
2017-02-23,364
2017-02-24,364
2017-02-25,354
2017-02-26,354
2017-02-27,354
2017-02-28,354
2017-03-01,355
2017-03-02,355
2017-03-03,355
2017-03-04,355
2017-03-05,352
2017-03-06,352
2017-03-07,352
2017-03-08,352
2017-03-09,352
2017-03-10,348
2017-03-11,348
2017-03-12,348
2017-03-13,348
2017-03-14,347
2017-03-15,347
2017-03-16,347
2017-03-17,347
2017-03-18,353
2017-03-19,353
2017-03-20,353
2017-03-21,353
2017-03-22,353
2017-03-23,353
2017-03-24,353
2017-03-25,353
2017-03-26,349
2017-03-27,349
2017-03-28,349
2017-03-29,349
2017-03-30,352
2017-03-31,352
2017-04-01,352
2017-04-02,352
2017-04-03,357
2017-04-04,357
2017-04-12,373
2017-04-13,373
2017-04-14,373
2017-04-15,372
2017-04-16,372
2017-04-17,372
2017-04-18,380
2017-04-19,380
2017-04-20,380
2017-04-21,380
2017-04-22,386
2017-04-23,386
2017-04-24,386
2017-04-25,389
2017-04-26,389
2017-04-27,389
2017-04-28,389
2017-04-29,382
2017-04-30,382
2017-05-01,382
2017-05-02,382
2017-05-03,381
2017-05-04,381
2017-05-05,381
2017-05-06,381
2017-05-07,379
2017-05-08,379
2017-05-09,379
2017-05-10,382
2017-05-11,382
2017-05-12,382
2017-05-13,382
2017-05-14,377
2017-05-15,377
2017-05-16,377
2017-05-17,377
2017-05-18,372
2017-05-19,372
2017-05-20,372
2017-05-21,372
2017-05-22,367
2017-05-23,367
2017-05-24,367
2017-05-25,367
2017-05-26,360
2017-05-27,360
2017-05-28,360
2017-05-29,360
2017-05-30,372
2017-05-31,372
2017-06-01,372
2017-06-02,372
2017-06-03,369
2017-06-04,369
2017-06-05,369
2017-06-06,355
2017-06-07,355
2017-06-08,355
2017-06-09,355
2017-06-10,345
2017-06-11,345
2017-06-12,345
2017-06-13,345
2017-06-14,336
2017-06-15,336
2017-06-16,336
2017-06-17,336
2017-06-18,332
2017-06-19,332
2017-06-20,332
2017-06-21,332
2017-06-22,336
2017-06-23,336
2017-06-24,336
2017-06-25,336
2017-06-26,345
2017-06-27,345
2017-06-28,345
2017-06-29,351
2017-06-30,351
2017-07-01,351
2017-07-02,351
2017-07-03,359
2017-07-04,359
2017-07-05,359
2017-07-06,359
2017-07-07,353
2017-07-08,353
2017-07-13,347
2017-07-14,347
2017-07-15,347
2017-07-16,347
2017-07-17,347
2017-07-18,347
2017-07-19,338
2017-07-20,338
2017-07-21,338
2017-07-22,338
2017-07-23,336
2017-07-24,336
2017-07-25,336
2017-07-26,336
2017-07-27,337
2017-07-28,337
2017-07-29,337
2017-07-30,337
2017-07-31,334
2017-08-01,334
2017-08-02,334
2017-08-03,334
2017-08-04,331
2017-08-05,331
2017-08-06,331
2017-08-09,348
2017-08-10,348
2017-08-11,348
2017-08-12,353
2017-08-13,353
2017-08-14,353
2017-08-15,353
2017-08-16,366
2017-08-17,366
2017-08-18,366
2017-08-19,366
2017-08-20,376
2017-08-21,376
2017-08-22,376
2017-08-23,376
2017-08-24,376
2017-08-25,395
2017-08-26,395
2017-08-27,395
2017-08-28,413
2017-08-29,413
2017-08-30,413
2017-08-31,413
2017-09-01,413
2017-09-02,434
2017-09-03,434
2017-09-04,434
2017-09-05,434
2017-09-06,455
2017-09-07,455
2017-09-08,455
2017-09-09,455
2017-09-10,478
2017-09-11,478
2017-09-12,478
2017-09-13,478
2017-09-14,502
2017-09-15,502
2017-09-16,502
2017-09-17,502
2017-09-18,528
2017-09-19,528
2017-09-20,528
2017-09-21,528
2017-09-22,555
2017-09-23,555
2017-09-24,555
2017-09-25,555
2017-09-26,555
2017-09-27,583
2017-09-28,583
2017-09-29,583
2017-09-30,583
2017-10-01,613
2017-10-02,613
2017-10-03,613
2017-10-04,613
2017-10-05,644
2017-10-06,644
2017-10-07,644
2017-10-08,644
2017-10-09,677
2017-10-10,677
2017-10-11,677
2017-10-12,677
2017-10-13,711
2017-10-14,711
2017-10-15,711
2017-10-16,711
2017-10-17,747
2017-10-18,747
2017-10-19,747
2017-10-20,747
2017-10-21,785
2017-10-22,785
2017-10-23,785
2017-10-24,785
2017-10-25,820
2017-10-26,820
2017-10-27,820
2017-10-28,820
2017-10-29,836
2017-10-30,836
2017-10-31,836
2017-11-01,836
2017-11-02,878
2017-11-03,878
2017-11-04,878
2017-11-05,887
2017-11-06,887
2017-11-07,887
2017-11-08,887
2017-11-09,932
2017-11-10,932
2017-11-11,932
2017-11-12,932
2017-11-13,973
2017-11-14,973
2017-11-15,973
2017-11-16,927
2017-11-17,927
2017-11-18,927
2017-11-19,888
2017-11-20,888
2017-11-21,850
2017-11-22,850
2017-11-23,850
2017-11-24,810
2017-11-25,810
2017-11-26,810
2017-11-27,777
2017-11-28,777
2017-11-29,777
2017-11-30,741
2017-12-01,741
2017-12-02,741
2017-12-03,706
2017-12-04,706
2017-12-05,706
2017-12-06,676
2017-12-07,676
2017-12-08,676
2017-12-09,645
2017-12-10,645
2017-12-11,613
2017-12-12,613
2017-12-13,613
2017-12-14,589
2017-12-15,589
2017-12-16,589
2017-12-17,572
2017-12-18,572
2017-12-19,572
2017-12-20,548
2017-12-21,548
2017-12-22,548
2017-12-23,523
2017-12-24,523
2017-12-25,523
2017-12-26,523
2017-12-27,510
2017-12-28,510
2017-12-29,510
2017-12-30,485
2017-12-31,485
2018-01-01,485
2018-01-02,463
2018-01-03,463
2018-01-04,463
2018-01-05,440
2018-01-06,440
2018-01-07,440
2018-01-08,419
2018-01-09,419
2018-01-10,419
2018-01-11,400
2018-01-12,400
2018-01-13,400
2018-01-14,380
