date_obj,Adamant%20knife price
2017-06-30,401
2017-07-01,401
2017-07-02,413
2017-07-03,423
2017-07-04,425
2017-07-05,425
2017-07-06,436
2017-07-07,436
2017-07-08,444
2017-07-09,427
2017-07-13,416
2017-07-14,425
2017-07-15,425
2017-07-16,433
2017-07-17,434
2017-07-18,440
2017-07-19,442
2017-07-20,441
2017-07-21,429
2017-07-22,439
2017-07-23,428
2017-07-24,428
2017-07-25,422
2017-07-26,422
2017-07-27,423
2017-07-28,421
2017-07-29,421
2017-07-30,421
2017-07-31,421
2017-08-01,420
2017-08-02,418
2017-08-03,414
2017-08-04,414
2017-08-05,402
2017-08-06,417
2017-08-07,412
2017-08-08,401
2017-08-09,408
2017-08-10,411
2017-08-11,411
2017-08-12,403
2017-08-13,383
2017-08-14,376
2017-08-15,383
2017-08-16,382
2017-08-17,392
2017-08-18,392
2017-08-19,406
2017-08-20,416
2017-08-21,429
2017-08-22,419
2017-08-23,406
2017-08-24,406
2017-08-25,408
2017-08-26,408
2017-08-27,403
2017-08-28,413
2017-08-29,413
2017-08-30,403
2017-08-31,403
2017-09-01,399
2017-09-02,405
2017-09-03,405
2017-09-04,412
2017-09-05,410
2017-09-06,406
2017-09-07,406
2017-09-08,406
2017-09-09,408
2017-09-10,409
2017-09-11,427
2017-09-12,427
2017-09-13,434
2017-09-14,432
2017-09-15,432
2017-09-16,432
2017-09-17,441
2017-09-18,444
2017-09-19,431
2017-09-20,421
2017-09-21,432
2017-09-22,425
2017-09-23,425
2017-09-24,415
2017-09-25,396
2017-09-26,397
2017-09-27,397
2017-09-28,393
2017-09-29,389
2017-09-30,386
2017-10-01,382
2017-10-02,385
2017-10-03,389
2017-10-04,389
2017-10-05,387
2017-10-06,388
2017-10-07,392
2017-10-08,401
2017-10-09,408
2017-10-10,419
2017-10-11,419
2017-10-12,416
2017-10-13,403
2017-10-14,397
2017-10-15,397
2017-10-16,391
2017-10-17,391
2017-10-18,392
2017-10-19,398
2017-10-20,387
2017-10-21,372
2017-10-22,364
2017-10-23,365
2017-10-24,362
2017-10-25,355
2017-10-26,356
2017-10-27,364
2017-10-28,364
2017-10-29,365
2017-10-30,350
2017-10-31,344
2017-11-01,344
2017-11-02,337
2017-11-03,337
2017-11-04,342
2017-11-05,342
2017-11-06,344
2017-11-07,344
2017-11-08,341
2017-11-09,339
2017-11-10,340
2017-11-11,333
2017-11-12,335
2017-11-13,341
2017-11-14,341
2017-11-15,349
2017-11-16,340
2017-11-17,337
2017-11-18,337
2017-11-19,338
2017-11-20,335
2017-11-21,339
2017-11-22,339
2017-11-23,340
2017-11-24,343
2017-11-25,353
2017-11-26,343
2017-11-27,343
2017-11-28,344
2017-11-29,360
2017-11-30,360
2017-12-01,359
2017-12-02,359
2017-12-03,358
2017-12-04,359
2017-12-05,360
2017-12-06,374
2017-12-07,382
2017-12-08,382
2017-12-09,389
2017-12-10,380
2017-12-11,384
2017-12-12,394
2017-12-13,394
2017-12-14,403
2017-12-15,388
2017-12-16,397
2017-12-17,392
2017-12-18,393
2017-12-19,393
2017-12-20,403
2017-12-21,410
2017-12-22,414
2017-12-23,419
2017-12-24,424
2017-12-25,424
2017-12-26,424
2017-12-27,407
2017-12-28,389
2017-12-29,386
2017-12-30,397
2017-12-31,397
2018-01-01,394
2018-01-02,390
2018-01-03,398
2018-01-04,412
2018-01-05,407
2018-01-06,409
2018-01-07,406
2018-01-08,401
2018-01-09,389
2018-01-10,389
2018-01-11,391
2018-01-12,388
2018-01-13,390
2018-01-14,389
2018-01-15,393
2018-01-16,390
2018-01-17,385
2018-01-18,372
