date_obj,Gilded%20magic%20wardrobe%20(flatpack) price
2017-01-07,812
2017-01-08,812
2017-01-09,812
2017-01-10,812
2017-01-11,812
2017-01-12,812
2017-01-13,812
2017-01-14,812
2017-01-15,812
2017-01-16,812
2017-01-17,812
2017-01-18,812
2017-01-19,812
2017-01-20,812
2017-01-21,812
2017-01-22,812
2017-01-23,812
2017-01-27,812
2017-01-28,812
2017-01-29,812
2017-01-30,812
2017-01-31,812
2017-02-01,812
2017-02-02,812
2017-02-03,812
2017-02-04,812
2017-02-05,812
2017-02-06,812
2017-02-07,812
2017-02-08,812
2017-02-09,812
2017-02-10,812
2017-02-11,812
2017-02-12,812
2017-02-13,812
2017-02-14,812
2017-02-15,812
2017-02-16,812
2017-02-18,812
2017-02-19,812
2017-02-20,812
2017-02-21,812
2017-02-22,812
2017-02-23,812
2017-02-24,812
2017-02-25,812
2017-02-26,812
2017-02-27,812
2017-02-28,812
2017-03-01,812
2017-03-02,812
2017-03-03,812
2017-03-04,812
2017-03-05,812
2017-03-06,812
2017-03-07,812
2017-03-08,812
2017-03-09,812
2017-03-10,812
2017-03-11,812
2017-03-12,812
2017-03-13,812
2017-03-14,812
2017-03-15,812
2017-03-16,812
2017-03-17,812
2017-03-18,812
2017-03-19,812
2017-03-20,812
2017-03-21,812
2017-03-22,812
2017-03-23,812
2017-03-24,812
2017-03-25,812
2017-03-26,812
2017-03-27,812
2017-03-28,812
2017-03-29,812
2017-03-30,812
2017-03-31,812
2017-04-01,812
2017-04-02,812
2017-04-03,812
2017-04-04,812
2017-04-12,849
2017-04-13,849
2017-04-14,849
2017-04-15,849
2017-04-16,849
2017-04-17,849
2017-04-18,849
2017-04-19,849
2017-04-20,849
2017-04-21,849
2017-04-22,849
2017-04-23,849
2017-04-24,849
2017-04-25,849
2017-04-26,849
2017-04-27,849
2017-04-28,849
2017-04-29,849
2017-04-30,849
2017-05-01,849
2017-05-02,849
2017-05-03,849
2017-05-04,849
2017-05-05,849
2017-05-06,849
2017-05-07,849
2017-05-08,849
2017-05-09,849
2017-05-10,849
2017-05-11,849
2017-05-12,849
2017-05-13,849
2017-05-14,849
2017-05-15,849
2017-05-16,849
2017-05-17,849
2017-05-18,849
2017-05-19,849
2017-05-20,849
2017-05-21,849
2017-05-22,849
2017-05-23,849
2017-05-24,849
2017-05-25,849
2017-05-26,849
2017-05-27,849
2017-05-28,849
2017-05-29,849
2017-05-30,849
2017-05-31,849
2017-06-01,849
2017-06-02,849
2017-06-03,849
2017-06-04,849
2017-06-05,849
2017-06-06,849
2017-06-07,849
2017-06-08,849
2017-06-09,849
2017-06-10,849
2017-06-11,849
2017-06-12,849
2017-06-13,849
2017-06-14,849
2017-06-15,849
2017-06-16,849
2017-06-17,849
2017-06-18,849
2017-06-19,849
2017-06-20,849
2017-06-21,849
2017-06-22,849
2017-06-23,849
2017-06-24,849
2017-06-25,849
2017-06-26,849
2017-06-27,849
2017-06-28,849
