date_obj,Book%20of%20balance%20page%20set price
2015-07-10,149005
2015-07-11,155920
2015-07-12,155920
2015-07-13,155920
2015-07-14,163362
2015-07-15,163362
2015-07-16,163362
2015-07-17,170649
2015-07-18,170649
2015-07-19,170649
2015-07-20,170649
2015-07-21,178573
2015-07-22,178573
2015-07-23,178573
2015-07-24,186525
2015-07-25,186525
2015-07-26,186525
2015-07-27,186525
2015-07-28,194501
2015-07-29,194501
2015-07-30,194501
2015-07-31,194501
2015-08-01,203494
2015-08-02,203494
2015-08-03,212686
2015-08-04,212686
2015-08-05,212686
2015-08-06,220775
2015-08-07,220775
2015-08-08,220775
2015-08-09,220775
2015-08-10,228858
2015-08-11,228858
2015-08-12,228858
2015-08-13,228858
2015-08-14,235943
2015-08-15,235943
2015-08-16,235943
2015-08-17,235943
2015-08-18,244324
2015-08-19,244324
2015-08-20,244324
2015-08-21,244324
2015-08-22,252815
2015-08-23,252815
2015-08-24,252815
2015-08-25,252815
2015-08-26,252815
2015-08-27,256445
2015-08-28,256445
2015-08-29,256445
2015-08-30,256445
2015-08-31,248032
2015-09-01,248032
2015-09-02,248032
2015-09-03,248032
2015-09-04,248032
2015-09-05,247743
2015-09-06,247743
2015-09-07,247743
2015-09-08,247743
2015-09-09,243026
2015-09-10,243026
2015-09-11,243026
2015-09-12,243026
2015-09-13,232871
2015-09-14,232871
2015-09-15,232871
2015-09-16,232871
2015-09-17,221227
2015-09-18,221227
2015-09-19,221227
2015-09-20,221227
2015-09-21,221227
2015-09-22,210165
2015-09-23,210165
2015-09-24,210165
2015-09-25,210165
2015-09-27,199656
2015-09-28,199656
2015-09-29,199656
2015-09-30,199656
2015-10-05,181088
2015-10-06,181088
2015-10-07,181088
2015-10-08,181088
2015-10-09,172850
2015-10-10,172850
2015-10-11,172850
2015-10-12,172850
2015-10-13,172850
2015-10-14,170878
2015-10-15,170878
2015-10-16,170878
2015-10-17,170878
2015-10-18,170869
2015-10-19,170869
2015-10-20,170869
2015-10-22,170157
2015-10-23,170157
2015-10-24,170157
2015-10-25,173811
2015-10-26,173811
2015-10-27,173811
2015-10-29,178777
2015-10-30,178777
2015-10-31,178777
2015-11-01,178777
2015-11-02,185205
2015-11-03,185205
2015-11-04,185205
2015-11-05,185205
2015-11-06,192125
2015-11-07,192125
2015-11-08,192125
2015-11-09,192125
2015-11-10,192125
2015-11-11,200302
2015-11-12,200302
2015-11-13,200302
2015-11-14,200302
2015-11-15,200302
2015-11-16,203577
2015-11-17,203577
2015-11-18,203577
2015-11-19,203577
2015-11-20,203577
2015-11-21,207442
2015-11-22,207442
2015-11-23,207442
2015-11-24,207442
2015-11-25,212171
2015-11-26,212171
2015-11-27,212171
2015-11-28,212171
2015-11-29,220532
2015-11-30,220532
2015-12-01,220532
2015-12-02,220532
2015-12-03,229141
2015-12-04,229141
2015-12-05,229141
2015-12-06,229141
2015-12-07,236924
2015-12-08,236924
2015-12-09,236924
2015-12-10,236924
2015-12-11,242684
2015-12-12,242684
2015-12-13,242684
2015-12-14,242684
2015-12-15,253164
2015-12-16,253164
2015-12-17,253164
2015-12-18,253164
2015-12-19,253164
2015-12-20,253163
2015-12-21,253163
2015-12-22,253163
2015-12-23,253163
2015-12-24,248429
2015-12-25,248429
2015-12-26,248429
2015-12-27,239611
2015-12-28,239611
2015-12-29,239611
2015-12-30,228759
2015-12-31,228759
2016-01-01,228759
2016-01-02,228759
2016-01-03,222557
2016-01-04,222557
2016-01-05,222557
2016-01-06,216269
2016-01-07,216269
2016-01-08,216269
2016-01-09,216269
2016-01-10,220327
2016-01-11,220327
2016-01-12,220327
2016-01-13,223863
2016-01-14,223863
2016-01-15,223863
2016-01-16,231924
2016-01-17,231924
2016-01-18,231924
2016-01-19,231924
2016-01-20,234200
2016-01-21,234200
2016-01-22,234200
2016-01-23,234200
2016-01-24,233750
2016-01-25,233750
2016-01-26,233750
2016-01-27,227321
2016-01-28,227321
2016-01-29,227321
2016-01-30,227321
2016-01-31,216578
2016-02-01,216578
2016-02-02,216578
2016-02-03,206443
2016-02-04,206443
2016-02-05,206443
2016-02-06,206443
2016-02-07,196180
2016-02-08,196180
2016-02-09,196180
2016-02-10,190594
2016-02-11,190594
2016-02-12,190594
2016-02-13,193664
2016-02-14,193664
2016-02-15,193664
2016-02-16,199931
2016-02-17,199931
2016-02-18,199931
2016-02-19,199931
2016-02-20,202785
2016-02-21,202785
2016-02-22,202785
2016-02-23,212517
2016-02-24,212517
2016-02-25,212517
2016-02-26,212517
2016-02-27,219393
2016-02-28,219393
2016-02-29,219393
2016-03-01,219393
2016-03-02,214578
2016-03-03,214578
2016-03-04,218023
2016-03-05,218023
2016-03-06,218023
2016-03-07,224485
2016-03-08,224485
2016-03-09,224485
2016-03-10,224655
2016-03-11,224655
2016-03-12,224655
2016-03-13,224655
2016-03-14,216470
2016-03-15,216470
2016-03-16,216470
2016-03-17,207957
2016-03-18,207957
2016-03-19,207957
2016-03-20,199609
2016-03-21,199609
2016-03-22,199609
2016-03-23,199609
2016-03-24,189630
2016-03-25,189630
2016-03-26,189630
2016-03-27,186269
2016-03-28,186269
2016-03-29,186269
2016-03-30,183943
2016-03-31,183943
2016-04-01,183943
2016-04-02,183943
2016-04-03,179564
2016-04-04,179564
2016-04-05,179564
2016-04-06,179564
2016-04-07,174398
2016-04-08,174398
2016-04-09,174398
2016-04-10,170840
2016-04-11,170840
2016-04-12,170840
2016-04-13,170840
2016-04-14,164536
2016-04-15,164536
2016-04-16,164536
2016-04-17,165278
2016-04-18,165278
2016-04-19,165278
2016-04-20,161573
2016-04-21,161573
2016-04-22,161573
2016-04-23,161573
2016-04-24,157290
2016-04-25,157290
2016-04-26,157290
2016-04-27,149860
2016-04-28,149860
2016-04-29,149860
2016-04-30,149860
2016-05-01,143522
2016-05-02,143522
2016-05-03,143522
2016-05-04,143522
2016-05-05,136345
2016-05-06,136345
2016-05-07,136345
2016-05-08,136345
2016-05-09,129537
2016-05-10,129537
2016-05-11,129537
2016-05-12,129537
2016-05-13,123060
2016-05-14,123060
2016-05-15,123060
2016-05-16,116907
2016-05-17,116907
2016-05-18,116907
2016-05-19,111182
2016-05-22,105634
2016-05-23,105634
2016-05-24,105634
2016-05-25,101129
2016-05-26,101129
2016-05-27,101129
2016-05-28,101546
2016-05-29,101546
2016-05-30,101546
2016-05-31,105637
2016-06-01,105637
2016-06-02,105637
2016-06-03,110334
2016-06-04,110334
2016-06-05,110334
2016-06-06,115160
2016-06-07,115160
2016-06-08,115160
2016-06-09,119396
2016-06-10,119396
2016-06-11,119396
2016-06-12,124872
2016-06-13,124872
2016-06-14,124872
2016-06-15,124872
2016-06-16,126935
2016-06-17,126935
2016-06-18,126935
2016-06-19,126140
2016-06-20,126140
2016-06-21,126140
2016-06-22,128484
2016-06-23,128484
2016-06-24,128484
2016-06-25,124327
2016-06-26,124327
2016-06-27,124327
2016-06-28,124327
2016-06-29,122276
2016-06-30,122276
2016-07-01,122276
2016-07-02,118405
2016-07-03,118405
2016-07-04,118405
2016-07-05,115670
2016-07-06,115670
2016-07-07,115670
2016-07-08,110726
2016-07-09,110726
2016-07-10,110726
2016-07-11,105368
2016-07-12,105368
2016-07-13,105368
2016-07-14,100099
2016-07-15,100099
2016-07-16,100099
2016-07-17,100099
2016-07-18,95967
2016-07-23,91168
2016-07-24,91168
2016-07-25,86835
2016-07-26,86835
2016-07-27,86835
2016-07-28,86835
2016-07-29,82493
2016-07-30,82493
2016-07-31,82493
2016-08-01,78464
2016-08-02,78464
2016-08-03,78464
2016-08-04,74540
2016-08-05,74540
2016-08-06,74540
2016-08-07,70921
2016-08-08,70921
2016-08-09,70921
2016-08-10,67374
2016-08-11,67374
2016-08-12,67374
2016-08-13,67374
2016-08-14,64255
2016-08-15,64255
2016-08-16,64255
2016-08-17,64255
2016-08-18,61268
2016-08-19,61268
2016-08-20,61268
2016-08-21,61268
2016-08-22,58565
2016-08-23,58565
2016-08-24,58565
2016-08-25,58565
2016-08-26,58565
2016-08-28,57073
2016-08-31,56637
2016-09-01,56637
2016-09-02,56637
2016-09-03,56637
2016-09-04,55001
2016-09-05,55001
2016-09-06,55001
2016-09-07,55001
2016-09-08,57088
2016-09-09,57088
2016-09-10,57088
2016-09-11,57088
2016-09-12,59311
2016-09-13,59311
2016-09-14,59311
2016-09-15,59311
2016-09-16,59311
2016-09-17,59640
2016-09-18,59640
2016-09-19,59640
2016-09-20,59640
2016-09-21,59640
2016-09-22,57666
2016-09-23,57666
2016-09-24,57666
2016-09-25,57666
2016-09-26,57666
2016-09-27,55585
2016-09-28,55585
2016-09-29,55585
2016-09-30,55585
2016-10-01,52817
2016-10-02,52817
2016-10-03,52817
2016-10-04,52817
2016-10-05,52817
2016-10-06,50269
2016-10-07,50269
2016-10-08,50269
2016-10-09,50269
2016-10-10,48918
2016-10-11,48918
2016-10-12,48918
2016-10-13,48918
2016-10-14,50187
2016-10-15,50187
2016-10-16,50187
2016-10-17,51318
2016-10-18,51318
2016-10-19,51318
2016-10-20,51318
2016-10-21,52225
2016-10-22,52225
2016-10-23,52225
2016-10-24,52225
2016-10-25,52225
2016-10-26,51282
2016-10-27,51282
2016-10-28,51282
2016-10-29,51282
2016-10-30,51282
2016-10-31,50325
2016-11-01,50325
2016-11-02,50325
2016-11-03,50325
2016-11-04,48153
2016-11-05,48153
2016-11-06,48153
2016-11-07,48153
2016-11-08,48153
2016-11-09,47799
2016-11-10,47799
2016-11-11,47799
2016-11-12,47799
2016-11-13,49138
2016-11-14,49138
2016-11-15,49138
2016-12-07,43055
2016-12-08,43055
2016-12-09,40902
2016-12-10,40902
2016-12-11,40902
2016-12-12,40902
2016-12-13,38856
2016-12-14,38856
2016-12-15,38856
2016-12-16,38856
2016-12-17,39444
2016-12-18,39444
2016-12-19,39444
2016-12-20,40202
2016-12-21,40202
2016-12-22,40202
2016-12-23,41310
2016-12-24,41310
2016-12-25,41310
2016-12-26,41310
2016-12-27,43222
2016-12-28,43222
2016-12-29,43222
2016-12-30,43222
2016-12-31,43716
2017-01-01,43716
2017-01-02,43716
2017-01-03,42202
2017-01-04,42202
2017-01-05,42202
2017-01-06,40091
2017-01-07,40091
2017-01-08,38503
2017-01-09,38503
2017-01-10,38503
2017-01-11,39139
2017-01-12,39139
2017-01-13,39139
2017-01-14,37364
2017-01-15,37364
2017-01-16,37364
2017-01-17,36000
2017-01-18,36000
2017-01-19,36000
2017-01-20,34200
2017-01-21,34200
2017-01-22,34200
2017-01-23,32490
2017-01-27,32986
2017-01-28,34255
2017-01-29,34255
2017-01-30,34255
2017-01-31,35153
2017-02-01,35153
2017-02-02,36142
2017-02-03,36142
2017-02-04,36142
2017-02-05,37872
2017-02-06,37872
2017-02-07,37872
2017-02-08,39163
2017-02-09,39163
2017-02-10,39163
2017-02-11,41098
2017-02-12,41098
2017-02-13,41098
2017-02-14,42682
2017-02-15,42682
2017-02-16,42682
2017-02-18,44167
2017-02-19,45523
2017-02-20,45523
2017-02-21,45523
2017-02-22,46957
2017-02-23,46957
2017-02-24,46957
2017-02-25,46636
2017-02-26,46636
2017-02-27,46636
2017-02-28,45091
2017-03-01,45091
2017-03-02,45091
2017-03-03,43650
2017-03-04,43650
2017-03-05,43650
2017-03-06,44746
2017-03-07,44746
2017-03-08,44746
2017-03-09,46571
2017-03-10,46571
2017-03-11,46571
2017-03-12,48477
2017-03-13,48477
2017-03-14,47394
2017-03-15,47394
2017-03-16,47394
2017-03-17,45442
2017-03-18,45442
2017-03-19,45442
2017-03-20,43196
2017-03-21,43196
2017-03-22,43196
2017-03-23,41036
2017-03-24,41036
2017-03-25,41036
2017-03-26,39432
2017-03-27,39432
2017-03-28,39432
2017-03-29,38598
2017-03-30,38598
2017-03-31,38822
2017-04-01,38822
2017-04-02,38822
2017-04-03,37851
2017-04-04,37851
2017-04-12,34861
2017-04-13,34861
2017-04-14,34861
2017-04-15,34242
2017-04-16,34242
2017-04-17,34062
2017-04-18,34062
2017-04-19,34062
2017-04-20,34144
2017-04-21,34144
2017-04-22,34144
2017-04-23,34613
2017-04-24,34613
2017-04-25,35830
2017-04-26,35830
2017-04-27,35830
2017-04-28,37318
2017-04-29,37318
2017-04-30,38752
2017-05-01,38752
2017-05-02,38752
2017-05-03,40045
2017-05-04,40045
2017-05-05,40296
2017-05-06,40296
2017-05-07,40296
2017-05-08,39736
2017-05-09,39736
2017-05-10,39736
2017-05-11,39498
2017-05-12,39498
2017-05-13,40910
2017-05-14,40910
2017-05-15,40910
2017-05-16,42191
2017-05-17,42191
2017-05-18,42191
2017-05-19,42191
2017-05-20,40545
2017-05-21,40545
2017-05-22,40545
2017-05-23,40545
2017-05-24,38948
2017-05-25,38948
2017-05-26,38948
2017-05-27,37000
2017-05-28,37000
2017-05-29,37000
2017-05-30,37000
2017-05-31,35150
2017-06-01,35150
2017-06-02,35150
2017-06-03,33621
2017-06-04,33621
2017-06-05,33621
2017-06-06,31939
2017-06-07,31939
2017-06-08,31939
2017-06-09,30342
2017-06-10,30342
2017-06-11,29789
2017-06-12,29789
2017-06-13,29789
2017-06-14,28965
2017-06-15,28965
2017-06-16,28965
2017-06-17,28307
2017-06-18,28307
2017-06-19,28307
2017-06-20,28505
2017-06-21,28505
2017-06-22,28505
2017-06-23,28505
2017-06-24,29177
2017-06-25,29177
2017-06-26,29177
2017-06-27,29658
2017-06-28,29658
2017-06-29,29658
2017-06-30,30738
2017-07-01,30738
2017-07-02,30738
2017-07-03,31977
2017-07-04,31977
2017-07-05,31977
2017-07-06,32820
2017-07-07,32820
2017-07-08,32820
2017-07-13,35374
2017-07-14,35374
2017-07-15,36613
2017-07-16,36613
2017-07-17,36613
2017-07-18,37843
2017-07-19,37843
2017-07-20,37843
2017-07-21,37030
2017-07-22,37030
2017-07-23,37030
2017-07-24,36986
2017-07-25,36986
2017-07-26,36986
2017-07-27,36197
2017-07-28,36197
2017-07-29,36197
2017-07-30,37017
2017-07-31,37017
2017-08-01,37017
2017-08-02,37827
2017-08-03,37827
2017-08-04,37827
2017-08-05,37744
2017-08-06,37744
2017-08-09,36516
2017-08-10,36516
2017-08-11,36516
2017-08-12,35900
2017-08-13,35900
2017-08-14,35900
2017-08-15,35706
2017-08-16,35706
2017-08-17,35706
2017-08-18,35706
2017-08-19,35363
2017-08-20,35363
2017-08-21,35363
2017-08-22,35276
2017-08-23,35276
2017-08-24,35276
2017-08-25,35276
2017-08-26,34372
2017-08-27,34372
2017-08-28,34372
2017-08-29,34372
2017-08-30,32807
2017-08-31,32807
2017-09-01,32807
2017-09-02,31166
2017-09-03,31166
2017-09-04,31166
2017-09-05,29607
2017-09-06,29607
2017-09-07,29607
2017-09-08,29607
2017-09-09,28492
2017-09-10,28492
2017-09-11,28492
2017-09-12,28492
2017-09-13,27631
2017-09-14,27631
2017-09-15,27631
2017-09-16,27631
2017-09-17,26358
2017-09-18,26358
2017-09-19,26358
2017-09-20,26358
2017-09-22,25157
2017-09-23,25157
2017-09-24,24352
2017-09-25,24352
2017-09-26,24352
2017-09-27,24352
2017-09-28,23146
2017-09-29,23146
2017-09-30,23146
2017-10-01,22748
2017-10-02,22748
2017-10-03,22748
2017-10-04,22748
2017-10-05,21737
2017-10-06,21737
2017-10-07,21737
2017-10-08,20658
2017-10-09,20658
2017-10-10,20658
2017-10-11,20658
2017-10-12,20295
2017-10-13,20295
2017-10-14,20295
2017-10-15,20295
2017-10-16,19317
2017-10-17,19317
2017-10-18,19317
2017-10-19,19472
2017-10-20,19472
2017-10-21,19472
2017-10-22,19738
2017-10-23,19738
2017-10-24,19738
2017-10-25,19566
2017-10-26,19566
2017-10-27,19566
2017-10-28,19566
2017-10-29,19852
2017-10-30,19852
2017-10-31,19852
2017-11-01,19852
2017-11-02,19276
2017-11-03,19276
2017-11-04,19276
2017-11-05,19200
2017-11-06,19200
2017-11-07,19200
2017-11-08,19200
2017-11-09,19132
2017-11-10,19132
2017-11-11,19132
2017-11-12,19132
2017-11-13,18753
2017-11-14,18753
2017-11-15,18753
2017-11-16,18753
2017-11-17,18716
2017-11-18,18716
2017-11-19,18716
2017-11-20,18716
2017-11-21,19051
2017-11-22,19051
2017-11-23,19051
2017-11-24,19051
2017-11-25,19879
2017-11-26,19879
2017-11-27,19879
2017-11-28,19879
2017-11-29,20368
2017-11-30,20368
2017-12-01,20368
2017-12-02,20634
2017-12-03,20634
2017-12-04,20634
2017-12-05,20377
2017-12-06,20377
2017-12-07,20377
2017-12-08,20377
2017-12-09,20582
2017-12-10,20582
2017-12-11,20582
2017-12-12,20809
2017-12-13,20809
2017-12-14,20809
2017-12-15,21589
2017-12-16,21589
2017-12-17,21589
2017-12-18,22343
2017-12-19,22343
2017-12-20,22343
2017-12-21,23129
2017-12-22,23129
2017-12-23,23129
2017-12-24,23771
2017-12-25,23771
2017-12-26,23771
2017-12-27,24890
2017-12-28,24890
2017-12-29,24890
2017-12-30,25058
2017-12-31,25058
2018-01-01,25058
2018-01-02,24568
2018-01-03,24568
2018-01-04,24568
2018-01-05,23484
2018-01-06,23484
2018-01-07,23484
2018-01-08,23556
2018-01-09,23556
2018-01-10,23556
2018-01-11,22824
2018-01-12,22824
2018-01-13,21718
2018-01-14,21718
2018-01-15,21718
2018-01-16,21459
2018-01-17,21459
2018-01-18,21459
2018-01-19,20792
2018-01-20,20792
2018-01-21,20792
2018-01-22,21378
2018-01-23,21378
2018-01-24,22257
2018-01-25,22257
2018-01-26,22968
2018-01-27,22968
2018-01-28,22630
2018-01-29,22630
2018-01-30,21498
2018-01-31,21498
2018-02-01,20423
2018-02-02,20423
2018-02-03,19481
2018-02-04,19481
2018-02-05,18688
2018-02-06,18688
2018-02-07,18090
2018-02-08,18090
2018-02-09,17755
2018-02-10,17755
2018-02-11,17726
2018-02-12,17726
2018-02-13,17978
2018-02-14,17978
2018-02-15,17691
2018-02-16,17691
2018-02-17,17965
2018-02-18,17965
2018-02-19,18116
2018-02-20,18116
2018-02-21,18447
2018-02-22,18447
2018-02-23,18736
2018-02-24,18736
2018-02-25,19423
2018-02-26,19423
2018-02-27,20355
2018-02-28,20355
2018-03-01,21222
2018-03-02,22041
2018-03-03,22041
2018-03-04,22607
2018-03-05,23002
2018-03-06,23002
2018-03-07,22864
2018-03-08,22864
2018-03-09,22593
2018-03-10,22593
2018-03-11,21928
2018-03-12,21928
2018-03-13,21035
2018-03-14,21035
2018-03-15,19984
2018-03-16,19984
2018-03-17,19054
2018-03-18,19054
2018-03-19,19054
2018-03-20,18634
2018-03-21,18634
2018-03-23,17874
2018-03-24,18146
2018-03-25,18992
2018-03-26,18992
2018-03-27,19601
2018-03-28,19601
2018-03-29,20396
2018-03-30,20396
2018-03-31,21268
2018-04-01,21268
2018-04-02,21166
2018-04-03,21166
2018-04-04,20185
2018-04-05,20185
2018-04-06,20211
2018-04-07,20211
2018-04-08,20053
2018-04-09,20053
2018-04-10,19883
2018-04-11,19883
2018-04-12,20289
2018-04-13,20289
2018-04-14,20289
2018-04-15,19323
2018-04-16,19323
2018-04-17,19108
2018-04-18,19108
2018-04-19,19211
2018-04-20,19211
2018-04-21,19913
2018-04-22,19913
2018-04-23,20761
2018-04-24,20761
2018-04-25,21314
2018-04-26,21314
2018-04-27,21314
2018-04-28,21565
2018-04-29,21565
2018-04-30,21037
2018-05-01,21037
2018-05-02,21037
2018-05-03,20627
2018-05-04,20627
2018-05-05,20280
2018-05-06,20280
2018-05-07,20280
2018-05-08,19995
2018-05-09,19995
2018-05-10,19903
2018-05-11,19903
2018-05-12,19824
2018-05-13,19824
2018-05-14,19162
2018-05-15,19162
2018-05-16,19028
2018-05-17,19028
2018-05-18,18757
2018-05-19,18757
2018-05-20,18378
2018-05-21,18378
2018-05-22,18032
2018-05-23,17443
2018-05-24,17443
2018-05-25,17060
2018-05-26,16816
2018-05-27,16816
2018-05-28,17164
2018-05-29,17164
2018-05-30,17087
2018-05-31,17087
2018-06-01,17038
2018-06-02,16716
2018-06-03,16716
2018-06-04,16716
2018-06-05,16335
2018-06-06,16335
2018-06-07,15558
2018-06-08,15154
2018-06-09,15154
2018-06-10,15272
2018-06-11,15272
2018-06-12,14655
2018-06-13,14130
2018-06-14,14130
2018-06-15,14202
2018-06-16,14202
2018-06-17,14515
2018-06-18,14515
2018-06-19,14877
2018-06-20,14877
2018-06-21,15469
2018-06-22,15469
2018-06-23,15745
2018-06-24,15745
2018-06-25,15467
2018-06-26,15467
2018-06-27,15613
2018-06-28,15613
2018-06-29,15489
2018-06-30,15489
2018-07-01,15330
2018-07-02,15330
2018-07-03,15033
2018-07-04,15033
2018-07-05,15039
2018-07-06,15408
2018-07-07,15408
2018-07-08,15626
2018-07-09,15626
2018-07-10,15936
2018-07-11,15936
2018-07-12,15936
2018-07-13,15139
2018-07-14,14479
2018-07-15,14479
2018-07-16,14370
2018-07-17,14914
2018-07-18,14914
2018-07-19,15654
2018-07-20,16314
2018-07-21,16973
2018-07-22,17534
2018-07-23,18061
2018-07-24,18061
2018-07-25,17715
2018-07-26,17515
2018-07-27,17765
2018-07-28,17765
2018-07-29,17305
2018-07-30,17305
2018-07-31,17965
2018-08-01,17965
2018-08-02,18199
2018-08-03,18199
2018-08-04,18639
2018-08-05,18639
2018-08-06,18365
2018-08-07,18365
2018-08-08,18730
2018-08-09,18730
2018-08-10,17793
2018-08-11,17793
2018-08-12,17544
2018-08-14,16725
2018-08-16,16893
2018-08-17,16551
2018-08-18,16551
2018-08-19,16895
2018-08-20,17356
2018-08-21,17356
2018-08-22,17607
2018-08-23,17607
2018-08-24,17791
2018-08-25,17487
2018-08-26,17487
2018-08-27,17700
2018-08-28,17103
2018-08-29,17103
2018-08-30,16833
2018-08-31,16592
2018-09-01,16423
2018-09-02,16423
2018-09-03,15932
2018-09-04,15333
2018-09-05,14641
2018-09-06,14641
2018-09-07,14067
2018-09-08,13917
2018-09-09,13917
2018-09-10,14296
2018-09-11,14296
2018-09-12,14830
2018-09-13,14830
2018-09-14,15011
2018-09-15,15101
2018-09-16,15101
2018-09-17,15397
2018-09-18,16047
2018-09-19,16047
2018-09-20,16784
2018-09-21,16784
2018-09-22,17581
2018-09-23,17581
2018-09-24,18283
2018-09-25,18283
2018-09-26,18315
2018-09-27,18315
2018-09-28,19001
2018-09-29,19001
2018-09-30,19770
2018-10-01,20606
2018-10-02,20606
2018-10-03,21609
2018-10-04,21609
2018-10-05,22352
2018-10-06,22989
2018-10-07,22989
2018-10-08,23486
2018-10-09,23486
2018-10-10,24434
2018-10-11,25571
2018-10-12,25571
2018-10-13,26809
2018-10-14,26809
2018-10-15,28150
2018-10-16,28150
2018-10-17,29558
2018-10-18,30627
2018-10-19,30627
2018-10-20,31687
2018-10-21,31687
2018-10-22,32954
2018-10-23,32954
2018-10-24,34449
2018-10-25,34449
2018-10-26,35192
2018-10-27,35192
2018-10-28,36593
2018-10-29,36593
2018-10-30,37821
2018-10-31,37821
2018-11-01,35977
2018-11-03,34178
2018-11-04,32469
2018-11-05,30845
2018-11-06,29447
2018-11-07,29447
2018-11-08,28042
2018-11-09,28535
2018-11-10,29330
2018-11-11,28594
2018-11-12,29536
2018-11-13,30549
2018-11-15,30827
2018-11-16,31570
2018-11-17,32881
2018-11-18,34013
2018-11-19,32423
2018-11-20,33287
2018-11-21,34827
2018-11-22,34754
2018-11-23,36112
2018-11-24,36449
2018-11-25,36470
2018-11-26,36286
2018-11-27,36788
2018-11-28,38382
2018-11-29,39444
2018-12-01,39954
2018-12-02,39396
2018-12-03,38602
2018-12-04,37614
2018-12-05,37251
2018-12-07,39915
2018-12-09,43256
2018-12-10,45158
2018-12-11,44539
2018-12-12,45563
2018-12-13,46780
2018-12-14,47210
2018-12-15,47706
2018-12-16,46425
2018-12-17,45945
2018-12-18,45076
2018-12-19,44735
2018-12-20,44258
2018-12-21,43660
2018-12-22,42372
2018-12-23,40576
2018-12-24,40430
2018-12-25,40430
2018-12-26,40734
2018-12-27,39742
2018-12-28,38639
2018-12-29,37905
2018-12-30,38012
2018-12-31,37389
2019-01-01,37669
2019-01-02,37151
2019-01-03,37617
2019-01-04,38169
2019-01-05,38749
2019-01-06,39397
2019-01-08,38697
2019-01-10,38074
2019-01-11,36235
2019-01-12,34511
2019-01-13,33786
2019-01-14,32791
2019-01-15,32152
2019-01-16,31717
2019-01-17,30539
2019-01-18,29075
2019-01-19,27810
2019-01-20,26422
2019-01-21,25100
2019-01-22,23845
2019-01-23,22652
2019-01-24,22409
2019-01-25,22674
2019-01-26,23252
2019-01-27,23350
2019-01-28,22763
2019-01-29,22480
2019-01-30,22502
2019-01-31,22798
2019-02-01,22545
2019-02-02,22711
2019-02-03,22940
2019-02-04,22940
2019-02-05,23217
2019-02-06,23217
2019-02-07,23427
2019-02-08,23353
2019-02-09,23923
2019-02-10,24256
2019-02-11,24409
2019-02-12,24109
2019-02-13,23673
2019-02-14,23673
2019-02-15,24248
2019-02-16,24223
2019-02-17,24561
2019-02-18,24445
2019-02-19,24392
2019-02-20,24394
2019-02-21,24942
2019-02-22,25264
2019-02-23,24857
2019-02-24,25127
2019-02-25,24933
2019-02-26,25853
2019-02-27,26180
2019-02-28,26180
2019-03-01,26949
2019-03-02,26478
2019-03-03,26342
2019-03-04,26360
2019-03-05,26888
2019-03-06,26095
2019-03-07,24958
2019-03-08,24958
2019-03-09,24285
2019-03-10,23813
2019-03-11,24349
2019-03-12,24172
2019-03-13,24172
2019-03-14,24993
2019-03-15,24993
2019-03-16,25484
2019-03-17,26759
2019-03-18,26759
2019-03-19,27770
2019-03-20,29053
2019-03-21,30200
2019-03-22,30200
2019-03-23,30954
2019-03-24,31892
