date_obj,Ancient%20blessing price
2019-04-11,10161
2019-04-12,9979
2019-04-13,9757
2019-04-14,9630
2019-04-15,9434
2019-04-16,9214
2019-04-17,9104
2019-04-18,8894
2019-04-19,8547
2019-04-20,8361
2019-04-21,7945
2019-04-22,7716
2019-04-23,7409
2019-04-24,7208
2019-04-25,6974
2019-04-26,6763
2019-04-27,6709
2019-04-28,6501
2019-04-29,6361
2019-04-30,6247
2019-05-01,6121
2019-05-02,5894
2019-05-03,5827
2019-05-04,5725
2019-05-05,5663
2019-05-06,5641
2019-05-07,5600
2019-05-08,5581
2019-05-09,5518
2019-05-10,5575
2019-05-11,5540
2019-05-12,5540
2019-05-13,5600
2019-05-14,5681
2019-05-15,5776
2019-05-16,5920
2019-05-17,6057
2019-05-18,6161
2019-05-19,6263
2019-05-20,6282
2019-05-21,6325
2019-05-22,6341
2019-05-23,6498
2019-05-24,6657
2019-05-25,6855
2019-05-26,7072
2019-05-27,7291
2019-05-28,7529
2019-05-29,7767
2019-05-30,7962
2019-05-31,8141
2019-06-01,8302
2019-06-02,8323
2019-06-03,8356
2019-06-04,8451
2019-06-05,8547
2019-06-06,8551
2019-06-07,8519
2019-06-08,8561
2019-06-09,8627
2019-06-10,8617
2019-06-11,8800
2019-06-12,8964
2019-06-13,9045
2019-06-14,8829
2019-06-15,8796
2019-06-16,8740
2019-06-17,8549
2019-06-18,8498
2019-06-19,8327
2019-06-20,8201
2019-06-21,8074
2019-06-22,7823
2019-06-23,7914
2019-06-24,7884
2019-06-25,7973
2019-06-26,7909
2019-06-27,7964
2019-06-28,8016
2019-06-29,8118
2019-06-30,8192
2019-07-01,8255
2019-07-02,8281
2019-07-03,8310
2019-07-04,8350
2019-07-05,8383
2019-07-06,8361
2019-07-07,8281
2019-07-08,8292
2019-07-09,8179
2019-07-10,8032
2019-07-11,7774
2019-07-12,7729
2019-07-13,7646
2019-07-14,7609
2019-07-15,7518
2019-07-16,7447
2019-07-17,7392
2019-07-18,7389
2019-07-19,7324
2019-07-20,7348
2019-07-21,7472
2019-07-22,7744
2019-07-23,7998
2019-07-24,8097
2019-07-25,8282
2019-07-26,8362
2019-07-27,8434
2019-07-28,8641
2019-07-29,8799
2019-07-30,8872
2019-07-31,8902
2019-08-01,8819
2019-08-02,8792
2019-08-03,8753
2019-08-04,8790
2019-08-05,8831
2019-08-06,8790
2019-08-07,8642
2019-08-08,8442
2019-08-09,8274
2019-08-10,8070
2019-08-11,7873
2019-08-12,7817
2019-08-13,7718
2019-08-14,7561
2019-08-15,7478
2019-08-16,7306
2019-08-17,7248
2019-08-18,7134
2019-08-19,7058
2019-08-20,7107
2019-08-21,7126
2019-08-22,7138
2019-08-23,7166
2019-08-24,7071
2019-08-24,7071
2019-08-25,7043
2019-08-25,7043
2019-08-26,6810
2019-08-27,6754
2019-08-27,6754
2019-08-28,6697
2019-08-29,6630
2019-08-30,6609
2019-08-31,6529
2019-09-01,6523
2019-09-02,6547
2019-09-03,6612
2019-09-04,6716
2019-09-05,6710
2019-09-06,6807
2019-09-07,6831
2019-09-08,6839
2019-09-09,6794
2019-09-10,6809
2019-09-11,6827
2019-09-12,6756
2019-09-13,6742
2019-09-14,6721
2019-09-15,6655
2019-09-16,6452
2019-09-17,6484
2019-09-18,6523
2019-09-19,6698
2019-09-20,6685
2019-09-21,6734
2019-09-22,6698
2019-09-23,6681
2019-09-24,6653
2019-09-25,6601
2019-09-26,6655
2019-09-27,6659
2019-09-28,6547
2019-09-29,6435
2019-09-30,6491
2019-10-01,6664
2019-10-02,6674
2019-10-03,6732
2019-10-04,6733
2019-10-05,6804
2019-10-06,6764
2019-10-07,6701
2019-10-08,6633
2019-10-09,6422
2019-10-10,6390
2019-10-11,6341
2019-10-12,6259
2019-10-13,6229
2019-10-14,6257
2019-10-15,6309
2019-10-16,6277
2019-10-17,6204
2019-10-18,6215
2019-10-19,6217
2019-10-20,6228
2019-10-21,6253
2019-10-22,6253
2019-10-23,6225
2019-10-24,6175
2019-10-25,6176
2019-10-26,6155
2019-10-27,6174
2019-10-28,6173
2019-10-29,6078
2019-10-30,6136
2019-10-31,6199
2019-11-01,6227
2019-11-02,6205
2019-11-03,6142
2019-11-04,6220
2019-11-05,6272
2019-11-06,6291
2019-11-07,6298
2019-11-08,6328
2019-11-09,6362
2019-11-10,6260
2019-11-11,6130
2019-11-12,6147
2019-11-13,6175
2019-11-14,6245
2019-11-15,6148
2019-11-16,6055
2019-11-17,6046
2019-11-18,6077
2019-11-19,6205
2019-11-20,6369
2019-11-21,6407
2019-11-22,6458
2019-11-23,6479
2019-11-24,6534
2019-11-25,6723
2019-11-26,6909
2019-11-27,7116
2019-11-28,7093
2019-11-29,7124
2019-11-30,7235
2019-12-01,7291
2019-12-02,7431
2019-12-03,7635
2019-12-04,7983
2019-12-05,8124
2019-12-06,8117
2019-12-07,8246
2019-12-08,8220
2019-12-09,8169
2019-12-10,8067
2019-12-11,8054
2019-12-12,7991
2019-12-13,7848
2019-12-14,7878
2019-12-15,7822
2019-12-16,7873
2019-12-17,7860
2019-12-18,7725
2019-12-19,7660
2019-12-20,7632
2019-12-21,7605
2019-12-22,7502
2019-12-23,7307
2019-12-24,7250
2019-12-25,7121
2019-12-26,6934
2019-12-27,6921
2019-12-28,6815
2019-12-29,6778
2019-12-30,6773
2019-12-31,6896
2020-01-01,6929
2020-01-02,7217
2020-01-03,7263
2020-01-04,7391
2020-01-05,7478
2020-01-06,7431
2020-01-07,7540
2020-01-08,7612
2020-01-09,7733
2020-01-10,7890
2020-01-11,7919
2020-01-12,8033
2020-01-13,8025
2020-01-14,8169
2020-01-15,8306
2020-01-16,8310
2020-01-17,8233
2020-01-18,8184
2020-01-19,8183
2020-01-20,8226
2020-01-21,8197
2020-01-22,8153
2020-01-23,8078
2020-01-24,8022
2020-01-25,7827
2020-01-26,7756
2020-01-27,7747
2020-01-28,7668
2020-01-29,7655
2020-01-30,7514
2020-01-31,7509
2020-02-01,7360
2020-02-02,7350
2020-02-03,7358
2020-02-04,7386
2020-02-05,7285
2020-02-06,7178
2020-02-07,6992
2020-02-08,6805
2020-02-09,6708
2020-02-10,6675
2020-02-11,6718
2020-02-12,6687
2020-02-13,6571
2020-02-14,6524
2020-02-15,6477
2020-02-16,6312
2020-02-17,6158
2020-02-18,5972
2020-02-19,5941
2020-02-20,5832
2020-02-21,5761
2020-02-22,5699
2020-02-23,5642
2020-02-24,5677
2020-02-25,5633
2020-02-26,5453
2020-02-27,5421
2020-02-28,5467
2020-02-29,5525
2020-03-01,5596
2020-03-02,5631
2020-03-03,5756
2020-03-04,5796
2020-03-05,5833
2020-03-06,5798
2020-03-07,5782
2020-03-08,5746
2020-03-09,5728
2020-03-10,5935
2020-03-11,6120
2020-03-12,6113
2020-03-13,5962
2020-03-14,6100
2020-03-15,6102
2020-03-16,6267
2020-03-17,6337
2020-03-18,6429
2020-03-19,6538
2020-03-20,6567
2020-03-21,6520
2020-03-22,6408
2020-03-23,6340
2020-03-24,6357
2020-03-25,6346
2020-03-26,6299
2020-03-27,6260
2020-03-28,6231
2020-03-29,6211
2020-03-30,6170
2020-03-31,6261
2020-04-01,6325
2020-04-02,6385
2020-04-03,6377
2020-04-04,6373
2020-04-05,6294
2020-04-06,6297
2020-04-07,6199
2020-04-08,6185
2020-04-09,6199
2020-04-10,6120
2020-04-11,6055
2020-04-12,5953
2020-04-13,5840
2020-04-14,5837
2020-04-15,5869
2020-04-16,5818
2020-04-17,5830
2020-04-18,5875
2020-04-19,5866
2020-04-20,5875
2020-04-21,5923
2020-04-22,5934
2020-04-23,5963
2020-04-24,5991
2020-04-25,5977
2020-04-26,5990
2020-04-27,6081
2020-04-28,6094
2020-04-29,6168
2020-04-30,6243
