date_obj,Tzhaar-ket-om%20ornament%20kit price
2019-09-01,21400
2019-09-02,21400
2019-09-03,22264
2019-09-04,23334
2019-09-05,24267
2019-09-06,24267
2019-09-07,25279
2019-09-08,26068
2019-09-09,26902
2019-09-10,27531
2019-09-11,28748
2019-09-12,28748
2019-09-13,30183
2019-09-14,31677
2019-09-15,33145
2019-09-16,34428
2019-09-17,35010
2019-09-18,34608
2019-09-19,34608
2019-09-20,36073
2019-09-21,36919
2019-09-22,36534
2019-09-23,34831
2019-09-24,33316
2019-09-25,31650
2019-09-26,30640
2019-09-27,29586
2019-09-28,28282
2019-09-29,27032
2019-09-30,26348
2019-10-01,25966
2019-10-02,25966
2019-10-03,26349
2019-10-04,26020
2019-10-05,25720
2019-10-06,25624
2019-10-07,25599
2019-10-08,24442
2019-10-09,24442
2019-10-10,23463
2019-10-11,23463
2019-10-12,22693
2019-10-13,22197
2019-10-14,21559
2019-10-15,21559
2019-10-16,21254
2019-10-17,21254
2019-10-18,20385
2019-10-19,19508
2019-10-20,18889
2019-10-21,18298
2019-10-22,18298
2019-10-23,17626
2019-10-24,17047
2019-10-25,16985
2019-10-26,16624
2019-10-27,16624
2019-10-28,16045
2019-10-29,16045
2019-10-30,15639
2019-10-31,14986
2019-11-01,14986
2019-11-02,14759
2019-11-03,14850
2019-11-04,14489
2019-11-05,14489
2019-11-06,14054
2019-11-07,14068
2019-11-08,14758
2019-11-09,15018
2019-11-10,15299
2019-11-11,15609
2019-11-12,15609
2019-11-13,16072
2019-11-14,16584
2019-11-15,17183
2019-11-16,18015
2019-11-17,18015
2019-11-18,18916
2019-11-19,18916
2019-11-20,19862
2019-11-21,19862
2019-11-22,20856
2019-11-23,21899
2019-11-24,22994
2019-11-25,24144
2019-11-26,25304
2019-11-27,25304
2019-11-28,26475
2019-11-29,26475
2019-11-30,27450
2019-12-01,28823
2019-12-02,30215
2019-12-03,31726
2019-12-04,33313
2019-12-05,33313
2019-12-06,33190
2019-12-07,31872
2019-12-08,31015
2019-12-09,29581
2019-12-10,28554
2019-12-11,27847
2019-12-12,26509
2019-12-13,25444
2019-12-14,24806
2019-12-15,23842
2019-12-16,22826
2019-12-17,22194
2019-12-18,22194
2019-12-19,21550
2019-12-20,20504
2019-12-21,19779
2019-12-22,19620
2019-12-23,18971
2019-12-24,18184
2019-12-25,18219
2019-12-26,18870
2019-12-27,19642
2019-12-28,20625
2019-12-29,21475
2019-12-30,22339
2019-12-31,23448
2020-01-01,24533
2020-01-02,25698
2020-01-03,26067
2020-01-04,26124
2020-01-05,26739
2020-01-06,27688
2020-01-07,28789
2020-01-08,28789
2020-01-09,29428
2020-01-10,28793
2020-01-11,27796
2020-01-12,26550
2020-01-13,26550
2020-01-14,25627
2020-01-15,24345
2020-01-16,23127
2020-01-17,22787
2020-01-18,22604
2020-01-19,21844
2020-01-20,21337
2020-01-21,20440
2020-01-22,20002
2020-01-23,19654
2020-01-24,19458
2020-01-25,19632
2020-01-26,20049
2020-01-27,20090
2020-01-28,19288
2020-01-29,18959
2020-01-30,19088
2020-01-31,18844
2020-02-01,18919
2020-02-02,19337
2020-02-03,19519
2020-02-04,20175
2020-02-05,20607
2020-02-06,20148
2020-02-07,19320
2020-02-08,18729
2020-02-09,18135
2020-02-10,17897
2020-02-11,18251
2020-02-12,18404
2020-02-13,18304
2020-02-14,18191
2020-02-15,17289
2020-02-16,16436
2020-02-17,15614
2020-02-18,14893
2020-02-19,14148
2020-02-20,13537
2020-02-21,13537
2020-02-22,13070
2020-02-23,13113
2020-02-24,12987
2020-02-25,13015
2020-02-26,12849
2020-02-27,12555
2020-02-28,12246
2020-02-29,12246
2020-03-01,11978
2020-03-02,11522
2020-03-03,11001
2020-03-04,10462
2020-03-05,10142
2020-03-06,9740
2020-03-07,9335
2020-03-08,8939
2020-03-09,8722
2020-03-10,8931
2020-03-11,9277
2020-03-12,9729
2020-03-13,10175
2020-03-14,10133
2020-03-15,10373
2020-03-16,10478
2020-03-17,10452
2020-03-18,10536
2020-03-19,10519
2020-03-20,10727
2020-03-21,10468
2020-03-22,10025
2020-03-23,9704
2020-03-24,9522
2020-03-25,9387
2020-03-26,9202
2020-03-27,9067
2020-03-28,8704
2020-03-29,8755
2020-03-30,8627
2020-03-31,8504
2020-04-01,8415
2020-04-02,8285
2020-04-03,8032
2020-04-04,7978
2020-04-05,7986
2020-04-06,7974
2020-04-07,8080
2020-04-08,8197
2020-04-09,8340
2020-04-10,8338
2020-04-11,8263
2020-04-12,8131
2020-04-13,8052
2020-04-14,7726
2020-04-15,7448
2020-04-16,7157
2020-04-17,6817
2020-04-18,6555
2020-04-19,6282
2020-04-20,6045
2020-04-21,5850
2020-04-22,5884
2020-04-23,5959
2020-04-24,5894
2020-04-25,5856
2020-04-26,5853
2020-04-27,5899
2020-04-28,5970
2020-04-29,5991
2020-04-30,6233
2020-05-01,6532
2020-05-02,6588
2020-05-03,6508
2020-05-04,6604
2020-05-05,6731
2020-05-06,6822
2020-05-07,6739
2020-05-08,6775
2020-05-09,6863
2020-05-10,6952
2020-05-11,6966
2020-05-12,7102
2020-05-13,7315
