date_obj,Bottomless%20compost%20bucket price
2019-08-03,612550
2019-08-04,600662
2019-08-05,597484
2019-08-06,601927
2019-08-07,599004
2019-08-08,601601
2019-08-09,605524
2019-08-10,612765
2019-08-11,620002
2019-08-12,617320
2019-08-13,612248
2019-08-14,607418
2019-08-15,598452
2019-08-16,594615
2019-08-17,595390
2019-08-18,600472
2019-08-19,603439
2019-08-20,602600
2019-08-21,602901
2019-08-22,604016
2019-08-23,595754
2019-08-24,585536
2019-08-24,585536
2019-08-25,582389
2019-08-25,582389
2019-08-26,583831
2019-08-27,580972
2019-08-27,580972
2019-08-28,585901
2019-08-29,588600
2019-08-30,582793
2019-08-31,575258
2019-09-01,575198
2019-09-02,573372
2019-09-03,572914
2019-09-04,574342
2019-09-05,588415
2019-09-06,593388
2019-09-07,605335
2019-09-08,614722
2019-09-09,614322
2019-09-10,600002
2019-09-11,588229
2019-09-12,578516
2019-09-13,564312
2019-09-14,548294
2019-09-15,539449
2019-09-16,522877
2019-09-17,515541
2019-09-18,506345
2019-09-19,508581
2019-09-20,504301
2019-09-21,501641
2019-09-22,506005
2019-09-23,496197
2019-09-24,483697
2019-09-25,478015
2019-09-26,473726
2019-09-27,475051
2019-09-28,465785
2019-09-29,459133
2019-09-30,448540
2019-10-01,438482
2019-10-02,426962
2019-10-03,422616
2019-10-04,417955
2019-10-05,418542
2019-10-06,416426
2019-10-07,417958
2019-10-08,425892
2019-10-09,435900
2019-10-10,443975
2019-10-11,442984
2019-10-12,441791
2019-10-13,443780
2019-10-14,436671
2019-10-15,429991
2019-10-16,431640
2019-10-17,433622
2019-10-18,427704
2019-10-19,428951
2019-10-20,442456
2019-10-21,444440
2019-10-22,451765
2019-10-23,460124
2019-10-24,460466
2019-10-25,459721
2019-10-26,454748
2019-10-27,452807
2019-10-28,452390
2019-10-29,447281
2019-10-30,443643
2019-10-31,442847
2019-11-01,435874
2019-11-02,433305
2019-11-03,433262
2019-11-04,444007
2019-11-05,466208
2019-11-06,480341
2019-11-07,488422
2019-11-08,490070
2019-11-09,489606
2019-11-10,487041
2019-11-11,483733
2019-11-12,483626
2019-11-13,483743
2019-11-14,488743
2019-11-15,490810
2019-11-16,489752
2019-11-17,481138
2019-11-18,469801
2019-11-19,457770
2019-11-20,449604
2019-11-21,439414
2019-11-22,428537
2019-11-23,417862
2019-11-24,413593
2019-11-25,409691
2019-11-26,406791
2019-11-27,399508
2019-11-28,399705
2019-11-29,405991
2019-11-30,407412
2019-12-01,421300
2019-12-02,432970
2019-12-03,434586
2019-12-04,434360
2019-12-05,428979
2019-12-06,423268
2019-12-07,424092
2019-12-08,423433
2019-12-09,423718
2019-12-10,424827
2019-12-11,428115
2019-12-12,433295
2019-12-13,433415
2019-12-14,429857
2019-12-15,427232
2019-12-16,427548
2019-12-17,424964
2019-12-18,427919
2019-12-19,428172
2019-12-20,430681
2019-12-21,429226
2019-12-22,429437
2019-12-23,425606
2019-12-24,422409
2019-12-25,423131
2019-12-26,420466
2019-12-27,421934
2019-12-28,426096
2019-12-29,432569
2019-12-30,433770
2019-12-31,435144
2020-01-01,435508
2020-01-02,431204
2020-01-03,430325
2020-01-04,430300
2020-01-05,430484
2020-01-06,432936
2020-01-07,430193
2020-01-08,429107
2020-01-09,430486
2020-01-10,431033
2020-01-11,435620
2020-01-12,449501
2020-01-13,456686
2020-01-14,466928
2020-01-15,464453
2020-01-16,457749
2020-01-17,448020
2020-01-18,443115
2020-01-19,443300
2020-01-20,440368
2020-01-21,439674
2020-01-22,440512
2020-01-23,437887
2020-01-24,431910
2020-01-25,427228
2020-01-26,425772
2020-01-27,422583
2020-01-28,417904
2020-01-29,410686
2020-01-30,403849
2020-01-31,397478
2020-02-01,388871
2020-02-02,383363
2020-02-03,374260
2020-02-04,368795
2020-02-05,361298
2020-02-06,348806
2020-02-07,336966
2020-02-08,329370
2020-02-09,325852
2020-02-10,329759
2020-02-11,340619
2020-02-12,355934
2020-02-13,367894
2020-02-14,376505
2020-02-15,385118
2020-02-16,391341
2020-02-17,389213
2020-02-18,391163
2020-02-19,396642
2020-02-20,398714
2020-02-21,400398
2020-02-22,406065
2020-02-23,415736
2020-02-24,424255
2020-02-25,439735
2020-02-26,447541
2020-02-27,447002
2020-02-28,443938
2020-02-29,437885
2020-03-01,443073
2020-03-02,447383
2020-03-03,453848
2020-03-04,453896
2020-03-05,451141
2020-03-06,448842
2020-03-07,447091
2020-03-08,448200
2020-03-09,447175
2020-03-10,447016
2020-03-11,448269
2020-03-12,451924
2020-03-13,456569
2020-03-14,474443
2020-03-15,494502
2020-03-16,517696
2020-03-17,536362
2020-03-18,561394
2020-03-19,580115
2020-03-20,587722
2020-03-21,590267
2020-03-22,588589
2020-03-23,589300
2020-03-24,595776
2020-03-25,605172
2020-03-26,621733
2020-03-27,632417
2020-03-28,641974
2020-03-29,656961
2020-03-30,688591
2020-03-31,722164
2020-04-01,743112
2020-04-02,758880
2020-04-03,766884
2020-04-04,777401
2020-04-05,775888
2020-04-06,770032
2020-04-07,768263
2020-04-08,761401
2020-04-09,753313
2020-04-10,746195
2020-04-11,733237
2020-04-12,715271
2020-04-13,703369
2020-04-14,696514
2020-04-15,712617
2020-04-16,733186
2020-04-17,756772
2020-04-18,778703
2020-04-19,812321
2020-04-20,844628
2020-04-21,870312
2020-04-22,897438
2020-04-23,936995
2020-04-24,958439
2020-04-25,936276
2020-04-26,904951
2020-04-27,868458
2020-04-28,830701
2020-04-29,796700
2020-04-30,766921
2020-05-01,743274
2020-05-02,718875
2020-05-03,691134
2020-05-04,677918
2020-05-05,674408
2020-05-06,707001
2020-05-07,741801
2020-05-08,776664
2020-05-09,807835
2020-05-10,826874
2020-05-11,840971
2020-05-12,850602
2020-05-13,845182
