date_obj,Heavy%20ballista price
2017-12-01,953613
2017-12-02,960341
2017-12-03,953985
2017-12-04,911889
2017-12-05,867631
2017-12-06,824270
2017-12-07,792314
2017-12-08,800707
2017-12-09,836409
2017-12-10,871747
2017-12-11,915335
2017-12-12,951072
2017-12-13,947973
2017-12-14,934438
2017-12-15,921802
2017-12-16,920288
2017-12-17,914057
2017-12-18,915999
2017-12-19,905860
2017-12-20,892302
2017-12-21,899089
2017-12-22,908112
2017-12-23,922722
2017-12-24,914003
2017-12-25,897899
2017-12-26,876147
2017-12-27,881266
2017-12-28,872230
2017-12-29,876977
2017-12-30,869992
2017-12-31,880023
2018-01-01,875678
2018-01-02,873370
2018-01-03,860878
2018-01-04,821735
2018-01-05,785653
2018-01-06,755827
2018-01-07,724807
2018-01-08,699177
2018-01-09,682207
2018-01-10,667738
2018-01-11,656367
2018-01-12,639766
2018-01-13,654382
2018-01-14,663603
2018-01-15,683763
2018-01-16,717588
2018-01-17,748137
2018-01-18,761472
2018-01-19,761472
2018-01-20,766875
2018-01-21,752524
2018-01-22,731346
2018-01-23,721382
2018-01-25,740492
2018-01-26,734577
2018-01-27,731193
2018-01-28,725261
2018-01-29,719291
2018-01-30,709400
2018-01-31,705679
2018-02-01,698926
2018-02-02,692939
2018-02-03,676477
2018-02-04,667669
2018-02-05,648320
2018-02-06,653099
2018-02-07,671918
2018-02-08,683812
2018-02-09,712400
2018-02-10,748020
2018-02-11,785392
2018-02-12,823833
2018-02-13,860140
2018-02-14,858376
2018-02-15,870958
2018-02-16,873164
2018-02-17,865965
2018-02-18,865414
2018-02-19,844420
2018-02-20,843978
2018-02-21,803336
2018-02-22,763169
2018-02-23,725212
2018-02-24,704254
2018-02-25,708255
2018-02-26,702117
2018-02-27,701323
2018-02-28,708900
2018-03-01,737459
2018-03-02,708600
2018-03-03,702568
2018-03-04,703805
2018-03-05,696012
2018-03-06,700044
2018-03-07,699556
2018-03-08,703910
2018-03-09,699945
2018-03-10,697048
2018-03-11,705579
2018-03-12,715954
2018-03-13,723149
2018-03-14,708835
2018-03-15,695922
2018-03-16,680901
2018-03-17,664123
2018-03-18,670317
2018-03-19,677551
2018-03-20,675970
2018-03-21,691078
2018-03-23,690290
2018-03-24,710756
2018-03-25,727394
2018-03-26,735392
2018-03-27,714401
2018-03-28,702701
2018-03-29,686097
2018-03-30,675201
2018-03-31,675380
2018-04-01,682363
2018-04-02,689403
2018-04-03,695062
2018-04-04,705365
2018-04-05,700130
2018-04-06,695214
2018-04-07,692961
2018-04-08,687514
2018-04-09,687512
2018-04-10,702639
2018-04-11,705150
2018-04-12,689584
2018-04-13,689234
2018-04-14,686410
2018-04-15,683567
2018-04-16,672002
2018-04-17,669606
2018-04-18,667719
2018-04-19,671567
2018-04-20,676715
2018-04-21,674587
2018-04-22,688580
2018-04-23,690627
2018-04-24,714457
2018-04-25,736192
2018-04-26,772705
2018-04-27,811341
2018-04-28,850525
2018-04-29,892946
2018-04-30,936802
2018-05-01,901030
2018-05-03,813179
2018-05-04,772520
2018-05-05,733894
2018-05-06,710989
2018-05-07,710502
2018-05-08,708817
2018-05-09,702716
2018-05-10,685978
2018-05-11,684008
2018-05-12,699488
2018-05-13,694658
2018-05-14,699897
2018-05-15,705111
2018-05-16,701246
2018-05-17,700655
2018-05-18,701763
2018-05-19,707925
2018-05-20,705757
2018-05-21,687425
2018-05-22,688387
2018-05-23,689556
2018-05-24,699153
2018-05-25,694248
2018-05-26,688230
2018-05-27,686108
2018-05-28,710115
2018-05-29,715518
2018-05-30,713152
2018-05-31,701668
2018-06-01,704020
2018-06-02,698290
2018-06-03,696483
2018-06-04,686644
2018-06-05,688588
2018-06-06,689954
2018-06-07,661872
2018-06-08,649673
2018-06-09,654011
2018-06-10,667880
2018-06-11,661389
2018-06-12,668177
2018-06-13,663469
2018-06-14,681827
2018-06-15,686551
2018-06-16,695324
2018-06-17,687124
2018-06-18,681882
2018-06-19,676521
2018-06-20,673673
2018-06-21,684889
2018-06-22,674693
2018-06-23,671345
2018-06-24,666247
2018-06-25,670588
2018-06-26,672544
2018-06-27,692641
2018-06-28,678323
2018-06-29,670178
2018-06-30,664428
2018-07-01,665342
2018-07-02,663646
2018-07-03,673774
2018-07-04,689045
2018-07-05,688868
2018-07-06,700909
2018-07-07,699195
2018-07-08,702963
2018-07-09,711407
2018-07-10,719590
2018-07-11,711841
2018-07-12,701520
2018-07-13,704240
2018-07-14,708920
2018-07-15,716159
2018-07-16,725435
2018-07-17,753040
2018-07-18,778335
2018-07-19,815818
2018-07-20,841182
2018-07-21,820424
2018-07-22,804845
2018-07-23,795202
2018-07-24,785195
2018-07-25,785317
2018-07-26,820617
2018-07-27,858325
2018-07-28,894708
2018-07-29,932371
2018-07-30,978737
2018-07-31,979074
2018-08-01,952208
2018-08-02,936326
2018-08-03,907750
2018-08-04,883717
2018-08-05,870031
2018-08-06,846914
2018-08-07,819028
2018-08-08,791013
2018-08-09,759631
2018-08-10,741504
2018-08-11,747823
2018-08-12,756410
2018-08-14,779670
2018-08-16,767633
2018-08-17,775065
2018-08-18,779698
2018-08-19,786522
2018-08-20,806826
2018-08-21,810722
2018-08-22,808320
2018-08-23,800092
2018-08-24,806981
2018-08-25,809152
2018-08-26,807942
2018-08-27,817091
2018-08-28,808913
2018-08-29,801715
2018-08-30,797153
2018-08-31,796221
2018-09-01,811769
2018-09-02,846694
2018-09-03,868559
2018-09-04,863921
2018-09-05,839291
2018-09-06,835514
2018-09-07,816430
2018-09-08,797631
2018-09-09,783526
2018-09-10,766932
2018-09-11,749739
2018-09-12,752461
2018-09-13,769755
2018-09-14,768346
2018-09-15,770542
2018-09-16,776440
2018-09-17,775406
2018-09-18,780269
2018-09-19,776205
2018-09-20,780375
2018-09-21,788479
2018-09-22,786192
2018-09-23,786571
2018-09-24,792868
2018-09-25,798282
2018-09-26,798116
2018-09-27,792900
2018-09-28,787448
2018-09-29,788202
2018-09-30,788228
2018-10-01,782394
2018-10-02,791051
2018-10-03,795247
2018-10-04,794838
2018-10-05,805610
2018-10-06,806496
2018-10-07,804444
2018-10-08,804405
2018-10-09,800347
2018-10-10,795384
2018-10-11,780364
2018-10-12,766153
2018-10-13,747092
2018-10-14,734793
2018-10-15,726689
2018-10-16,723310
2018-10-17,717699
2018-10-18,719362
2018-10-19,738298
2018-10-20,758981
2018-10-21,766227
2018-10-22,764394
2018-10-23,758415
2018-10-24,751758
2018-10-25,750134
2018-10-26,743967
2018-10-27,743240
2018-10-28,742748
2018-10-29,736301
2018-10-30,731275
2018-10-31,720781
2018-11-01,710374
2018-11-03,698309
2018-11-04,686469
2018-11-05,681950
2018-11-06,678099
2018-11-07,672374
2018-11-08,661695
2018-11-09,639846
2018-11-10,623277
2018-11-11,626103
2018-11-12,639915
2018-11-13,657892
2018-11-14,681355
2018-11-15,672298
2018-11-16,671474
2018-11-17,685275
2018-11-18,703114
2018-11-19,708164
2018-11-20,705047
2018-11-21,699140
2018-11-22,684747
2018-11-23,674490
2018-11-24,666724
2018-11-25,654064
2018-11-26,650389
2018-11-27,660855
2018-11-28,682279
2018-11-29,706280
2018-12-01,725314
2018-12-02,718024
2018-12-03,715010
2018-12-04,718337
2018-12-05,723594
2018-12-07,712657
2018-12-09,723917
2018-12-10,721410
2018-12-11,725898
2018-12-12,720444
2018-12-13,716824
2018-12-14,714354
2018-12-15,704667
2018-12-16,700008
2018-12-17,691713
2018-12-18,689773
2018-12-19,682237
2018-12-20,674124
2018-12-21,677598
2018-12-22,680242
2018-12-23,689255
2018-12-24,699971
2018-12-25,683937
2018-12-26,683778
2018-12-27,687544
2018-12-28,695612
2018-12-29,708180
2018-12-30,718494
2018-12-31,709540
2019-01-01,701462
2019-01-02,688970
2019-01-03,683847
2019-01-04,681281
2019-01-05,680364
2019-01-06,676782
2019-01-08,671350
2019-01-10,637232
2019-01-11,618215
2019-01-12,612488
2019-01-13,612503
2019-01-14,626538
2019-01-15,632247
2019-01-16,639730
2019-01-17,636897
2019-01-18,636185
2019-01-19,634982
2019-01-20,642587
2019-01-21,660595
2019-01-22,681749
2019-01-23,684563
2019-01-24,690565
2019-01-25,690749
2019-01-26,680106
2019-01-27,675553
2019-01-29,658678
2019-01-30,648742
2019-01-31,645922
2019-02-01,639840
2019-02-02,634107
2019-02-03,630024
2019-02-04,631590
2019-02-05,639333
2019-02-06,641921
2019-02-07,635823
2019-02-08,629890
2019-02-09,626074
2019-02-10,621743
2019-02-11,618508
2019-02-12,610519
2019-02-13,600808
2019-02-14,599204
2019-02-15,589116
2019-02-16,587952
2019-02-17,587097
2019-02-18,580956
2019-02-19,584038
2019-02-20,581583
2019-02-21,586692
2019-02-22,596354
2019-02-23,619314
2019-02-24,644637
2019-02-25,651459
2019-02-26,651451
2019-02-27,655100
2019-02-28,644865
2019-03-01,635028
2019-03-02,617605
2019-03-03,605923
2019-03-04,592933
2019-03-05,592674
2019-03-06,604296
2019-03-07,609287
2019-03-08,615585
2019-03-09,626366
