date_obj,Mole%20slippers price
2019-08-18,208601
2019-08-19,204204
2019-08-20,204204
2019-08-21,199806
2019-08-22,195822
2019-08-23,195822
2019-08-24,190498
2019-08-24,190498
2019-08-25,190498
2019-08-25,190498
2019-08-26,186895
2019-08-26,186895
2019-08-27,186895
2019-08-27,186895
2019-08-28,185126
2019-08-29,185126
2019-08-30,190019
2019-08-31,190019
2019-09-01,191180
2019-09-02,191180
2019-09-03,191360
2019-09-04,191360
2019-09-05,185155
2019-09-06,185155
2019-09-07,178433
2019-09-08,170481
2019-09-09,170481
2019-09-10,164584
2019-09-11,156744
2019-09-12,156744
2019-09-13,151492
2019-09-14,151667
2019-09-15,151667
2019-09-16,151609
2019-09-17,154007
2019-09-18,157331
2019-09-19,157331
2019-09-20,163338
2019-09-21,163338
2019-09-22,166142
2019-09-23,170551
2019-09-24,170551
2019-09-25,178331
2019-09-26,178331
2019-09-27,187187
2019-09-28,193521
2019-09-29,193521
2019-09-30,192832
2019-10-01,186604
2019-10-02,186604
2019-10-03,185953
2019-10-04,185953
2019-10-05,184460
2019-10-06,180266
2019-10-07,180266
2019-10-08,177317
2019-10-09,177317
2019-10-10,175094
2019-10-11,175094
2019-10-12,175861
2019-10-13,172140
2019-10-14,167693
2019-10-15,167693
2019-10-16,163453
2019-10-17,163453
2019-10-18,159653
2019-10-19,157450
2019-10-20,159299
2019-10-21,159299
2019-10-22,155348
2019-10-23,154070
2019-10-24,158752
2019-10-25,158752
2019-10-26,158809
2019-10-27,158809
2019-10-28,158547
2019-10-29,158547
2019-10-30,161400
2019-10-31,161400
2019-11-01,162144
2019-11-02,160874
2019-11-03,158893
2019-11-04,158893
2019-11-05,158478
2019-11-06,158478
2019-11-07,156666
2019-11-08,156666
2019-11-09,155685
2019-11-10,151855
2019-11-11,147083
2019-11-12,147083
2019-11-13,140712
2019-11-14,140712
2019-11-15,136102
2019-11-16,130483
2019-11-17,130483
2019-11-18,123963
2019-11-19,123963
2019-11-20,118108
2019-11-21,118108
2019-11-22,112314
2019-11-23,108358
2019-11-24,108358
2019-11-25,105214
2019-11-26,102700
2019-11-27,102700
2019-11-28,97875
2019-11-29,97875
2019-11-30,95922
2019-12-01,95922
2019-12-02,93171
2019-12-03,91638
2019-12-04,91638
2019-12-05,93891
2019-12-06,93891
2019-12-07,96202
2019-12-08,96202
2019-12-09,95965
2019-12-10,97421
2019-12-11,97421
2019-12-12,99458
2019-12-13,99458
2019-12-14,102181
2019-12-15,105241
2019-12-16,105241
2019-12-17,102977
2019-12-18,102977
2019-12-19,102618
2019-12-20,105090
2019-12-21,109123
2019-12-22,112953
2019-12-23,112953
2019-12-24,118417
2019-12-25,123928
2019-12-26,123928
2019-12-27,125372
2019-12-28,121450
2019-12-29,121450
2019-12-30,120162
2019-12-31,120162
2020-01-01,124742
2020-01-02,130617
2020-01-03,130617
2020-01-04,135447
2020-01-05,141897
2020-01-06,141897
2020-01-07,148806
2020-01-08,148806
2020-01-09,155978
2020-01-10,160784
2020-01-11,164187
2020-01-12,170007
2020-01-13,170007
2020-01-14,174061
2020-01-15,176855
2020-01-16,181131
2020-01-17,186018
2020-01-18,186018
2020-01-19,194758
2020-01-20,194758
2020-01-21,202445
2020-01-22,208687
2020-01-23,207300
2020-01-24,206072
2020-01-25,206072
2020-01-26,200948
2020-01-27,192895
2020-01-28,192895
2020-01-29,188995
2020-01-30,188995
2020-01-31,185075
2020-02-01,187288
2020-02-02,187927
2020-02-03,187927
2020-02-04,183474
2020-02-05,183474
2020-02-06,182163
2020-02-07,182163
2020-02-08,178250
2020-02-09,178250
2020-02-10,172577
2020-02-11,172577
2020-02-12,165436
2020-02-13,165436
2020-02-14,158083
2020-02-15,158083
2020-02-16,153420
2020-02-17,149266
2020-02-18,146022
2020-02-19,146022
2020-02-20,142348
2020-02-21,142348
2020-02-22,139136
2020-02-23,139136
2020-02-24,135103
2020-02-25,133348
2020-02-26,131179
2020-02-27,130753
2020-02-28,130797
2020-02-29,130797
2020-03-01,129560
2020-03-02,129560
2020-03-03,126502
2020-03-04,126502
2020-03-05,125616
2020-03-06,123986
2020-03-07,123986
2020-03-08,118084
2020-03-09,116882
2020-03-10,115226
2020-03-11,116758
2020-03-12,119334
2020-03-13,119334
2020-03-14,121104
2020-03-15,121104
2020-03-16,122056
2020-03-17,123780
2020-03-18,123447
2020-03-19,123447
2020-03-20,120743
2020-03-21,120086
2020-03-22,118399
2020-03-23,115599
2020-03-24,111401
2020-03-25,109515
2020-03-26,106921
2020-03-27,102538
2020-03-28,100584
2020-03-29,97896
2020-03-30,95947
2020-03-31,96681
2020-04-01,96249
2020-04-02,97110
2020-04-03,97110
2020-04-04,96289
2020-04-05,96289
2020-04-06,93608
2020-04-07,93608
2020-04-08,91624
2020-04-09,90811
2020-04-10,90811
2020-04-11,90268
2020-04-12,89425
2020-04-13,89425
2020-04-14,88899
2020-04-15,89437
2020-04-16,89437
2020-04-17,90048
2020-04-18,90149
2020-04-19,90444
2020-04-20,90779
2020-04-21,90779
2020-04-22,91194
2020-04-23,92098
2020-04-24,92193
2020-04-25,90815
2020-04-26,91436
2020-04-27,92241
2020-04-28,93715
2020-04-29,94666
2020-04-30,95532
2020-05-01,96378
2020-05-02,96159
2020-05-03,96053
2020-05-04,96053
2020-05-05,96835
2020-05-06,97558
2020-05-07,98460
2020-05-08,99793
2020-05-09,100130
2020-05-10,98960
2020-05-11,100119
2020-05-12,100119
2020-05-13,101458
