date_obj,Yellow%20hat price
2015-10-08,862
2015-10-09,862
2015-10-10,862
2015-10-11,862
2015-10-12,884
2015-10-13,884
2015-10-14,884
2015-10-15,884
2015-10-16,884
2015-10-17,884
2015-10-18,884
2015-10-19,884
2015-10-20,884
2015-10-22,884
2015-10-23,890
2015-10-24,890
2015-10-25,890
2015-10-26,890
2015-10-27,890
2015-10-29,890
2015-10-30,890
2015-10-31,890
2015-11-01,890
2015-11-02,906
2015-11-03,906
2015-11-05,906
2015-11-06,906
2015-11-07,906
2015-11-08,906
2015-11-09,906
2015-11-10,906
2015-11-11,906
2015-11-12,906
2015-11-13,906
2015-11-14,929
2015-11-15,929
2015-11-16,929
2015-11-17,929
2015-11-18,929
2015-11-19,929
2015-11-20,929
2015-11-21,929
2015-11-22,929
2015-11-23,929
2015-11-24,959
2015-11-25,959
2015-11-26,959
2015-11-27,959
2015-11-28,959
2015-11-29,959
2015-11-30,959
2015-12-01,959
2015-12-02,959
2015-12-03,959
2015-12-04,949
2015-12-05,949
2015-12-06,949
2015-12-07,949
2015-12-08,949
2015-12-09,949
2015-12-10,949
2015-12-11,949
2015-12-13,958
2015-12-14,958
2015-12-15,958
2015-12-16,958
2015-12-17,958
2015-12-18,958
2015-12-19,958
2015-12-20,958
2015-12-21,958
2015-12-22,958
2015-12-23,958
2015-12-24,958
2015-12-25,958
2015-12-26,958
2015-12-27,958
2015-12-28,958
2015-12-29,958
2015-12-30,957
2015-12-31,957
2016-01-01,957
2016-01-02,957
2016-01-03,957
2016-01-04,957
2016-01-05,957
2016-01-06,957
2016-01-07,974
2016-01-08,974
2016-01-09,974
2016-01-10,974
2016-01-11,974
2016-01-12,974
2016-01-13,974
2016-01-14,1017
2016-01-15,1017
2016-01-16,1017
2016-01-17,1017
2016-01-18,1017
2016-01-19,1017
2016-01-20,1017
2016-01-21,1017
2016-01-22,1056
2016-01-23,1056
2016-01-24,1056
2016-01-25,1056
2016-01-26,1056
2016-01-27,1056
2016-01-28,1056
2016-01-29,1056
2016-01-30,1052
2016-01-31,1052
2016-02-01,1052
2016-02-02,1052
2016-02-03,1052
2016-02-04,1052
2016-02-05,1052
2016-02-06,1052
2016-02-07,1066
2016-02-08,1066
2016-02-09,1066
2016-02-10,1066
2016-02-11,1066
2016-02-12,1066
2016-02-13,1066
2016-02-14,1066
2016-02-15,1089
2016-02-16,1089
2016-02-17,1089
2016-02-18,1089
2016-02-19,1089
2016-02-20,1089
2016-02-21,1089
2016-02-22,1089
2016-02-23,1089
2016-02-24,1080
2016-02-25,1080
2016-02-26,1080
2016-02-27,1080
2016-02-28,1080
2016-02-29,1080
2016-03-01,1080
2016-03-02,1080
2016-03-03,1066
2016-03-04,1066
2016-03-05,1066
2016-03-06,1066
2016-03-07,1066
2016-03-08,1066
2016-03-09,1066
2016-03-10,1048
2016-03-11,1048
2016-03-12,1048
2016-03-13,1048
2016-03-14,1048
2016-03-15,1048
2016-03-16,1048
2016-03-17,1048
2016-03-18,1061
2016-03-19,1061
2016-03-20,1061
2016-03-21,1061
2016-03-22,1061
2016-03-23,1061
2016-03-24,1061
2016-03-25,1061
2016-03-26,1038
2016-03-27,1038
2016-03-28,1038
2016-03-29,1038
2016-03-30,1038
2016-03-31,1038
2016-04-01,1038
2016-04-02,1038
2016-04-03,1027
2016-04-04,1027
2016-04-05,1027
2016-04-06,1027
2016-04-07,1027
2016-04-08,1027
2016-04-09,1027
2016-04-10,1068
2016-04-11,1068
2016-04-12,1068
2016-04-13,1068
2016-04-14,1068
2016-04-15,1068
2016-04-16,1068
2016-04-17,1059
2016-04-18,1059
2016-04-19,1059
2016-04-20,1059
2016-04-21,1059
2016-04-22,1059
2016-04-23,1059
2016-04-24,1061
2016-04-25,1061
2016-04-26,1061
2016-04-27,1061
2016-04-28,1061
2016-04-29,1061
2016-04-30,1069
2016-05-01,1069
2016-05-02,1069
2016-05-03,1069
2016-05-04,1069
2016-05-05,1069
2016-05-06,1069
2016-05-07,1076
2016-05-08,1076
2016-05-09,1076
2016-05-10,1076
2016-05-11,1076
2016-05-12,1076
2016-05-13,1076
2016-05-14,1074
2016-05-15,1074
2016-05-16,1074
2016-05-17,1074
2016-05-18,1074
2016-05-19,1074
2016-05-22,1032
2016-05-23,1032
2016-05-24,1032
2016-05-25,1032
2016-05-26,1032
2016-05-27,987
2016-05-28,987
2016-05-29,987
2016-05-30,987
2016-05-31,987
2016-06-01,987
2016-06-02,987
2016-06-03,943
2016-06-04,943
2016-06-05,943
2016-06-06,943
2016-06-07,943
2016-06-08,943
2016-06-09,943
2016-06-10,926
2016-06-11,926
2016-06-12,926
2016-06-13,926
2016-06-14,926
2016-06-15,926
2016-06-16,926
2016-06-17,921
2016-06-18,921
2016-06-19,921
2016-06-20,921
2016-06-21,921
2016-06-22,921
2016-06-23,921
2016-06-24,920
2016-06-25,920
2016-06-26,920
2016-06-27,920
2016-06-28,920
2016-06-29,920
2016-06-30,920
2016-07-01,942
2016-07-02,942
2016-07-03,942
2016-07-04,942
2016-07-05,942
2016-07-06,942
2016-07-07,942
2016-07-08,915
2016-07-09,915
2016-07-10,915
2016-07-11,915
2016-07-12,915
2016-07-13,915
2016-07-14,915
2016-07-15,915
2016-07-16,915
2016-07-17,915
2016-07-18,915
2016-07-24,912
2016-07-25,912
2016-07-26,912
2016-07-27,912
2016-07-28,912
2016-07-29,912
2016-07-30,912
2016-07-31,912
2016-08-01,912
2016-08-02,918
2016-08-03,918
2016-08-04,918
2016-08-05,918
2016-08-06,918
2016-08-07,918
2016-08-08,918
2016-08-09,918
2016-08-10,918
2016-08-11,934
2016-08-12,934
2016-08-13,934
2016-08-14,934
2016-08-15,934
2016-08-16,934
2016-08-17,934
2016-08-18,934
2016-08-19,934
2016-08-20,934
2016-08-21,908
2016-08-22,908
2016-08-23,908
2016-08-24,908
2016-08-25,908
2016-08-26,908
2016-08-28,908
2016-08-31,908
2016-09-01,908
2016-09-02,908
2016-09-03,908
2016-09-04,908
2016-09-05,908
2016-09-06,908
2016-09-07,908
2016-09-08,908
2016-09-09,908
2016-09-10,896
2016-09-11,896
2016-09-12,896
2016-09-13,896
2016-09-14,896
2016-09-15,896
2016-09-16,896
2016-09-17,896
2016-09-18,896
2016-09-19,896
2016-09-20,896
2016-09-21,876
2016-09-22,876
2016-09-23,876
2016-09-24,876
2016-09-25,876
2016-09-26,876
2016-09-27,876
2016-09-28,876
2016-09-29,876
2016-09-30,876
2016-10-01,865
2016-10-02,865
2016-10-03,865
2016-10-04,865
2016-10-05,865
2016-10-06,865
2016-10-07,865
2016-10-08,865
2016-10-09,865
2016-10-10,865
2016-10-11,865
2016-10-12,864
2016-10-13,864
2016-10-14,864
2016-10-15,864
2016-10-16,864
2016-10-17,864
2016-10-18,864
2016-10-19,864
2016-10-20,863
2016-10-21,863
2016-10-22,863
2016-10-23,863
2016-10-24,863
2016-10-25,863
2016-10-26,863
2016-10-27,863
2016-10-28,863
2016-10-29,871
2016-10-30,871
2016-10-31,871
2016-11-01,871
2016-11-02,871
2016-11-03,871
2016-11-04,871
2016-11-05,871
2016-11-06,871
2016-11-07,906
2016-11-08,906
