date_obj,Amulet%20of%20avarice price
2019-04-27,125873
2019-04-28,125464
2019-04-29,124689
2019-04-30,124509
2019-05-01,124282
2019-05-02,119364
2019-05-03,115553
2019-05-04,117967
2019-05-05,123019
2019-05-06,128496
2019-05-07,133766
2019-05-08,139823
2019-05-09,146751
2019-05-10,154089
2019-05-11,161794
2019-05-12,169884
2019-05-13,178379
2019-05-14,187298
2019-05-15,195529
2019-05-16,204357
2019-05-17,213230
2019-05-18,215106
2019-05-19,207831
2019-05-20,211458
2019-05-21,211992
2019-05-22,203198
2019-05-23,197653
2019-05-24,191474
2019-05-25,182990
2019-05-26,175461
2019-05-27,166787
2019-05-28,158682
2019-05-29,151709
2019-05-30,146940
2019-05-31,148860
2019-06-01,151195
2019-06-02,148227
2019-06-03,141415
2019-06-04,137580
2019-06-05,134961
2019-06-06,134347
2019-06-07,137876
2019-06-08,142585
2019-06-09,149715
2019-06-10,156739
2019-06-11,164576
2019-06-12,170179
2019-06-13,178329
2019-06-14,181480
2019-06-15,187968
2019-06-16,184980
2019-06-17,178960
2019-06-18,183147
2019-06-19,190869
2019-06-20,200406
2019-06-21,210427
2019-06-22,220570
2019-06-23,220489
2019-06-24,212442
2019-06-25,207354
2019-06-26,205841
2019-06-27,199583
2019-06-28,194161
2019-06-29,192452
2019-06-30,187762
2019-07-01,180113
2019-07-02,172104
2019-07-03,165416
2019-07-04,164362
2019-07-05,167141
2019-07-06,167616
2019-07-07,163651
2019-07-08,164741
2019-07-09,164267
2019-07-10,164892
2019-07-11,165453
2019-07-12,167939
2019-07-13,171035
2019-07-14,177423
2019-07-15,175423
2019-07-16,172949
2019-07-17,177833
2019-07-18,174392
2019-07-19,173315
2019-07-20,174662
2019-07-21,181368
2019-07-22,181876
2019-07-23,180363
2019-07-24,181990
2019-07-25,181809
2019-07-26,185419
2019-07-27,190037
2019-07-28,193230
2019-07-29,198789
2019-07-30,207237
2019-07-31,211102
2019-08-01,204716
2019-08-02,196047
2019-08-03,186395
2019-08-04,179754
2019-08-05,179705
2019-08-06,180573
2019-08-07,177044
2019-08-08,178885
2019-08-09,177617
2019-08-10,180287
2019-08-11,180002
2019-08-12,183449
2019-08-13,189301
2019-08-14,194263
2019-08-15,193339
2019-08-16,198193
2019-08-17,202373
2019-08-18,205193
2019-08-19,212001
2019-08-20,210680
2019-08-21,203722
2019-08-22,199759
2019-08-23,195349
2019-08-24,189177
2019-08-24,189177
2019-08-25,189042
2019-08-25,189042
2019-08-26,189305
2019-08-27,185364
2019-08-27,185364
2019-08-28,186232
2019-08-29,195256
2019-08-30,203556
2019-08-31,210829
2019-09-01,214465
2019-09-02,222335
2019-09-03,223389
2019-09-04,228549
2019-09-05,237104
2019-09-06,248960
2019-09-07,256927
2019-09-08,255345
2019-09-09,265384
2019-09-10,254244
2019-09-11,242669
2019-09-12,232490
2019-09-13,222363
2019-09-14,211244
2019-09-15,200681
2019-09-16,192653
2019-09-17,185268
2019-09-18,177185
2019-09-19,170859
2019-09-20,166644
2019-09-21,167714
2019-09-22,171316
2019-09-23,174062
2019-09-24,169079
2019-09-25,165831
2019-09-26,163422
2019-09-27,163064
2019-09-28,158355
2019-09-29,150437
2019-09-30,143312
2019-10-01,137715
2019-10-02,139925
2019-10-03,137614
2019-10-04,136888
2019-10-05,138087
2019-10-06,143313
2019-10-07,147642
2019-10-08,153428
2019-10-09,155232
2019-10-10,158280
2019-10-11,156212
2019-10-12,157376
2019-10-13,152406
2019-10-14,147609
2019-10-15,143191
2019-10-16,142679
2019-10-17,141325
2019-10-18,141876
2019-10-19,142151
2019-10-20,144061
2019-10-21,143955
2019-10-22,144885
2019-10-23,149515
2019-10-24,151339
2019-10-25,152318
2019-10-26,154900
2019-10-27,154140
2019-10-28,153849
2019-10-29,151997
2019-10-30,151600
2019-10-31,152866
2019-11-01,151619
2019-11-02,153604
2019-11-03,152488
2019-11-04,149725
2019-11-05,148561
2019-11-06,146319
2019-11-07,146273
2019-11-08,148262
2019-11-09,153298
2019-11-10,159286
2019-11-11,162130
2019-11-12,158650
2019-11-13,154893
2019-11-14,154086
2019-11-15,152807
2019-11-16,151404
2019-11-17,149531
2019-11-18,148123
2019-11-19,143036
2019-11-20,139430
2019-11-21,134012
2019-11-22,132150
2019-11-23,130557
2019-11-24,125233
2019-11-25,119359
2019-11-26,116321
2019-11-27,113415
2019-11-28,109968
2019-11-29,104469
2019-11-30,99676
2019-12-01,99301
2019-12-02,95857
2019-12-03,93744
2019-12-04,93769
2019-12-05,95772
2019-12-06,96852
2019-12-07,96979
2019-12-08,93502
2019-12-09,92322
2019-12-10,91185
2019-12-11,93818
2019-12-12,95908
2019-12-13,96865
2019-12-14,99385
2019-12-15,96367
2019-12-16,95152
2019-12-17,93743
2019-12-18,93226
2019-12-19,93068
2019-12-20,96844
2019-12-21,101364
2019-12-22,102895
2019-12-23,104116
2019-12-24,107761
2019-12-25,112274
2019-12-26,114317
2019-12-27,115167
2019-12-28,114623
2019-12-29,114454
2019-12-30,117190
2019-12-31,119306
2020-01-01,123010
2020-01-02,127609
2020-01-03,125804
2020-01-04,124953
2020-01-05,124037
2020-01-06,123049
2020-01-07,121450
2020-01-08,119682
2020-01-09,123977
2020-01-10,126465
2020-01-11,127058
2020-01-12,130492
2020-01-13,133731
2020-01-14,134802
2020-01-15,134211
2020-01-16,133983
2020-01-17,136417
2020-01-18,137750
2020-01-19,138002
2020-01-20,143370
2020-01-21,150211
2020-01-22,152146
2020-01-23,154793
2020-01-24,160230
2020-01-25,163368
2020-01-26,167991
2020-01-27,173722
2020-01-28,179869
2020-01-29,182974
2020-01-30,188145
2020-01-31,189628
2020-02-01,197058
2020-02-02,203558
2020-02-03,207102
2020-02-04,199958
2020-02-05,200890
2020-02-06,198144
2020-02-07,193880
2020-02-08,189474
2020-02-09,184076
2020-02-10,177329
2020-02-11,177326
2020-02-12,171594
2020-02-13,168309
2020-02-14,159905
2020-02-15,153160
2020-02-16,147534
2020-02-17,146184
2020-02-18,149957
2020-02-19,153114
2020-02-20,156391
2020-02-21,158584
2020-02-22,154496
2020-02-23,152173
2020-02-24,148688
2020-02-25,144104
2020-02-26,141952
2020-02-27,141158
2020-02-28,140469
2020-02-29,142214
2020-03-01,141002
2020-03-02,145885
2020-03-03,147140
2020-03-04,142372
2020-03-05,138618
2020-03-06,140628
2020-03-07,142287
2020-03-08,142534
2020-03-09,145365
2020-03-10,141908
2020-03-11,140972
2020-03-12,138822
2020-03-13,132169
2020-03-14,125560
2020-03-15,119282
2020-03-16,113317
2020-03-17,107651
2020-03-18,102268
2020-03-19,97815
2020-03-20,96543
2020-03-21,100317
2020-03-22,105173
2020-03-23,106569
2020-03-24,107427
2020-03-25,106870
2020-03-26,106538
2020-03-27,105519
2020-03-28,103622
2020-03-29,107272
2020-03-30,112287
2020-03-31,117663
2020-04-01,123437
2020-04-02,129472
2020-04-03,132446
2020-04-04,137744
2020-04-05,143488
2020-04-06,149600
2020-04-07,142240
2020-04-08,135284
2020-04-09,128519
2020-04-10,122160
2020-04-11,118900
2020-04-12,123420
2020-04-13,121874
2020-04-14,118097
2020-04-15,117308
2020-04-16,117978
2020-04-17,117190
2020-04-18,119790
2020-04-19,125179
2020-04-20,131337
2020-04-21,136341
2020-04-22,139347
2020-04-23,137750
2020-04-24,132656
2020-04-25,126373
2020-04-26,120081
2020-04-27,115547
2020-04-28,112185
2020-04-29,109436
2020-04-30,110414
2020-05-01,109798
2020-05-02,109571
2020-05-03,113970
2020-05-04,115011
2020-05-05,118744
2020-05-06,117323
2020-05-07,115714
2020-05-08,115324
2020-05-09,114724
2020-05-10,111533
2020-05-11,108522
2020-05-12,106657
2020-05-13,103848
