date_obj,Flattened%20hide price
2017-02-10,17824
2017-02-11,17824
2017-02-12,17824
2017-02-13,17824
2017-02-14,17824
2017-02-15,17824
2017-02-16,17824
2017-02-18,17824
2017-02-19,17824
2017-02-20,17824
2017-02-21,17824
2017-02-22,17824
2017-02-23,17824
2017-02-24,17824
2017-02-25,17824
2017-02-26,17824
2017-02-27,17824
2017-02-28,17824
2017-03-01,17824
2017-03-02,17824
2017-03-03,17824
2017-03-04,17824
2017-03-05,17824
2017-03-06,17824
2017-03-07,17824
2017-03-08,17824
2017-03-09,17824
2017-03-10,17824
2017-03-11,17824
2017-03-12,17824
2017-03-13,17824
2017-03-14,17824
2017-03-15,17824
2017-03-16,17824
2017-03-17,17824
2017-03-18,17824
2017-03-19,17824
2017-03-20,17824
2017-03-21,17824
2017-03-22,17824
2017-03-23,17824
2017-03-24,17824
2017-03-25,17824
2017-03-26,17824
2017-03-27,17824
2017-03-28,17824
2017-03-29,17824
2017-03-30,17824
2017-03-31,17824
2017-04-01,17824
2017-04-02,17824
2017-04-03,17824
2017-04-04,17824
2017-04-12,17824
2017-04-13,17824
2017-04-14,17824
2017-04-15,17824
2017-04-16,17824
2017-04-17,17824
2017-04-18,17824
2017-04-19,17824
2017-04-20,17824
2017-04-21,17824
2017-04-22,17824
2017-04-23,17824
2017-04-24,17824
2017-04-25,17824
2017-04-26,17824
2017-04-27,17824
2017-04-28,17824
2017-04-29,17824
2017-04-30,17824
2017-05-01,17824
2017-05-02,17824
2017-05-03,17824
2017-05-04,17824
2017-05-05,17824
2017-05-06,17824
2017-05-07,17824
2017-05-08,17824
2017-05-09,17824
2017-05-10,17824
2017-05-11,17824
2017-05-12,17824
2017-05-13,17824
2017-05-14,17824
2017-05-15,17824
2017-05-16,17824
2017-05-17,17824
2017-05-18,17824
2017-05-19,17824
2017-05-20,17824
2017-05-21,17824
2017-05-22,17824
2017-05-23,17824
2017-05-24,17824
2017-05-25,17824
2017-05-26,17824
2017-05-27,17824
2017-05-28,17824
2017-05-29,17824
2017-05-30,17824
2017-05-31,17824
2017-06-01,17824
2017-06-02,17824
2017-06-03,17824
2017-06-04,17824
2017-06-05,17824
2017-06-06,17824
2017-06-07,17824
