date_obj,Monk's%20robe%20top%20(t) price
2019-09-01,72142
2019-09-02,73057
2019-09-03,76046
2019-09-04,78775
2019-09-05,81781
2019-09-06,84814
2019-09-07,87392
2019-09-08,89203
2019-09-09,91550
2019-09-10,93578
2019-09-11,93517
2019-09-12,94698
2019-09-13,95391
2019-09-14,95522
2019-09-15,94107
2019-09-16,93827
2019-09-17,93292
2019-09-18,91185
2019-09-19,91307
2019-09-20,91451
2019-09-21,90812
2019-09-22,90363
2019-09-23,89428
2019-09-24,87363
2019-09-25,87554
2019-09-26,87185
2019-09-27,88321
2019-09-28,87687
2019-09-29,87567
2019-09-30,87339
2019-10-01,87172
2019-10-02,88686
2019-10-03,89295
2019-10-04,90722
2019-10-05,91800
2019-10-06,92366
2019-10-07,92517
2019-10-08,92778
2019-10-09,95037
2019-10-10,95087
2019-10-11,93630
2019-10-12,93358
2019-10-13,91511
2019-10-14,92187
2019-10-15,91706
2019-10-16,90463
2019-10-17,89406
2019-10-18,88927
2019-10-19,85645
2019-10-20,84163
2019-10-21,81965
2019-10-22,79756
2019-10-23,76908
2019-10-24,73975
2019-10-25,71529
2019-10-26,70511
2019-10-27,68464
2019-10-28,67564
2019-10-29,65311
2019-10-30,62646
2019-10-31,62045
2019-11-01,61096
2019-11-02,60807
2019-11-03,60673
2019-11-04,59943
2019-11-05,59782
2019-11-06,59599
2019-11-07,59935
2019-11-08,60383
2019-11-09,61656
2019-11-10,62484
2019-11-11,63507
2019-11-12,64597
2019-11-13,65670
2019-11-14,65811
2019-11-15,66389
2019-11-16,67458
2019-11-17,67458
2019-11-18,69375
2019-11-19,69399
2019-11-20,71083
2019-11-21,73585
2019-11-22,75589
2019-11-23,76458
2019-11-24,79398
2019-11-25,82611
2019-11-26,80953
2019-11-27,79791
2019-11-28,77827
2019-11-29,77401
2019-11-30,76388
2019-12-01,76101
2019-12-02,75321
2019-12-03,75567
2019-12-04,77751
2019-12-05,77362
2019-12-06,79817
2019-12-07,80676
2019-12-08,80023
2019-12-09,80582
2019-12-10,79403
2019-12-11,78707
2019-12-12,78463
2019-12-13,78641
2019-12-14,77449
2019-12-15,78194
2019-12-16,79498
2019-12-17,80758
2019-12-18,82207
2019-12-19,81976
2019-12-20,81589
2019-12-21,80122
2019-12-22,79317
2019-12-23,79795
2019-12-24,81699
2019-12-25,81527
2019-12-26,83623
2019-12-27,82321
2019-12-28,81494
2019-12-29,82717
2019-12-30,84234
2019-12-31,84895
2020-01-01,85673
2020-01-02,86437
2020-01-03,87287
2020-01-04,87608
2020-01-05,87497
2020-01-06,86955
2020-01-07,87232
2020-01-08,86066
2020-01-09,86051
2020-01-10,85551
2020-01-11,85793
2020-01-12,84716
2020-01-13,84582
2020-01-14,83622
2020-01-15,83488
2020-01-16,82231
2020-01-17,81446
2020-01-18,81767
2020-01-19,80424
2020-01-20,80375
2020-01-21,79375
2020-01-22,77501
2020-01-23,76709
2020-01-24,75287
2020-01-25,74580
2020-01-26,74766
2020-01-27,74638
2020-01-28,74887
2020-01-29,74305
2020-01-30,74866
2020-01-31,75143
2020-02-01,74612
2020-02-02,73892
2020-02-03,72779
2020-02-04,71779
2020-02-05,71673
2020-02-06,71073
2020-02-07,71117
2020-02-08,69685
2020-02-09,67498
2020-02-10,66385
2020-02-11,64071
2020-02-12,62484
2020-02-13,61138
2020-02-14,59810
2020-02-15,59198
2020-02-16,58919
2020-02-17,58466
2020-02-18,57788
2020-02-19,56789
2020-02-20,56246
2020-02-21,56246
2020-02-22,56124
2020-02-23,55693
2020-02-24,56818
2020-02-25,57594
2020-02-26,58753
2020-02-27,58273
2020-02-28,58069
2020-02-29,57051
2020-03-01,57538
2020-03-02,55851
2020-03-03,54981
2020-03-04,53969
2020-03-05,53302
2020-03-06,52480
2020-03-07,51731
2020-03-08,51112
2020-03-09,51745
2020-03-10,51791
2020-03-11,52514
2020-03-12,54061
2020-03-13,54957
2020-03-14,55738
2020-03-15,55920
2020-03-16,54881
2020-03-17,54919
2020-03-18,55409
2020-03-19,55117
2020-03-20,54671
2020-03-21,55297
2020-03-22,55184
2020-03-23,55724
2020-03-24,55761
2020-03-25,56524
2020-03-26,55353
2020-03-27,54988
2020-03-28,54941
2020-03-29,55114
2020-03-30,55336
2020-03-31,55272
2020-04-01,55758
2020-04-02,56431
2020-04-03,56745
2020-04-04,56872
2020-04-05,57355
2020-04-06,58251
2020-04-07,58085
2020-04-08,57837
2020-04-09,57603
2020-04-10,57752
2020-04-11,57883
2020-04-12,58530
2020-04-13,58899
2020-04-14,59074
2020-04-15,59915
2020-04-16,60920
2020-04-17,61065
2020-04-18,61064
2020-04-19,61735
2020-04-20,61340
2020-04-21,60260
2020-04-22,60892
2020-04-23,60731
2020-04-24,59339
2020-04-25,59113
2020-04-26,59298
2020-04-27,58810
2020-04-28,59149
2020-04-29,58740
2020-04-30,59123
2020-05-01,58793
2020-05-02,58905
2020-05-03,58982
2020-05-04,59075
2020-05-05,58978
2020-05-06,58922
2020-05-07,59001
2020-05-08,59106
2020-05-09,58884
2020-05-10,58919
2020-05-11,58761
2020-05-12,58517
2020-05-13,57982
