date_obj,Oak%20blackjack(d) price
2016-06-23,307
2016-06-24,307
2016-06-25,307
2016-06-26,307
2016-06-27,307
2016-06-28,307
2016-06-29,307
2016-06-30,307
2016-07-01,307
2016-07-02,307
2016-07-03,307
2016-07-04,307
2016-07-05,307
2016-07-06,307
2016-07-07,307
2016-07-08,307
2016-07-09,307
2016-07-10,307
2016-07-11,307
2016-07-12,307
2016-07-13,307
2016-07-14,307
2016-07-15,307
2016-07-16,307
2016-07-17,307
2016-07-18,307
2016-07-23,307
2016-07-24,307
2016-07-25,307
2016-07-26,307
2016-07-27,307
2016-07-28,307
2016-07-29,307
2016-07-30,307
2016-07-31,307
2016-08-01,307
2016-08-02,307
2016-08-03,307
2016-08-04,307
2016-08-05,307
2016-08-06,307
2016-08-07,307
2016-08-08,307
2016-08-09,307
2016-08-10,307
2016-08-11,307
2016-08-12,307
2016-08-13,307
2016-08-14,307
2016-08-15,307
2016-08-16,307
2016-08-17,307
2016-08-18,307
2016-08-19,307
2016-08-20,307
2016-08-21,307
2016-08-22,307
2016-08-23,307
2016-08-24,307
2016-08-25,307
2016-08-26,307
2016-08-28,307
2016-08-31,307
2016-09-01,307
2016-09-02,307
2016-09-03,307
2016-09-04,307
2016-09-05,307
2016-09-06,307
2016-09-07,307
2016-09-08,307
2016-09-09,307
2016-09-10,307
2016-09-11,307
2016-09-12,307
2016-09-13,307
2016-09-14,307
2016-09-15,307
2016-09-16,307
2016-09-17,307
2016-09-18,307
2016-09-19,307
2016-09-20,307
2016-09-21,307
2016-09-22,307
2016-09-23,307
2016-09-24,307
2016-09-25,307
2016-09-26,307
2016-09-27,307
2016-09-28,307
2016-09-29,307
2016-09-30,307
2016-10-01,307
2016-10-02,307
2016-10-03,307
2016-10-04,307
2016-10-05,307
2016-10-06,307
2016-10-07,307
2016-10-08,307
2016-10-09,307
2016-10-10,307
2016-10-11,307
2016-10-12,307
2016-10-13,307
2016-10-14,307
2016-10-15,307
2016-10-16,307
2016-10-17,307
2016-10-18,307
2016-10-19,307
2016-10-20,307
2016-10-21,307
2016-10-22,307
2016-10-23,307
2016-10-24,307
2016-10-25,307
2016-10-26,307
2016-10-27,307
2016-10-28,307
2016-10-29,307
2016-10-30,307
2016-10-31,307
2016-11-01,307
2016-11-02,307
2016-11-03,307
2016-11-04,307
2016-11-05,307
2016-11-06,307
2016-11-07,307
2016-11-08,307
2016-11-09,307
2016-11-10,307
2016-11-11,307
2016-11-12,307
2016-11-13,307
2016-11-14,307
2016-12-07,321
2016-12-08,321
2016-12-09,321
2016-12-10,321
2016-12-11,321
2016-12-12,321
2016-12-13,321
2016-12-14,321
2016-12-15,321
2016-12-16,321
2016-12-17,321
2016-12-18,321
2016-12-19,321
2016-12-20,321
2016-12-21,321
2016-12-22,321
2016-12-23,321
2016-12-24,321
2016-12-25,321
2016-12-26,321
2016-12-27,321
2016-12-28,321
2016-12-29,321
2016-12-30,321
2016-12-31,321
2017-01-01,321
2017-01-02,321
2017-01-03,321
2017-01-04,321
2017-01-05,321
2017-01-06,321
2017-01-07,321
2017-01-08,321
2017-01-09,321
2017-01-10,321
2017-01-11,321
2017-01-12,321
2017-01-13,321
2017-01-14,321
2017-01-15,321
2017-01-16,321
2017-01-17,321
2017-01-18,321
2017-01-19,321
2017-01-20,321
2017-01-21,321
2017-01-22,321
2017-01-27,321
2017-01-28,321
2017-01-29,321
2017-01-30,321
2017-01-31,321
2017-02-01,321
2017-02-02,321
2017-02-03,321
2017-02-04,321
2017-02-05,321
2017-02-06,321
2017-02-07,321
2017-02-08,321
2017-02-09,321
2017-02-10,321
2017-02-11,321
2017-02-12,321
2017-02-13,321
2017-02-14,321
2017-02-15,321
2017-02-16,321
2017-02-18,321
2017-02-19,321
2017-02-20,321
2017-02-21,321
2017-02-22,321
2017-02-23,321
2017-02-24,321
2017-02-25,321
2017-02-26,321
2017-02-27,321
2017-02-28,321
2017-03-01,321
2017-03-02,321
2017-03-03,321
2017-03-04,321
2017-03-05,321
2017-03-06,321
2017-03-07,321
2017-03-08,321
2017-03-09,321
2017-03-10,321
2017-03-11,321
2017-03-12,321
2017-03-13,321
2017-03-14,321
2017-03-15,321
2017-03-16,321
2017-03-17,321
2017-03-18,321
2017-03-19,321
2017-03-20,321
2017-03-21,321
2017-03-22,321
2017-03-23,321
2017-03-24,321
2017-03-25,321
2017-03-26,321
2017-03-27,321
2017-03-28,321
2017-03-29,321
2017-03-30,321
2017-03-31,321
2017-04-01,321
2017-04-02,321
2017-04-03,321
2017-04-04,321
2017-04-12,321
2017-04-13,321
2017-04-14,321
2017-04-15,321
2017-04-16,321
2017-04-17,321
2017-04-18,321
2017-04-19,321
2017-04-20,321
2017-04-21,321
2017-04-22,321
2017-04-23,321
2017-04-24,321
2017-04-25,321
2017-04-26,321
2017-04-27,321
2017-04-28,321
2017-04-29,321
2017-04-30,321
2017-05-01,321
2017-05-02,321
2017-05-03,321
2017-05-04,321
2017-05-05,321
2017-05-06,321
2017-05-07,321
2017-05-08,321
2017-05-09,321
2017-05-10,321
2017-05-11,321
2017-05-12,321
2017-05-13,321
2017-05-14,321
2017-05-15,321
2017-05-16,321
2017-05-17,321
2017-05-18,321
2017-05-19,321
2017-05-20,321
2017-05-21,321
2017-05-22,321
2017-05-23,321
2017-05-24,321
2017-05-25,321
2017-05-26,321
2017-05-27,321
2017-05-28,321
2017-05-29,321
2017-05-30,321
2017-05-31,321
2017-06-01,321
2017-06-02,321
2017-06-03,321
2017-06-06,321
2017-06-07,321
2017-06-08,321
2017-06-09,321
2017-06-10,321
2017-06-11,321
2017-06-12,321
2017-06-13,321
2017-06-14,321
2017-06-15,321
2017-06-16,321
2017-06-17,321
2017-06-18,321
2017-06-19,321
2017-06-20,321
2017-06-21,321
2017-06-22,321
2017-06-23,321
2017-06-24,321
2017-06-25,321
2017-06-26,321
2017-06-27,321
2017-06-28,321
2017-06-29,321
2017-06-30,321
2017-07-01,321
2017-07-02,321
2017-07-03,321
2017-07-04,321
2017-07-05,321
2017-07-06,321
2017-07-07,321
2017-07-08,321
2017-07-13,321
2017-07-14,321
2017-07-15,321
2017-07-16,321
2017-07-17,321
2017-07-18,321
2017-07-19,321
2017-07-20,321
2017-07-21,321
2017-07-22,321
2017-07-23,321
2017-07-24,321
2017-07-25,321
2017-07-26,321
2017-07-27,321
2017-07-28,321
2017-07-29,321
2017-07-30,321
2017-07-31,321
2017-08-01,321
2017-08-02,321
2017-08-03,321
2017-08-04,321
2017-08-05,321
2017-08-06,321
2017-08-09,321
2017-08-10,321
2017-08-11,321
2017-08-12,321
2017-08-13,321
2017-08-14,321
2017-08-15,321
2017-08-16,321
2017-08-17,321
2017-08-18,321
2017-08-19,321
2017-08-20,321
2017-08-22,321
2017-08-23,321
2017-08-24,321
2017-08-25,321
2017-08-26,321
2017-08-27,321
2017-08-28,321
2017-08-29,321
2017-08-30,321
2017-08-31,321
2017-09-01,321
2017-09-02,334
2017-09-03,334
2017-09-04,334
2017-09-05,334
2017-09-06,334
2017-09-07,334
2017-09-08,334
2017-09-09,334
2017-09-10,334
2017-09-11,334
2017-09-12,334
2017-09-13,334
2017-09-14,334
2017-09-15,334
2017-09-16,334
2017-09-17,334
2017-09-19,334
2017-09-20,334
2017-09-21,334
2017-09-22,334
2017-09-23,334
2017-09-24,334
2017-09-25,334
2017-09-26,334
2017-09-27,334
2017-09-28,334
2017-09-29,334
2017-09-30,334
2017-10-01,334
2017-10-02,334
2017-10-03,334
2017-10-04,334
2017-10-05,334
2017-10-06,334
2017-10-07,334
2017-10-08,334
2017-10-09,334
2017-10-10,334
2017-10-11,334
2017-10-12,334
2017-10-13,334
2017-10-14,334
2017-10-15,334
2017-10-16,334
2017-10-17,334
2017-10-18,334
2017-10-19,334
2017-10-20,334
2017-10-21,334
2017-10-22,334
2017-10-23,334
2017-10-24,334
2017-10-25,334
2017-10-26,334
2017-10-27,334
2017-10-28,334
2017-10-29,334
2017-10-30,334
2017-10-31,334
2017-11-01,334
2017-11-02,334
2017-11-03,334
2017-11-04,334
2017-11-05,334
2017-11-06,334
2017-11-07,334
2017-11-08,334
2017-11-09,334
2017-11-10,334
2017-11-11,334
2017-11-12,334
2017-11-13,334
2017-11-14,334
2017-11-15,334
2017-11-16,334
2017-11-17,334
2017-11-18,334
2017-11-19,334
2017-11-20,334
2017-11-21,334
2017-11-22,334
2017-11-23,334
2017-11-24,334
2017-11-25,334
2017-11-26,334
2017-11-27,334
2017-11-28,334
2017-11-29,334
2017-11-30,334
2017-12-01,334
2017-12-02,334
2017-12-03,334
2017-12-04,334
2017-12-05,334
2017-12-06,334
2017-12-07,334
2017-12-08,334
2017-12-09,334
2017-12-10,334
2017-12-11,334
2017-12-12,334
2017-12-14,334
2017-12-15,334
2017-12-17,334
2017-12-18,334
2017-12-19,334
2017-12-20,334
2017-12-21,334
2017-12-22,334
2017-12-23,334
2017-12-24,334
2017-12-25,334
2017-12-26,334
2017-12-27,334
2017-12-28,334
2017-12-29,334
2017-12-30,334
2017-12-31,334
2018-01-01,334
2018-01-02,334
2018-01-03,334
2018-01-04,334
2018-01-05,334
2018-01-06,334
2018-01-07,334
2018-01-08,334
2018-01-09,334
2018-01-10,334
2018-01-11,334
2018-01-12,334
2018-01-13,334
2018-01-14,334
2018-01-15,334
2018-01-16,334
2018-01-17,334
2018-01-18,334
2018-01-19,334
2018-01-20,334
2018-01-21,334
2018-01-22,334
2018-01-23,334
2018-01-24,334
2018-01-25,334
2018-01-26,334
2018-01-27,334
2018-01-28,349
2018-01-29,349
2018-01-31,349
2018-02-01,349
2018-02-02,349
2018-02-03,349
2018-02-04,349
2018-02-05,349
2018-02-06,349
2018-02-07,349
2018-02-08,349
2018-02-09,349
2018-02-10,349
2018-02-11,349
2018-02-12,349
2018-02-13,349
2018-02-14,349
2018-02-15,349
2018-02-16,349
2018-02-17,349
2018-02-18,349
2018-02-19,349
2018-02-20,349
2018-02-21,349
2018-02-22,349
2018-02-23,349
2018-02-24,349
2018-02-25,349
2018-02-26,349
2018-02-27,349
2018-03-01,349
2018-03-02,349
2018-03-03,349
2018-03-04,349
2018-03-05,349
2018-03-06,349
2018-03-07,349
2018-03-08,349
2018-03-09,349
2018-03-10,349
2018-03-11,349
2018-03-12,349
2018-03-13,349
2018-03-14,349
2018-03-15,349
2018-03-16,349
2018-03-17,349
2018-03-18,349
2018-03-19,349
2018-03-20,349
2018-03-21,349
