date_obj,Drake's%20claw price
2019-10-24,908582
2019-10-25,908582
2019-10-26,927826
2019-10-27,927826
2019-10-28,927826
2019-10-29,927826
2019-10-30,941190
2019-10-31,941190
2019-11-01,941190
2019-11-02,902385
2019-11-03,902385
2019-11-04,902385
2019-11-05,902385
2019-11-06,889604
2019-11-07,889604
2019-11-08,889604
2019-11-09,863184
2019-11-10,863184
2019-11-11,863184
2019-11-12,888428
2019-11-13,888428
2019-11-14,888428
2019-11-15,888428
2019-11-16,921538
2019-11-17,921538
2019-11-18,921538
2019-11-19,921538
2019-11-20,963721
2019-11-21,963721
2019-11-22,963721
2019-11-23,963721
2019-11-24,1001524
2019-11-25,1001524
2019-11-26,1001524
2019-11-27,1001524
2019-11-28,1051526
2019-11-29,1051526
2019-11-30,1051526
2019-12-01,1098565
2019-12-02,1098565
2019-12-03,1098565
2019-12-04,1138363
2019-12-05,1138363
2019-12-06,1138363
2019-12-07,1138363
2019-12-08,1150933
2019-12-09,1150933
2019-12-10,1150933
2019-12-11,1203222
2019-12-12,1203222
2019-12-13,1203222
2019-12-14,1243681
2019-12-15,1243681
2019-12-16,1243681
2019-12-17,1233167
2019-12-18,1233167
2019-12-19,1233167
2019-12-20,1233167
2019-12-21,1190105
2019-12-22,1190105
2019-12-23,1190105
2019-12-24,1140165
2019-12-25,1140165
2019-12-26,1140165
2019-12-27,1083156
2019-12-28,1083156
2019-12-29,1083156
2019-12-30,1036584
2019-12-31,1036584
2020-01-01,1036584
2020-01-02,1043767
2020-01-03,1043767
2020-01-04,1043767
2020-01-05,1070860
2020-01-06,1070860
2020-01-07,1070860
2020-01-08,1121045
2020-01-09,1121045
2020-01-10,1121045
2020-01-11,1175007
2020-01-12,1175007
2020-01-13,1175007
2020-01-14,1230903
2020-01-15,1230903
2020-01-16,1288527
2020-01-17,1288527
2020-01-18,1288527
2020-01-19,1304416
2020-01-20,1304416
2020-01-21,1304416
2020-01-22,1304416
2020-01-23,1275880
2020-01-24,1275880
2020-01-25,1275880
2020-01-26,1217588
2020-01-27,1217588
2020-01-28,1217588
2020-01-29,1156708
2020-01-30,1156708
2020-01-31,1156708
2020-02-01,1105691
2020-02-02,1105691
2020-02-03,1057685
2020-02-04,1057685
2020-02-05,1018418
2020-02-06,1018418
2020-02-07,976433
2020-02-08,976433
2020-02-09,934205
2020-02-10,934205
2020-02-11,895954
2020-02-12,895954
2020-02-13,895954
2020-02-14,874602
2020-02-15,874602
2020-02-16,874602
2020-02-17,882733
2020-02-18,882733
2020-02-19,882733
2020-02-20,920493
2020-02-21,920493
2020-02-22,920493
2020-02-23,908666
2020-02-24,908666
2020-02-25,908666
2020-02-26,882201
2020-02-27,882201
2020-02-28,894278
2020-02-29,894278
2020-03-01,894278
2020-03-02,928818
2020-03-03,928818
2020-03-04,928818
2020-03-05,935846
2020-03-06,935846
2020-03-07,935846
2020-03-08,930116
2020-03-09,930116
2020-03-10,930116
2020-03-11,942148
2020-03-12,942148
2020-03-13,942148
2020-03-14,941001
2020-03-15,941001
2020-03-16,941001
2020-03-17,930167
2020-03-18,930167
2020-03-19,930167
2020-03-20,931351
2020-03-21,931351
2020-03-22,972266
2020-03-23,972266
2020-03-24,972266
2020-03-25,990712
2020-03-26,990712
2020-03-27,1010164
2020-03-28,1010164
2020-03-29,1040556
2020-03-30,1040556
2020-03-31,1080068
2020-04-01,1080068
2020-04-02,1123715
2020-04-03,1123715
2020-04-04,1175628
2020-04-05,1175628
2020-04-06,1234410
2020-04-07,1234410
2020-04-08,1252451
2020-04-09,1252451
2020-04-10,1252451
2020-04-11,1190466
2020-04-12,1190466
2020-04-13,1138102
2020-04-14,1138102
2020-04-15,1081196
2020-04-16,1081196
2020-04-17,1081196
2020-04-18,1027136
2020-04-19,1036790
2020-04-20,1036790
2020-04-21,1078446
2020-04-22,1078446
2020-04-23,1045633
2020-04-24,1045633
2020-04-25,1045633
2020-04-26,1023413
2020-04-27,1023413
2020-04-28,1007516
2020-04-29,1007516
2020-04-30,1038939
2020-05-01,1038939
2020-05-02,1038939
2020-05-03,1034952
2020-05-04,1034952
2020-05-05,1064489
2020-05-06,1098688
2020-05-07,1098688
2020-05-08,1098688
2020-05-09,1141665
2020-05-10,1141665
2020-05-11,1193534
2020-05-12,1193534
2020-05-13,1247488
