date_obj,Tribal%20top%20(yellow) price
2017-05-02,3726
2017-05-03,3726
2017-05-04,3726
2017-05-05,3726
2017-05-06,3726
2017-05-07,3726
2017-05-08,3726
2017-05-09,3726
2017-05-10,3726
2017-05-11,3726
2017-05-12,3726
2017-05-13,3726
2017-05-14,3726
2017-05-15,3726
2017-05-16,3726
2017-05-17,3726
2017-05-18,3726
2017-05-19,3768
2017-05-20,3768
2017-05-21,3768
2017-05-22,3768
2017-05-23,3768
2017-05-24,3768
2017-05-25,3768
2017-05-26,3768
2017-05-27,3768
2017-05-28,3768
2017-05-29,3768
2017-05-30,3768
2017-05-31,3768
2017-06-01,3768
2017-06-02,3768
2017-06-03,3768
2017-06-04,3768
2017-06-05,3768
2017-06-06,3709
2017-06-07,3709
2017-06-08,3709
2017-06-09,3709
2017-06-10,3709
2017-06-11,3709
2017-06-12,3709
2017-06-13,3709
2017-06-14,3709
2017-06-15,3709
2017-06-16,3709
2017-06-17,3709
2017-06-18,3709
2017-06-19,3709
2017-06-20,3683
2017-06-21,3683
2017-06-22,3683
2017-06-23,3683
2017-06-24,3683
2017-06-25,3683
2017-06-26,3683
2017-06-27,3683
2017-06-28,3683
2017-06-29,3683
2017-06-30,3683
2017-07-01,3683
2017-07-02,3683
2017-07-03,3683
2017-07-04,3683
2017-07-05,3683
2017-07-06,3683
2017-07-07,3683
2017-07-08,3683
2017-07-09,3683
2017-07-10,3747
2017-07-11,3747
2017-07-12,3747
2017-07-13,3747
2017-07-14,3747
2017-07-15,3747
2017-07-16,3747
2017-07-17,3747
2017-07-18,3747
2017-07-19,3747
2017-07-20,3747
2017-07-21,3747
2017-07-22,3747
2017-07-23,3747
2017-07-24,3747
2017-07-25,3747
2017-07-26,3747
2017-07-27,3747
2017-07-28,3851
2017-07-29,3851
2017-07-30,3851
2017-07-31,3851
2017-08-01,3851
2017-08-02,3851
2017-08-03,3851
2017-08-04,3851
2017-08-05,3851
2017-08-06,3851
2017-08-07,3851
2017-08-08,3851
2017-08-09,3851
2017-08-10,3851
2017-08-11,3851
2017-08-12,3851
2017-08-13,3851
2017-08-14,3851
2017-08-15,3851
2017-08-16,3742
2017-08-17,3742
2017-08-18,3742
2017-08-19,3742
