date_obj,Team-1%20cape price
2017-01-19,873
2017-01-20,873
2017-01-21,873
2017-01-22,873
2017-01-27,899
2017-01-28,899
2017-01-29,909
2017-01-30,909
2017-01-31,909
2017-02-01,909
2017-02-02,881
2017-02-03,881
2017-02-04,881
2017-02-05,881
2017-02-06,869
2017-02-07,869
2017-02-08,869
2017-02-09,869
2017-02-10,856
2017-02-11,856
2017-02-12,856
2017-02-13,856
2017-02-14,861
2017-02-15,861
2017-02-16,861
2017-02-18,875
2017-02-19,875
2017-02-20,875
2017-02-21,887
2017-02-22,887
2017-02-23,887
2017-02-24,887
2017-02-25,894
2017-02-26,894
2017-02-27,894
2017-02-28,894
2017-03-01,874
2017-03-02,874
2017-03-03,874
2017-03-04,874
2017-03-05,853
2017-03-06,853
2017-03-07,853
2017-03-08,841
2017-03-09,841
2017-03-10,841
2017-03-11,826
2017-03-12,826
2017-03-13,826
2017-03-14,822
2017-03-15,822
2017-03-16,822
2017-03-17,822
2017-03-18,816
2017-03-19,816
2017-03-20,816
2017-03-21,813
2017-03-22,813
2017-03-23,813
2017-03-24,813
2017-03-25,813
2017-03-26,813
2017-03-27,813
2017-03-28,804
2017-03-29,804
2017-03-30,804
2017-03-31,795
2017-04-01,795
2017-04-02,795
2017-04-03,795
2017-04-04,806
2017-04-12,804
2017-04-13,804
2017-04-14,804
2017-04-15,804
2017-04-16,804
2017-04-17,791
2017-04-18,791
2017-04-19,791
2017-04-20,791
2017-04-21,800
2017-04-22,800
2017-04-23,800
2017-04-24,800
2017-04-25,798
2017-04-26,798
2017-04-27,798
2017-04-28,798
2017-04-29,784
2017-04-30,784
2017-05-01,784
2017-05-02,784
2017-05-03,765
2017-05-04,765
2017-05-05,765
2017-05-06,765
2017-05-07,757
2017-05-08,757
2017-05-09,757
2017-05-10,757
2017-05-11,759
2017-05-12,759
2017-05-13,759
2017-05-14,754
2017-05-15,754
2017-05-16,754
2017-05-17,754
2017-05-18,752
2017-05-19,752
2017-05-20,752
2017-05-21,752
2017-05-22,759
2017-05-23,759
2017-05-24,759
2017-05-25,759
2017-05-26,761
2017-05-27,761
2017-05-28,761
2017-05-29,761
2017-05-30,754
2017-05-31,754
2017-06-01,754
2017-06-02,754
2017-06-03,729
2017-06-06,719
2017-06-07,719
2017-06-08,719
2017-06-09,719
2017-06-10,712
2017-06-11,712
2017-06-12,712
2017-06-13,712
2017-06-14,716
2017-06-15,716
2017-06-16,716
2017-06-17,716
2017-06-18,713
2017-06-19,713
2017-06-20,713
2017-06-21,713
2017-06-22,718
2017-06-23,718
2017-06-24,718
2017-06-25,718
2017-06-26,700
