date_obj,Rune%20scimitar%20ornament%20kit%20(zamorak) price
2020-04-18,193167
2020-04-19,190665
2020-04-20,187242
2020-04-21,183717
2020-04-22,180003
2020-04-23,178448
2020-04-24,175797
2020-04-25,172580
2020-04-26,169648
2020-04-27,165579
2020-04-28,163947
2020-04-29,163707
2020-04-30,164532
2020-05-01,164314
2020-05-02,164164
2020-05-03,163393
2020-05-04,161042
2020-05-05,157898
2020-05-06,155334
2020-05-07,153089
2020-05-08,151140
2020-05-09,148456
2020-05-10,145355
2020-05-11,142363
2020-05-12,138188
2020-05-13,134864
