date_obj,Staff%20of%20earth price
2016-11-05,1097
2016-11-06,1093
2016-11-07,1070
2016-11-08,1050
2016-11-09,1060
2016-11-10,1055
2016-11-11,1055
2016-11-12,1045
2016-11-13,1045
2016-11-14,1033
2016-12-08,1131
2016-12-09,1131
2016-12-10,1140
2016-12-11,1129
2016-12-12,1127
2016-12-13,1121
2016-12-14,1094
2016-12-15,1094
2016-12-16,1075
2016-12-17,1068
2016-12-18,1068
2016-12-19,1061
2016-12-20,1043
2016-12-21,999
2016-12-22,999
2016-12-23,978
2016-12-24,978
2016-12-25,974
2016-12-26,970
2016-12-27,980
2016-12-28,995
2016-12-29,1021
2016-12-30,1043
2016-12-31,1052
2017-01-01,1040
2017-01-02,1001
2017-01-03,950
2017-01-04,980
2017-01-05,1007
2017-01-06,1016
2017-01-07,998
2017-01-08,999
2017-01-09,1012
2017-01-10,1025
2017-01-11,1031
2017-01-12,1058
2017-01-13,1072
2017-01-14,1069
2017-01-15,1069
2017-01-16,1072
2017-01-17,1089
2017-01-18,1096
2017-01-19,1092
2017-01-20,1113
2017-01-21,1115
2017-01-22,1136
2017-01-27,1056
2017-01-28,1043
2017-01-29,1011
2017-01-30,997
2017-01-31,993
2017-02-01,1005
2017-02-02,1009
2017-02-03,1021
2017-02-04,1021
2017-02-05,1014
2017-02-06,997
2017-02-07,996
2017-02-08,965
2017-02-09,965
2017-02-10,986
2017-02-11,1018
2017-02-12,1018
2017-02-13,1042
2017-02-14,1044
2017-02-15,1041
2017-02-16,1042
2017-02-18,1084
2017-02-19,1114
2017-02-20,1132
2017-02-21,1155
2017-02-22,1155
2017-02-23,1150
2017-02-24,1150
2017-02-25,1128
2017-02-26,1126
2017-02-27,1110
2017-02-28,1057
2017-03-01,1032
2017-03-02,1073
2017-03-03,1095
2017-03-04,1094
2017-03-05,1075
2017-03-06,1074
2017-03-07,1099
2017-03-08,1069
2017-03-09,1073
2017-03-10,1071
2017-03-11,1072
2017-03-12,1084
2017-03-13,1118
2017-03-14,1129
2017-03-15,1138
2017-03-16,1164
2017-03-17,1178
2017-03-18,1196
2017-03-19,1216
2017-03-20,1259
2017-03-21,1261
2017-03-22,1284
2017-03-23,1300
2017-03-24,1289
2017-03-25,1289
2017-03-26,1286
2017-03-27,1273
2017-03-28,1258
2017-03-29,1227
2017-03-30,1210
2017-03-31,1191
2017-04-01,1182
2017-04-02,1169
2017-04-03,1157
2017-04-04,1154
2017-04-12,1044
2017-04-13,1058
2017-04-14,1050
2017-04-15,1050
2017-04-16,1044
2017-04-17,1051
2017-04-18,1044
2017-04-19,1072
2017-04-20,1100
2017-04-21,1112
2017-04-22,1164
2017-04-23,1169
2017-04-24,1146
2017-04-25,1114
2017-04-26,1114
2017-04-27,1089
2017-04-28,1074
2017-04-29,1056
2017-04-30,1044
2017-05-01,1055
2017-05-02,1046
2017-05-03,1029
2017-05-04,1046
2017-05-05,1063
2017-05-06,1050
2017-05-07,1064
2017-05-08,1063
2017-05-09,1059
2017-05-10,1033
2017-05-11,1070
2017-05-12,1116
2017-05-13,1126
2017-05-14,1169
2017-05-15,1196
2017-05-16,1225
2017-05-17,1263
2017-05-18,1290
2017-05-19,1290
2017-05-20,1328
2017-05-21,1328
2017-05-22,1362
2017-05-23,1365
2017-05-24,1392
2017-05-25,1409
2017-05-26,1392
2017-05-27,1356
2017-05-28,1360
2017-05-29,1305
2017-05-30,1278
2017-05-31,1306
2017-06-01,1302
2017-06-02,1261
2017-06-03,1261
2017-06-06,1219
2017-06-07,1212
2017-06-08,1212
2017-06-09,1213
2017-06-10,1204
2017-06-11,1196
2017-06-12,1187
2017-06-13,1161
2017-06-14,1122
2017-06-15,1104
2017-06-16,1100
2017-06-17,1050
2017-06-18,1027
2017-06-19,1027
2017-06-20,1013
2017-06-21,969
2017-06-22,969
2017-06-23,975
2017-06-24,957
2017-06-25,963
2017-06-26,986
2017-06-27,994
2017-06-28,1036
2017-06-29,1043
2017-06-30,1001
2017-07-01,1001
