date_obj,Bracelet%20of%20slaughter price
2017-09-29,2822
2017-09-30,2822
2017-10-01,2720
2017-10-02,2720
2017-10-03,2720
2017-10-04,2821
2017-10-05,2821
2017-10-06,2937
2017-10-07,2937
2017-10-08,2937
2017-10-09,2840
2017-10-10,2840
2017-10-11,2840
2017-10-12,2817
2017-10-13,2817
2017-10-14,2934
2017-10-15,2934
2017-10-16,3006
2017-10-17,3006
2017-10-18,3006
2017-10-19,3096
2017-10-20,3096
2017-10-21,3096
2017-10-22,3177
2017-10-23,3177
2017-10-24,3177
2017-10-25,3308
2017-10-26,3471
2017-10-27,3569
2017-10-28,3569
2017-10-29,3716
2017-10-30,3780
2017-10-31,3949
2017-11-01,3949
2017-11-02,3928
2017-11-03,3928
2017-11-04,3738
2017-11-05,3738
2017-11-06,3726
2017-11-07,3726
2017-11-08,3723
2017-11-09,3723
2017-11-10,3795
2017-11-11,3795
2017-11-12,3787
2017-11-13,3787
2017-11-14,3787
2017-11-15,3712
2017-11-16,3712
2017-11-17,3695
2017-11-18,3695
2017-11-19,3702
2017-11-20,3702
2017-11-21,3554
2017-11-22,3554
2017-11-23,3376
2017-11-24,3376
2017-11-25,3207
2017-11-26,3207
2017-11-27,3207
2017-11-28,3127
2017-11-29,3127
2017-11-30,3127
2017-12-01,3188
2017-12-02,3188
2017-12-03,3348
2017-12-04,3348
2017-12-05,3516
2017-12-06,3516
2017-12-07,3692
2017-12-08,3692
2017-12-09,3692
2017-12-10,3858
2017-12-11,3858
2017-12-12,4033
2017-12-13,4033
2017-12-14,4033
2017-12-15,4220
2017-12-16,4220
2017-12-17,4220
2017-12-18,4061
2017-12-19,4061
2017-12-20,4061
2017-12-21,3904
2017-12-22,3904
2017-12-23,3815
2017-12-24,3815
2017-12-25,3815
2017-12-26,3675
2017-12-27,3675
2017-12-28,3502
2017-12-29,3502
2017-12-30,3339
2017-12-31,3339
2018-01-01,3212
2018-01-02,3212
2018-01-03,3220
2018-01-04,3220
2018-01-05,3207
2018-01-06,3054
2018-01-07,3054
2018-01-08,2902
2018-01-09,2902
2018-01-10,2756
2018-01-11,2756
2018-01-12,2618
2018-01-13,2618
2018-01-14,2656
2018-01-15,2656
2018-01-16,2656
2018-01-17,2656
2018-01-18,2717
2018-01-19,2717
2018-01-20,2641
2018-01-21,2641
2018-01-22,2637
2018-01-23,2637
2018-01-24,2756
2018-01-25,2756
2018-01-26,2894
2018-01-27,3009
2018-01-28,3153
2018-01-29,3311
2018-01-30,3477
2018-01-31,3477
2018-02-01,3651
2018-02-02,3651
2018-02-03,3834
2018-02-04,4026
2018-02-05,4224
2018-02-06,4182
2018-02-07,4007
2018-02-08,4007
2018-02-09,3847
2018-02-10,3847
2018-02-11,3757
2018-02-12,3878
2018-02-13,3878
2018-02-14,3965
2018-02-15,4142
2018-02-16,4142
2018-02-17,4140
2018-02-18,4140
2018-02-19,4145
2018-02-20,4145
2018-02-21,4248
2018-02-22,4248
2018-02-23,4288
2018-02-24,4288
2018-02-25,4503
2018-02-26,4727
2018-02-27,4956
2018-02-28,4956
2018-03-01,4965
2018-03-02,4891
2018-03-03,4830
2018-03-04,4830
2018-03-05,4833
2018-03-06,5017
2018-03-07,5221
2018-03-08,5380
2018-03-09,5567
2018-03-10,5567
2018-03-11,5651
2018-03-12,5653
2018-03-13,5653
2018-03-14,5577
2018-03-15,5577
2018-03-16,5525
2018-03-17,5366
2018-03-18,5366
2018-03-19,5135
2018-03-20,4981
2018-03-21,4981
2018-03-23,4836
2018-03-24,4744
2018-03-25,4749
2018-03-26,4749
2018-03-27,4548
2018-03-28,4548
2018-03-29,4378
2018-03-30,4378
2018-03-31,4361
2018-04-01,4361
2018-04-02,4545
2018-04-03,4772
2018-04-04,4955
2018-04-05,4955
2018-04-06,4814
2018-04-07,4814
2018-04-08,4593
2018-04-09,4363
2018-04-10,4363
2018-04-11,4326
2018-04-12,4495
2018-04-13,4495
2018-04-14,4519
2018-04-15,4625
2018-04-16,4625
2018-04-17,4622
2018-04-18,4622
2018-04-19,4558
2018-04-20,4558
2018-04-21,4550
2018-04-22,4550
2018-04-23,4667
2018-04-24,4667
2018-04-25,4652
2018-04-26,4652
2018-04-27,4730
2018-04-28,4850
2018-04-29,5021
2018-04-30,4816
2018-05-01,4816
2018-05-02,4899
2018-05-03,4899
2018-05-04,4940
2018-05-05,4967
2018-05-06,4967
2018-05-07,5018
2018-05-08,5018
2018-05-09,5055
2018-05-10,4928
2018-05-11,4780
2018-05-12,4556
2018-05-13,4556
2018-05-14,4513
2018-05-15,4513
2018-05-16,4585
2018-05-17,4585
2018-05-18,4540
2018-05-19,4655
2018-05-20,4655
2018-05-21,4591
2018-05-22,4591
2018-05-23,4537
2018-05-24,4537
2018-05-25,4625
2018-05-26,4655
2018-05-27,4655
2018-05-28,4646
2018-05-29,4687
2018-05-30,4687
2018-05-31,4708
2018-06-01,4910
2018-06-02,5156
2018-06-03,5156
2018-06-04,5402
2018-06-05,5615
2018-06-06,5444
2018-06-07,5444
2018-06-08,5206
2018-06-09,5206
2018-06-10,5101
2018-06-11,5101
2018-06-12,5021
2018-06-13,4856
2018-06-14,4930
2018-06-15,4930
2018-06-16,4841
2018-06-17,4882
2018-06-18,4752
2018-06-19,4800
2018-06-20,4800
2018-06-21,4794
2018-06-22,5023
2018-06-23,5023
2018-06-24,5108
2018-06-25,5296
2018-06-26,5296
2018-06-27,5186
2018-06-28,4959
2018-06-29,5084
2018-06-30,5084
2018-07-01,5303
2018-07-02,5303
2018-07-03,5389
2018-07-04,5389
2018-07-05,5649
2018-07-06,5870
2018-07-07,5870
2018-07-08,6049
2018-07-09,6186
2018-07-10,5891
2018-07-11,5619
2018-07-12,5619
2018-07-13,5389
2018-07-14,5213
2018-07-15,5213
2018-07-16,5202
2018-07-17,5400
2018-07-18,5400
2018-07-19,5665
2018-07-20,5665
2018-07-21,5949
2018-07-22,6247
2018-07-23,6412
2018-07-24,6412
2018-07-25,6449
2018-07-26,6449
2018-07-27,6444
2018-07-28,6444
2018-07-29,6207
2018-07-30,5988
2018-07-31,5808
2018-08-01,5808
2018-08-02,5949
2018-08-03,5949
2018-08-04,5757
2018-08-05,5554
2018-08-06,5554
2018-08-07,5522
2018-08-08,5706
2018-08-09,5706
2018-08-10,5707
2018-08-11,5627
2018-08-12,5609
2018-08-14,5830
2018-08-16,5983
2018-08-17,6054
2018-08-18,6054
2018-08-19,6205
2018-08-20,6052
2018-08-21,6052
2018-08-22,5987
2018-08-23,5987
2018-08-24,5816
2018-08-25,5870
2018-08-26,5870
2018-08-27,5939
2018-08-28,5717
2018-08-29,5717
2018-08-30,5560
2018-08-31,5590
2018-09-01,5620
2018-09-02,5620
2018-09-03,5617
2018-09-04,5570
2018-09-05,5626
2018-09-06,5626
2018-09-07,5581
2018-09-08,5522
2018-09-09,5522
2018-09-10,5514
2018-09-11,5514
2018-09-12,5541
2018-09-13,5541
2018-09-14,5532
2018-09-15,5664
2018-09-16,5664
2018-09-17,5566
2018-09-18,5759
2018-09-19,5759
2018-09-20,5934
2018-09-21,5934
2018-09-22,5732
2018-09-23,5687
2018-09-24,5773
2018-09-25,5773
2018-09-26,5854
2018-09-27,5854
2018-09-28,5725
2018-09-29,5725
2018-09-30,5673
2018-10-02,5505
2018-10-03,5254
2018-10-04,5254
2018-10-05,5093
2018-10-06,5183
2018-10-07,5183
2018-10-08,5280
2018-10-09,5176
2018-10-10,5356
2018-10-11,5426
2018-10-12,5426
2018-10-13,5312
2018-10-14,5247
2018-10-15,5209
2018-10-16,5285
2018-10-17,5261
2018-10-18,5230
2018-10-19,5135
2018-10-20,5135
2018-10-21,5023
2018-10-22,5045
2018-10-23,5045
2018-10-24,5166
2018-10-25,5014
2018-10-26,4873
2018-10-27,4910
2018-10-28,5044
2018-10-29,5044
2018-10-30,4921
2018-10-31,4804
2018-11-01,4828
2018-11-03,4861
2018-11-04,4764
2018-11-05,4742
2018-11-06,4716
2018-11-07,4716
2018-11-08,4717
2018-11-09,4729
2018-11-10,4689
2018-11-11,4822
2018-11-12,5020
2018-11-13,5228
2018-11-15,5028
2018-11-16,4782
2018-11-17,4675
2018-11-18,4669
2018-11-19,4882
2018-11-20,5053
2018-11-21,5251
2018-11-22,5319
2018-11-23,5264
2018-11-24,5120
2018-11-25,5016
2018-11-26,5064
2018-11-27,5135
2018-11-28,5331
2018-11-29,5222
2018-12-01,5021
2018-12-02,5010
2018-12-03,5010
2018-12-04,5011
2018-12-05,5134
2018-12-07,5385
2018-12-09,5202
2018-12-10,5084
2018-12-11,5144
2018-12-12,5221
2018-12-13,5384
2018-12-14,5643
2018-12-15,5726
2018-12-16,5758
2018-12-17,5488
2018-12-18,5447
2018-12-19,5427
2018-12-20,5330
2018-12-21,5394
2018-12-22,5510
2018-12-23,5527
2018-12-24,5668
2018-12-25,5589
2018-12-26,5529
2018-12-27,5388
2018-12-28,5328
2018-12-29,5384
2018-12-30,5418
2018-12-31,5490
2019-01-01,5544
2019-01-02,5460
2019-01-03,5463
2019-01-04,5388
2019-01-05,5504
2019-01-06,5546
2019-01-08,5579
2019-01-10,5496
2019-01-11,5221
2019-01-12,4989
2019-01-13,5165
2019-01-14,5151
2019-01-15,5333
2019-01-16,5235
2019-01-17,5112
2019-01-18,5167
2019-01-19,5172
2019-01-20,5152
2019-01-21,5223
2019-01-22,5134
2019-01-23,5134
2019-01-24,5016
2019-01-25,4926
2019-01-26,5010
2019-01-27,4854
2019-01-28,4783
2019-01-29,4712
2019-01-30,4735
2019-01-31,4799
2019-02-01,4761
2019-02-02,4838
2019-02-03,4987
2019-02-04,4972
2019-02-05,4942
2019-02-06,4889
2019-02-07,4825
2019-02-08,4830
2019-02-09,4873
2019-02-10,4839
2019-02-11,4703
2019-02-12,4551
2019-02-13,4367
2019-02-14,4359
2019-02-15,4178
2019-02-16,4367
2019-02-17,4411
2019-02-18,4271
2019-02-19,4235
2019-02-20,4171
2019-02-21,4095
2019-02-22,4037
2019-02-23,3902
2019-02-24,3784
2019-02-25,3700
2019-02-26,3651
2019-02-27,3744
2019-02-28,3841
2019-03-01,3972
2019-03-02,4112
2019-03-03,4222
2019-03-04,4208
2019-03-05,4086
2019-03-06,3993
2019-03-07,3890
2019-03-08,3890
2019-03-09,3936
2019-03-10,3926
2019-03-11,3854
2019-03-12,3792
2019-03-13,3792
2019-03-14,3745
2019-03-15,3657
2019-03-16,3684
2019-03-17,3648
2019-03-18,3648
2019-03-19,3635
2019-03-20,3783
2019-03-21,3958
2019-03-22,4036
2019-03-23,4061
2019-03-24,4018
2019-03-25,3944
2019-03-26,3836
2019-03-27,3836
2019-03-28,3780
2019-03-29,3787
2019-03-30,3787
2019-03-31,3790
2019-04-01,3779
2019-04-02,3818
2019-04-03,3730
2019-04-04,3705
2019-04-05,3658
2019-04-06,3668
2019-04-07,3661
2019-04-08,3771
2019-04-09,3742
2019-04-10,3849
2019-04-11,3876
2019-04-12,3826
2019-04-13,3839
2019-04-14,3818
2019-04-15,3797
2019-04-16,3762
2019-04-17,3752
2019-04-18,3696
2019-04-19,3712
2019-04-20,3713
2019-04-21,3709
2019-04-22,3706
2019-04-23,3701
2019-04-24,3701
2019-04-25,3713
2019-04-26,3834
2019-04-27,3771
2019-04-28,3896
2019-04-29,4016
2019-04-30,4185
2019-05-01,4204
2019-05-02,4085
2019-05-03,3955
2019-05-04,3870
2019-05-05,3878
2019-05-06,3844
2019-05-07,3838
2019-05-08,3767
2019-05-09,3704
2019-05-10,3670
2019-05-11,3774
2019-05-12,3850
2019-05-13,3796
2019-05-14,3700
2019-05-15,3718
2019-05-16,3819
2019-05-17,3733
2019-05-18,3779
2019-05-19,3800
2019-05-20,3797
2019-05-21,3778
2019-05-22,3856
2019-05-23,3809
2019-05-24,3793
2019-05-25,3891
2019-05-26,3895
2019-05-27,3878
2019-05-28,4070
2019-05-29,4059
2019-05-30,3988
2019-05-31,3955
2019-06-01,3948
2019-06-02,4103
2019-06-03,4262
2019-06-04,4464
2019-06-05,4362
2019-06-06,4285
2019-06-07,4101
2019-06-08,4138
2019-06-09,4105
2019-06-10,4105
2019-06-11,4032
2019-06-12,4042
2019-06-13,4036
2019-06-14,4161
2019-06-15,4277
2019-06-16,4358
2019-06-17,4487
2019-06-18,4449
2019-06-19,4309
2019-06-20,4180
2019-06-21,4166
2019-06-22,4130
2019-06-23,4096
2019-06-24,4059
2019-06-25,4032
2019-06-26,4046
2019-06-27,4050
2019-06-28,4136
2019-06-29,4191
2019-06-30,4209
2019-07-01,4356
2019-07-02,4460
2019-07-03,4532
2019-07-04,4624
2019-07-05,4689
2019-07-06,4679
2019-07-07,4762
2019-07-08,4822
2019-07-09,4701
2019-07-10,4699
2019-07-11,4627
2019-07-12,4736
2019-07-13,4568
2019-07-14,4716
2019-07-15,4826
2019-07-16,4760
2019-07-17,4570
2019-07-18,4486
2019-07-19,4425
2019-07-20,4279
2019-07-21,4116
2019-07-22,4065
2019-07-23,4012
2019-07-24,4072
2019-07-25,4194
2019-07-26,4160
2019-07-27,4305
2019-07-28,4424
2019-07-29,4362
2019-07-30,4314
2019-07-31,4341
2019-08-01,4322
2019-08-02,4369
2019-08-03,4445
2019-08-04,4554
2019-08-05,4568
2019-08-06,4474
2019-08-07,4479
2019-08-08,4408
2019-08-09,4358
2019-08-10,4426
2019-08-11,4565
2019-08-12,4690
2019-08-13,4839
2019-08-14,4810
2019-08-15,4647
2019-08-16,4532
2019-08-17,4532
2019-08-18,4547
2019-08-19,4560
2019-08-20,4494
2019-08-21,4585
2019-08-22,4725
2019-08-23,4654
2019-08-24,4619
2019-08-24,4619
2019-08-25,4655
2019-08-25,4655
2019-08-26,4683
2019-08-27,4658
2019-08-27,4658
2019-08-28,4624
2019-08-29,4726
2019-08-30,4940
2019-08-31,5048
2019-09-01,4959
2019-09-02,4908
2019-09-03,4720
2019-09-04,4670
2019-09-05,4555
2019-09-06,4388
2019-09-07,4355
2019-09-08,4525
2019-09-09,4729
2019-09-10,4964
2019-09-11,4874
2019-09-12,5023
2019-09-13,5275
2019-09-14,5519
2019-09-15,5605
2019-09-16,5389
2019-09-17,5264
2019-09-18,5181
2019-09-19,5151
2019-09-20,5015
2019-09-21,5106
2019-09-22,5083
2019-09-23,5062
2019-09-24,5175
2019-09-25,5434
2019-09-26,5706
2019-09-27,5992
2019-09-28,6264
2019-09-29,6577
2019-09-30,6611
2019-10-01,6313
2019-10-02,6190
2019-10-03,6033
2019-10-04,6140
2019-10-05,5998
2019-10-06,6077
2019-10-07,6241
2019-10-08,6306
2019-10-09,6064
2019-10-10,5992
2019-10-11,5848
2019-10-12,5852
2019-10-13,5918
2019-10-14,5859
2019-10-15,5806
2019-10-16,5746
2019-10-17,5740
2019-10-18,5717
2019-10-19,5749
2019-10-20,5724
2019-10-21,5803
2019-10-22,5759
2019-10-23,5704
2019-10-24,5666
2019-10-25,5551
2019-10-26,5520
2019-10-27,5558
2019-10-28,5674
2019-10-29,5665
2019-10-30,5742
2019-10-31,6001
2019-11-01,6302
2019-11-02,6445
2019-11-03,6128
2019-11-04,5827
2019-11-05,5767
2019-11-06,5713
2019-11-07,5638
2019-11-08,5619
2019-11-09,5590
2019-11-10,5519
2019-11-11,5793
2019-11-12,5997
2019-11-13,6087
2019-11-14,5906
2019-11-15,6131
2019-11-16,6215
2019-11-17,6215
2019-11-18,5996
2019-11-19,5706
2019-11-20,5523
2019-11-21,5392
2019-11-22,5510
2019-11-23,5610
2019-11-24,5603
2019-11-25,5851
2019-11-26,5835
2019-11-27,5590
2019-11-28,5433
2019-11-29,5367
2019-11-30,5317
2019-12-01,5252
2019-12-02,5067
2019-12-03,5031
2019-12-04,5011
2019-12-05,5011
2019-12-06,5183
2019-12-07,5359
2019-12-08,5342
2019-12-09,5171
2019-12-10,5013
2019-12-11,4900
2019-12-12,4840
2019-12-13,4807
2019-12-14,5013
2019-12-15,5144
2019-12-16,5124
2019-12-17,5240
2019-12-18,5188
2019-12-19,5322
2019-12-20,5450
2019-12-21,5490
2019-12-22,5408
2019-12-23,5391
2019-12-24,5411
2019-12-25,5643
2019-12-26,5844
2019-12-27,5814
2019-12-28,5654
2019-12-29,5611
2019-12-30,5629
2019-12-31,5635
2020-01-01,5697
2020-01-02,5520
2020-01-03,5468
2020-01-04,5436
2020-01-05,5380
2020-01-06,5289
2020-01-07,5184
2020-01-08,5254
2020-01-09,5305
2020-01-10,5499
2020-01-11,5470
2020-01-12,5502
2020-01-13,5502
2020-01-14,5486
2020-01-15,5440
2020-01-16,5703
2020-01-17,5970
2020-01-18,6015
2020-01-19,5715
2020-01-20,5583
2020-01-21,5532
2020-01-22,5550
2020-01-23,5656
2020-01-24,5666
2020-01-25,5697
2020-01-26,5719
2020-01-27,5725
2020-01-28,5753
2020-01-29,5732
2020-01-30,5656
2020-01-31,5725
2020-02-01,5772
2020-02-02,5980
2020-02-03,6053
2020-02-04,5936
2020-02-05,5814
2020-02-06,5643
2020-02-07,5571
2020-02-08,5541
2020-02-09,5641
2020-02-10,5680
2020-02-11,5716
2020-02-12,5651
2020-02-13,5591
2020-02-14,5718
2020-02-15,5829
2020-02-16,5946
2020-02-17,5819
2020-02-18,5751
2020-02-19,5739
2020-02-20,5635
2020-02-21,5635
2020-02-22,5649
2020-02-23,5754
2020-02-24,5767
2020-02-25,5730
2020-02-26,5872
2020-02-27,6032
2020-02-28,6121
2020-02-29,6111
2020-03-01,6279
2020-03-02,6391
2020-03-03,6468
2020-03-04,6378
2020-03-05,6281
2020-03-06,6152
2020-03-07,6123
2020-03-08,6109
2020-03-09,6137
2020-03-10,5981
2020-03-11,6027
2020-03-12,6256
2020-03-13,6126
2020-03-14,6018
2020-03-15,5955
2020-03-16,5898
2020-03-17,5870
2020-03-18,5919
2020-03-19,5927
2020-03-20,6004
2020-03-21,6157
2020-03-22,6187
2020-03-23,6293
2020-03-24,6553
2020-03-25,6688
2020-03-26,6544
2020-03-27,6469
2020-03-28,6411
2020-03-29,6248
2020-03-30,6147
2020-03-31,6065
2020-04-01,6090
2020-04-02,6013
2020-04-03,6064
2020-04-04,6081
2020-04-05,6006
2020-04-06,5928
2020-04-07,5910
2020-04-08,5861
2020-04-09,5968
2020-04-10,5949
2020-04-11,6000
2020-04-12,6010
2020-04-13,5875
2020-04-14,5836
2020-04-15,5865
2020-04-16,5757
2020-04-17,5716
2020-04-18,5656
2020-04-19,5493
2020-04-20,5342
2020-04-21,5271
2020-04-22,5373
2020-04-23,5603
2020-04-24,5448
2020-04-25,5278
2020-04-26,5206
2020-04-27,5162
2020-04-28,5334
2020-04-29,5243
2020-04-30,5199
2020-05-01,5155
2020-05-02,5179
2020-05-03,5411
2020-05-04,5464
2020-05-05,5353
2020-05-06,5264
2020-05-07,5166
2020-05-08,5179
2020-05-09,5149
2020-05-10,5140
2020-05-11,5150
2020-05-12,5103
2020-05-13,5242
