date_obj,Spined%20body price
2018-01-17,4293
2018-01-18,4420
2018-01-19,4420
2018-01-20,4420
2018-01-21,4420
2018-01-22,4420
2018-01-23,4459
2018-01-24,4459
2018-01-25,4452
2018-01-26,4452
2018-01-27,4408
2018-01-28,4408
2018-01-29,4410
2018-01-30,4410
2018-02-01,4444
2018-02-02,4444
2018-02-04,4437
2018-02-05,4437
2018-02-06,4466
2018-02-07,4466
2018-02-08,4466
2018-02-09,4452
2018-02-10,4452
2018-02-11,4336
2018-02-12,4336
2018-02-13,4336
2018-02-14,4315
2018-02-15,4315
2018-02-16,4315
2018-02-17,4308
2018-02-18,4308
2018-02-19,4347
2018-02-20,4347
2018-02-21,4374
2018-02-22,4374
2018-02-23,4417
2018-02-24,4417
2018-02-25,4431
2018-02-26,4431
2018-02-27,4457
2018-02-28,4457
2018-03-01,4457
2018-03-02,4356
2018-03-03,4356
2018-03-04,4356
2018-03-05,4430
2018-03-06,4430
2018-03-07,4460
2018-03-08,4460
2018-03-09,4460
2018-03-10,4406
2018-03-11,4406
2018-03-12,4329
2018-03-13,4329
2018-03-14,4329
2018-03-15,4386
2018-03-16,4386
2018-03-17,4417
2018-03-18,4417
2018-03-19,4417
2018-03-20,4418
2018-03-21,4418
2018-03-23,4393
2018-03-24,4393
2018-03-26,4428
2018-03-27,4466
2018-03-28,4466
2018-03-29,4490
2018-03-30,4490
2018-03-31,4490
2018-04-01,4487
2018-04-02,4487
2018-04-03,4442
2018-04-04,4442
2018-04-05,4442
2018-04-06,4461
2018-04-08,4461
2018-04-09,4362
2018-04-10,4362
2018-04-11,4400
2018-04-12,4400
2018-04-13,4400
2018-04-14,4349
2018-04-16,4323
2018-04-17,4323
2018-04-18,4298
2018-04-19,4298
2018-04-20,4298
2018-04-21,4246
2018-04-22,4246
2018-04-23,4246
2018-04-24,4389
2018-04-25,4389
2018-04-26,4389
2018-04-27,4479
2018-04-28,4479
2018-04-29,4639
2018-04-30,4639
2018-05-01,4761
2018-05-02,4761
2018-05-03,4761
2018-05-04,4632
2018-05-05,4632
2018-05-06,4534
2018-05-07,4534
2018-05-08,4404
2018-05-09,4404
2018-05-10,4318
2018-05-11,4318
2018-05-12,4376
2018-05-13,4376
2018-05-14,4376
2018-05-15,4312
2018-05-16,4312
2018-05-17,4312
2018-05-18,4451
2018-05-19,4451
2018-05-20,4553
2018-05-21,4553
2018-05-22,4585
2018-05-23,4585
2018-05-24,4591
2018-05-25,4591
2018-05-26,4489
2018-05-27,4489
2018-05-28,4401
2018-05-29,4401
2018-05-30,4401
2018-05-31,4355
2018-06-01,4355
2018-06-02,4398
2018-06-03,4398
2018-06-04,4398
2018-06-05,4392
2018-06-06,4392
2018-06-07,4392
2018-06-08,4279
2018-06-09,4279
2018-06-10,4279
2018-06-11,4262
2018-06-12,4262
2018-06-13,4328
2018-06-14,4328
2018-06-15,4311
2018-06-16,4311
2018-06-17,4331
2018-06-18,4331
2018-06-19,4343
