date_obj,Staff%20of%20balance price
2020-03-05,18407726
2020-03-06,19023667
2020-03-07,19023667
2020-03-08,19023667
2020-03-09,19023667
2020-03-10,19672123
2020-03-11,19672123
2020-03-12,19672123
2020-03-13,19672123
2020-03-14,20423980
2020-03-15,20423980
2020-03-16,20423980
2020-03-17,20423980
2020-03-18,21344636
2020-03-19,21344636
2020-03-20,21344636
2020-03-21,21344636
2020-03-22,22357207
2020-03-23,22357207
2020-03-24,22357207
2020-03-25,22357207
2020-03-26,23356819
2020-03-27,23356819
2020-03-28,23356819
2020-03-29,23356819
2020-03-30,24301039
2020-03-31,24301039
2020-04-01,24301039
2020-04-02,24301039
2020-04-03,24301039
2020-04-04,23119021
2020-04-05,23119021
2020-04-06,23119021
2020-04-07,23119021
2020-04-08,21963069
2020-04-09,21963069
2020-04-10,21963069
2020-04-11,20879484
2020-04-12,20879484
2020-04-13,20879484
2020-04-14,19851235
2020-04-15,19851235
2020-04-16,19851235
2020-04-17,18858673
2020-04-18,18858673
2020-04-19,18858673
2020-04-20,17915739
2020-04-21,17915739
2020-04-22,17915739
2020-04-23,17915739
2020-04-24,17019952
2020-04-25,17019952
2020-04-26,17019952
2020-04-27,16176977
2020-04-28,16176977
2020-04-29,16176977
2020-04-30,15594371
2020-05-01,15594371
2020-05-02,15594371
2020-05-03,15883960
2020-05-04,15883960
2020-05-05,15883960
2020-05-06,15963673
2020-05-07,15963673
2020-05-08,15963673
2020-05-09,15594127
2020-05-10,15594127
2020-05-11,15594127
2020-05-12,15594127
2020-05-13,15393565
