date_obj,Saradomin%20hilt price
2017-12-20,43268969
2017-12-21,43268969
2017-12-22,43268969
2017-12-23,43268969
2017-12-24,43268969
2017-12-25,43268969
2017-12-26,43268969
2017-12-27,43268969
2017-12-28,43268969
2017-12-29,43268969
2017-12-30,43268969
2017-12-31,43268969
2018-01-01,43268969
2018-01-02,43268969
2018-01-03,42337612
2018-01-04,42337612
2018-01-05,42337612
2018-01-06,42337612
2018-01-07,42337612
2018-01-08,42337612
2018-01-09,42337612
2018-01-10,42337612
2018-01-11,42337612
2018-01-12,42337612
2018-01-13,42337612
2018-01-14,42337612
2018-01-15,42337612
2018-01-16,42337612
2018-01-17,42337612
2018-01-18,42337612
2018-01-19,42337612
2018-01-20,42337612
2018-01-21,42337612
2018-01-22,42337612
2018-01-23,42337612
2018-01-24,40282397
2018-01-25,40282397
2018-01-26,40282397
2018-01-27,40282397
2018-01-28,40282397
2018-01-29,40282397
2018-01-30,40282397
2018-02-01,40282397
2018-02-02,40282397
2018-02-03,40282397
2018-02-04,40282397
2018-02-05,40282397
2018-02-06,40282397
2018-02-07,40282397
2018-02-08,39502731
2018-02-09,39502731
2018-02-10,39502731
2018-02-11,39502731
2018-02-12,39502731
2018-02-13,39502731
2018-02-14,39502731
2018-02-15,39502731
2018-02-16,39502731
2018-02-17,39502731
2018-02-18,39502731
2018-02-19,39502731
2018-02-20,39502731
2018-02-21,39502731
2018-02-22,39502731
2018-02-23,39502731
2018-02-24,39434272
2018-02-25,39434272
2018-02-26,39434272
2018-02-27,39434272
2018-02-28,39434272
2018-03-01,39434272
2018-03-02,39434272
2018-03-03,39434272
2018-03-04,39434272
2018-03-05,39434272
2018-03-06,39434272
2018-03-07,40351900
2018-03-08,40351900
2018-03-09,40351900
2018-03-10,40351900
2018-03-11,40351900
2018-03-12,40351900
2018-03-13,40351900
2018-03-14,40351900
2018-03-15,40351900
2018-03-16,40351900
2018-03-17,40351900
2018-03-18,40351900
2018-03-19,40351900
2018-03-20,41248562
2018-03-21,41248562
2018-03-23,41248562
2018-03-24,41248562
2018-03-26,41248562
2018-03-27,41248562
2018-03-28,41248562
2018-03-29,41248562
2018-03-30,41248562
2018-03-31,41248562
2018-04-01,41248562
2018-04-02,41248562
2018-04-03,42055428
2018-04-04,42055428
2018-04-05,42055428
2018-04-06,42055428
2018-04-08,42055428
2018-04-09,42055428
2018-04-10,42055428
2018-04-11,42055428
2018-04-12,42055428
2018-04-13,42055428
2018-04-14,42055428
2018-04-15,42055428
2018-04-16,42055428
2018-04-17,42055428
2018-04-18,43058851
2018-04-19,43058851
2018-04-20,43058851
2018-04-21,43058851
2018-04-22,43058851
2018-04-23,43058851
2018-04-24,43058851
2018-04-25,43058851
2018-04-26,43058851
2018-04-27,43058851
2018-04-28,43058851
2018-04-29,43058851
2018-04-30,43058851
2018-05-01,44266572
2018-05-02,44266572
2018-05-03,44266572
2018-05-04,44266572
2018-05-05,44266572
2018-05-06,44266572
2018-05-07,44266572
2018-05-08,44266572
2018-05-09,44266572
2018-05-10,44266572
2018-05-11,44266572
2018-05-12,44266572
2018-05-13,44266572
2018-05-14,45410308
2018-05-15,45410308
2018-05-16,45410308
2018-05-17,45410308
2018-05-18,45410308
2018-05-19,45410308
2018-05-20,45410308
2018-05-21,45410308
2018-05-22,45410308
2018-05-23,45410308
2018-05-24,45410308
2018-05-25,45410308
2018-05-26,45410308
2018-05-27,46650886
2018-05-28,46650886
2018-05-29,46650886
2018-05-30,46650886
2018-05-31,46650886
2018-06-01,46650886
2018-06-02,46650886
2018-06-03,46650886
2018-06-04,46650886
2018-06-05,46650886
2018-06-06,46650886
2018-06-07,46650886
2018-06-08,46650886
2018-06-09,46650886
2018-06-10,46035177
2018-06-11,46035177
2018-06-12,46035177
2018-06-13,46035177
