date_obj,Iron%20battleaxe price
2016-08-17,14
2016-08-18,14
2016-08-19,14
2016-08-20,13
2016-08-21,13
2016-08-22,13
2016-08-23,13
2016-08-24,13
2016-08-25,12
2016-08-26,12
2016-08-28,12
2016-08-31,11
2016-09-01,11
2016-09-02,11
2016-09-03,11
2016-09-04,11
2016-09-05,11
2016-09-06,11
2016-09-07,11
2016-09-08,11
2016-09-09,11
2016-09-10,10
2016-09-11,10
2016-09-12,10
2016-09-13,10
2016-09-14,10
2016-09-15,10
2016-09-16,10
2016-09-17,10
2016-09-18,10
2016-09-19,10
2016-09-20,10
2016-09-21,11
2016-09-22,11
2016-09-23,11
2016-09-24,11
2016-09-25,11
2016-09-26,12
2016-09-27,12
2016-09-28,12
2016-09-29,12
2016-09-30,12
2016-10-01,12
2016-10-02,12
2016-10-03,12
2016-10-04,12
2016-10-05,12
2016-10-06,12
2016-10-07,13
2016-10-08,13
2016-10-09,13
2016-10-10,13
2016-10-11,13
2016-10-12,14
2016-10-13,14
2016-10-14,14
2016-10-15,14
2016-10-16,14
2016-10-17,13
2016-10-18,13
2016-10-19,13
2016-10-20,13
2016-10-21,13
2016-10-22,13
2016-10-23,13
2016-10-24,13
2016-10-25,13
2016-10-26,13
2016-10-27,13
2016-10-28,13
2016-10-29,13
2016-10-30,13
2016-10-31,13
2016-11-01,13
2016-11-02,13
2016-11-03,13
2016-11-04,12
2016-11-05,12
2016-11-06,12
2016-11-07,12
2016-11-08,11
2016-11-09,11
2016-11-10,11
2016-11-11,11
2016-11-12,10
2016-11-13,10
2016-11-14,10
2016-12-07,10
2016-12-08,10
2016-12-09,10
2016-12-10,10
2016-12-11,10
2016-12-12,10
2016-12-13,10
2016-12-14,10
2016-12-15,10
2016-12-16,11
2016-12-17,11
2016-12-18,11
2016-12-19,11
2016-12-20,11
2016-12-21,11
2016-12-22,11
2016-12-23,11
2016-12-24,10
2016-12-25,10
2016-12-26,10
2016-12-27,10
2016-12-28,10
2016-12-29,10
2016-12-30,10
2016-12-31,10
2017-01-01,10
2017-01-02,10
2017-01-03,10
2017-01-04,10
2017-01-05,10
2017-01-06,10
2017-01-07,10
2017-01-08,10
2017-01-09,10
2017-01-10,10
2017-01-11,10
2017-01-12,10
2017-01-13,10
2017-01-14,10
2017-01-15,10
2017-01-16,10
2017-01-17,10
2017-01-18,10
2017-01-19,10
2017-01-20,10
2017-01-21,10
