date_obj,Yellow%20robe%20bottoms price
2017-07-28,605
2017-07-29,605
2017-07-30,605
2017-07-31,605
2017-08-01,605
2017-08-02,605
2017-08-03,620
2017-08-04,620
2017-08-05,620
2017-08-06,620
2017-08-09,620
2017-08-10,620
2017-08-11,620
2017-08-12,620
2017-08-13,620
2017-08-14,620
2017-08-15,620
2017-08-16,620
2017-08-17,606
2017-08-18,606
2017-08-19,606
2017-08-20,606
2017-08-21,606
2017-08-22,606
2017-08-23,606
2017-08-24,606
2017-08-25,606
2017-08-26,606
2017-08-27,606
2017-08-28,606
2017-08-29,606
2017-08-30,606
2017-08-31,606
2017-09-01,593
2017-09-02,593
2017-09-03,593
2017-09-04,593
2017-09-05,593
2017-09-06,593
2017-09-07,593
2017-09-08,593
2017-09-09,593
2017-09-10,593
2017-09-11,593
2017-09-12,593
2017-09-13,593
2017-09-14,593
2017-09-15,593
2017-09-16,593
2017-09-17,588
2017-09-18,588
2017-09-19,588
2017-09-20,588
2017-09-21,588
2017-09-22,588
2017-09-23,588
2017-09-24,588
2017-09-25,588
2017-09-26,588
2017-09-27,588
2017-09-28,588
2017-09-29,588
2017-09-30,588
2017-10-01,588
2017-10-02,588
2017-10-03,588
2017-10-04,588
2017-10-05,588
2017-10-06,588
2017-10-07,588
2017-10-08,588
2017-10-09,588
2017-10-10,588
2017-10-11,588
2017-10-12,588
2017-10-13,588
2017-10-14,588
2017-10-15,588
2017-10-16,588
2017-10-17,588
2017-10-18,588
2017-10-19,588
2017-10-20,588
2017-10-21,588
2017-10-22,588
2017-10-23,588
2017-10-24,588
2017-10-25,580
2017-10-26,580
2017-10-27,580
2017-10-28,580
2017-10-29,580
2017-10-30,580
2017-10-31,580
2017-11-01,580
2017-11-02,580
2017-11-03,580
2017-11-04,580
2017-11-05,580
2017-11-06,580
2017-11-07,580
2017-11-08,580
2017-11-09,580
2017-11-10,580
2017-11-11,580
2017-11-12,580
2017-11-13,580
2017-11-14,580
2017-11-15,590
2017-11-16,590
2017-11-17,590
2017-11-18,590
2017-11-19,590
2017-11-20,590
2017-11-21,590
2017-11-22,590
2017-11-23,590
2017-11-24,590
2017-11-25,590
2017-11-26,590
2017-11-27,590
2017-11-28,590
