date_obj,Blue%20hat price
2015-11-13,2101
2015-11-14,2101
2015-11-15,2101
2015-11-16,2101
2015-11-17,2101
2015-11-18,2101
2015-11-19,1996
2015-11-20,1996
2015-11-21,1996
2015-11-22,1996
2015-11-23,1996
2015-11-24,1996
2015-11-25,1996
2015-11-26,1996
2015-11-27,1996
2015-11-28,1906
2015-11-29,1906
2015-11-30,1906
2015-12-01,1906
2015-12-02,1906
2015-12-03,1906
2015-12-04,1906
2015-12-05,1906
2015-12-06,1812
2015-12-07,1812
2015-12-08,1812
2015-12-09,1812
2015-12-10,1812
2015-12-11,1812
2015-12-12,1812
2015-12-13,1812
2015-12-14,1812
2015-12-15,1728
2015-12-16,1728
2015-12-17,1728
2015-12-18,1728
2015-12-19,1728
2015-12-20,1728
2015-12-21,1728
2015-12-22,1728
2015-12-23,1683
2015-12-24,1683
2015-12-25,1683
2015-12-26,1683
2015-12-27,1683
2015-12-28,1683
2015-12-29,1683
2015-12-30,1606
2015-12-31,1606
2016-01-01,1606
2016-01-02,1606
2016-01-03,1606
2016-01-04,1606
2016-01-05,1606
2016-01-06,1592
2016-01-07,1592
2016-01-08,1592
2016-01-09,1592
2016-01-10,1592
2016-01-11,1592
2016-01-12,1592
2016-01-13,1521
2016-01-14,1521
2016-01-15,1521
2016-01-16,1521
2016-01-17,1521
2016-01-18,1521
2016-01-19,1521
2016-01-20,1469
2016-01-21,1469
2016-01-22,1469
2016-01-23,1469
2016-01-24,1469
2016-01-25,1469
2016-01-26,1469
2016-01-27,1431
2016-01-28,1431
2016-01-29,1431
2016-01-30,1431
2016-01-31,1431
2016-02-01,1431
2016-02-02,1431
2016-02-03,1431
2016-02-04,1431
2016-02-05,1396
2016-02-06,1396
2016-02-07,1396
2016-02-08,1396
2016-02-09,1396
2016-02-10,1396
2016-02-11,1396
2016-02-12,1396
2016-02-13,1329
2016-02-14,1329
2016-02-15,1329
2016-02-16,1329
2016-02-17,1329
2016-02-18,1329
2016-02-19,1329
2016-02-20,1329
2016-02-21,1266
2016-02-22,1266
2016-02-23,1266
2016-02-24,1266
2016-02-25,1266
2016-02-26,1266
2016-02-27,1266
2016-02-28,1266
2016-02-29,1209
2016-03-01,1209
2016-03-02,1209
2016-03-03,1209
2016-03-04,1209
2016-03-05,1209
2016-03-06,1182
2016-03-07,1182
2016-03-08,1182
2016-03-09,1182
2016-03-10,1182
2016-03-11,1182
2016-03-12,1182
2016-03-13,1166
2016-03-14,1166
2016-03-15,1166
2016-03-16,1166
2016-03-17,1166
2016-03-18,1166
2016-03-19,1125
2016-03-20,1125
2016-03-21,1125
2016-03-22,1125
2016-03-23,1125
2016-03-24,1125
2016-03-25,1125
2016-03-26,1088
2016-03-27,1088
2016-03-28,1088
2016-03-29,1088
2016-03-30,1088
2016-03-31,1088
2016-04-01,1088
2016-04-02,1088
2016-04-03,1060
2016-04-04,1060
2016-04-05,1060
2016-04-06,1060
2016-04-07,1060
2016-04-08,1060
2016-04-09,1060
2016-04-10,1008
2016-04-11,1008
2016-04-12,1008
2016-04-13,1008
2016-04-14,1008
2016-04-15,1008
2016-04-16,1008
2016-04-17,1026
2016-04-18,1026
2016-04-19,1026
2016-04-20,1026
2016-04-21,1026
2016-04-22,1026
2016-04-23,1026
2016-04-24,992
2016-04-25,992
2016-04-26,992
2016-04-27,992
2016-04-28,992
2016-04-29,1001
2016-04-30,1001
2016-05-01,1001
2016-05-02,1001
2016-05-03,1001
2016-05-04,1001
2016-05-05,989
2016-05-06,989
2016-05-07,989
2016-05-08,989
2016-05-09,989
2016-05-10,989
2016-05-11,975
2016-05-12,975
2016-05-13,975
2016-05-14,975
2016-05-15,975
2016-05-16,975
2016-05-17,968
2016-05-18,968
2016-05-19,968
2016-05-22,968
2016-05-23,960
2016-05-24,960
2016-05-25,960
2016-05-26,960
2016-05-27,960
2016-05-28,960
2016-05-29,965
2016-05-30,965
2016-05-31,965
2016-06-01,965
2016-06-02,965
2016-06-03,965
2016-06-04,942
2016-06-05,942
2016-06-06,942
2016-06-07,942
2016-06-08,942
2016-06-09,942
2016-06-10,927
2016-06-11,927
2016-06-12,927
2016-06-13,927
2016-06-14,927
2016-06-15,927
2016-06-16,927
2016-06-17,921
2016-06-18,921
2016-06-19,921
2016-06-20,921
2016-06-21,921
2016-06-22,921
2016-06-23,912
2016-06-24,912
2016-06-25,912
2016-06-26,912
2016-06-27,912
2016-06-28,912
2016-06-29,912
2016-06-30,890
2016-07-01,890
2016-07-02,890
2016-07-03,890
2016-07-04,890
2016-07-05,902
2016-07-06,902
2016-07-07,902
2016-07-08,902
2016-07-09,902
2016-07-10,902
2016-07-11,880
2016-07-12,880
2016-07-13,880
2016-07-14,880
2016-07-15,880
2016-07-16,880
2016-07-17,880
2016-07-18,846
2016-07-23,846
2016-07-24,846
2016-07-25,850
2016-07-26,850
2016-07-27,850
2016-07-28,850
2016-07-29,850
2016-07-30,850
2016-07-31,850
2016-08-01,865
2016-08-02,865
2016-08-03,865
2016-08-04,865
2016-08-05,865
2016-08-06,865
2016-08-07,865
2016-08-08,865
2016-08-09,891
2016-08-10,891
2016-08-11,891
2016-08-12,891
2016-08-13,891
2016-08-14,891
2016-08-15,891
2016-08-16,891
2016-08-17,891
2016-08-18,907
2016-08-19,907
2016-08-20,907
2016-08-21,907
2016-08-22,907
2016-08-23,907
2016-08-24,907
2016-08-25,907
2016-08-26,907
2016-08-28,927
2016-08-31,927
2016-09-01,927
2016-09-02,927
2016-09-03,927
2016-09-04,927
2016-09-05,918
2016-09-06,918
2016-09-07,918
2016-09-08,918
2016-09-09,918
2016-09-10,918
2016-09-11,918
2016-09-12,918
2016-09-13,918
2016-09-14,918
2016-09-15,907
