date_obj,Shark price
2016-09-21,1286
2016-09-22,1279
2016-09-23,1263
2016-09-24,1260
2016-09-25,1248
2016-09-26,1225
2016-09-27,1215
2016-09-28,1198
2016-09-29,1212
2016-09-30,1222
2016-10-01,1233
2016-10-02,1219
2016-10-03,1216
2016-10-04,1219
2016-10-05,1228
2016-10-06,1260
2016-10-07,1296
2016-10-08,1306
2016-10-09,1298
2016-10-11,1290
2016-10-12,1304
2016-10-13,1306
2016-10-14,1323
2016-10-15,1338
2016-10-16,1371
2016-10-17,1411
2016-10-18,1424
2016-10-19,1454
2016-10-20,1471
2016-10-21,1475
2016-10-22,1475
2016-10-23,1474
2016-10-24,1451
2016-10-25,1447
2016-10-26,1439
2016-10-27,1422
2016-10-28,1432
2016-10-29,1468
2016-10-30,1462
2016-10-31,1458
2016-11-01,1472
2016-11-02,1465
2016-11-03,1458
2016-11-04,1450
2016-11-05,1442
2016-11-06,1429
2016-11-07,1422
2016-11-08,1413
2016-11-09,1415
2016-11-10,1401
2016-11-11,1402
2016-11-12,1424
2016-11-13,1424
2016-11-14,1399
2016-12-08,1246
2016-12-09,1247
2016-12-10,1252
2016-12-11,1252
2016-12-12,1264
2016-12-13,1262
2016-12-14,1254
2016-12-15,1253
2016-12-16,1262
2016-12-17,1257
2016-12-18,1249
2016-12-19,1243
2016-12-20,1237
2016-12-21,1229
2016-12-22,1225
2016-12-23,1221
2016-12-24,1223
2016-12-25,1230
2016-12-26,1230
2016-12-27,1229
2016-12-28,1222
2016-12-29,1203
2016-12-30,1178
2016-12-31,1132
2017-01-01,1103
2017-01-02,1092
2017-01-03,1081
2017-01-04,1080
2017-01-05,1039
2017-01-06,996
2017-01-07,998
2017-01-08,1016
2017-01-09,1014
2017-01-10,1021
2017-01-11,1027
2017-01-12,1039
2017-01-13,1035
2017-01-14,1024
2017-01-15,1017
2017-01-16,1006
2017-01-17,997
2017-01-18,1004
2017-01-19,1016
2017-01-20,1028
2017-01-21,1044
2017-01-22,1035
2017-01-27,992
2017-01-28,982
2017-01-29,973
2017-01-30,968
2017-01-31,970
2017-02-01,978
2017-02-02,990
2017-02-03,990
2017-02-04,992
2017-02-05,992
2017-02-06,989
2017-02-07,985
2017-02-08,984
2017-02-09,980
2017-02-10,979
2017-02-11,988
2017-02-12,989
2017-02-13,988
2017-02-14,987
2017-02-15,986
2017-02-16,983
2017-02-18,1000
2017-02-19,998
2017-02-20,991
2017-02-21,970
2017-02-22,951
2017-02-23,935
2017-02-24,947
2017-02-25,948
2017-02-26,952
2017-02-27,959
2017-02-28,964
2017-03-01,974
2017-03-02,984
2017-03-03,989
2017-03-04,1000
2017-03-05,1010
2017-03-06,1005
2017-03-07,999
2017-03-08,993
2017-03-09,989
2017-03-10,990
2017-03-11,1003
2017-03-12,1023
2017-03-13,1013
2017-03-14,1012
2017-03-15,998
2017-03-16,993
2017-03-17,992
2017-03-18,989
2017-03-19,984
2017-03-20,975
2017-03-21,970
2017-03-22,964
2017-03-23,960
2017-03-24,962
2017-03-25,950
2017-03-26,948
2017-03-27,950
2017-03-28,948
2017-03-29,947
2017-03-30,951
2017-03-31,957
2017-04-01,956
2017-04-02,957
2017-04-03,958
2017-04-04,959
2017-04-12,947
2017-04-13,944
2017-04-14,943
2017-04-15,946
2017-04-16,946
2017-04-17,945
2017-04-18,943
2017-04-19,941
2017-04-20,936
2017-04-21,931
2017-04-22,928
2017-04-23,919
2017-04-24,914
2017-04-25,912
2017-04-26,910
2017-04-27,911
2017-04-28,926
2017-04-29,940
2017-04-30,949
2017-05-01,947
2017-05-02,946
2017-05-03,943
2017-05-04,938
2017-05-05,941
2017-05-06,952
2017-05-07,965
2017-05-08,964
2017-05-09,965
2017-05-10,968
2017-05-11,973
2017-05-12,977
2017-05-13,977
2017-05-14,973
2017-05-15,963
2017-05-16,954
2017-05-17,962
2017-05-18,961
2017-05-19,971
2017-05-20,993
2017-05-21,983
2017-05-22,991
2017-05-23,991
2017-05-24,1013
2017-05-25,1064
2017-05-26,1078
2017-05-27,1027
2017-05-28,985
2017-05-29,973
2017-05-30,976
2017-05-31,973
2017-06-01,970
2017-06-02,971
2017-06-03,970
2017-06-06,1034
2017-06-07,1051
2017-06-08,1064
2017-06-09,1062
2017-06-10,1049
2017-06-11,1020
2017-06-12,1010
2017-06-13,1014
2017-06-14,1032
2017-06-15,1044
2017-06-16,1069
2017-06-17,1116
2017-06-18,1155
2017-06-19,1139
2017-06-20,1153
2017-06-21,1143
2017-06-22,1147
2017-06-23,1156
2017-06-24,1191
2017-06-25,1208
2017-06-26,1195
2017-06-27,1193
2017-06-28,1184
2017-06-29,1192
2017-06-30,1224
2017-07-01,1200
2017-07-02,1187
2017-07-03,1184
2017-07-04,1157
2017-07-05,1120
2017-07-06,1070
2017-07-07,1049
2017-07-08,1040
2017-07-13,982
2017-07-14,984
2017-07-15,984
2017-07-16,994
2017-07-17,988
2017-07-18,984
2017-07-19,975
2017-07-20,973
2017-07-21,988
2017-07-22,994
2017-07-23,990
2017-07-24,988
2017-07-25,986
2017-07-26,985
2017-07-27,981
2017-07-28,976
2017-07-29,972
2017-07-30,971
2017-07-31,970
2017-08-01,975
2017-08-02,976
2017-08-03,969
2017-08-04,964
2017-08-05,966
2017-08-06,963
2017-08-09,960
2017-08-10,967
2017-08-11,978
2017-08-12,973
2017-08-13,969
2017-08-14,963
2017-08-15,961
2017-08-17,961
2017-08-18,956
2017-08-19,952
2017-08-20,954
2017-08-21,961
2017-08-22,960
2017-08-23,959
2017-08-24,959
2017-08-25,957
2017-08-26,959
2017-08-27,958
2017-08-28,959
