date_obj,Celastrus%20seed price
2019-11-08,90303
2019-11-09,89175
2019-11-10,91374
2019-11-11,90422
2019-11-12,90342
2019-11-13,90892
2019-11-14,94083
2019-11-15,98283
2019-11-16,98115
2019-11-17,93367
2019-11-18,96905
2019-11-19,98161
2019-11-20,97558
2019-11-21,96273
2019-11-22,95404
2019-11-23,92357
2019-11-24,93010
2019-11-25,90636
2019-11-26,93067
2019-11-27,91248
2019-11-28,92186
2019-11-29,92259
2019-11-30,91898
2019-12-01,91309
2019-12-02,92248
2019-12-03,91266
2019-12-04,92414
2019-12-05,92197
2019-12-06,91819
2019-12-07,88981
2019-12-08,90157
2019-12-09,91047
2019-12-10,91035
2019-12-11,90413
2019-12-12,90753
2019-12-13,90717
2019-12-14,90848
2019-12-15,90506
2019-12-16,89834
2019-12-17,89944
2019-12-18,87233
2019-12-19,86432
2019-12-20,87575
2019-12-21,88093
2019-12-22,88602
2019-12-23,89147
2019-12-24,90611
2019-12-25,90378
2019-12-26,90232
2019-12-27,89688
2019-12-28,89955
2019-12-29,88888
2019-12-30,89176
2019-12-31,87521
2020-01-01,87623
2020-01-02,91567
2020-01-03,92999
2020-01-04,94020
2020-01-05,92326
2020-01-06,91215
2020-01-07,91618
2020-01-08,92473
2020-01-09,93069
2020-01-10,93389
2020-01-11,95258
2020-01-12,95375
2020-01-13,91251
2020-01-14,91803
2020-01-15,92409
2020-01-16,90296
2020-01-17,89735
2020-01-18,89267
2020-01-19,86256
2020-01-20,86554
2020-01-21,87045
2020-01-22,87996
2020-01-23,88384
2020-01-24,88709
2020-01-25,88697
2020-01-26,86713
2020-01-27,86599
2020-01-28,85440
2020-01-29,84933
2020-01-30,85481
2020-01-31,85653
2020-02-01,85881
2020-02-02,89335
2020-02-03,91040
2020-02-04,90790
2020-02-05,89398
2020-02-06,87191
2020-02-07,84398
2020-02-08,84310
2020-02-09,81228
2020-02-10,80715
2020-02-11,80929
2020-02-12,81060
2020-02-13,78649
2020-02-14,76251
2020-02-15,73852
2020-02-16,73241
2020-02-17,74050
2020-02-18,72553
2020-02-19,73407
2020-02-20,73667
2020-02-21,72922
2020-02-22,72752
2020-02-23,71962
2020-02-24,73369
2020-02-25,74861
2020-02-26,77025
2020-02-27,79684
2020-02-28,80056
2020-02-29,79254
2020-03-01,78378
2020-03-02,80020
2020-03-03,80511
2020-03-04,77893
2020-03-05,78599
2020-03-06,79369
2020-03-07,79436
2020-03-08,80034
2020-03-09,79689
2020-03-10,80174
2020-03-11,78841
2020-03-12,79124
2020-03-13,79113
2020-03-14,79049
2020-03-15,79180
2020-03-16,77458
2020-03-17,75476
2020-03-18,77008
2020-03-19,75820
2020-03-20,75912
2020-03-21,76572
2020-03-22,76240
2020-03-23,75383
2020-03-24,76142
2020-03-25,73765
2020-03-26,74671
2020-03-27,75182
2020-03-28,75134
2020-03-29,74652
2020-03-30,73306
2020-03-31,73575
2020-04-01,74134
2020-04-02,73545
2020-04-03,73376
2020-04-04,72335
2020-04-05,72084
2020-04-06,72371
2020-04-07,72372
2020-04-08,71643
2020-04-09,71464
2020-04-10,71628
2020-04-11,70927
2020-04-12,70528
2020-04-13,68833
2020-04-14,69195
2020-04-15,69352
2020-04-16,70377
2020-04-17,71867
2020-04-18,73242
2020-04-19,74275
2020-04-20,77139
2020-04-21,78205
2020-04-22,80155
2020-04-23,83426
2020-04-24,84875
2020-04-25,82884
2020-04-26,83062
2020-04-27,84602
2020-04-28,86002
2020-04-29,86668
2020-04-30,86404
2020-05-01,86266
2020-05-02,89726
2020-05-03,89556
2020-05-04,88622
2020-05-05,87826
2020-05-06,88132
2020-05-07,91050
2020-05-08,91081
2020-05-09,89844
2020-05-10,90700
2020-05-11,92820
2020-05-12,96734
2020-05-13,100644
