date_obj,Mithril%20crossbow%20(u) price
2017-01-09,321
2017-01-10,333
2017-01-11,333
2017-01-12,333
2017-01-13,333
2017-01-14,333
2017-01-15,333
2017-01-16,333
2017-01-17,333
2017-01-18,333
2017-01-19,333
2017-01-20,333
2017-01-21,333
2017-01-22,333
2017-01-27,333
2017-01-28,333
2017-01-29,333
2017-01-30,342
2017-01-31,342
2017-02-01,342
2017-02-02,342
2017-02-03,342
2017-02-04,342
2017-02-05,342
2017-02-06,342
2017-02-07,342
2017-02-08,342
2017-02-09,342
2017-02-10,342
2017-02-11,342
2017-02-12,342
2017-02-13,342
2017-02-14,342
2017-02-15,342
2017-02-16,342
2017-02-18,342
2017-02-19,342
2017-02-20,342
2017-02-21,342
2017-02-22,342
2017-02-23,349
2017-02-24,349
2017-02-25,349
2017-02-26,349
2017-02-27,349
2017-02-28,349
2017-03-01,349
2017-03-02,349
2017-03-03,349
2017-03-04,349
2017-03-05,349
2017-03-06,349
2017-03-07,349
2017-03-08,349
2017-03-09,349
2017-03-10,349
2017-03-11,349
2017-03-12,349
2017-03-13,349
2017-03-14,349
2017-03-15,349
2017-03-16,349
2017-03-17,349
2017-03-18,350
2017-03-19,350
2017-03-20,350
2017-03-21,350
2017-03-22,350
2017-03-23,350
2017-03-24,350
2017-03-25,350
2017-03-26,350
2017-03-27,350
2017-03-28,350
2017-03-29,350
2017-03-30,350
2017-03-31,350
2017-04-01,350
2017-04-02,350
2017-04-03,350
2017-04-04,350
2017-04-12,359
2017-04-13,359
2017-04-14,359
2017-04-15,359
2017-04-16,359
2017-04-17,359
2017-04-18,359
2017-04-19,359
2017-04-20,359
2017-04-21,359
2017-04-22,359
2017-04-23,359
2017-04-24,359
2017-04-25,359
2017-04-26,359
2017-04-27,359
2017-04-28,360
2017-04-29,360
2017-04-30,360
2017-05-01,360
2017-05-02,360
2017-05-03,360
2017-05-04,360
2017-05-05,360
2017-05-06,360
2017-05-07,360
2017-05-08,360
2017-05-09,360
2017-05-10,360
2017-05-11,360
2017-05-12,360
2017-05-13,360
2017-05-14,360
2017-05-15,360
2017-05-16,363
2017-05-17,363
2017-05-18,363
2017-05-19,363
2017-05-20,363
2017-05-21,363
2017-05-22,363
2017-05-23,363
2017-05-24,363
2017-05-25,363
2017-05-26,363
2017-05-27,363
2017-05-28,363
2017-05-29,363
2017-05-30,363
2017-05-31,363
2017-06-01,374
2017-06-02,374
2017-06-03,374
2017-06-06,374
2017-06-07,374
2017-06-08,374
2017-06-09,374
2017-06-10,374
2017-06-11,374
2017-06-12,374
2017-06-13,374
2017-06-14,374
2017-06-15,374
2017-06-16,374
2017-06-17,374
2017-06-18,374
2017-06-19,374
2017-06-20,390
2017-06-21,390
2017-06-22,390
2017-06-23,390
2017-06-24,390
2017-06-25,390
2017-06-26,390
2017-06-27,390
2017-06-28,390
2017-06-29,390
2017-06-30,390
2017-07-01,390
2017-07-02,390
2017-07-03,390
2017-07-04,390
2017-07-05,390
2017-07-06,390
2017-07-07,390
2017-07-08,390
2017-07-13,393
2017-07-14,393
2017-07-15,393
2017-07-16,393
2017-07-17,393
2017-07-18,393
2017-07-19,393
2017-07-20,393
2017-07-21,393
2017-07-22,393
2017-07-23,393
2017-07-24,393
2017-07-25,393
2017-07-26,393
2017-07-27,393
2017-07-28,393
2017-07-29,393
2017-07-30,393
2017-07-31,393
2017-08-01,393
2017-08-02,411
2017-08-03,411
2017-08-04,411
2017-08-05,411
2017-08-06,411
2017-08-09,411
2017-08-10,411
2017-08-11,411
2017-08-12,411
2017-08-13,411
2017-08-14,411
2017-08-15,411
2017-08-16,411
2017-08-17,411
2017-08-18,411
2017-08-19,411
2017-08-20,411
2017-08-21,411
2017-08-22,427
2017-08-23,427
2017-08-24,427
2017-08-25,427
2017-08-26,427
2017-08-27,427
2017-08-28,427
2017-08-29,427
2017-08-30,427
2017-08-31,427
2017-09-01,427
2017-09-02,427
2017-09-03,427
2017-09-04,427
2017-09-05,427
2017-09-06,427
2017-09-07,439
2017-09-08,439
2017-09-09,439
2017-09-10,439
2017-09-11,439
2017-09-12,439
2017-09-13,439
2017-09-14,439
2017-09-15,439
2017-09-16,439
2017-09-17,439
2017-09-19,440
2017-09-20,440
2017-09-21,440
2017-09-22,440
2017-09-23,440
2017-09-24,440
2017-09-25,440
2017-09-26,440
2017-09-27,440
2017-09-28,440
2017-09-29,440
2017-09-30,440
2017-10-01,440
2017-10-02,440
2017-10-03,440
2017-10-04,440
2017-10-05,440
2017-10-06,440
2017-10-07,451
2017-10-08,451
2017-10-09,451
2017-10-10,451
2017-10-11,451
2017-10-12,451
2017-10-13,451
2017-10-14,451
2017-10-15,451
2017-10-16,451
2017-10-17,451
2017-10-18,451
2017-10-19,451
2017-10-20,451
2017-10-21,451
2017-10-22,451
2017-10-23,451
2017-10-24,451
2017-10-25,451
2017-10-26,451
2017-10-27,451
2017-10-28,451
2017-10-29,456
2017-10-30,456
2017-10-31,456
2017-11-02,456
2017-11-03,456
2017-11-04,456
2017-11-05,456
2017-11-06,456
2017-11-07,456
2017-11-08,456
2017-11-09,456
2017-11-10,456
2017-11-11,456
2017-11-12,456
2017-11-13,456
2017-11-14,456
2017-11-15,456
2017-11-16,456
2017-11-17,456
2017-11-18,456
2017-11-19,464
2017-11-20,464
2017-11-21,464
2017-11-22,464
2017-11-23,464
2017-11-24,464
2017-11-25,464
2017-11-26,464
2017-11-27,464
2017-11-28,464
2017-11-29,464
2017-11-30,464
2017-12-01,464
2017-12-02,464
2017-12-03,464
2017-12-04,464
2017-12-05,464
2017-12-06,464
2017-12-07,464
2017-12-08,464
2017-12-09,464
2017-12-10,464
2017-12-11,460
2017-12-12,460
2017-12-14,460
2017-12-15,460
2017-12-17,460
2017-12-18,460
2017-12-19,460
2017-12-20,460
2017-12-21,460
2017-12-22,460
2017-12-23,460
2017-12-24,460
2017-12-25,460
2017-12-26,460
2017-12-27,460
2017-12-28,460
2017-12-29,460
2017-12-30,460
2017-12-31,466
2018-01-01,466
2018-01-02,466
2018-01-03,466
2018-01-04,466
2018-01-05,466
2018-01-06,466
2018-01-07,466
2018-01-08,466
2018-01-09,466
2018-01-10,466
2018-01-11,466
2018-01-12,466
2018-01-13,466
2018-01-14,466
2018-01-15,466
2018-01-16,466
2018-01-17,487
2018-01-18,487
2018-01-19,487
2018-01-20,487
2018-01-21,487
2018-01-22,487
2018-01-23,487
2018-01-25,487
2018-01-26,487
2018-01-27,487
2018-01-28,502
2018-01-29,502
2018-01-31,502
2018-02-01,502
2018-02-02,502
2018-02-03,502
2018-02-04,502
2018-02-05,502
2018-02-06,502
2018-02-07,510
2018-02-08,510
2018-02-09,510
2018-02-10,510
2018-02-11,510
2018-02-12,510
2018-02-13,510
2018-02-14,510
2018-02-15,510
2018-02-16,510
2018-02-17,510
2018-02-18,506
2018-02-19,506
2018-02-20,506
2018-02-21,506
2018-02-22,506
2018-02-23,506
2018-02-24,506
2018-02-25,506
2018-02-26,506
2018-02-27,506
2018-03-01,507
2018-03-02,507
2018-03-03,507
2018-03-04,507
2018-03-05,507
2018-03-06,507
2018-03-07,507
2018-03-08,507
2018-03-09,507
2018-03-10,528
2018-03-11,528
2018-03-12,528
2018-03-13,528
2018-03-14,528
2018-03-15,528
2018-03-16,528
2018-03-17,528
2018-03-18,528
2018-03-19,528
2018-03-20,528
2018-03-21,528
2018-03-23,528
2018-03-24,528
2018-03-26,528
2018-03-27,528
2018-03-28,528
2018-03-29,528
2018-03-30,528
2018-03-31,507
2018-04-01,507
2018-04-02,507
2018-04-03,507
2018-04-04,507
2018-04-05,507
2018-04-06,507
2018-04-07,507
2018-04-08,507
2018-04-09,507
2018-04-10,528
2018-04-11,528
2018-04-12,528
2018-04-13,528
2018-04-14,528
2018-04-15,528
2018-04-16,528
2018-04-17,528
2018-04-18,528
2018-04-19,528
2018-04-20,528
2018-04-21,539
2018-04-22,539
2018-04-23,539
2018-04-24,539
2018-04-25,539
2018-04-26,539
2018-04-27,539
2018-04-28,539
2018-04-29,539
2018-04-30,542
2018-05-01,542
2018-05-04,542
2018-05-05,542
2018-05-06,542
2018-05-07,542
2018-05-08,542
2018-05-09,542
2018-05-10,542
2018-05-11,542
2018-05-12,537
2018-05-13,537
2018-05-14,537
2018-05-15,537
2018-05-16,537
2018-05-17,537
2018-05-18,537
2018-05-19,537
2018-05-20,537
2018-05-21,537
2018-05-22,537
2018-05-23,515
2018-05-24,515
2018-05-25,515
2018-05-26,515
2018-05-27,515
2018-05-28,515
2018-05-29,515
2018-05-30,515
2018-05-31,515
2018-06-01,515
2018-06-02,529
2018-06-03,529
2018-06-04,529
2018-06-05,529
2018-06-06,529
2018-06-07,529
2018-06-08,529
