date_obj,Bronze%202h%20sword price
2018-11-09,34
2018-11-10,32
2018-11-11,30
2018-11-12,28
2018-11-13,26
2018-11-15,24
2018-11-16,23
2018-11-17,21
2018-11-18,19
2018-11-19,18
2018-11-20,17
2018-11-21,16
2018-11-22,15
2018-11-23,14
2018-11-24,13
2018-11-25,12
2018-11-26,11
2018-11-27,11
2018-11-28,10
2018-11-29,10
2018-12-01,10
2018-12-02,10
2018-12-03,9
2018-12-04,9
2018-12-05,9
2018-12-07,8
2018-12-09,7
2018-12-10,7
2018-12-11,7
2018-12-12,8
2018-12-13,8
2018-12-14,9
2018-12-15,10
2018-12-16,11
2018-12-17,11
2018-12-18,12
2018-12-19,13
2018-12-20,13
2018-12-21,13
2018-12-22,13
2018-12-23,13
2018-12-24,13
2018-12-25,13
2018-12-26,13
2018-12-27,14
2018-12-28,15
2018-12-29,16
2018-12-30,17
2018-12-31,18
2019-01-01,19
2019-01-02,20
2019-01-03,20
2019-01-04,20
2019-01-05,20
2019-01-06,20
2019-01-08,20
2019-01-10,23
2019-01-11,25
2019-01-12,25
2019-01-13,26
2019-01-14,27
2019-01-15,28
2019-01-16,29
2019-01-17,30
2019-01-18,32
2019-01-19,34
2019-01-20,36
2019-01-21,37
2019-01-22,38
2019-01-23,38
2019-01-24,39
2019-01-25,40
2019-01-26,39
2019-01-27,39
2019-01-28,39
2019-01-29,40
2019-01-30,40
2019-01-31,40
2019-02-01,40
2019-02-02,40
2019-02-03,40
2019-02-04,41
2019-02-05,43
2019-02-06,43
2019-02-07,44
2019-02-08,45
2019-02-09,44
2019-02-10,43
2019-02-11,41
2019-02-12,38
2019-02-13,37
2019-02-14,37
2019-02-15,38
2019-02-16,39
2019-02-17,40
2019-02-18,41
2019-02-19,41
2019-02-20,41
2019-02-21,41
2019-02-22,42
2019-02-23,42
2019-02-24,41
2019-02-25,41
2019-02-26,40
2019-02-27,41
2019-02-28,41
2019-03-01,41
2019-03-02,42
2019-03-03,43
2019-03-04,42
2019-03-05,44
2019-03-06,45
2019-03-07,47
2019-03-08,47
2019-03-09,47
2019-03-10,47
2019-03-11,46
2019-03-12,46
2019-03-13,46
2019-03-14,47
2019-03-15,45
2019-03-16,44
2019-03-17,43
2019-03-18,43
2019-03-19,43
2019-03-20,44
2019-03-21,44
2019-03-22,42
2019-03-23,41
2019-03-24,40
2019-03-25,40
2019-03-26,40
2019-03-27,40
2019-03-28,41
2019-03-29,42
2019-03-30,42
2019-03-31,41
2019-04-01,41
2019-04-02,42
2019-04-03,42
2019-04-04,40
2019-04-05,40
2019-04-06,40
2019-04-07,40
2019-04-08,40
2019-04-09,41
2019-04-10,43
2019-04-11,45
2019-04-12,45
2019-04-13,42
2019-04-14,42
2019-04-15,41
2019-04-16,42
2019-04-17,42
2019-04-18,42
2019-04-19,41
2019-04-20,41
2019-04-21,41
2019-04-22,41
2019-04-23,41
2019-04-24,43
2019-04-25,45
2019-04-26,47
2019-04-27,49
2019-04-28,51
2019-04-29,53
2019-04-30,54
2019-05-01,54
2019-05-02,54
2019-05-03,54
2019-05-04,55
2019-05-05,54
2019-05-06,53
2019-05-07,53
2019-05-08,52
2019-05-09,53
2019-05-10,54
2019-05-11,56
2019-05-12,57
2019-05-13,59
2019-05-14,60
2019-05-15,60
2019-05-16,60
2019-05-17,60
2019-05-18,61
2019-05-19,61
2019-05-20,63
2019-05-21,62
2019-05-22,58
2019-05-23,57
2019-05-24,58
2019-05-25,58
2019-05-26,59
2019-05-27,59
2019-05-28,60
2019-05-29,61
2019-05-30,60
2019-05-31,60
2019-06-01,58
2019-06-02,56
2019-06-03,55
2019-06-04,57
2019-06-05,58
2019-06-06,60
2019-06-07,61
2019-06-08,63
2019-06-09,64
2019-06-10,64
2019-06-11,66
2019-06-12,68
2019-06-13,70
2019-06-14,71
2019-06-15,68
2019-06-16,69
2019-06-17,69
2019-06-18,69
2019-06-19,72
2019-06-20,76
2019-06-21,77
2019-06-22,77
2019-06-23,77
2019-06-24,77
2019-06-25,74
2019-06-26,72
2019-06-27,72
2019-06-28,72
2019-06-29,75
2019-06-30,77
2019-07-01,77
2019-07-02,80
2019-07-03,83
2019-07-04,83
2019-07-05,81
2019-07-06,77
2019-07-07,73
2019-07-08,70
2019-07-09,68
2019-07-10,68
2019-07-11,68
2019-07-12,71
2019-07-13,71
2019-07-14,72
2019-07-15,72
2019-07-16,71
2019-07-17,70
2019-07-18,70
2019-07-19,68
2019-07-20,66
2019-07-21,64
2019-07-22,63
2019-07-23,61
2019-07-24,61
2019-07-25,63
2019-07-26,63
2019-07-27,66
2019-07-28,68
2019-07-29,68
2019-07-30,68
2019-07-31,72
2019-08-01,75
2019-08-02,78
2019-08-03,77
2019-08-04,78
2019-08-05,79
2019-08-06,80
2019-08-07,80
2019-08-08,80
2019-08-09,81
2019-08-10,85
2019-08-11,85
2019-08-12,88
2019-08-13,88
2019-08-14,89
