date_obj,Mystic%20set%20(dusk) price
2020-04-14,592104
2020-04-15,593186
2020-04-16,593186
2020-04-17,593494
2020-04-18,593494
2020-04-19,591116
2020-04-20,591116
2020-04-21,610498
2020-04-22,610498
2020-04-23,609558
2020-04-24,609558
2020-04-25,609558
2020-04-26,597942
2020-04-27,597942
2020-04-28,572515
2020-04-29,572515
2020-04-30,564756
2020-05-01,564756
2020-05-02,562009
2020-05-03,562009
2020-05-04,546670
2020-05-05,546670
2020-05-06,539893
2020-05-07,539893
2020-05-08,525765
2020-05-09,525765
2020-05-10,509322
2020-05-11,509322
2020-05-12,509322
2020-05-13,504696
