date_obj,Gilded%20boots price
2016-09-26,10598499
2016-09-27,10598499
2016-09-28,10598499
2016-09-29,10580626
2016-09-30,10580626
2016-10-01,10580626
2016-10-02,10580626
2016-10-03,10542929
2016-10-04,10542929
2016-10-05,10542929
2016-10-06,10559242
2016-10-07,10559242
2016-10-08,10559242
2016-10-09,10448908
2016-10-10,10448908
2016-10-11,10448908
2016-10-12,10448908
2016-10-13,10449353
2016-10-14,10449353
2016-10-15,10449353
2016-10-16,10366476
2016-10-17,10366476
2016-10-18,10366476
2016-10-19,10367216
2016-10-20,10367216
2016-10-21,10367216
2016-10-22,10317870
2016-10-23,10317870
2016-10-24,10317870
2016-10-25,10167356
2016-10-26,10167356
2016-10-27,10167356
2016-10-28,10240620
2016-10-29,10240620
2016-10-30,10240620
2016-10-31,10203215
2016-11-01,10203215
2016-11-02,10203215
2016-11-03,10203215
2016-11-04,10076170
2016-11-05,10076170
2016-11-06,10076170
2016-11-07,9932708
2016-11-08,9932708
2016-11-09,9932708
2016-11-10,9834409
2016-11-11,9834409
2016-11-12,9834409
2016-11-13,9439583
2016-11-14,9439583
2016-11-15,9439583
2016-12-07,8518581
2016-12-08,8518581
2016-12-09,8164388
2016-12-10,8164388
2016-12-11,8164388
2016-12-12,7784989
2016-12-13,7784989
2016-12-14,7406583
2016-12-15,7406583
2016-12-16,7406583
2016-12-17,7042397
2016-12-18,7042397
2016-12-19,7042397
2016-12-20,6743979
2016-12-21,6743979
2016-12-22,6772135
2016-12-23,6772135
2016-12-24,6849502
2016-12-25,6849502
2016-12-26,7016852
2016-12-27,7016852
2016-12-28,7110130
2016-12-29,7110130
2016-12-30,7110130
2016-12-31,6891327
2017-01-01,6891327
2017-01-02,6956308
2017-01-03,6956308
2017-01-04,6786255
2017-01-05,6786255
2017-01-06,6547131
2017-01-07,6547131
2017-01-08,6292887
2017-01-09,6292887
2017-01-10,6159235
2017-01-11,6159235
2017-01-12,6301869
2017-01-13,6301869
2017-01-14,6586056
2017-01-15,6586056
2017-01-16,6870986
2017-01-17,7172335
2017-01-18,7470742
2017-01-19,7470742
2017-01-20,7812588
2017-01-21,7812588
2017-01-22,8151481
2017-01-23,8151481
2017-01-27,7943107
2017-01-28,7858321
2017-01-29,7858321
2017-01-30,7511727
2017-01-31,7511727
2017-02-01,7388213
2017-02-02,7388213
2017-02-03,7695327
2017-02-04,7929826
2017-02-05,7929826
2017-02-06,8253407
2017-02-07,8253407
2017-02-08,8593776
2017-02-09,8593776
2017-02-10,8823306
2017-02-11,8823306
2017-02-12,9014634
2017-02-13,9014634
2017-02-14,8945816
2017-02-15,8945816
2017-02-16,8773426
2017-02-18,8773426
2017-02-19,8492838
2017-02-20,8492838
2017-02-21,8129120
2017-02-22,8129120
2017-02-23,8129120
2017-02-24,7729535
2017-02-25,7729535
2017-02-26,7347631
2017-02-27,7347631
