date_obj,Avernic%20defender%20hilt price
2019-06-01,72128131
2019-06-02,71441961
2019-06-03,72383943
2019-06-04,71438225
2019-06-05,69860875
2019-06-06,66708315
2019-06-07,66040471
2019-06-08,67343666
2019-06-09,69869462
2019-06-10,69775261
2019-06-11,69771824
2019-06-12,69196088
2019-06-13,67965368
2019-06-14,67811268
2019-06-15,68489022
2019-06-16,71282223
2019-06-17,71019168
2019-06-18,70073501
2019-06-19,69535954
2019-06-20,67964476
2019-06-21,69455720
2019-06-22,71432499
2019-06-23,71777548
2019-06-24,71498399
2019-06-25,73057045
2019-06-26,72465650
2019-06-27,71519991
2019-06-28,71901291
2019-06-29,70930226
2019-06-30,70102769
2019-07-01,69499851
2019-07-02,68992580
2019-07-03,69269262
2019-07-04,69185068
2019-07-05,70447031
2019-07-06,71318391
2019-07-07,71946324
2019-07-08,71423189
2019-07-09,70388530
2019-07-10,69393965
2019-07-11,69443626
2019-07-12,69510114
2019-07-13,69696110
2019-07-14,70527753
2019-07-15,69900621
2019-07-16,69531033
2019-07-17,69196843
2019-07-18,68768042
2019-07-19,68485667
2019-07-20,68274775
2019-07-21,68474210
2019-07-22,68988403
2019-07-23,68581693
2019-07-24,68561342
2019-07-25,70575694
2019-07-26,71596031
2019-07-27,74174924
2019-07-28,73467654
2019-07-29,71893536
2019-07-30,71254852
2019-07-31,69390477
2019-08-01,68490870
2019-08-02,69962720
2019-08-03,72161748
2019-08-04,72542103
2019-08-05,72297068
2019-08-06,71956661
2019-08-07,71430207
2019-08-08,71126889
2019-08-09,70410798
2019-08-10,71105474
2019-08-11,71825157
2019-08-12,72418670
2019-08-13,71684866
2019-08-14,70385175
2019-08-15,70669216
2019-08-16,70258372
2019-08-17,70951662
2019-08-18,71491655
2019-08-19,72456139
2019-08-20,72345536
2019-08-21,73223668
2019-08-22,73995201
2019-08-23,74316704
2019-08-24,74690788
2019-08-24,74690788
2019-08-25,76060962
2019-08-25,76060962
2019-08-26,76467150
2019-08-27,76025757
2019-08-27,76025757
2019-08-28,75788693
2019-08-29,75923780
2019-08-30,75298646
2019-08-31,75117687
2019-09-01,75205647
2019-09-02,75825071
2019-09-03,78459056
2019-09-04,81043307
2019-09-05,82009679
2019-09-06,81083426
2019-09-07,79498731
2019-09-08,80201989
2019-09-09,80688670
2019-09-10,79878339
2019-09-11,79086089
2019-09-12,78651182
2019-09-13,79171254
2019-09-14,80159820
2019-09-15,81943504
2019-09-16,84900808
2019-09-17,85462806
2019-09-18,83321173
2019-09-19,81884925
2019-09-20,81448945
2019-09-21,81257941
2019-09-22,81726651
2019-09-23,81142856
2019-09-24,79989998
2019-09-25,78909760
2019-09-26,79377196
2019-09-27,80874709
2019-09-28,81597377
2019-09-29,83098357
2019-09-30,86491207
2019-10-01,87968950
2019-10-02,89275145
2019-10-03,88877453
2019-10-04,87989423
2019-10-05,89950223
2019-10-06,89318463
2019-10-07,88682292
2019-10-08,87980367
2019-10-09,87789115
2019-10-10,87001151
2019-10-11,86182424
2019-10-12,85550689
2019-10-13,86635604
2019-10-14,86471143
2019-10-15,86747884
2019-10-16,86101105
2019-10-17,85668346
2019-10-18,85572992
2019-10-19,85446664
2019-10-20,85099728
2019-10-21,85675727
2019-10-22,85611653
2019-10-23,85730016
2019-10-24,85670797
2019-10-25,85420018
2019-10-26,85808131
2019-10-27,85753273
2019-10-28,85335226
2019-10-29,85256962
2019-10-30,84957286
2019-10-31,85697105
2019-11-01,84884504
2019-11-02,84548980
2019-11-03,84889441
2019-11-04,85586561
2019-11-05,86345332
2019-11-06,87593763
2019-11-07,86608684
2019-11-08,86832015
2019-11-09,90678652
2019-11-10,93550914
2019-11-11,91964229
2019-11-12,90313785
2019-11-13,88840048
2019-11-14,88369570
2019-11-15,88030475
2019-11-16,89385310
2019-11-17,88300862
2019-11-18,88412171
2019-11-19,88794220
2019-11-20,89276331
2019-11-21,88955334
2019-11-22,89259582
2019-11-23,89968018
2019-11-24,90479318
2019-11-25,92031796
2019-11-26,90128730
2019-11-27,89152493
2019-11-28,88185174
2019-11-29,90683171
2019-11-30,94285118
2019-12-01,98322200
2019-12-02,98926466
2019-12-03,96781656
2019-12-04,95070063
2019-12-05,92519930
2019-12-06,88997544
2019-12-07,90642830
2019-12-08,91407809
2019-12-09,90832563
2019-12-10,89459852
2019-12-11,88825202
2019-12-12,88495568
2019-12-13,88017313
2019-12-14,89440412
2019-12-15,90379368
2019-12-16,89970297
