date_obj,Red%20d'hide%20vambraces price
2015-12-06,2041
2015-12-07,1997
2015-12-08,2025
2015-12-09,2014
2015-12-10,2059
2015-12-11,2069
2015-12-12,2084
2015-12-13,2067
2015-12-14,2092
2015-12-15,2072
2015-12-16,2035
2015-12-17,2049
2015-12-18,2076
2015-12-19,2103
2015-12-20,2081
2015-12-21,2073
2015-12-22,2060
2015-12-23,2038
2015-12-24,2053
2015-12-25,2022
2015-12-26,1989
2015-12-27,2014
2015-12-28,2036
2015-12-29,2043
2015-12-30,2020
2015-12-31,2015
2016-01-01,1992
2016-01-02,2044
2016-01-03,2031
2016-01-04,2047
2016-01-05,2016
2016-01-06,2028
2016-01-07,2026
2016-01-08,2033
2016-01-09,2048
2016-01-10,2051
2016-01-11,2020
2016-01-12,2064
2016-01-13,2113
2016-01-14,2180
2016-01-15,2205
2016-01-16,2195
2016-01-17,2186
2016-01-18,2140
2016-01-19,2053
2016-01-20,2073
2016-01-21,2000
2016-01-22,1939
2016-01-23,1923
2016-01-24,1919
2016-01-25,1948
2016-01-26,1988
2016-01-27,1997
2016-01-28,2001
2016-01-29,1979
2016-01-30,1901
2016-01-31,1918
2016-02-01,1946
2016-02-02,1977
2016-02-03,2022
2016-02-04,2060
2016-02-05,2043
2016-02-06,1999
2016-02-07,1999
2016-02-08,2016
2016-02-09,2017
2016-02-10,2058
2016-02-11,2058
2016-02-12,2080
2016-02-13,2082
2016-02-14,2030
2016-02-15,2045
2016-02-16,2095
2016-02-17,2092
2016-02-18,2080
2016-02-19,2075
2016-02-20,2054
2016-02-21,2033
2016-02-22,2054
2016-02-23,2064
2016-02-24,2014
2016-02-25,1963
2016-02-26,2001
2016-02-27,1962
2016-02-28,1985
2016-02-29,2002
2016-03-01,1996
2016-03-03,2026
2016-03-04,2047
2016-03-05,2069
2016-03-06,2048
2016-03-07,2071
2016-03-08,2063
2016-03-09,2090
2016-03-10,2077
2016-03-11,2056
2016-03-12,2010
2016-03-13,1962
2016-03-14,1967
2016-03-15,1995
2016-03-16,2022
2016-03-17,1983
2016-03-18,1977
2016-03-19,1985
2016-03-20,1979
2016-03-21,2018
2016-03-22,2046
2016-03-23,2011
2016-03-24,2044
2016-03-25,2069
2016-03-26,2083
2016-03-27,2086
2016-03-28,2104
2016-03-29,2082
2016-03-30,2080
2016-03-31,2081
2016-04-01,2074
2016-04-02,2097
2016-04-03,2050
2016-04-04,2001
2016-04-05,2019
2016-04-06,2002
2016-04-07,2016
2016-04-08,2040
2016-04-09,2039
2016-04-10,2056
2016-04-11,2038
2016-04-12,2036
2016-04-13,2023
2016-04-14,2024
2016-04-15,2031
2016-04-16,2025
2016-04-17,1970
2016-04-18,2009
2016-04-19,2056
2016-04-20,2063
2016-04-21,2022
2016-04-22,2023
2016-04-23,2015
2016-04-24,2016
2016-04-25,1997
2016-04-26,2020
2016-04-27,2019
2016-04-28,1992
2016-04-29,1986
2016-04-30,1944
2016-05-01,1963
2016-05-02,1945
2016-05-03,1993
2016-05-04,2004
2016-05-05,2005
2016-05-06,2001
2016-05-07,1994
2016-05-08,1975
2016-05-09,1978
2016-05-10,2020
2016-05-11,2024
2016-05-12,2028
2016-05-13,2036
2016-05-14,2000
2016-05-15,2013
2016-05-16,2008
2016-05-17,2024
2016-05-18,2049
2016-05-19,2046
2016-05-22,1993
2016-05-23,1991
2016-05-24,2003
2016-05-25,1982
2016-05-26,1981
2016-05-27,1978
2016-05-28,1999
2016-05-29,1993
2016-05-30,1983
2016-05-31,2004
2016-06-01,2025
2016-06-02,2018
2016-06-03,2002
2016-06-04,1997
2016-06-05,1979
2016-06-06,1978
2016-06-07,1946
2016-06-08,1965
2016-06-09,1971
2016-06-10,1974
2016-06-11,1991
2016-06-12,2012
2016-06-13,1999
2016-06-14,2028
2016-06-15,2054
2016-06-16,2060
2016-06-17,2040
2016-06-18,2011
2016-06-19,1979
2016-06-20,1991
2016-06-21,1995
2016-06-22,1981
2016-06-23,1985
2016-06-24,1999
2016-06-25,1947
2016-06-26,1927
2016-06-27,1954
2016-06-28,1979
2016-06-29,1984
2016-06-30,1990
2016-07-01,1983
2016-07-02,2001
2016-07-03,1981
2016-07-04,1989
2016-07-05,2003
2016-07-06,1969
2016-07-07,2009
2016-07-08,1993
2016-07-09,1985
2016-07-10,1967
2016-07-11,1962
2016-07-12,1982
2016-07-13,1985
2016-07-14,1980
2016-07-15,2009
2016-07-16,1984
2016-07-17,1987
2016-07-18,1991
2016-07-23,2146
2016-07-24,2100
2016-07-25,2048
2016-07-26,2033
2016-07-27,2032
2016-07-28,2063
2016-07-29,2084
2016-07-30,2108
2016-07-31,2059
2016-08-01,2042
2016-08-02,2011
2016-08-03,1976
2016-08-04,1953
2016-08-05,1915
2016-08-06,1940
2016-08-07,1972
2016-08-08,1987
2016-08-09,1999
2016-08-10,1997
2016-08-11,1979
2016-08-12,1969
2016-08-13,1948
2016-08-14,1968
2016-08-15,1923
2016-08-16,1966
2016-08-17,1968
2016-08-18,1992
2016-08-19,1945
2016-08-20,1962
2016-08-21,1980
2016-08-22,1998
2016-08-23,1989
2016-08-24,1913
2016-08-25,1946
2016-08-26,1994
2016-08-28,1951
2016-08-31,2007
2016-09-01,2032
2016-09-02,2032
2016-09-03,2014
2016-09-04,2029
2016-09-05,2019
2016-09-06,2027
2016-09-07,2034
2016-09-08,2004
2016-09-09,1997
2016-09-10,1977
2016-09-11,1951
2016-09-12,1907
2016-09-13,1963
2016-09-14,1950
2016-09-15,1970
2016-09-16,1985
2016-09-17,1990
2016-09-18,2020
2016-09-19,2050
2016-09-20,2019
2016-09-21,2001
2016-09-22,2018
2016-09-23,2046
2016-09-24,2046
2016-09-25,2043
2016-09-26,2074
2016-09-27,2084
2016-09-28,2053
2016-09-29,2018
2016-09-30,1978
2016-10-01,1985
2016-10-02,2003
2016-10-03,2006
2016-10-04,1986
2016-10-05,1961
2016-10-06,1975
2016-10-07,1945
2016-10-08,1991
2016-10-09,2032
2016-10-10,2045
2016-10-11,2081
2016-10-12,2100
2016-10-13,2026
2016-10-14,1986
2016-10-15,1972
2016-10-16,1994
2016-10-17,2004
2016-10-18,2028
2016-10-19,2017
2016-10-20,2010
2016-10-21,2003
2016-10-22,2024
2016-10-23,2028
2016-10-24,1995
2016-10-25,2018
2016-10-26,2023
2016-10-27,2014
2016-10-28,2031
2016-10-29,2014
2016-10-30,1993
2016-10-31,2001
2016-11-01,1999
2016-11-02,1988
2016-11-03,2015
2016-11-04,1979
2016-11-05,1961
2016-11-06,1985
2016-11-07,2015
2016-11-08,2033
2016-11-09,2027
2016-11-10,2048
2016-11-11,2038
2016-11-12,1996
2016-11-13,1988
2016-11-14,2002
2016-12-08,2045
2016-12-09,2037
2016-12-10,2049
2016-12-11,2045
2016-12-12,2019
2016-12-13,1959
2016-12-14,1992
2016-12-15,2001
2016-12-16,2035
2016-12-17,2002
2016-12-18,1985
2016-12-19,1984
2016-12-20,1993
2016-12-21,1962
2016-12-22,1995
2016-12-23,1978
2016-12-24,1985
2016-12-25,2017
2016-12-26,2020
2016-12-27,1953
2016-12-28,1971
2016-12-29,1994
2016-12-30,1995
2016-12-31,2023
2017-01-01,2024
2017-01-02,2005
2017-01-03,2003
2017-01-04,1998
2017-01-05,1958
2017-01-06,1998
2017-01-07,1981
2017-01-08,2025
2017-01-09,2031
2017-01-10,2034
2017-01-11,2018
2017-01-12,2018
2017-01-13,2005
2017-01-14,1973
2017-01-15,1956
2017-01-16,1992
2017-01-17,1983
2017-01-18,1979
2017-01-19,1964
2017-01-20,1994
2017-01-21,2016
2017-01-22,2024
2017-01-27,1985
2017-01-28,1999
2017-01-29,1998
2017-01-30,1996
2017-01-31,2000
2017-02-01,1997
2017-02-02,1992
2017-02-03,1990
2017-02-04,1994
2017-02-05,1971
2017-02-06,1981
2017-02-07,1979
2017-02-08,1990
2017-02-09,2016
2017-02-10,2023
2017-02-11,2000
2017-02-12,2003
2017-02-13,1999
2017-02-14,2015
2017-02-15,2014
2017-02-16,2010
2017-02-18,1976
2017-02-19,2002
2017-02-20,2012
2017-02-21,1988
2017-02-22,2033
2017-02-23,2015
2017-02-24,2020
2017-02-25,2000
2017-02-26,2007
2017-02-27,1982
2017-02-28,1993
2017-03-01,1998
2017-03-02,1996
2017-03-03,2003
2017-03-04,1994
2017-03-05,1999
2017-03-06,1984
2017-03-07,2004
2017-03-08,2007
2017-03-09,1972
2017-03-10,2019
2017-03-11,2026
2017-03-12,2039
2017-03-13,2024
2017-03-14,1992
2017-03-15,1969
2017-03-16,1987
2017-03-17,2010
2017-03-18,2033
2017-03-19,2024
2017-03-20,2018
2017-03-21,1965
2017-03-22,1975
2017-03-23,1982
2017-03-24,1986
2017-03-25,2001
2017-03-26,1966
2017-03-27,1955
2017-03-28,1960
2017-03-29,1983
2017-03-30,1981
2017-03-31,1963
2017-04-01,1919
2017-04-02,1975
2017-04-03,2003
2017-04-04,1986
2017-04-12,1990
2017-04-13,1985
2017-04-14,1975
2017-04-15,1994
2017-04-16,1990
2017-04-17,2002
2017-04-18,1993
2017-04-19,1993
2017-04-20,2029
2017-04-21,2071
2017-04-22,2055
2017-04-23,2030
2017-04-24,2026
2017-04-25,2005
2017-04-26,2011
2017-04-27,2018
2017-04-28,2033
2017-04-29,1993
2017-04-30,1996
2017-05-01,2008
2017-05-02,1969
2017-05-03,1986
2017-05-04,1992
2017-05-05,1995
2017-05-06,1949
2017-05-07,1958
2017-05-08,1961
2017-05-09,1974
2017-05-10,1984
2017-05-11,1938
2017-05-12,1963
2017-05-13,1984
2017-05-14,1983
2017-05-15,1968
2017-05-16,1962
2017-05-17,2005
2017-05-18,2009
2017-05-19,1961
2017-05-20,1967
2017-05-21,1975
2017-05-22,1944
2017-05-23,1964
2017-05-24,1974
2017-05-25,1945
2017-05-26,1958
2017-05-27,1924
2017-05-28,1954
2017-05-29,1933
2017-05-30,1966
2017-05-31,1976
2017-06-01,1990
2017-06-02,1978
2017-06-03,1956
2017-06-06,1972
2017-06-07,1962
2017-06-08,1972
2017-06-09,1973
2017-06-10,1964
2017-06-11,1983
2017-06-12,1976
2017-06-13,1991
2017-06-14,1977
2017-06-15,1988
2017-06-16,1963
2017-06-17,1965
2017-06-18,1976
2017-06-19,1927
2017-06-20,1931
2017-06-21,1962
2017-06-22,1959
2017-06-23,1966
2017-06-24,1969
2017-06-25,1941
2017-06-26,1968
2017-06-27,1979
2017-06-28,1955
2017-06-29,1944
2017-06-30,1984
2017-07-01,1947
2017-07-02,1962
2017-07-03,1910
2017-07-04,1932
2017-07-05,1925
2017-07-06,1947
2017-07-07,1958
2017-07-08,1961
2017-07-13,1963
2017-07-14,1975
2017-07-15,1940
2017-07-16,1917
2017-07-17,1960
2017-07-18,1962
2017-07-19,1955
2017-07-20,1940
2017-07-21,1943
2017-07-22,1937
2017-07-23,1960
2017-07-24,1974
2017-07-25,1957
2017-07-26,1973
2017-07-27,1974
2017-07-28,1987
2017-07-29,1980
2017-07-30,1979
2017-07-31,1998
2017-08-01,1992
2017-08-02,1955
2017-08-03,1979
2017-08-04,1990
2017-08-05,1996
2017-08-06,1992
2017-08-09,1959
2017-08-10,1985
2017-08-11,1995
2017-08-12,1980
2017-08-13,1998
2017-08-14,1995
2017-08-15,2005
2017-08-16,1966
2017-08-17,1967
2017-08-18,1927
2017-08-19,1972
2017-08-20,1972
2017-08-22,1968
2017-08-23,1977
2017-08-24,1940
2017-08-25,1945
2017-08-26,1971
2017-08-27,1987
2017-08-28,1992
2017-08-29,1988
2017-08-30,1965
2017-08-31,1962
2017-09-01,1967
2017-09-02,1965
2017-09-03,1969
2017-09-04,1989
2017-09-05,1977
2017-09-06,1983
2017-09-07,1960
2017-09-08,1965
2017-09-09,1971
2017-09-10,1951
2017-09-11,1957
2017-09-12,1962
2017-09-13,1974
2017-09-14,1939
2017-09-15,1930
2017-09-16,1962
2017-09-17,1992
2017-09-19,1993
2017-09-20,1957
2017-09-21,1886
2017-09-22,1949
2017-09-23,1973
2017-09-24,1977
2017-09-25,1945
2017-09-26,1948
2017-09-27,1953
2017-09-28,1959
2017-09-29,1938
2017-09-30,1919
2017-10-01,1965
2017-10-02,1971
2017-10-03,1932
2017-10-04,1923
2017-10-05,1966
2017-10-06,1931
2017-10-07,1954
2017-10-08,1970
2017-10-09,1967
2017-10-10,1967
2017-10-11,1949
2017-10-12,1948
2017-10-13,1962
2017-10-14,1960
2017-10-15,1990
2017-10-16,1965
2017-10-17,1958
2017-10-18,1967
2017-10-19,1996
2017-10-20,1960
2017-10-21,1940
2017-10-22,1945
2017-10-23,1977
2017-10-24,1966
2017-10-25,1960
2017-10-26,1955
2017-10-27,1951
2017-10-28,1959
2017-10-29,1922
2017-10-30,1948
2017-10-31,1947
2017-11-01,1963
2017-11-02,1939
2017-11-03,1945
2017-11-04,1947
2017-11-05,1965
2017-11-06,1966
2017-11-07,1977
2017-11-08,1961
2017-11-09,1968
2017-11-10,1948
2017-11-11,1970
2017-11-12,1967
2017-11-13,1969
2017-11-14,1970
2017-11-15,1938
2017-11-16,1951
2017-11-17,1911
2017-11-18,1942
2017-11-19,1931
2017-11-20,1962
2017-11-21,1943
2017-11-22,1954
2017-11-23,1932
2017-11-24,1945
2017-11-25,1971
2017-11-26,1964
2017-11-27,1946
2017-11-28,1969
2017-11-29,1966
2017-11-30,1942
2017-12-01,1937
2017-12-02,1952
2017-12-03,1946
2017-12-04,1975
2017-12-05,1959
2017-12-06,1952
2017-12-07,1974
2017-12-08,1968
2017-12-09,1937
2017-12-10,1954
2017-12-11,1965
2017-12-12,1967
2017-12-14,1924
2017-12-15,1940
2017-12-16,1914
2017-12-17,1905
2017-12-18,1884
2017-12-19,1933
2017-12-20,1960
2017-12-21,1962
2017-12-22,1958
2017-12-23,1951
2017-12-24,1914
2017-12-25,1920
2017-12-26,1914
2017-12-27,1924
2017-12-28,1870
2017-12-29,1906
2017-12-30,1931
2017-12-31,1956
2018-01-01,1951
2018-01-02,1927
2018-01-03,1936
2018-01-04,1941
2018-01-05,1947
2018-01-06,1904
2018-01-07,1955
2018-01-08,1938
2018-01-09,1941
2018-01-10,1946
2018-01-11,1926
2018-01-12,1908
2018-01-13,1922
2018-01-14,1946
2018-01-15,1947
2018-01-16,1931
2018-01-17,1944
2018-01-18,1951
2018-01-19,1947
2018-01-20,1940
2018-01-21,1927
2018-01-22,1943
2018-01-23,1939
2018-01-24,1909
2018-01-25,1911
2018-01-26,1927
2018-01-27,1929
2018-01-28,1916
2018-01-29,1936
2018-01-31,1953
2018-02-01,1950
2018-02-02,1928
2018-02-03,1969
2018-02-04,1924
2018-02-05,1958
2018-02-06,1981
2018-02-07,1962
2018-02-08,1976
2018-02-09,1964
2018-02-10,1962
2018-02-11,1947
2018-02-12,1946
2018-02-13,1944
2018-02-14,1948
2018-02-15,1945
2018-02-16,1954
2018-02-17,1955
2018-02-18,1947
2018-02-19,1924
2018-02-20,1925
2018-02-21,1964
2018-02-22,1975
2018-02-23,1987
2018-02-24,1984
2018-02-25,1973
2018-02-26,1940
2018-02-27,1903
2018-02-28,1933
2018-03-01,1945
2018-03-02,1955
2018-03-03,1915
2018-03-04,1948
2018-03-05,1919
2018-03-06,1951
2018-03-07,1956
2018-03-08,1897
2018-03-09,1852
2018-03-10,1919
2018-03-11,1959
2018-03-12,1918
2018-03-13,1949
2018-03-14,1892
2018-03-15,1903
2018-03-16,1913
2018-03-17,1943
2018-03-18,1938
2018-03-19,1952
2018-03-20,1915
2018-03-21,1916
2018-03-23,1945
2018-03-24,1949
2018-03-26,1929
2018-03-27,1937
2018-03-28,1894
2018-03-29,1923
2018-03-30,1917
2018-03-31,1926
2018-04-01,1955
2018-04-02,1943
2018-04-03,1950
2018-04-04,1965
2018-04-05,1963
2018-04-06,1888
2018-04-08,1915
2018-04-09,1947
2018-04-10,1964
2018-04-11,1935
2018-04-12,1912
2018-04-13,1925
2018-04-14,1924
2018-04-15,1965
2018-04-16,1907
2018-04-17,1912
2018-04-18,1935
2018-04-19,1938
2018-04-20,1964
2018-04-21,1926
2018-04-22,1981
2018-04-23,1984
2018-04-24,1937
2018-04-25,1935
2018-04-26,1944
2018-04-27,1932
2018-04-28,1972
2018-04-29,1984
2018-04-30,1958
2018-05-01,1939
2018-05-02,1970
2018-05-03,1955
2018-05-04,1944
2018-05-05,1929
2018-05-06,1927
2018-05-07,1939
2018-05-08,1962
2018-05-09,1951
2018-05-10,1907
2018-05-11,1925
2018-05-12,1942
2018-05-13,1907
2018-05-14,1902
2018-05-15,1938
2018-05-16,1943
2018-05-17,1987
2018-05-18,1990
2018-05-19,1963
2018-05-20,1966
2018-05-21,1910
2018-05-22,1939
2018-05-23,1971
2018-05-24,1958
2018-05-25,1974
2018-05-26,1939
2018-05-27,1940
2018-05-28,1952
2018-05-29,1955
2018-05-30,1956
2018-05-31,1957
2018-06-01,1938
2018-06-02,1936
2018-06-03,1941
2018-06-04,1976
2018-06-05,1947
2018-06-06,1943
2018-06-07,1965
2018-06-08,1912
2018-06-09,1876
2018-06-10,1910
2018-06-11,1952
2018-06-12,1972
2018-06-13,1962
2018-06-14,1940
2018-06-15,1928
2018-06-16,1945
2018-06-17,1937
2018-06-18,1920
2018-06-19,1923
2018-06-20,1945
2018-06-21,1954
2018-06-22,1957
2018-06-23,1985
2018-06-24,1947
2018-06-25,1976
2018-06-26,1986
2018-06-27,1985
2018-06-28,1969
2018-06-29,1948
2018-06-30,1950
2018-07-01,1953
2018-07-02,1961
2018-07-03,1963
2018-07-04,1944
2018-07-05,1975
2018-07-06,1956
2018-07-07,1943
2018-07-08,1959
2018-07-09,1986
2018-07-10,1997
2018-07-11,1938
2018-07-12,1926
2018-07-13,1894
2018-07-14,1933
2018-07-15,1960
2018-07-16,1934
2018-07-17,1999
2018-07-18,2038
2018-07-19,1945
2018-07-20,1925
2018-07-21,1990
2018-07-22,1977
2018-07-23,1953
2018-07-24,1944
2018-07-25,1968
2018-07-26,1979
2018-07-27,1957
2018-07-28,1990
2018-07-29,1961
2018-07-30,1928
2018-07-31,1955
2018-08-01,1904
2018-08-02,1957
2018-08-03,1949
2018-08-04,1964
2018-08-05,1984
2018-08-06,1954
2018-08-07,1940
2018-08-08,1942
2018-08-09,1945
2018-08-10,1930
2018-08-11,1967
2018-08-12,1999
2018-08-14,1877
2018-08-16,1899
2018-08-17,1940
2018-08-18,1970
2018-08-19,1983
2018-08-20,1971
2018-08-21,1953
2018-08-22,1905
2018-08-23,1918
2018-08-24,1877
2018-08-25,1914
2018-08-26,1915
2018-08-27,1907
2018-08-28,1889
2018-08-29,1923
2018-08-30,1922
2018-08-31,1894
2018-09-01,1937
2018-09-02,1953
2018-09-03,1947
2018-09-04,1918
2018-09-05,1910
2018-09-06,1897
2018-09-07,1898
2018-09-08,1903
2018-09-09,1951
2018-09-10,1963
2018-09-11,1969
2018-09-12,1973
2018-09-13,1982
2018-09-14,1969
2018-09-15,1973
2018-09-16,1942
2018-09-17,1932
2018-09-18,1948
2018-09-19,1971
2018-09-20,2001
2018-09-21,2019
2018-09-22,1971
2018-09-23,1941
2018-09-24,1945
2018-09-25,1920
2018-09-26,1916
2018-09-27,1907
2018-09-28,1878
2018-09-29,1834
2018-09-30,1825
2018-10-02,1914
2018-10-03,1904
2018-10-04,1944
2018-10-05,1919
2018-10-06,1917
2018-10-07,1937
2018-10-08,1923
2018-10-09,1902
2018-10-10,1893
2018-10-11,1890
2018-10-12,1882
2018-10-13,1897
2018-10-14,1935
2018-10-15,1912
2018-10-16,1916
2018-10-17,1899
2018-10-18,1923
2018-10-19,1921
2018-10-20,1963
2018-10-21,1958
2018-10-22,1934
2018-10-23,1901
2018-10-24,1944
2018-10-25,1919
2018-10-26,1897
2018-10-27,1913
2018-10-28,1902
2018-10-29,1948
2018-10-30,1911
2018-10-31,1881
2018-11-01,1821
2018-11-03,1877
2018-11-04,1924
2018-11-05,1942
2018-11-06,1958
2018-11-07,1921
2018-11-08,1857
2018-11-09,1809
2018-11-10,1876
2018-11-11,1934
2018-11-12,1942
2018-11-13,1950
2018-11-14,1911
2018-11-15,1911
2018-11-16,1856
2018-11-17,1847
2018-11-18,1882
2018-11-19,1859
2018-11-20,1842
2018-11-21,1893
2018-11-22,1897
2018-11-23,1913
2018-11-24,1882
2018-11-25,1891
2018-11-26,1922
2018-11-27,1932
2018-11-28,1966
2018-11-29,1951
2018-12-01,1934
2018-12-02,1901
2018-12-03,1903
2018-12-04,1898
2018-12-05,1872
2018-12-07,1905
2018-12-09,1920
2018-12-10,1919
2018-12-11,1910
2018-12-13,1912
2018-12-14,1935
2018-12-15,1945
2018-12-16,1926
2018-12-17,1946
2018-12-18,1923
2018-12-19,1916
2018-12-20,1899
2018-12-21,1921
2018-12-22,1927
2018-12-23,1947
2018-12-24,1931
2018-12-25,1925
2018-12-26,1894
2018-12-27,1872
2018-12-28,1924
2018-12-29,1923
2018-12-30,1907
2018-12-31,1902
2019-01-01,1867
2019-01-02,1916
2019-01-03,1871
2019-01-04,1858
2019-01-05,1871
2019-01-06,1910
2019-01-08,1928
2019-01-10,1923
2019-01-11,1899
2019-01-12,1845
2019-01-13,1888
2019-01-14,1907
2019-01-15,1896
2019-01-16,1904
2019-01-17,1921
2019-01-18,1931
2019-01-19,1873
2019-01-20,1911
2019-01-22,1916
2019-01-23,1913
2019-01-24,1902
2019-01-25,1881
2019-01-26,1905
2019-01-27,1911
2019-01-28,1875
2019-01-29,1887
2019-01-30,1890
2019-01-31,1927
2019-02-01,1901
2019-02-02,1903
2019-02-03,1913
2019-02-04,1911
2019-02-05,1923
2019-02-06,1933
2019-02-07,1907
2019-02-08,1918
2019-02-09,1945
2019-02-10,1945
2019-02-11,1907
2019-02-12,1944
2019-02-13,1938
2019-02-14,1943
2019-02-15,1969
2019-02-16,1936
2019-02-17,1935
2019-02-18,1953
2019-02-19,1945
2019-02-20,1971
2019-02-21,1976
2019-02-22,1933
2019-02-23,1928
2019-02-24,1932
2019-02-25,1942
2019-02-26,1928
2019-02-27,1956
2019-02-28,1992
2019-03-01,1972
2019-03-02,1937
2019-03-03,1918
2019-03-04,1909
2019-03-05,1955
2019-03-06,1945
2019-03-07,1979
2019-03-08,1942
2019-03-09,1966
2019-03-10,1923
2019-03-11,1946
2019-03-12,1939
2019-03-13,1904
2019-03-14,1881
2019-03-15,1877
2019-03-16,1913
2019-03-17,1911
2019-03-18,1945
2019-03-19,1963
2019-03-20,1927
2019-03-21,1914
2019-03-22,1869
2019-03-23,1878
2019-03-24,1894
2019-03-25,1851
2019-03-26,1908
2019-03-27,1898
2019-03-28,1864
2019-03-29,1858
2019-03-30,1919
2019-03-31,1876
2019-04-01,1911
2019-04-02,1850
2019-04-03,1875
2019-04-04,1895
2019-04-05,1905
2019-04-06,1887
