date_obj,Rune%20scimitar%20ornament%20kit%20(saradomin) price
2020-04-18,102823
2020-04-19,100546
2020-04-20,98000
2020-04-21,94937
2020-04-22,91280
2020-04-23,89106
2020-04-24,86841
2020-04-25,85075
2020-04-26,84282
2020-04-27,82650
2020-04-28,82542
2020-04-29,80001
2020-04-30,78107
2020-05-01,76322
2020-05-02,73942
2020-05-03,73264
2020-05-04,72275
2020-05-05,72203
2020-05-06,72053
2020-05-07,72563
2020-05-08,72118
2020-05-09,73036
2020-05-10,75995
2020-05-11,76948
2020-05-12,78020
2020-05-13,77327
