date_obj,Onyx%20dragon%20bolts price
2019-05-15,9985
2019-05-16,9985
2019-05-17,9985
2019-05-18,9985
2019-05-19,9985
2019-05-20,9985
2019-05-21,9985
2019-05-22,9985
2019-05-23,9985
2019-05-24,9727
2019-05-25,9727
2019-05-26,9727
2019-05-27,9727
2019-05-28,9727
2019-05-29,9727
2019-05-30,9727
2019-05-31,9727
2019-06-01,9727
2019-06-02,9572
2019-06-03,9572
2019-06-04,9572
2019-06-05,9572
2019-06-06,9572
2019-06-07,9572
2019-06-08,9572
2019-06-09,9572
2019-06-10,9572
2019-06-11,9740
2019-06-12,9740
2019-06-13,9740
2019-06-14,9740
2019-06-15,9740
2019-06-16,9740
2019-06-17,9740
2019-06-18,9917
2019-06-19,9917
2019-06-20,9917
2019-06-21,9917
2019-06-22,9917
2019-06-23,9917
2019-06-24,9917
2019-06-25,9917
2019-06-26,9492
2019-06-27,9492
2019-06-28,9492
2019-06-29,9492
2019-06-30,9492
2019-07-01,9492
2019-07-02,9492
2019-07-03,9320
2019-07-04,9320
2019-07-05,9320
2019-07-06,9320
2019-07-07,9320
2019-07-08,9320
2019-07-09,9322
2019-07-10,9322
2019-07-11,9322
2019-07-12,9322
2019-07-13,9322
2019-07-14,9322
2019-07-15,9322
2019-07-16,9322
2019-07-17,9379
2019-07-18,9379
2019-07-19,9379
2019-07-20,9379
2019-07-21,9379
2019-07-22,9379
2019-07-23,9379
2019-07-24,9379
2019-07-25,9379
2019-07-26,9379
2019-07-27,9266
2019-07-28,9266
2019-07-29,9266
2019-07-30,9266
2019-07-31,9266
2019-08-01,9266
2019-08-02,9266
2019-08-03,9266
2019-08-04,9266
2019-08-05,9266
2019-08-06,9405
2019-08-07,9405
2019-08-08,9405
2019-08-09,9405
2019-08-10,9405
2019-08-11,9405
2019-08-12,9405
2019-08-13,9405
2019-08-14,9323
2019-08-15,9323
2019-08-16,9323
2019-08-17,9323
2019-08-18,9323
2019-08-19,9323
2019-08-20,9323
2019-08-21,9323
2019-08-22,9187
2019-08-23,9187
2019-08-24,9187
2019-08-24,9187
2019-08-25,9187
2019-08-25,9187
2019-08-26,9187
2019-08-26,9187
2019-08-27,9187
2019-08-27,9187
2019-08-28,9187
2019-08-29,9357
2019-08-30,9357
2019-08-31,9357
2019-09-01,9357
2019-09-02,9357
2019-09-03,9357
2019-09-04,9357
2019-09-05,9357
2019-09-06,9357
2019-09-07,9201
2019-09-08,9201
2019-09-09,9201
2019-09-10,9201
2019-09-11,9201
2019-09-12,9201
2019-09-13,9201
2019-09-14,9201
2019-09-15,9180
2019-09-16,9180
2019-09-17,9180
2019-09-18,9180
2019-09-19,9180
2019-09-20,9180
2019-09-21,9180
2019-09-22,9180
2019-09-23,9153
2019-09-24,9153
2019-09-25,9153
2019-09-26,9153
2019-09-27,9153
2019-09-28,9153
2019-09-29,9153
2019-09-30,9153
2019-10-01,9309
2019-10-02,9309
2019-10-03,9309
2019-10-04,9309
2019-10-05,9309
2019-10-06,9309
2019-10-07,9309
2019-10-08,9309
2019-10-09,9309
2019-10-10,9184
2019-10-11,9184
2019-10-12,9184
2019-10-13,9184
2019-10-14,9184
2019-10-15,9184
2019-10-16,9184
2019-10-17,9184
2019-10-18,9112
2019-10-19,9112
2019-10-20,9112
2019-10-21,9112
2019-10-22,9112
2019-10-23,9112
2019-10-24,9112
2019-10-25,9112
2019-10-26,9109
2019-10-27,9109
2019-10-28,9109
2019-10-29,9109
2019-10-30,9109
2019-10-31,9109
2019-11-01,9109
2019-11-02,9063
2019-11-03,9063
2019-11-04,9063
2019-11-05,9063
2019-11-06,9063
2019-11-07,9063
2019-11-08,9063
2019-11-09,9063
2019-11-10,9016
2019-11-11,9016
2019-11-12,9016
2019-11-13,9016
2019-11-14,9016
2019-11-15,9193
2019-11-16,9193
2019-11-17,9193
2019-11-18,9193
2019-11-19,9193
2019-11-20,9193
2019-11-21,9193
2019-11-22,9020
2019-11-23,9020
2019-11-24,9020
2019-11-25,9020
2019-11-26,9020
2019-11-27,9020
2019-11-28,9054
2019-11-29,9054
2019-11-30,9054
2019-12-01,9054
2019-12-02,9054
2019-12-03,9054
2019-12-04,9059
2019-12-05,9059
2019-12-06,9059
2019-12-07,9059
2019-12-08,9059
2019-12-09,8931
2019-12-10,8931
2019-12-11,8931
2019-12-12,8931
2019-12-13,8931
2019-12-14,8931
2019-12-15,8966
2019-12-16,8966
2019-12-17,8966
2019-12-18,8966
2019-12-19,8966
2019-12-20,9057
