date_obj,Amulet%20of%20magic%20(t) price
2016-01-08,30072
2016-01-09,29789
2016-01-10,29789
2016-01-11,29683
2016-01-12,29868
2016-01-13,29868
2016-01-14,30458
2016-01-15,30458
2016-01-16,31103
2016-01-17,31103
2016-01-18,31430
2016-01-19,31430
2016-01-20,31788
2016-01-21,31788
2016-01-22,31768
2016-01-23,31768
2016-01-24,31691
2016-01-25,31889
2016-01-26,31889
2016-01-27,31608
2016-01-28,31608
2016-01-29,31493
2016-01-30,31493
2016-01-31,31496
2016-02-01,31496
2016-02-02,31233
2016-02-03,31233
2016-02-04,30859
2016-02-05,30859
2016-02-06,30289
2016-02-07,30289
2016-02-08,29573
2016-02-09,29573
2016-02-10,29151
2016-02-11,29151
2016-02-12,28761
2016-02-13,28624
2016-02-14,28624
2016-02-15,28374
2016-02-16,28374
2016-02-17,28193
2016-02-18,28193
2016-02-19,28061
2016-02-20,28061
2016-02-21,27832
2016-02-22,27832
2016-02-23,28465
2016-02-24,28465
2016-02-25,28198
2016-02-26,28198
2016-02-27,28262
2016-02-28,28262
2016-02-29,28077
2016-03-01,28077
2016-03-02,28329
2016-03-03,28329
2016-03-04,28489
2016-03-05,28489
2016-03-06,28434
2016-03-07,28434
2016-03-08,28308
2016-03-09,28308
2016-03-10,28319
2016-03-11,28319
2016-03-12,27849
2016-03-13,27849
2016-03-14,27392
2016-03-15,27392
2016-03-16,27961
2016-03-17,27961
2016-03-18,28619
2016-03-19,28619
2016-03-20,29535
2016-03-21,29535
2016-03-22,30258
2016-03-23,30258
2016-03-24,30365
2016-03-25,30365
2016-03-26,29519
2016-03-27,29519
2016-03-28,29251
2016-03-29,29251
2016-03-30,28589
2016-03-31,28589
2016-04-01,28385
2016-04-02,28385
2016-04-03,27643
2016-04-04,27643
2016-04-05,26918
2016-04-06,26918
2016-04-07,26221
2016-04-08,26221
2016-04-09,25777
2016-04-10,25075
2016-04-11,25075
2016-04-12,24481
2016-04-13,24481
2016-04-14,23908
2016-04-15,23908
2016-04-16,23418
2016-04-17,23418
2016-04-18,22539
2016-04-19,22539
2016-04-20,22435
2016-04-21,22435
2016-04-22,22435
2016-04-23,22708
2016-04-24,22708
2016-04-25,22546
2016-04-26,22546
2016-04-27,22934
2016-04-28,22934
2016-04-29,23314
2016-04-30,23314
2016-05-01,23303
2016-05-02,23303
2016-05-03,23324
2016-05-04,23324
2016-05-05,23322
2016-05-06,23322
2016-05-07,23111
2016-05-08,23111
2016-05-09,22850
2016-05-10,22570
2016-05-11,22570
2016-05-12,22522
2016-05-13,22494
2016-05-14,22494
2016-05-15,22381
2016-05-16,22381
2016-05-17,22785
2016-05-18,22785
2016-05-19,23114
2016-05-22,23398
2016-05-23,23827
2016-05-24,23827
2016-05-25,24004
2016-05-26,24004
2016-05-27,24148
2016-05-28,24148
2016-05-29,24273
2016-05-30,24273
2016-05-31,23969
2016-06-01,24121
2016-06-02,24121
2016-06-03,24328
2016-06-04,24328
2016-06-05,24345
2016-06-06,24135
2016-06-07,24135
2016-06-08,24340
2016-06-09,24333
2016-06-10,24334
2016-06-11,24334
2016-06-12,24036
2016-06-13,24036
2016-06-14,23753
2016-06-15,23753
2016-06-16,23847
2016-06-17,23923
2016-06-18,23923
2016-06-19,24249
2016-06-20,24249
2016-06-21,24212
2016-06-22,24212
2016-06-23,24147
2016-06-24,24147
2016-06-25,24574
2016-06-26,24574
2016-06-27,24634
2016-06-28,24894
2016-06-29,24894
2016-06-30,24843
2016-07-01,25290
2016-07-02,25290
2016-07-03,25705
2016-07-04,25918
2016-07-05,25918
2016-07-06,25854
2016-07-07,25854
2016-07-08,24896
2016-07-09,24180
2016-07-10,23490
2016-07-11,22561
2016-07-12,22561
2016-07-13,21432
2016-07-14,20430
2016-07-15,20430
2016-07-16,19409
2016-07-17,19409
2016-07-18,18745
2016-07-23,16993
2016-07-24,16262
2016-07-25,16262
2016-07-26,15633
2016-07-27,15633
2016-07-28,15437
2016-07-29,15278
2016-07-30,15278
2016-07-31,15079
2016-08-01,15079
2016-08-02,15019
2016-08-03,15019
2016-08-04,14743
2016-08-05,14743
2016-08-06,14931
2016-08-07,14931
2016-08-08,14787
2016-08-09,14611
2016-08-10,14611
2016-08-11,14738
2016-08-12,14738
2016-08-13,15052
2016-08-14,15052
2016-08-15,15032
2016-08-16,15032
2016-08-17,15053
2016-08-18,15053
2016-08-19,15074
2016-08-20,15156
2016-08-21,15156
2016-08-22,14954
2016-08-23,14954
2016-08-24,14837
2016-08-25,14837
2016-08-26,14837
2016-08-28,14791
2016-08-31,14797
2016-09-01,15123
2016-09-02,15123
2016-09-03,15238
2016-09-04,15238
2016-09-05,14930
2016-09-06,14930
2016-09-07,14982
2016-09-08,14982
2016-09-09,15081
2016-09-10,15081
2016-09-11,15380
2016-09-12,15380
2016-09-13,15588
2016-09-14,15588
2016-09-15,15793
2016-09-16,15793
2016-09-17,15753
2016-09-18,15753
2016-09-19,15706
2016-09-20,15706
2016-09-21,14925
2016-09-22,14668
2016-09-23,14668
2016-09-24,14668
2016-09-25,14775
2016-09-26,14775
2016-09-27,15096
2016-09-28,15096
2016-09-29,15220
2016-09-30,15317
2016-10-01,15317
2016-10-02,15503
2016-10-03,15503
2016-10-04,15955
2016-10-05,15955
2016-10-06,16456
2016-10-07,16456
2016-10-08,16925
2016-10-09,16925
2016-10-10,17398
2016-10-11,17398
2016-10-12,18177
2016-10-13,18177
2016-10-14,18997
2016-10-15,18997
2016-10-16,19885
2016-10-17,20785
2016-10-18,20785
2016-10-19,20785
2016-10-20,21784
2016-10-21,21784
2016-10-22,22784
2016-10-23,22784
2016-10-24,23550
2016-10-25,23550
2016-10-26,23428
2016-10-27,23428
2016-10-28,23428
2016-10-29,23967
2016-10-30,23967
2016-10-31,24428
2016-11-01,24428
2016-11-02,25470
2016-11-03,25470
2016-11-04,26202
2016-11-05,26202
2016-11-06,25947
2016-11-07,25947
2016-11-08,24840
2016-11-09,24840
2016-11-10,24319
2016-11-11,24319
2016-11-12,24023
2016-11-13,24023
2016-11-14,23684
2016-11-15,23684
2016-12-07,26782
2016-12-08,26842
2016-12-09,26842
2016-12-10,27252
2016-12-11,27252
2016-12-12,27626
2016-12-13,27626
2016-12-14,27735
2016-12-15,27735
2016-12-16,28258
2016-12-17,28331
2016-12-18,28331
2016-12-19,28340
2016-12-20,28340
2016-12-21,28920
2016-12-22,28920
2016-12-23,29393
2016-12-24,29393
2016-12-25,29186
2016-12-26,29186
2016-12-27,28713
2016-12-28,28713
2016-12-29,28478
2016-12-30,28478
2016-12-31,28236
2017-01-01,28236
2017-01-02,27489
2017-01-03,27489
2017-01-04,26376
2017-01-05,26376
2017-01-06,26271
2017-01-07,26197
2017-01-08,26197
2017-01-09,26193
2017-01-10,26193
2017-01-11,26111
2017-01-12,26078
2017-01-13,26078
2017-01-14,26001
2017-01-15,25634
2017-01-16,25634
2017-01-17,25328
2017-01-18,25328
2017-01-19,25037
2017-01-20,25037
2017-01-21,25027
2017-01-22,25027
2017-01-23,24980
2017-01-27,24047
2017-01-28,23746
2017-01-29,23746
2017-01-30,23678
2017-01-31,23678
2017-02-01,23994
2017-02-02,23994
2017-02-03,23842
2017-02-04,23766
2017-02-05,23766
2017-02-06,23597
2017-02-07,23597
2017-02-08,23199
2017-02-09,23199
2017-02-10,23126
2017-02-11,23103
2017-02-12,23103
2017-02-13,22806
2017-02-14,22939
2017-02-15,22939
2017-02-16,22824
2017-02-17,22824
2017-02-18,23001
2017-02-19,23345
2017-02-20,23345
2017-02-21,23378
2017-02-22,23378
2017-02-23,23601
2017-02-24,23601
2017-02-25,23606
2017-02-26,23606
2017-02-27,23342
2017-02-28,23197
2017-03-01,23197
2017-03-02,23048
2017-03-03,23048
2017-03-04,23114
2017-03-05,23114
2017-03-06,23150
2017-03-07,23150
2017-03-08,23297
2017-03-09,23297
2017-03-10,23555
2017-03-11,23555
2017-03-12,23560
2017-03-13,23836
2017-03-14,23916
2017-03-15,23916
2017-03-16,23977
2017-03-17,23977
2017-03-18,24202
2017-03-19,24209
2017-03-20,24209
2017-03-21,24134
2017-03-22,24134
2017-03-23,23901
2017-03-24,24411
2017-03-25,24411
2017-03-26,25027
2017-03-27,24988
2017-03-28,24988
2017-03-29,25175
2017-03-30,25175
2017-03-31,25313
2017-04-01,25313
2017-04-02,25329
2017-04-03,25308
2017-04-04,25308
2017-04-05,25185
2017-04-12,23972
2017-04-13,23501
2017-04-14,23501
2017-04-15,23237
2017-04-16,23248
2017-04-17,22615
2017-04-18,22615
2017-04-19,22307
2017-04-20,22307
2017-04-21,22134
2017-04-22,22134
2017-04-23,21696
2017-04-24,21696
2017-04-25,21554
2017-04-26,21554
2017-04-27,21657
2017-04-28,21657
2017-04-29,22282
2017-04-30,22282
2017-05-01,22543
2017-05-02,22543
2017-05-03,22865
2017-05-04,23181
2017-05-05,23181
2017-05-06,23128
2017-05-07,23128
2017-05-08,23062
2017-05-09,23149
2017-05-10,23149
2017-05-11,23284
2017-05-12,23284
2017-05-13,23383
2017-05-14,23383
2017-05-15,23498
2017-05-16,23498
2017-05-17,23137
2017-05-18,23137
2017-05-19,22805
2017-05-20,22403
2017-05-21,22403
2017-05-22,22458
2017-05-23,22458
2017-05-24,22283
2017-05-25,22283
2017-05-26,22150
2017-05-27,22150
2017-05-28,22226
2017-05-29,22226
2017-05-30,22043
2017-05-31,22043
2017-06-01,22105
2017-06-02,22105
2017-06-03,22232
2017-06-04,21983
2017-06-05,21983
2017-06-06,21805
2017-06-07,21805
2017-06-08,21588
2017-06-09,21588
2017-06-10,21419
2017-06-11,21419
2017-06-12,21358
2017-06-13,21358
2017-06-14,21262
2017-06-15,21262
2017-06-16,21290
2017-06-17,21290
2017-06-18,21417
2017-06-19,21417
2017-06-20,21341
2017-06-21,21341
2017-06-22,21388
2017-06-23,21388
2017-06-24,21575
2017-06-25,21575
2017-06-26,21415
2017-06-27,21415
2017-06-28,21341
2017-06-29,21341
2017-06-30,21439
2017-07-01,21439
2017-07-02,21439
2017-07-03,21390
2017-07-04,21390
2017-07-05,21681
2017-07-06,21681
2017-07-07,21897
2017-07-08,21897
2017-07-09,22087
2017-07-13,22572
2017-07-14,22785
2017-07-15,22785
2017-07-16,22962
2017-07-17,22962
2017-07-18,23332
2017-07-19,23332
2017-07-20,23904
2017-07-21,23904
2017-07-22,24159
2017-07-23,24335
2017-07-24,24335
2017-07-25,24497
2017-07-26,24786
2017-07-27,24709
2017-07-28,24709
2017-07-29,24828
2017-07-30,25024
2017-07-31,25024
2017-08-01,25259
2017-08-02,25801
2017-08-03,25801
2017-08-04,26157
2017-08-05,26734
2017-08-06,26734
2017-08-07,26930
2017-08-08,26930
2017-08-09,27187
2017-08-10,27662
2017-08-11,27662
2017-08-12,28035
2017-08-13,28035
2017-08-14,28056
2017-08-15,28056
2017-08-16,28413
2017-08-17,28947
2017-08-18,28947
2017-08-19,29207
2017-08-20,29532
2017-08-21,29532
2017-08-22,29881
2017-08-23,29881
2017-08-24,29945
2017-08-25,29945
2017-08-26,30029
2017-08-27,30029
2017-08-28,30186
2017-08-29,30186
2017-08-30,30370
2017-08-31,30370
2017-09-01,30609
2017-09-02,30421
2017-09-03,30421
2017-09-04,30375
2017-09-05,30375
2017-09-06,30207
2017-09-07,30207
2017-09-08,29996
2017-09-09,30403
2017-09-10,30403
2017-09-11,30813
2017-09-12,30813
2017-09-13,32213
2017-09-14,32998
2017-09-15,32998
2017-09-16,33258
2017-09-17,34644
2017-09-18,34644
2017-09-19,35569
2017-09-20,35576
2017-09-21,35576
2017-09-22,35534
2017-09-23,35534
2017-09-24,35175
2017-09-25,35175
2017-09-26,35047
2017-09-27,35047
2017-09-28,35007
2017-09-29,35007
2017-09-30,34978
2017-10-01,34978
2017-10-02,34543
2017-10-03,34543
2017-10-04,34543
2017-10-05,34612
2017-10-06,34612
2017-10-07,34681
2017-10-08,34681
2017-10-09,34857
2017-10-10,34857
2017-10-11,35473
2017-10-12,35473
2017-10-13,35498
2017-10-14,35498
2017-10-15,35699
2017-10-16,35733
2017-10-17,35733
2017-10-18,36082
2017-10-19,36082
2017-10-20,35899
2017-10-21,35899
2017-10-22,35836
2017-10-23,35836
2017-10-24,35374
2017-10-25,35135
2017-10-26,35135
2017-10-27,35007
2017-10-28,35007
2017-10-29,34306
2017-10-30,34306
2017-10-31,33947
2017-11-01,33947
2017-11-02,33934
2017-11-03,33934
2017-11-04,33873
2017-11-05,33873
2017-11-06,33681
2017-11-07,33681
2017-11-08,33778
2017-11-09,32709
2017-11-10,32709
2017-11-11,32348
2017-11-12,32348
2017-11-13,32149
2017-11-14,32149
2017-11-15,32292
2017-11-16,32292
2017-11-17,31934
2017-11-18,31934
2017-11-19,31786
2017-11-20,31786
2017-11-21,31139
2017-11-22,31139
2017-11-23,30948
2017-11-24,30948
2017-11-25,30586
2017-11-26,30586
2017-11-27,30029
2017-11-28,30029
2017-11-29,29195
2017-11-30,29195
2017-12-01,28815
2017-12-02,28815
2017-12-03,28627
2017-12-04,28627
2017-12-05,28481
2017-12-06,28481
2017-12-07,28414
2017-12-08,28414
2017-12-09,28086
2017-12-10,28995
2017-12-11,28995
2017-12-12,29243
2017-12-13,29243
2017-12-14,29921
2017-12-15,30635
2017-12-16,30635
2017-12-17,30497
2017-12-18,31031
2017-12-19,31031
2017-12-20,32195
2017-12-21,32195
2017-12-22,33433
2017-12-23,33433
2017-12-24,34505
2017-12-25,34505
2017-12-26,35420
2017-12-27,35420
2017-12-28,35811
2017-12-29,35811
2017-12-30,36230
2017-12-31,36230
2018-01-01,36459
2018-01-02,36459
2018-01-03,35638
2018-01-04,35638
2018-01-05,35022
2018-01-06,34441
2018-01-07,34441
2018-01-08,34165
2018-01-09,34165
2018-01-10,34274
2018-01-11,34274
2018-01-12,34140
2018-01-13,34306
2018-01-14,35211
2018-01-15,35114
2018-01-16,35090
2018-01-17,35071
2018-01-18,35071
2018-01-19,35218
2018-01-20,35122
2018-01-21,35122
2018-01-22,35147
2018-01-23,35692
2018-01-24,36185
2018-01-25,36822
2018-01-26,37397
2018-01-27,37728
2018-01-28,37950
2018-01-29,38453
2018-01-30,39223
2018-01-31,39813
2018-02-01,40390
2018-02-02,40026
2018-02-03,40184
2018-02-04,39718
2018-02-05,40170
2018-02-06,40648
2018-02-07,40661
2018-02-08,40661
2018-02-09,40804
2018-02-10,40804
2018-02-11,40817
2018-02-12,41361
2018-02-13,40529
2018-02-14,39636
2018-02-15,39209
2018-02-16,39041
2018-02-17,38865
2018-02-18,39268
2018-02-19,38835
2018-02-20,38380
2018-02-21,38019
2018-02-22,38046
2018-02-23,38427
2018-02-24,38824
2018-02-25,38993
2018-02-26,38638
2018-02-27,38288
2018-02-28,38194
2018-03-01,38837
2018-03-02,38704
2018-03-03,38943
2018-03-04,38943
2018-03-05,39395
2018-03-06,39029
2018-03-07,39373
2018-03-08,39881
2018-03-09,40203
2018-03-10,40900
2018-03-11,41241
2018-03-12,41620
2018-03-13,40517
2018-03-14,39925
2018-03-15,39360
2018-03-16,39116
2018-03-17,39441
2018-03-18,39796
2018-03-19,39796
2018-03-20,40400
2018-03-21,40687
2018-03-22,41358
2018-03-23,41454
2018-03-24,41645
2018-03-25,41798
2018-03-26,41904
2018-03-27,42200
2018-03-28,42244
2018-03-29,42005
2018-03-30,42178
2018-03-31,41498
2018-04-01,41224
2018-04-02,41441
2018-04-03,41526
2018-04-04,41527
2018-04-05,41527
2018-04-06,42197
2018-04-07,42197
2018-04-08,42219
2018-04-09,42374
2018-04-10,42346
2018-04-11,42211
2018-04-12,41998
2018-04-13,41998
2018-04-14,41856
2018-04-15,40620
2018-04-16,40620
2018-04-17,41193
2018-04-18,41193
2018-04-19,41958
2018-04-20,42286
2018-04-21,42603
2018-04-22,42603
2018-04-23,42918
2018-04-24,42785
2018-04-25,42537
2018-04-26,42537
2018-04-27,41743
2018-04-28,41216
2018-04-29,41539
2018-04-30,41659
2018-05-01,41737
2018-05-02,41737
2018-05-03,41390
2018-05-04,41977
2018-05-05,41714
2018-05-06,41714
2018-05-07,42049
2018-05-08,42409
2018-05-09,42509
2018-05-10,41717
2018-05-11,42363
2018-05-12,41760
2018-05-13,41760
2018-05-14,41515
2018-05-15,41923
2018-05-16,42031
2018-05-17,42162
2018-05-18,42304
2018-05-19,42327
2018-05-20,42265
2018-05-21,42766
2018-05-22,42766
2018-05-23,42905
2018-05-24,43502
2018-05-25,43917
2018-05-26,44348
2018-05-27,44348
2018-05-28,44963
2018-05-29,45195
2018-05-30,45059
2018-05-31,44424
2018-06-01,43984
2018-06-02,43712
2018-06-03,42803
2018-06-04,42226
2018-06-05,41519
2018-06-06,41123
2018-06-07,41123
2018-06-08,39812
2018-06-09,39113
2018-06-10,38016
2018-06-11,36662
2018-06-12,35773
2018-06-13,34948
2018-06-14,34083
2018-06-15,33419
2018-06-16,32926
2018-06-17,32109
2018-06-18,31463
2018-06-19,31010
2018-06-20,31010
2018-06-21,31019
2018-06-22,30794
2018-06-23,30794
2018-06-24,30722
2018-06-25,30436
2018-06-26,30702
2018-06-27,31051
2018-06-28,31709
2018-06-29,32170
2018-06-30,32409
2018-07-01,33143
2018-07-02,33143
2018-07-03,33609
2018-07-04,33237
2018-07-05,33480
2018-07-06,33679
2018-07-07,33586
2018-07-08,32758
2018-07-09,32713
2018-07-10,32938
2018-07-11,33252
2018-07-12,33807
2018-07-13,34599
2018-07-14,35392
2018-07-15,35392
2018-07-16,35977
2018-07-17,35834
2018-07-18,35481
2018-07-19,35000
2018-07-20,35037
2018-07-21,35546
2018-07-22,35695
2018-07-23,35284
2018-07-24,35437
2018-07-25,35539
2018-07-26,35968
2018-07-27,35842
2018-07-28,36082
2018-07-29,36804
2018-07-30,36820
2018-07-31,37503
2018-08-01,37503
2018-08-02,38042
2018-08-03,38265
2018-08-04,38532
2018-08-05,38669
2018-08-06,38784
2018-08-07,39016
2018-08-08,39134
2018-08-09,39134
2018-08-10,39245
2018-08-11,39169
2018-08-12,39215
2018-08-14,39056
2018-08-16,38220
2018-08-17,38271
2018-08-18,38150
2018-08-19,38439
2018-08-20,38383
2018-08-21,38635
2018-08-22,38560
2018-08-23,38925
2018-08-24,39493
2018-08-25,39018
2018-08-26,40494
2018-08-27,41004
2018-08-28,41513
2018-08-29,42723
2018-08-30,43757
2018-08-31,44748
2018-09-01,46038
2018-09-02,47326
2018-09-03,47648
2018-09-04,48643
2018-09-05,50428
2018-09-06,50428
2018-09-07,51986
2018-09-08,53745
2018-09-09,56239
2018-09-10,58056
2018-09-11,60032
2018-09-12,61216
2018-09-13,62895
2018-09-14,65301
2018-09-15,67258
2018-09-16,68254
2018-09-17,69790
2018-09-18,70886
2018-09-19,72712
2018-09-20,74125
2018-09-21,75046
2018-09-22,77172
2018-09-23,78066
2018-09-24,80892
2018-09-25,81676
2018-09-26,82365
2018-09-27,81930
2018-09-28,82310
2018-09-29,82151
2018-09-30,83017
2018-10-01,83286
2018-10-02,82326
2018-10-03,82130
2018-10-04,82130
2018-10-05,82474
2018-10-06,82076
2018-10-07,82029
2018-10-08,81423
2018-10-09,81671
2018-10-10,80836
2018-10-11,79829
2018-10-12,79379
2018-10-13,80339
2018-10-14,80713
2018-10-15,80899
2018-10-16,81901
2018-10-17,82852
2018-10-18,82932
2018-10-19,83133
2018-10-20,84385
2018-10-21,84210
2018-10-22,84374
2018-10-23,83709
2018-10-24,82921
2018-10-25,82266
2018-10-26,82984
2018-10-27,83120
2018-10-28,83296
2018-10-29,83606
2018-10-30,84299
2018-10-31,86545
2018-11-01,89635
2018-11-03,97121
2018-11-04,101709
2018-11-05,106784
2018-11-06,112124
2018-11-07,117699
2018-11-08,123584
2018-11-09,129764
2018-11-10,136126
2018-11-11,142851
2018-11-12,149994
2018-11-13,157494
2018-11-14,165369
2018-11-15,172852
2018-11-16,181495
2018-11-17,189894
2018-11-18,198724
2018-11-19,207734
2018-11-20,214763
2018-11-21,219006
2018-11-22,223132
2018-11-23,224597
2018-11-24,228467
2018-11-25,231082
2018-11-26,229708
2018-11-27,226954
2018-11-28,222375
2018-11-29,214622
2018-12-01,200632
2018-12-02,194929
2018-12-03,189139
2018-12-04,182417
2018-12-05,176206
2018-12-07,166485
2018-12-09,157355
2018-12-10,155270
2018-12-11,154109
2018-12-12,152482
2018-12-13,150316
2018-12-14,150378
2018-12-15,147638
2018-12-16,147280
2018-12-17,144631
2018-12-18,141222
2018-12-19,137995
2018-12-20,135193
2018-12-21,132834
2018-12-22,131667
2018-12-23,128384
2018-12-24,127608
2018-12-25,128993
2018-12-26,126855
2018-12-27,126914
2018-12-28,127674
2018-12-29,126980
2018-12-30,124392
2018-12-31,123729
2019-01-01,122115
2019-01-02,120003
2019-01-03,116428
2019-01-04,112829
2019-01-05,109747
2019-01-06,107622
2019-01-08,104276
2019-01-10,99420
2019-01-11,96737
2019-01-12,93908
2019-01-13,92053
2019-01-14,90486
2019-01-15,88372
2019-01-16,85851
2019-01-17,84598
2019-01-18,82969
2019-01-19,81580
2019-01-20,80351
2019-01-21,78723
2019-01-22,79052
2019-01-23,79780
2019-01-24,80597
2019-01-25,81393
2019-01-26,82125
2019-01-27,83525
2019-01-28,85211
2019-01-29,86792
2019-01-30,88082
2019-01-31,88412
2019-02-01,89999
2019-02-02,91305
2019-02-03,92588
2019-02-04,90449
2019-02-05,88461
2019-02-06,86791
2019-02-07,85005
2019-02-08,83616
2019-02-09,81575
2019-02-10,81391
2019-02-11,80687
2019-02-12,81391
2019-02-13,79835
2019-02-14,77569
2019-02-15,75728
2019-02-16,74718
2019-02-17,74231
2019-02-18,72836
2019-02-19,72084
2019-02-20,70468
2019-02-21,69110
2019-02-22,67318
2019-02-23,66396
2019-02-24,65237
2019-02-25,63883
2019-02-26,63218
2019-02-27,62770
2019-02-28,62332
2019-03-01,62329
2019-03-02,60602
2019-03-03,60214
2019-03-04,59805
2019-03-05,60802
2019-03-06,60713
2019-03-07,60985
2019-03-08,60736
2019-03-09,61083
2019-03-10,60449
2019-03-11,59770
2019-03-12,59951
2019-03-13,60986
2019-03-14,61137
2019-03-15,60999
2019-03-16,61338
