date_obj,Bagged%20nice%20tree price
2017-09-04,3273
2017-09-05,3273
2017-09-06,3273
2017-09-07,3273
2017-09-08,3273
2017-09-09,3273
2017-09-10,3273
2017-09-11,3151
2017-09-12,3151
2017-09-13,3151
2017-09-14,3151
2017-09-15,3151
2017-09-16,3151
2017-09-17,3151
2017-09-18,3151
2017-09-19,3151
2017-09-20,3151
2017-09-22,3151
2017-09-23,3151
2017-09-24,3151
2017-09-25,3151
2017-09-26,3151
2017-09-27,3151
2017-09-28,3151
2017-09-29,3151
2017-09-30,3151
2017-10-01,3135
2017-10-02,3135
2017-10-03,3135
2017-10-04,3135
2017-10-05,3135
2017-10-06,3135
2017-10-07,3135
2017-10-08,3135
2017-10-09,3135
2017-10-10,3135
2017-10-11,3135
2017-10-12,3135
2017-10-13,3135
2017-10-14,3135
2017-10-15,3135
2017-10-16,3135
2017-10-17,3135
2017-10-18,3135
2017-10-19,3135
2017-10-20,3135
2017-10-21,3135
2017-10-22,3095
2017-10-23,3095
2017-10-24,3095
2017-10-25,3095
2017-10-26,3095
2017-10-27,3095
2017-10-28,3095
2017-10-29,3095
2017-10-30,3095
2017-10-31,3095
2017-11-01,3095
2017-11-02,3095
2017-11-03,3095
2017-11-04,3095
2017-11-05,3095
2017-11-06,3095
2017-11-07,3095
2017-11-08,3095
2017-11-09,3095
2017-11-10,3095
2017-11-11,3133
2017-11-12,3133
2017-11-13,3133
2017-11-14,3133
2017-11-15,3133
2017-11-16,3133
2017-11-17,3133
2017-11-18,3133
2017-11-19,3133
2017-11-20,3133
2017-11-21,3133
2017-11-22,3133
2017-11-23,3133
2017-11-24,3133
2017-11-25,3133
2017-11-26,3133
2017-11-27,3133
2017-11-28,3133
2017-11-29,3133
2017-11-30,3153
2017-12-01,3153
2017-12-02,3153
2017-12-03,3153
2017-12-04,3153
2017-12-05,3153
2017-12-06,3153
2017-12-07,3153
2017-12-08,3153
2017-12-09,3153
2017-12-10,3153
2017-12-11,3153
2017-12-12,3153
2017-12-13,3153
2017-12-14,3153
2017-12-15,3153
2017-12-16,3153
2017-12-17,3153
2017-12-18,3153
2017-12-19,3050
2017-12-20,3050
2017-12-21,3050
2017-12-22,3050
2017-12-23,3050
2017-12-24,3050
2017-12-25,3050
2017-12-26,3050
2017-12-27,3050
2017-12-28,3050
2017-12-29,3050
2017-12-30,3050
2017-12-31,3050
2018-01-01,3050
2018-01-02,3050
2018-01-03,3050
2018-01-04,3050
2018-01-05,3089
2018-01-06,3089
2018-01-07,3089
2018-01-08,3089
2018-01-09,3089
2018-01-10,3089
2018-01-11,3089
2018-01-12,3089
2018-01-13,3089
2018-01-14,3089
2018-01-15,3089
2018-01-16,3089
2018-01-17,3089
2018-01-18,3089
2018-01-19,3089
2018-01-20,3010
2018-01-21,3010
2018-01-22,3010
2018-01-23,3010
2018-01-24,3010
2018-01-25,3010
2018-01-26,3010
2018-01-27,3010
2018-01-28,3010
2018-01-29,3010
2018-01-30,3010
2018-01-31,3010
2018-02-01,3059
2018-02-02,3059
2018-02-03,3059
2018-02-04,3059
2018-02-05,3059
2018-02-06,3059
2018-02-07,3059
2018-02-08,3059
2018-02-09,3059
2018-02-10,3059
2018-02-11,3059
2018-02-12,3059
2018-02-13,3059
2018-02-14,3173
2018-02-15,3173
2018-02-16,3173
2018-02-17,3173
2018-02-18,3173
2018-02-19,3173
2018-02-20,3173
2018-02-21,3173
2018-02-22,3173
2018-02-23,3173
2018-02-24,3173
2018-02-25,3173
2018-02-26,3173
2018-02-27,3032
2018-02-28,3032
2018-03-01,3032
2018-03-02,3032
2018-03-03,3032
2018-03-04,3032
2018-03-05,3032
2018-03-06,3032
2018-03-07,3032
2018-03-08,3032
2018-03-09,3032
2018-03-10,3032
2018-03-11,3032
2018-03-12,2897
2018-03-13,2897
2018-03-14,2897
2018-03-15,2897
2018-03-16,2897
2018-03-17,2897
2018-03-18,2897
2018-03-20,2897
2018-03-22,2897
2018-03-23,2897
2018-03-24,2897
2018-03-25,2897
2018-03-26,2897
2018-03-27,2757
2018-03-28,2757
2018-03-29,2757
2018-03-30,2757
2018-03-31,2757
2018-04-01,2757
2018-04-02,2757
2018-04-03,2757
2018-04-04,2757
2018-04-05,2757
2018-04-06,2757
2018-04-07,2757
2018-04-08,2757
2018-04-09,2757
2018-04-10,2778
2018-04-11,2778
2018-04-12,2778
2018-04-13,2778
2018-04-14,2778
2018-04-15,2778
2018-04-16,2778
2018-04-17,2778
2018-04-18,2778
2018-04-19,2778
2018-04-20,2778
2018-04-21,2778
2018-04-22,2778
2018-04-23,2778
2018-04-24,2778
2018-04-25,2866
2018-04-26,2866
2018-04-27,2866
2018-04-28,2866
2018-04-29,2866
2018-04-30,2866
2018-05-01,2866
2018-05-02,2866
2018-05-03,2866
2018-05-04,2866
2018-05-05,2866
2018-05-06,2866
2018-05-07,2866
2018-05-08,2866
2018-05-09,2912
2018-05-10,2912
2018-05-11,2912
2018-05-12,2912
2018-05-13,2912
2018-05-14,2912
2018-05-15,2912
2018-05-16,2912
2018-05-17,2912
2018-05-18,2912
2018-05-19,2912
2018-05-20,2912
2018-05-21,2912
2018-05-22,2912
2018-05-23,2957
2018-05-24,2957
2018-05-25,2957
2018-05-26,2957
2018-05-27,2957
2018-05-28,2957
2018-05-29,2957
2018-05-30,2957
2018-05-31,2957
2018-06-01,2957
2018-06-02,2957
2018-06-03,2957
2018-06-04,2957
2018-06-05,2929
2018-06-06,2929
2018-06-07,2929
2018-06-08,2929
2018-06-09,2929
2018-06-10,2929
2018-06-11,2929
2018-06-12,2929
2018-06-13,2929
2018-06-14,2929
2018-06-15,2929
2018-06-16,2929
2018-06-17,2929
2018-06-18,2929
2018-06-19,2958
2018-06-20,2958
2018-06-21,2958
2018-06-22,2958
2018-06-23,2958
2018-06-24,2958
2018-06-25,2958
2018-06-26,2958
2018-06-27,2958
2018-06-28,2958
2018-06-29,2958
2018-06-30,2958
2018-07-01,2958
2018-07-02,2958
2018-07-03,2958
2018-07-04,3005
2018-07-05,3005
2018-07-06,3005
2018-07-07,3005
2018-07-08,3005
2018-07-09,3005
2018-07-10,3005
2018-07-11,3005
2018-07-12,3005
2018-07-13,3005
2018-07-14,3005
2018-07-15,3005
2018-07-16,3005
2018-07-17,3005
2018-07-18,3005
2018-07-19,3005
2018-07-20,3005
2018-07-21,3005
2018-07-22,3005
2018-07-23,3001
2018-07-24,3001
2018-07-25,3001
2018-07-26,3001
2018-07-27,3001
2018-07-28,3001
2018-07-29,3001
2018-07-30,3001
2018-07-31,3001
2018-08-01,3001
2018-08-02,3001
2018-08-03,3001
2018-08-04,3047
2018-08-05,3047
2018-08-06,3047
2018-08-07,3047
2018-08-08,3047
2018-08-09,3047
2018-08-10,3047
2018-08-11,3047
2018-08-12,3047
2018-08-14,3047
2018-08-16,3047
2018-08-17,3023
2018-08-18,3023
2018-08-19,3023
2018-08-20,3023
2018-08-21,3023
2018-08-22,3023
2018-08-23,3023
2018-08-24,3023
2018-08-25,3023
2018-08-26,3023
2018-08-27,3023
2018-08-28,3023
2018-08-29,3057
2018-08-30,3057
2018-08-31,3057
2018-09-01,3057
2018-09-02,3057
2018-09-03,3057
2018-09-04,3057
2018-09-05,3057
2018-09-06,3057
2018-09-07,3057
2018-09-08,3057
2018-09-09,3060
2018-09-10,3060
2018-09-11,3060
2018-09-12,3060
2018-09-13,3060
2018-09-14,3060
2018-09-15,3060
2018-09-16,3060
2018-09-17,3060
2018-09-18,3060
2018-09-19,3060
2018-09-20,3060
2018-09-21,3060
