date_obj,Kitchen%20knife price
2016-05-17,6365
2016-05-18,6365
2016-05-19,6365
2016-05-22,6365
2016-05-23,6365
2016-05-24,6365
2016-05-25,6365
2016-05-26,6365
2016-05-27,6365
2016-05-28,6365
2016-05-29,6365
2016-05-30,6365
2016-05-31,6365
2016-06-01,6365
2016-06-02,6365
2016-06-03,6365
2016-06-04,6365
2016-06-05,6365
2016-06-06,6365
2016-06-07,6365
2016-06-08,6365
2016-06-09,6365
2016-06-10,6365
2016-06-11,6365
2016-06-12,6365
2016-06-13,6365
2016-06-14,6365
2016-06-15,6365
2016-06-16,6365
2016-06-17,6365
2016-06-18,6365
2016-06-19,6365
2016-06-20,6365
2016-06-21,6301
2016-06-22,6301
2016-06-23,6301
2016-06-24,6301
2016-06-25,6301
2016-06-26,6301
2016-06-27,6301
2016-06-28,6301
2016-06-29,6301
2016-06-30,6301
2016-07-01,6301
2016-07-02,6301
2016-07-03,6301
2016-07-04,6301
2016-07-05,6301
2016-07-06,6301
2016-07-07,6301
2016-07-08,6301
2016-07-09,6301
2016-07-10,6301
2016-07-11,6301
2016-07-12,6301
2016-07-13,6301
2016-07-14,6301
2016-07-15,6301
2016-07-16,6301
2016-07-17,6301
2016-07-18,6301
2016-07-23,6301
2016-07-24,6301
2016-07-25,6301
2016-07-26,6301
2016-07-27,6301
2016-07-28,6301
2016-07-29,6301
2016-07-30,6301
2016-07-31,6301
2016-08-01,6301
2016-08-02,6301
2016-08-03,6301
2016-08-04,6301
2016-08-05,6301
2016-08-06,6301
2016-08-07,6301
2016-08-08,6301
2016-08-09,6301
2016-08-10,6301
2016-08-11,6301
2016-08-12,6301
2016-08-13,6301
2016-08-14,6301
2016-08-15,6301
2016-08-16,6301
2016-08-17,6301
2016-08-18,6301
2016-08-19,6301
2016-08-20,6301
2016-08-21,6301
2016-08-22,6301
2016-08-23,6301
2016-08-24,6301
2016-08-25,6301
2016-08-26,6301
2016-08-28,6301
2016-08-31,6301
2016-09-01,6301
2016-09-02,6301
2016-09-03,6301
2016-09-04,6301
2016-09-05,6301
2016-09-06,6301
2016-09-07,6301
2016-09-08,6301
2016-09-09,6301
2016-09-10,6301
2016-09-11,6301
2016-09-12,6301
2016-09-13,6301
2016-09-14,6301
2016-09-15,6301
2016-09-16,6301
2016-09-17,6301
2016-09-18,6301
2016-09-19,6301
2016-09-20,6301
2016-09-21,6301
2016-09-22,6301
2016-09-23,6301
2016-09-24,6301
2016-09-25,6301
2016-09-26,6301
2016-09-27,6301
2016-09-28,6301
2016-09-29,6301
2016-09-30,6301
2016-10-01,6301
2016-10-02,6301
2016-10-03,6301
