date_obj,Saradomin%20d'hide%20shield price
2019-08-26,547174
2019-08-27,547174
2019-08-27,547174
2019-08-28,554224
2019-08-29,554224
2019-08-30,554224
2019-08-31,546569
2019-09-01,546569
2019-09-02,546569
2019-09-03,542111
2019-09-04,542111
2019-09-05,542111
2019-09-06,546178
2019-09-07,546178
2019-09-08,546898
2019-09-09,546898
2019-09-10,546898
2019-09-11,544660
2019-09-12,544660
2019-09-13,544660
2019-09-14,551470
2019-09-15,551470
2019-09-16,556744
2019-09-17,556744
2019-09-18,557189
2019-09-19,557189
2019-09-20,557189
2019-09-21,565405
2019-09-22,565405
2019-09-23,562893
2019-09-24,562893
2019-09-25,562893
2019-09-26,549423
2019-09-27,549423
2019-09-28,549423
2019-09-29,561064
2019-09-30,561064
2019-10-01,573500
2019-10-02,573500
2019-10-03,573500
2019-10-04,578562
2019-10-05,578562
2019-10-06,589813
2019-10-07,589813
2019-10-08,589813
2019-10-09,589813
2019-10-10,581779
2019-10-11,581779
2019-10-12,581779
2019-10-13,589686
2019-10-14,589686
2019-10-15,589686
2019-10-16,601655
2019-10-17,601655
2019-10-18,601655
2019-10-19,608824
2019-10-20,608824
2019-10-21,608824
2019-10-22,581946
2019-10-23,581946
2019-10-24,581946
2019-10-25,552848
2019-10-26,552848
2019-10-27,529192
2019-10-28,529192
2019-10-29,529192
2019-10-30,507560
2019-10-31,507560
2019-11-01,507560
2019-11-02,483514
2019-11-03,483514
2019-11-04,463210
2019-11-05,463210
2019-11-06,463210
2019-11-07,441580
2019-11-08,441580
2019-11-09,441580
2019-11-10,420187
2019-11-11,420187
2019-11-12,420187
2019-11-13,416827
2019-11-14,416827
2019-11-15,416827
2019-11-16,403290
2019-11-17,403290
2019-11-18,403290
2019-11-19,390257
2019-11-20,390257
2019-11-21,390257
2019-11-22,384594
2019-11-23,384594
2019-11-24,384594
2019-11-25,377540
2019-11-26,377540
2019-11-27,377540
2019-11-28,372387
2019-11-29,372387
2019-11-30,372387
2019-12-01,385608
2019-12-02,385608
2019-12-03,403202
2019-12-04,403202
2019-12-05,403202
2019-12-06,422187
2019-12-07,422187
2019-12-08,422187
2019-12-09,437783
2019-12-10,437783
2019-12-11,437783
2019-12-12,428105
2019-12-13,428105
2019-12-14,428105
2019-12-15,420510
2019-12-16,420510
2019-12-17,420510
2019-12-18,422110
2019-12-19,422110
2019-12-20,422110
2019-12-21,418497
2019-12-22,418497
2019-12-23,418497
2019-12-24,424305
2019-12-25,424305
2019-12-26,424305
2019-12-27,437666
2019-12-28,437666
2019-12-29,437666
2019-12-30,438138
2019-12-31,438138
2020-01-01,438138
2020-01-02,430984
2020-01-03,430984
2020-01-04,430984
2020-01-05,417466
2020-01-06,417466
2020-01-07,400562
2020-01-08,400562
2020-01-09,400562
2020-01-10,388463
2020-01-11,388463
2020-01-12,376830
2020-01-13,376830
2020-01-14,376830
2020-01-15,366041
2020-01-16,366041
2020-01-17,361609
2020-01-18,361609
2020-01-19,374453
2020-01-20,374453
2020-01-21,374453
2020-01-22,378849
2020-01-23,378849
2020-01-24,378849
2020-01-25,375266
2020-01-26,375266
2020-01-27,375490
2020-01-28,375490
2020-01-29,375490
2020-01-30,375925
2020-01-31,375925
2020-02-01,380552
2020-02-02,380552
2020-02-03,377816
2020-02-04,377816
2020-02-05,377816
2020-02-06,386110
2020-02-07,386110
2020-02-08,386110
2020-02-09,401195
2020-02-10,401195
2020-02-11,397879
2020-02-12,397879
2020-02-13,397879
2020-02-14,391456
2020-02-15,391456
2020-02-16,396199
2020-02-17,396199
2020-02-18,392403
2020-02-19,392403
2020-02-20,392403
2020-02-21,379802
2020-02-22,379802
2020-02-23,369093
2020-02-24,369093
2020-02-25,359206
2020-02-26,359206
2020-02-27,347801
2020-02-28,347801
2020-02-29,336108
2020-03-01,336108
2020-03-02,326705
2020-03-03,326705
2020-03-04,326705
2020-03-05,327507
2020-03-06,327507
2020-03-07,321683
2020-03-08,321683
2020-03-09,318566
2020-03-10,318566
2020-03-11,318566
2020-03-12,316852
2020-03-13,316852
2020-03-14,320528
2020-03-15,320528
2020-03-16,321959
2020-03-17,321959
2020-03-18,319613
2020-03-19,319613
2020-03-20,323782
2020-03-21,323782
2020-03-22,320218
2020-03-23,320218
2020-03-24,321168
2020-03-25,321168
2020-03-26,325751
2020-03-27,325751
2020-03-28,331609
2020-03-29,334492
2020-03-30,332785
2020-03-31,332785
2020-04-01,335371
2020-04-02,337489
2020-04-03,337489
2020-04-04,334795
2020-04-05,334795
2020-04-06,336094
2020-04-07,336094
2020-04-08,325479
2020-04-09,325479
2020-04-10,321891
2020-04-11,316745
2020-04-12,316745
2020-04-13,307089
2020-04-14,299537
2020-04-15,291389
2020-04-16,291389
2020-04-17,289825
2020-04-18,292863
2020-04-19,294360
2020-04-20,294360
2020-04-21,287652
2020-04-22,284086
2020-04-23,284086
2020-04-24,281536
2020-04-25,281536
2020-04-26,280634
2020-04-27,280634
2020-04-28,289588
2020-04-29,289588
2020-04-30,303045
2020-05-01,303045
2020-05-02,310560
2020-05-03,310560
2020-05-04,304521
2020-05-05,304521
2020-05-06,299019
2020-05-07,299019
2020-05-08,292020
2020-05-09,292020
2020-05-10,283345
2020-05-11,283345
2020-05-12,279783
2020-05-13,279783
